,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Range For Use With,Feature 2,Range,Max Set Pressure,Maximum Operating Temperature,Colour,Weight,Dimensions mm (H x W x D),Application,Attachment 3,Size
10,P123306,Ideal horizontal telescopic flue terminal kit 0.7mtr,Ideal,116.04,Suitable for use with Ideal's Logic boiler range.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal horizontal telescopic flue terminal kit 0.7mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/06/123306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
11,P412805,"Ideal Gas Valve gas valve kit 30, 40, 60, 80 & 150kW",Ideal,165.09,"This Ideal 100kW gas valve kit is suitable for use in selected Keston and Ideal boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).","Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Gas Valve gas valve kit 30, 40, 60, 80 & 150kW",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/05/NW-412805_wm.jpg,,,N,,,,H98115,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80,80 LPG,60,30 LPG,40,30",176313,Gas Valve Kit,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,Gas Valve,60 mbar,70,,,,,,
12,P123325,Ideal Logic rear flue kit (for Heat) 55/80mm,Ideal,50.46,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Logic rear flue kit (for Heat) 55/80mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/26/123325_123326_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
13,P123307,Ideal vertical flue connector kit,Ideal,48.12,The vertical flue connector enables your flue pipe to run vertically through your property.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal vertical flue connector kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/07/123307_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
14,P333678,Ideal Roof Flue Kit (With Vrt Connector),Ideal,130.0,"Suitable for Ideal, Logic+ and Vogue boiler ranges.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Roof Flue Kit (With Vrt Connector),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/78/333678_wm.jpg,,,N,,Flue,Logic+,,,333678 PK,Roof Flue Kit,N,Ideal genuine spare part,Logic+Vogue,Value for money,,,,Black,2850.00000,,,,
15,P124883,Ideal Code standoff kit (for combi),Ideal,41.37,"Making boiler installation neater and more flexible, this Ideal stand-off kit allows for the downward routing of system flow and return pipework behind the boiler.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Code standoff kit (for combi),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/83/124883_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/83/124883.pdf,,,,,,,,,,,,,,,,,,,,,
16,P124875,Ideal combi stand off kit,Ideal,143.32,"Suitable for a variety of boilers, this Ideal combi stand-off kit is used for the downward routing of flow and return pipework behind the boiler unit. Designed for combi boiler use, this kit helps installation engineers to achieve a smart finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal combi stand off kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/75/124875_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/75/124875.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
17,P123536,Ideal high-level flue extension kit 1mtr,Ideal,39.77,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal high-level flue extension kit 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/36/123536_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
18,P412791,Ideal Gas Valve gas valve kit 100kw,Ideal,303.85,"This Ideal 100kW gas valve kit is suitable for use in selected Ideal boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Gas Valve gas valve kit 100kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/91/NW-412791_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
19,P412807,Ideal Spares flue manifold bottom kit 30/40/60/80kw,Ideal,113.54,This Ideal flue manifold bottom kit is suitable for Keston Heat and Ideal commercial boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Spares flue manifold bottom kit 30/40/60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/07/NW-412807_wm.jpg,,,N,,,,H98087,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80 LPG,80,60,30 LPG,40,30",176336,Flue Manifold Bottom Kit,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,Spares,,,,,42.2L X 14.2W X 8H,Commercial,,
20,P123309,Ideal balcony flue outlet kit,Ideal,131.99,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal balcony flue outlet kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/09/123309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
21,P123505,Ideal flue roof kit,Ideal,130.95,"Ideal Vertical Flue Roof Kit Concentric 60/100mm for installation with the Ideal Independent, Vogue, Logic+ & Logic Condesing ranges of boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue roof kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/05/123505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
22,P412808,Ideal Spares flue manifold top kit 30/40/60/80kw,Ideal,124.43,This Ideal flue manifold top kit is suitable for Keston Heat and Ideal commercial boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Spares flue manifold top kit 30/40/60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/08/NW-412808_wm.jpg,,,N,,,,H98089,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80,80 LPG,60,30 LPG,40,30",176338,Flue Manifold Top Kit,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,Spares,,,,,36.4L X 18.4W X 7.6H,Commercial,,
23,P123329,Ideal Logic stand off kit (for Heat),Ideal,41.37,"This Ideal stand-off kit provides additional flexibility when installing a boiler, allowing for the downward routing of system flow and return pipework behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Logic stand off kit (for Heat),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/29/123329_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boiler_2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/33/29/123329.pdf,
24,P123916,Ideal flue finishing kit,Ideal,13.93,"This finishing kit is designed for the flue in Ideal M and HE boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue finishing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/16/123916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_LogicFlueing-Accessories_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic_Gas_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
25,P412803,Ideal Spares ignition electrode kit,Ideal,89.25,An Ideal brand ignition electrode kit for Evomod commercial boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Spares ignition electrode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/03/NW-412803_wm.jpg,,,N,,,,,,176259,Ignition Electrode Kit,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,Spares,,,,,14.7L X 21.8W X 2.8H,Commercial,,
26,P170124,Ideal Heating Halo heat and system Wi-Fi,Ideal Heating,234.91,"Engineered for use with an Ideal boiler, the Ideal Heating Halo Heat & System Wi-Fi provides flexible control of a heating and hot water system using the intuitive Halo smartphone app, putting comfort and convenience in the palm of your hand. Easy to install and to operate, this device provides you with a slew of useful features, including geolocation so your heating adjusts to suit your lifestyle, and connects to your digital home assistant for complete Smart Home compatibility.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Heating Halo heat and system Wi-Fi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/24/170124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Heating_Halo_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Ideal_Heating_Halo_Instal.pdf,,,,,,,,,,,,,,,,,,,,,
27,P124867,Ideal flue extension kit 500mm,Ideal,33.84,"Today, Ideal remains at the forefront of the domestic and commercial heating markets, leading the industry in setting new standards and challenging technological boundaries.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue extension kit 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/67/124867_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,
28,P124868,Ideal flue extension kit 2mtr,Ideal,93.07,"Today, Ideal remains at the forefront of the domestic and commercial heating markets, leading the industry in setting new standards and challenging technological boundaries.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue extension kit 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/68/124868_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,
