,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Output,Feature 11,Feature 12,Feature 13,Feature 14
10,PC88043,Salamander CT55 Xtra 55 Xtra Single 1.5 Bar Shwr Pump,Salamander,129.24,"Boost hot or cold water in a gravity fed, positive head system with this 1.5 bar Salamander CT55 Xtra single regenerative pump. Quiet and compact, this continuously rated pump boosts water to individual hot or cold taps.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT55 Xtra 55 Xtra Single 1.5 Bar Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/43/C88043_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P419039,Salamander CT Xtra 75 twin shower pump 2bar pack,Salamander,142.0,"The 2 bar Salamander CT75 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Xtra 75 twin shower pump 2bar pack,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/42/NW-C88042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_GravityBooster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CTXtra_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD08096,Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,Grundfos,100.0,"Designed to minimise turbulence in the pump head, the Grundfos STR2 regenerative shower pump provides powerful performance without high levels of noise. Running on a smooth and reliable AC induction motor, this pump is fitted with a regenerative impeller for fewer system air pockets. Ideal for shower systems containing a lot of bends and elbows, the STR2 offers reliable flow rates of up to 0.6M³/h.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,,Pump;Stainless steel hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/96/NW-D08096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR_STR_SSP_STP_SSN_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Shower_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PC88073,Salamander RPU twin universal centrifugal bathroom pump 1.5bar,Salamander,512.94,"The quiet 1.5 bar Salamander RPU premium twin ended universal pump boosts the hot and cold water supply to showers, baths, basins and toilets in a negative head, gravity fed installation. Suitable for use across a wide range of outlets, the RPU incorporates Crossover technology allowing for individual hot or cold or mixed boosts.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander RPU twin universal centrifugal bathroom pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/74/NW-C88073_C88074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P419038,Salamander CT Xtra 50 twin shower pump 1.5bar pack,Salamander,109.0,"The 1.5 bar Salamander CT50 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Xtra 50 twin shower pump 1.5bar pack,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/C88041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_GravityBooster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CTXtra_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD52934,Stuart Turner Showermate twin shower pump S2.0 bar,Stuart Turner,280.9,"Offering flow rates of up to 37LPM, the Stuart Turner Showermate standard twin shower pump is used to boost the hot and cold supply to a shower room or bathroom. This high performance yet compact pump is supplied with a pair of 15mm anti-vibration flexible hoses, each with an integral isolation valve on the inlet.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Showermate twin shower pump S2.0 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Stuart_Showermate_Standard_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Showermate_Std_Twin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rv/es/Stuart_Showermate-Std-Twin_Curves.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD01245,Salamander TapBoost TBS15 single outlet booster pump White,Salamander,108.4,"Solving the problem of poor water performance, the Salamander TapBoost inline contact pump helps improve flow at a single mains or gravity fed outlet. Improving water flow rates to between 7 and 11LPM, depending on incoming flow, this easy-install pump can be fitted to either a hot or a cold outlet.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander TapBoost TBS15 single outlet booster pump White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/45/D01245_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_D01245_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PC88075,Salamander RPU twin universal centrifugal shower and whole house pump 3.0bar,Salamander,599.83,"Offering quiet efficiency, the 3 bar Salamander RPU premium twin ended pump boosts the individual hot and cold water supply to showers, baths, basins and toilets in a positive head, gravity fed installation. Suitable for a wide range of shower types and heads and single mixer taps, this pump incorporates Crossover technology for individual or mixed outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander RPU twin universal centrifugal shower and whole house pump 3.0bar,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/75/NW-C88075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P105753,Wilo Yonos GIGA2.0-D 80/1-15/4 0 in-line pump,Wilo,7936.49,"Employing an IE5 EC motor, the Wilo Yonos Giga 2.0-D 80/1-15/4 0 inline pump offers highly efficient pumping of the large amounts of water required for the air conditioning, heating and cooling systems in large-sized premises. Easy to operate via a clear all-colour display, complete with both analogue and digital interfaces, the Giga can be fully integrated in building management systems for improved control.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Wilo Yonos GIGA2.0-D 80/1-15/4 0 in-line pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/53/105753_wm.jpg,,,,,,,Black/Green,,N/A,,,,,,Yonos,,,,,N,,,,2205895,N,Twin head pump functionality,Easily accessible cable connections and terminals,Automatic troubleshooting routines,Integrated full motor protection,Interfaces for integration into building automation systems,IE5 EC motor technology,Gradually (90°) rotatable LED display,Differential pressure sensor 2-10V,Fluid temperature of -20°C to +120°C,Maximum operating pressure of 16 bar,4 kW,Port-to-port length of 360mm,DN80 pipe connection,IP55 rated,2 year warranty
19,PD52935,Showermate twin shower pump S2.6,Showermate,373.82,"Helping to boost both the hot and cold water supply to an individual shower, bath, shower mixer or mixer tap, the Showermate S2.6 Standard twin shower pump is suitable for positive head applications. Fitted with anti-vibration feet, this unit operates quietly for minimal disturbance while running.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Showermate twin shower pump S2.6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/35/D52935_wm.jpg,,,,,,5,Black,pump conections G 3/4 M,42l/min,0.055,4-40,Vertical,2.6bar,Peripheral,,240,3,495,1,N,Positive,Twin,Plastic,47344,N,Black colour,Suitable for positive head applications,High quality compact plastic pump,Pump has 15mm flexible hoses with integral ISO valves on inlets,Quiet operation,Intermittently rated,Anti-vibration feet,EPDM/PTFE/Al. Oxide seal,Pre-wired with 1.5M power cable,WRAS approved,,3 year warranty,,,
