,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Pressure,Feature 10
10,PB08928,Nabis Levico mono side control kitchen tap,Nabis,44.41,"Operated by a single side lever, the Nabis Levico monobloc kitchen tap is simple to use, swivelling over multiple sinks for practical rinsing and washing up jobs. Finished in a clean, glossy chrome, this modern design deck-mounted tap is supplied with flexible tails for ease of fitting.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Nabis Levico mono side control kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/28/NW-B08928_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B08918_19_28_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 47 Rev.1.0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PD77405,Bristan Manhattan Easyfit Kitchen Sink Mixer Tap Chrome,Bristan,104.09,"The classically elegant Bristan Manhattan mono sink mixer is made of tough brass with a chrome finish. Compatible with any plumbing system, this deck-mounted kitchen tap offers easy installation and effortless control.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Manhattan Easyfit Kitchen Sink Mixer Tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/05/NW-D77405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Manhattan_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Manhattan_C_WHT_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77405_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB08927,Nabis Idro monobloc kitchen tap,Nabis,66.83,"A practical and attractive choice for the modern kitchen, this Nabis Idro monobloc kitchen tap is fitted with flexible tails for easy installation and a ceramic disc valve for precision use. Deck-mounted, this elegant chrome kitchen tap has a high arc swivel design, making it ideal for fitting over a two bowl sink.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Nabis Idro monobloc kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/27/NW-B08927_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD77199,Bristan Cinnamon Easyfit Kitchen Sink Mixer Tap Chrome,Bristan,117.1,"The simple, low profile Bristan Cinnamon monobloc sink mixer is made of brass with a chrome finish. Suitable for installation in any plumbing system, this practical, deck-mounted kitchen tap incorporates a large, tactile handle.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Cinnamon Easyfit Kitchen Sink Mixer Tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/99/NW-D77199_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77199_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_CNN_EFSNK_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_CNN_EFSNK_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PB08912,Nabis Regal crosshead kitchen tap,Nabis,50.04,"A classic design for traditional kitchens, the Nabis Regal kitchen tap has a handy swivel high arc spout and elegant cross head handles. Supplied with flexible tails for ease of fitting, this deck-mounted kitchen tap with chrome finish is suitable for installation in low or high pressure systems.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Nabis Regal crosshead kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/12/NW-B08912_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PC45015,Bristan Target monobloc sink mixer tap and pull out spray Chrome,Bristan,274.74,"Ideal for busy kitchens, the Bristan Target sink mixer includes a smart pull-out spray for on-the-spot rinsing and easy pan filling. Made of brass with a chrome finish, this deck-mounted kitchen tap is suitable for use in high pressure systems.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Target monobloc sink mixer tap and pull out spray Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/15/NW-C45015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/C45015_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C45015_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C45015_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB08916,Nabis Monate deck kitchen mixer,Nabis,81.26,"A practical, convenient choice for modern kitchens, the Nabis Monate sink mixer tap is designed with a high arc swivel spout for flexible use and ceramic disc technology for long lasting precision. Deck-mounted, this contemporary chrome kitchen tap is supplied with flexible tails for ease of fitting.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Nabis Monate deck kitchen mixer,,Kitchen mixerFlexible tap tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/16/NW-B08916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B08916_B08920_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 07 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD77396,Bristan Cashew Easyfit Kitchen Sink Mixer Tap Chrome,Bristan,120.55,"A contemporary choice for modern kitchens, the Bristan Cashew monobloc sink mixer is made of brass with a chrome finish and is suitable for use in all plumbing systems.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Cashew Easyfit Kitchen Sink Mixer Tap Chrome,,Monobloc sink mixer;EasyFit base;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/96/NW-D77396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77396_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D77396_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Cashew_C_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PB08911,Nabis Turano monobloc kitchen tap,Nabis,47.36,"Featuring a swivel spout for convenient use over a double sink, the Nabis Turano monobloc kitchen tap is ideal for busy family kitchens. This high arc chrome tap is designed for deck mounting and comes complete with metal fixing nut and flexible tails for easy, secure installation.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Nabis Turano monobloc kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/11/NW-B08911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB08923,* NAB MONATE MONOBLOC KITCHEN TAP,Nabis,64.08,"A practical, convenient choice for modern kitchens, the Nabis Monate monobloc sink mixer tap is designed with a high arc swivel spout for flexible use and ceramic disc technology for long lasting precision. Deck-mounted, this contemporary chrome kitchen tap is supplied with flexible tails for ease of fitting.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> * NAB MONATE MONOBLOC KITCHEN TAP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/23/NW-B08923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PC14733,Ideal Standard Sandringham single lever single function kitchen mixer tap Chrome Plated,Ideal Standard,152.99,"A smart design to suit modern and classic kitchen decors, the Ideal Standard Sandringham low arc sink mixer tap has a useful swivel spout and 5LPM flow regulator to help reduce waste. Operated via a single lever, this contemporary deck-mounted kitchen tap is made of tough brass with a clean, glossy chrome finish.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Ideal Standard Sandringham single lever single function kitchen mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/33/NW-C14733_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PC69123,Bristan 1901 Easyfit Kitchen Sink Mixer Tap Chrome,Bristan,223.73,"Finished in bright, glossy chrome this Bristan 1901 sink mixer is made of durable brass. Easy to install and suitable for all plumbing systems, this deck-mounted, Edwardian-inspired mixer is an ideal choice for bathrooms in period homes.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan 1901 Easyfit Kitchen Sink Mixer Tap Chrome,,Sink mixer;Easy fit base;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/23/NW-C69123_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Bristan_1901_EF_Sinkmixer_C_G_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_1901_EF_SNK_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_1901_EF_Sinkmixer_C_G_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C69123_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PD80830,Bristan Dune Dune Monobloc Sink Mixer Chrome,Bristan,71.94,"A modern design to suit the majority of kitchens, this Bristan Dune monobloc sink mixer has twin lever handles for complete temperature control and a swivel spout to make filling pots and rinsing dinner plates easy. Supplied with a fixing kit and flexible tails, this smart and robust chrome kitchen tap offers simple installation with no need for additional fittings.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Dune Dune Monobloc Sink Mixer Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/30/D80830_wm.jpg,,,,,,,Chrome Plated,6.76l/min@0.2bar - 37.7l/min@5bar,0.2,60,194,Dune,Contemporary,5 Years,N,194,LowMedHigh,No,No,No,Swivel,Deck,Lever,Brass,1,DU SNK C,Sink Mixer,N,Long life quarter-turn ceramic disc valves for durability and smooth control,With flexible tails and fixing kit,Swivel spout for convenient use,For deck-mounted installation,Twin handles for individual temperature control,Brass construction,Chrome finish,"Flow rate 6.76LPM at 0.2 bar, 37.7LPM at 5 bar",5 year warranty,,
23,PD80806,Bristan Lemon Easyfit kitchen sink mixer tap Black,Bristan,195.0,"Curvaceous and angled all at once, the Bristan Lemon single lever monobloc mixer tap brings a touch of style to the kitchen with its sleek black finish. Swivelling over two basins for ease of rinsing, this smart kitchen tap offers simplified fitting via the included EasyFit base.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Lemon Easyfit kitchen sink mixer tap Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/06/D80806_wm.jpg,,,,,,,Black,25.1,0.3,60,200,Lemon,Contemporary,10 Years,N,490,Low,No,No,Yes,Swivel,Deck,Lever,Brass,1,LMN EFSNK BLK,Single Lever Mono Sink Mixer,N,Long life ceramic cartridge for durability and ease of use,Metal fixing nut for secure fitting,Easyfit base included,Flexible tails included,Black finish,10 year warranty,,,,,
24,PD77208,Bristan Liquorice sink mixer tap with pull out spray,Bristan,269.21,"Boldly designed, the Bristan Liquorice sink mixer includes a convenient pull-out spray designed for rinsing dishes and filling pots. This handy deck-mounted kitchen tap is made of brass with a chrome finish and can be used in any plumbing system.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Liquorice sink mixer tap with pull out spray,,Sink mixer;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/08/NW-D77208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D77208_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77208_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/D77208_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PD80829,Bristan Seltz monoblock sink mixer tap Chrome,Bristan,71.07,"Finished in shiny, robust chrome, the Bristan Seltz monoblock sink mixer tap has a tall 70mm swan neck design that will complement any modern kitchen. A flat lever handle and ceramic cartridge make this contemporary tap easy to control.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Bristan Seltz monoblock sink mixer tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/29/D80829_wm.jpg,,,,,,,Chrome,18.2,0.2,60,167,Seltz,Contemporary,5,N,321,Low,No,No,Yes,High Arc,Deck,Lever,Brass,1,SE SNK C,Single Lever Mono Sink Mixer,N,High arc spout,"Tough, long lasting chrome finish",Long life ceramic cartridge for durability and ease of use,Includes flexible tails and fixing kit,Suitable for high and low pressure water systems,5 year warranty,,,,,
26,PC66666,Pegler Jeroni horizontal spout 2 handle tap Brushed Nickel,Pegler,109.04,"A statement choice for a contemporary kitchen, the Pegler Jeroni horizontal kitchen mixer tap is made of brass with a brushed chrome-plated finish. With twin handles and a 230mm projection, this high arc deck tap offers an angular design.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Pegler Jeroni horizontal spout 2 handle tap Brushed Nickel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/66/NW-C66666_wm.jpg,,,,,,,Chrome,29.2 L/min at 3 bar,0.1,60,230,Jeroni,Modern,10 Year,N,265,Low,No,No,No,High Arc,Deck,Lever,Brass,1,922101,Kitchen Mixer Tap,N,With aerator,Flow straightener,Low pressure,Single flow,Flow rate 29.2LPM at 3 bar,10 year warranty,,,,,
27,PB08920,Nabis Regal lever 1/4 turn deck kitchen tap,Nabis,99.44,"A traditional high arc design, the Nabis Regal kitchen tap for two tap holes combines classic styling with modern practicality. Deck-mounted, this chrome finish tap is fitted with ceramic quarter-turn discs valves for smooth, precise control of temperature and flow.",Bathrooms and Kitchens/Kitchen/Kitchen Monobloc Taps/Kitchen Monobloc Taps.csv -> Nabis Regal lever 1/4 turn deck kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/20/NW-B08920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B08916_B08920_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 07 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
