,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Warranty,Weight,Hazardous,Drainage Product Type,Material,Resistance Features,Wall Thickness (mm),Paintable,Standards,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Minimum Operating Temperature,Maximum Operating Temperature,Application
10,PW90207,"Harmer screw with PVC adaptor 100mm 4""",Harmer,69.09,"This Harmer 4"" or 100mm threaded spigot adapter allows for the connections of a Harmer roof AV and detail threaded aluminium rainwater outlets to any pipe system. A cost-effective alternative to using a short length of steel gas tube to BS EN 10255 in cast iron socketed or socketless systems, this ABS adapter is supplied in a 400mm length and is taper threaded externally at one end to BS EN 10226-1 and chamfered at the other end to BS 4514 and BS EN 1329-1 spigot dimensions.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Harmer screw with PVC adaptor 100mm 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/07/NW-W90207_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Harmer_Roof_Drainage_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PP48932,Geberit Pluvia roof outlet with fastening flange for roof foils 12ltr/s,Geberit,180.72,"Made of CrNi steel, this Geberit Pluvia roof outlet with 56mm fastening flange for roof foils is designed for use with the Geberit Pluvia siphonic roof drainage system.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Geberit Pluvia roof outlet with fastening flange for roof foils 12ltr/s",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/32/NW-P48932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PF45945,Wade GV6 gully and slotted grating Stainless Steel,Wade,198.97,"Made of vandal-resistant ABS and satin stainless steel, this Wade GV6 gully and slotted grating is fitted with 110mm universal connections.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Wade GV6 gully and slotted grating Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/45/NW-F45945_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Wade_Floor_Gullies_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wade_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PF47264,McAlpine TSG1SS trapped shower gully - seal 75mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 2"" solvent weld connections is made of ABS with a polished stainless steel cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine TSG1SS trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/64/NW-F47264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG1_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PF47275,McAlpine square tile and grid (for TSG1 and 2) 150mm,McAlpine,20.03,This McAlpine 150mm stainless steel square tile is supplied with a removable grid and securing screws. The tile incorporates an ABS spigot adapter for solvent welding to a clamp ring.,"Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine square tile and grid (for TSG1 and 2) 150mm",,Tile and grid;Fixing screws,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/75/NW-F47275_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/McAlpine_Plumbing_Product_Sec2_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_FGTOP6SS_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PF47276,McAlpine TSG2SS trapped shower gully - seal 75mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a polished stainless steel cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine TSG2SS trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-F47276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PF47273,McAlpine TSG1T6SS trapped shower gully - tile 150mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 2"" solvent weld connections is made of ABS with a 150mm square polished stainless steel tile. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine TSG1T6SS trapped shower gully - tile 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/73/NW-F47273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG-TILE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG1_Tail_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PF47270,McAlpine TSG2WH trapped shower gully - seal 75mm,McAlpine,100.02,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a white plastic cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine TSG2WH trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/70/NW-F47270_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF46393,Wade Vari-Level L2106 square grating assembly 150mm Stainless Steel,Wade,183.51,"Suitable for high specification applications requiring excellent corrosion resistance, this Wade Vari-Level L21 147mm grating with NPSM connection is made of reliably robust 304 stainless steel with a smart satin finish. This grating is ideal for use in showers and swimming pools or in other aggressive wet environments.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Wade Vari-Level L2106 square grating assembly 150mm Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/93/NW-F46393_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Wade_FGullies_AccessCovers_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF47265,McAlpine TSG1WH trapped shower gully - seal 75mm,McAlpine,100.02,"This McAlpine 200mm trapped shower gully with 2"" solvent weld connections is made of ABS with a white plastic cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine TSG1WH trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/65/NW-F47265_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG1_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF48322,McAlpine McAlpine TSG2-ANTI/LIG water seal vertical outlet anti-lig gully 75mm,McAlpine,148.17,"Supplied with a security screwdriver bit for quick grating release, this McAlpine 200mm water seal anti-ligature gully is Home Office approved for use in secure accommodation. In addition to domestic shower use, this gully is also suitable for installation in disabled and student accommodation, retirement and care homes, hotels, hospitals and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine McAlpine TSG2-ANTI/LIG water seal vertical outlet anti-lig gully 75mm",,Shower gully;110mm x 2 inch solvent spigot outlet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/22/NW-F48322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_L-TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_ANTILIG_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF47737,McAlpine shower gully grate - seal 75mm Stainless Steel,McAlpine,114.63,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a chrome-plated brass cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine shower gully grate - seal 75mm Stainless Steel",,Shower gully;110mm x 2 inch solvent spigot outlet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/37/NW-F47737_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF46017,Wade Vari-Level SVF grating assembly 175mm,Wade,181.31,"Made of stainless steel with a satin finish, the Wade Vari-Level 175mm grate is fitted with a NPSM connection. This grating assembly is suitable for installation with flexible sheet floorings such as vinyl.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Wade Vari-Level SVF grating assembly 175mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/17/NW-F46017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Wade_Floor_Gullies_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
