,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Colour,Range,Material,Size
10,PN20511,"JET Range 73 horizontal pressure gauge 2"" 0-6bar",JET Range,13.26,"Made of steel with BSP connections, this 50mm JET Range 73 horizontal bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 horizontal pressure gauge 2"" 0-6bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/11/NW-N20510_N20511_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,
11,PN21310,"JET Range 72 vertical pressure gauge 2"" 0-4bar",JET Range,12.74,"Made of steel with BSP connections, this 50mm JET Range 72 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 72 vertical pressure gauge 2"" 0-4bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/16/NW-N21309_N21316_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,,,
12,PN20512,"JET Range 73 73/258/0 vertical pressure gauge 2"" 0-16bar",JET Range,12.74,"Made of steel with BSP connections, this 50mm JET Range 73 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 73/258/0 vertical pressure gauge 2"" 0-16bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/12/N20512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,
13,P171411,Reliance Valves horizontal pressure gauge dial 0-6 bar 50mm,Reliance Valves,11.25,"Made of ABS, this Reliance Water Controls 0 - 6 bar horizontal pressure gauge features 50mm BSP male connections and a back inlet. Displaying both PSi and bar, this gauge has a high pressure indicator showing the highest pressure it is capable of registering.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Reliance Valves horizontal pressure gauge dial 0-6 bar 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/11/NW-171411_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Reliance_Water_Controls_GAGE25_Tech.pdf,,,,,,,,,,,,,,,,,,
14,PN20705,"JET Range bottom thermostat cupped x female -20/60c 4"" 100mm",JET Range,73.08,"Designed with solid brass pockets and bottom entry, the JET Range 73 50/100mm bi-metal pipeline thermometer is fitted with a 1/2"" BSP process connection. This thermometer features a sensor probe which should be fully immersed into pipeline or vessel flow with nominal range and stem lengths selected beforehand. Providing high levels of sensitivity, the pocket is an interference fit on the brass stem, meaning that a thermometer shouldn't be installed without it. Thermometers should be kept dry, clean and protected from impact and used only in a temperature range of -20 to +60°C.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range bottom thermostat cupped x female -20/60c 4"" 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/05/N20705_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Thermometer_Pockets_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,
15,PK65934,Rubinetterie extension kit (for BBV) 20-25mm,Rubinetterie,27.78,"Made of highly durable brass, this Rubinetterie extension kit for commercial shut-off is suitable for 20 - 25mm brass ball valves.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Rubinetterie extension kit (for BBV) 20-25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/35/NW-K65933_K65935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Jet_BBV_ExtensionKit_DWG.pdf,,,,,,,,,,,,,,,,,,
16,P350120,Siemens thermostat 5-95c,Siemens,51.74,"This Siemens two position control thermostat with single-pole changeover microswitch is suitable for general use in heating, ventilation and air conditioning applications. The base of the thermostat is made of reinforced PC designed for pipe, pocket or wall-mounting. This electromechanical thermal reset limit thermostat uses a capillary-type sensing element.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Siemens thermostat 5-95c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/20/NW-350120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_RAK_TR_1_H_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_RAK_T_H_S_M_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_RAK_T_Zertifikat_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_RAK_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_RAK_L_Thermostat_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_RAK_T_RAK_Z_Declaration.pdf,,,,,,,,,,,,,
17,PK65933,Rubinetterie extension kit (for BBV) 8-10-15mm,Rubinetterie,22.36,"Made of highly durable brass, this Rubinetterie extension kit for commercial shut-off is suitable for 8, 10 or 15mm brass ball valves.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Rubinetterie extension kit (for BBV) 8-10-15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/35/NW-K65933_K65935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Jet_BBV_ExtensionKit_DWG.pdf,,,,,,,,,,,,,,,,,,
18,PN20590,"JET Range 73 vertical pressure gauge 4"" 0.25bar",JET Range,38.49,"Made of steel with BSP connections, this 100mm JET Range 73 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 vertical pressure gauge 4"" 0.25bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/90/N20590_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,
19,PK65935,Rubinetterie extension kit (for BBV) 32-40mm,Rubinetterie,32.62,"Made of highly durable brass, this Rubinetterie extension kit for commercial shut-off is suitable for 32 - 40mm brass ball valves.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Rubinetterie extension kit (for BBV) 32-40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/35/NW-K65933_K65935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Jet_BBV_ExtensionKit_DWG.pdf,,,,,,,,,,,,,,,,,,
20,PN20704,"JET Range bottom thermostat cupped x female -20/60c 4"" 50mm",JET Range,68.86,"Designed with solid brass pockets and bottom entry, the JET Range 73 50mm bi-metal pipeline thermometer is fitted with a 1/2"" BSP process connection. This thermometer features a sensor probe which should be fully immersed into pipeline or vessel flow with nominal range and stem lengths selected beforehand. Providing high levels of sensitivity, the pocket is an interference fit on the brass stem, meaning that a thermometer shouldn't be installed without it. Thermometers should be kept dry, clean and protected from impact and used only in a temperature range of -20 to +60°C.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range bottom thermostat cupped x female -20/60c 4"" 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/04/N20704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Thermometer_Pockets_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,
21,PN20706,"JET Range back thermostat cupped x female -20/60c 4"" 50mm",JET Range,51.3,"Designed with solid brass pockets and back entry, the JET Range 73 50mm bi-metal pipeline thermometer is fitted with a 1/2"" BSP process connection. This thermometer features a sensor probe which should be fully immersed into pipeline or vessel flow with nominal range and stem lengths selected beforehand. Providing high levels of sensitivity, the pocket is an interference fit on the brass stem, meaning that a thermometer shouldn't be installed without it. Thermometers should be kept dry, clean and protected from impact and used only in a temperature range of -20 to +60°C.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range back thermostat cupped x female -20/60c 4"" 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/06/N20706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Thermometer_Pockets_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,
