,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection,Connection Size,Hazardous,Thread Standard,Max Set Pressure,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection Type,Grade,Range,Pack Quantity,Colour,Weight,Size,Thickness,Attachment 3
10,P353141,Eph Controls B322MID 3 port mid position valve 22mm,Eph Controls,84.23,This EPH Controls B32_MID 22mm three-port mid-position valve is suitable for domestic heating systems with hot water cylinders and heating circuits.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Eph Controls B322MID 3 port mid position valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/41/353141_wm.jpg,,,Compression,22 mm,N,BSP,,Brass,22 mm,88,B322MID,3 Port Mid Position Valve,N,Domestic Hot Water,For domestic hot water use,Compatible with heating systems with hot water cylinders,Brass construction,With compression connections,Switch rating action type 3(1)A,For a maximum ambient temperature of 50°C,Suitable for maximum fluid temperatures of 88°C,,,,,,,,,,,,,
11,P323191,Watts Industries Electro Controls plastic flange pilot tube 70mm,Watts Industries,1.31,"This Watts Electro Controls 70mm plastic flanged pilot tube is compatible with a 70mm plastic duct adapter, brass duct flange, 2M duct kit, plastic T connector, PVC hose and EADP-10, EADP-25, EADP-2W, EADP-5, EFS-02HT, EADP-10W, EADP-2 and EFS-02.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Watts Industries Electro Controls plastic flange pilot tube 70mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/91/NW-323191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PN11360,"JET Range N 11360 auto air vent with check valve 3/8 x 3/8""",JET Range,11.68,"Designed with a vacuum break to prevent air locks, this JET Range automatic air vent is made of robust solid brass and incorporates 3/8"" threaded connections. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range N 11360 auto air vent with check valve 3/8 x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/N11360_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/N11359 Installation & User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/N11359 Auto Air Vent TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PP93298,TC22 SS LOCKABLE TAP COVER BOX,Edwards Engineering,80.0,"Durable and neat, this Edwards Engineering 304 stainless steel tap cover measures is designed for wall mounting over an existing outlet tap. It offers the option to lock the unit using a standard padlock, securing the existing water supply.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> TC22 SS LOCKABLE TAP COVER BOX",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/98/NW-P93298_wm.jpg,,,,,N,,,304 Stainless Steel,,,TC22,Tap Cover Box,N,,Brushed stainless steel cover,Durable design,,,,,,,,,,,,Tap Cover Box,,Stainless Steel,1.00000,150 (W) mm x 155 (D) mm x 170 (H) mm,,
14,P208631,Myson LST Kit LSTUNIKITUK LST uni close coupled kit GB (1),Myson,93.5,"Promising precision control of the radiators commonly chosen for high risk areas, the Myson LST 15mmuniversal close coupled kit is supplied with the brand's efficient TRV2 thermostatic radiator valve. Allowing for the thermal sensing head of a Myson TRC to be mounted directly to the safe enclosure of the brand's low surface temperature radiators, this kit includes a locking facility, ensuring the radiator can't be adjusted by an unauthorised party. In addition, the close coupled kit allows for the removal of the LST case for cleaning or maintenance with no need to remove the TRV.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson LST Kit LSTUNIKITUK LST uni close coupled kit GB (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/31/208631_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,LSTUNIKITUK,DVC Valves,N,Central Heating,Universal close coupled version,Brass construction,Compression connections,Supplied with efficient TRV,Produced under ISO 9001:2008 quality management system,Manual valve complies with BS 2767-10,Thermostatic valve complies with EN 215-1,,,,,,,LST Kit,1,,,,,
15,P208611,Myson Matchmate MATE15LACDPF90 lockshield angle drain off c/w pushfit 90 degree elbow 15mm Chrome,Myson,18.26,"Ideal for use in domestic systems, the Myson Matchmate 15mm lockshield 90° elbow angled drain off radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and push-fit connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE15LACDPF90 lockshield angle drain off c/w pushfit 90 degree elbow 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/11/208611_wm.jpg,,,Push Fit,15mm,N,BSP,,Brass,15mm,92 deg C,MATE15LACDPF90,DVC Valves,N,Central Heating,With lockshield,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,,,,,,
16,P208599,Myson Matchmate MATE10LACD90 lockshield angle drain off c/w comp 90 degree elbow 10mm Chrome (10),Myson,16.14,"Ideal for use in domestic systems, the Myson Matchmate 10mm lockshield 90° elbow angled drain off radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE10LACD90 lockshield angle drain off c/w comp 90 degree elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/99/208599_wm.jpg,,,Compression,10mm,N,BSP,,Brass,10 mm,120 deg C,MATE10LACD90,DVC Valves,N,Central Heating,With lockshield,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
17,P208597,Myson Matchmate MATE10LAC90 lockshield angle c/w comp 90 degree elbow 10mm Chrome (10),Myson,12.81,"Ideal for use in domestic systems, the Myson Matchmate 10mm lockshield 90° elbow angled radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE10LAC90 lockshield angle c/w comp 90 degree elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/97/208597_wm.jpg,,,Compression,10mm,N,BSP,,Brass,10 mm,120 deg C,MATE10LAC90,DVC Valves,N,Central Heating,With lockshield,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
18,P208614,Myson Matchmate MATE15LSC 15mm Lockshield Straight Chrome (10),Myson,16.02,"Ideal for use in domestic systems, the Myson Matchmate 15mm lockshield straight radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE15LSC 15mm Lockshield Straight Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/14/208614_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,MATE15LSC,DVC Valves,N,Central Heating,With lockshield,Straight version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
19,P208603,Myson Matchmate MATE10LACPF90 lockshield angle c/w pushfit 90 degree elbow 10mm Chrome (10),Myson,13.13,"Ideal for use in domestic systems, the Myson Matchmate 10mm lockshield 90° elbow angled radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and push-fit connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE10LACPF90 lockshield angle c/w pushfit 90 degree elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/03/208603_wm.jpg,,,Push Fit,10mm,N,BSP,,Brass,10 mm,92 deg C,MATE10LACPF90,DVC Valves,N,Central Heating,With lockshield,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
20,P208620,Myson Matchmate MATELSTOP lockshield top (20),Myson,0.76,"Ideal for use in domestic systems, the Myson Matchmate lockshield radiator valve top promises high quality and excellent levels of reliability. This fitting is part of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATELSTOP lockshield top (20)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/20/208620_wm.jpg,,,N/A,N/A,N,BSP,,Plastic,N/A,n/a,MATELSTOP,DVC Valves,N,Central Heating,With lockshield,Top only,Plastic construction,BSP connection,,,,,,,,,,Matchmate,20,,,,,
21,P208613,Myson lockshield angle c/w pushfit 90 degree elbow 15mm Chrome (10),Myson,14.98,"Particularly suitable for domestic central heating systems, the Myson Matchmate 15mm 90° angled C/W push-fit elbow lockshield valve is part of a range conceived to suit a wide range of purposes. Each Matchmate fitting is finished in highly robust chrome 3 and has an impact-resistant valve cap.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson lockshield angle c/w pushfit 90 degree elbow 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/13/208613_wm.jpg,,,Compression Pushfit,15mm,N,N/A,,Brass,N/A,120°C (compression) and 92°C (pushfit).,MATE15LACPF90,Lockshield Valve,N,Commercial and Domestic,Suitable for commercial or domestic use,Brass construction,Chrome finish,Compression and push-fit connections,Operating pressure of 10 bar on compression fitting,Operating pressure of 3 bar on push-fit connection,Compression connection suitable for temperatures of 120°C,Push-fit connection suitable for temperatures of 92°C,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,10,,,,,
22,PN60522,"JET Range Brass Gauge Cock gauge cock female x female 3/8"" Brass",JET Range,26.3,"Made of brass, this manual JET Range lever-operated gauge cock is supplied with 10mm BSP female end connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range Brass Gauge Cock gauge cock female x female 3/8"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/23/NW-N60521_N60523_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Wolseley_Exclusive_Range_Guide_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P208601,Myson Matchmate MATE10LACDPF90 lockshield angle drain off c/w pushfit 90 degree elbow 10mm Chrome,Myson,16.48,"Ideal for use in domestic systems, the Myson Matchmate 10mm lockshield 90° elbow angled drain off radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and push-fit connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE10LACDPF90 lockshield angle drain off c/w pushfit 90 degree elbow 10mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/01/208601_wm.jpg,,,Push Fit,10mm,N,BSP,,Brass,10 mm,92 deg C,MATE10LACDPF90,DVC Valves,N,Central Heating,With lockshield,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,,,,,,
24,PK64785,* JET  RED LEVER AND SCREW FOR JET BBV35,JET Range,0.7,This JET Range lever is supplied in red to indicate hot water supply and is designed for use with BBV35 brass isolating valves.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> * JET  RED LEVER AND SCREW FOR JET BBV35",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/85/NW-K64785_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Brass_Ball_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PK64799,* JET ALUMINUM LVR & SCRW FOR JET BBV35,JET Range,2.63,A JET Range aluminium T-handle lever and screw designed for use with BBV35 brass isolating valves.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> * JET ALUMINUM LVR & SCRW FOR JET BBV35",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/99/NW-K64799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Brass_Ball_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P171346,RELIANCE LEAK DETECTOR 1,Reliance Valves,768.59,"Offering leak detection alongside intelligent water management, the Reliance Valves MultiSafe 1 leak detector control valve constantly measures water flow rate, pressure, temperature and hardness. Automatically shutting off a water supply when unusually high usage is detected or if water runs for a long period of time, this intelligent valve also sends a text or email alert to the user, allowing them to take action immediately to repair an issue. The MultiSafe leak detector carries out microleak testing at regular intervals, ensuring that even the smallest leak is caught.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> RELIANCE LEAK DETECTOR 1",,1,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/46/171346_wm.jpg,,,,,N,,,N/A,,,LEKP100002,N/A,N,,Constantly monitors water usage to safeguard plumbing and heating systems and identify potential system failures and leaks,Automatically closes isolation valve and sends an alert when a leak is detected,Regular microleakage monitoring function,System profile built over seven days using the self-learning mode,"Settings can be adjusted to suit individual requirements, including holiday mode",Includes temperature monitoring for frost protection and a water hardness monitor,"Monitor, control and change settings via a free user-friendly app",Suitable for cold water use only,Compatible with copper pipe,,,,,MultiSafe,,White/Blue,,n/a,n/a,
