,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Weight,Dimensions (L x W x D),Feature 5,Feature 6,Length (M),Range,Warranty,Feature 7
10,PB00087,Cramer Fugi CRA 40407 EN fugi kit VII,Cramer,22.24,"Making processing any sealant simple, this Cramer Fugi CRA 40407 EN Profiling Kit VII is designed with guides to assist in bridging intersections, meaning no risk of subsidence. Ideal for complex jointing works, this kit uses a unique grouting technique with no separating agents meaning there's less likelihood that mould will form under joints. In addition to sealant processing, the Cramer Fugi Profiling Kit VII can be used to rework blemishes without removing joints.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Cramer Fugi CRA 40407 EN fugi kit VII,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/NW-B00087_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B00087_Technical.pdf,,,,,,,,,
11,PN13746,Nerrad Versa funnel,Nerrad,24.45,"Formable into almost any shape, this Nerrad Versa funnel helps to contain nuisance drips when working on radiators or draining cylinders and is particularly useful for catching or diverting water away from PCBs. Manufactured from flexible aluminium, this funnel is covered with a high grade nitrile rubber.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Nerrad Versa funnel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/46/NW-N13746_wm.jpg,,N,,,NTVSF1,Funnel,N,,Versa funnell is approx 37 x 17cms,,,,,,,370 x 170 mm,,,470mm,,,
12,P519476,Wavin Wavin Hep2O HX78/22W hepkey 22mm,Wavin,0.35,"Made of polybutylene (PB), this Wavin Hep2O HX78 22mm HepKey demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Wavin Wavin Hep2O HX78/22W hepkey 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/76/NW-519476_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
13,PM15632,Geberit Mapress manual deburrer 15-54mm,Geberit,50.63,This Geberit Mapress pipe deburrer for 12 - 54mm is suitable for deburring the inside and outside of Geberit Mapress system pipes and standard copper pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Geberit Mapress manual deburrer 15-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/32/NW-M15632_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/M15632_Technical.pdf,,,,,,,,,
14,P688779,Rothenberger Gratfix deburring tool,Rothenberger,27.31,"This Rothenberger Gratfix deburring tool is designed for use on tubes, pipes and the edges of metal sheets.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger Gratfix deburring tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/79/NW-688779_wm.jpg,,N,Stainless Steel BladePlastic Handle,1 (Dia) x 7 (L),21655,Deburring Tool,N,Deburring of Edges Pipes Steel Aluminium Brass Copper sheets Cast Iron Plastic plates Internal reamer,Suitable for,Copper,Steel,Brass,,,,,Aluminium,Sheet plastic,,Gratfix,1 year,Replacement blade available
15,P418055,"Rothenberger 4-in-1 universal stopcock key 42""",Rothenberger,20.85,"This Rothenberger stopcock key is designed to fit most 1/2"" and 3/4"" stop taps as well as 1/2"" and 3/4"" square stop taps. Strong and sturdy, this key is suitable for turning stiff stop taps while a longer length tommy bar on the handle is ideal for lifting access covers.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger 4-in-1 universal stopcock key 42""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/55/NW-418055_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,
16,PT85928,Rothenberger Ropump force pump,Rothenberger,29.53,"Offering excellent pumping power, the Rothenberger Ropump force pump cleaner uses simple water pressure to help remove blockages in domestic pipework. It is suitable for the clearing of blocked sinks, baths or shower trays.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger Ropump force pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/28/NW-T85928_wm.jpg,Black / White / Red,N,Plastic and Polymer,95 mm (L) x 95 mm (W) x 400mm (H),71991,Force Pump,N,"Remove Blockages In Domestic Pipework, Including Sinks, Baths and Shower Trays",Compact yet effective,Removes blockages in pipework using water pressure,For domestic use,,,,,,,,,Ropump,,
17,PS11476,Rems Aquila 3B 120270 aquila 3b,Rems,503.84,"Made of steel and mounted on a reliably tough tripod, the REMS Aquila 3B chain vice is suitable for use with a wide range of pipe sizes from 1/8"" right up to 6"".",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rems Aquila 3B 120270 aquila 3b,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/76/NW-S11476_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Rems_Product_Catalogue_2020.pdf,,,,,,,,,
18,P690495,"Rothenberger tube expander set 3/8-1.1/8""",Rothenberger,488.46,"The Rothenberger tube expander set is a precision capillary socket forming tool designed to produce end feed soldering joints in copper tube. Lightweight, hardwearing and resistant to wear, it creates quality pipe connections in accordance with DVGW standards.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger tube expander set 3/8-1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/95/NW-690495_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,
19,PN83310,Rems Akku-Press 14V ACC 99-110R akku-press 15-54 set,Rems,4050.23,"A cordless radial pressing tool, the REMS Akku-Press 14V ACC is perfect for working overhead or in awkward confined spaces thanks to its compact design. Suitable for creating the commonly used press fittings of 10 - 54mm and for all REMS pressing and cropping tongs (except mini-tongs), the portable ACC press fits with a single button, compressing via closed jaws before opening again, ready for the next press.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rems Akku-Press 14V ACC 99-110R akku-press 15-54 set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/10/NW-N83310_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rems_Power_Akku_Mini_Ax-Press_Guide.pdf,,,,,,,,,
20,P690498,"Rothenberger eccentric flare tool kit 1/8-3/4""",Rothenberger,199.44,"This Rothenberger Deluxe flaring tool produces precision 45° single flares on copper tubes certified for R410A. With a spring-loaded slide coupling there's no reduction in wall thickness while the clutch mechanism ensures perfect flares. The tool's flare cone rotates off-centre in needle bearings and allows for controlled expanding and shaping of the tube end without tearing. Drill driven, the Rotherburger Deluxe can produce fast and consistent flares in high-volume environments.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger eccentric flare tool kit 1/8-3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/98/NW-690498_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,
21,P581260,JET Range hank of hemp 250g,JET Range,11.45,Jet hemp is used by plumbers and pipefitters as a filler in conjunction with a thread paste to produce a tight seal on threaded pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> JET Range hank of hemp 250g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/60/581260_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/581260 - 581262 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/581260_Data.pdf,,,,,,,,
22,PN20138,"Rothenberger universal 5 in 1 stop cock key 34""",Rothenberger,24.1,"This Rothenberger stopcock key is designed to fit most 1/2"" and 3/4"" crutch head valves as well as 1/2"", 3/4"" and 5/8"" square stop taps. Strong and sturdy, this key is suitable for turning stiff stop taps while a longer length tommy bar on the handle is ideal for lifting access covers.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger universal 5 in 1 stop cock key 34""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/38/NW-N20138_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,
23,P581261,JET Range hemp dispenser 80g,JET Range,8.41,Jet traditional hemp can be used in conjunction with virgin white product for the perfect seal every time. Available in handy dispensers.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> JET Range hemp dispenser 80g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/61/581261_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/581260 - 581262 Datasheet.pdf,,,,,,,,,
24,P581262,JET Range hemp spool/refill 80g,JET Range,18.07,Jet hemp is used by plumbers and pipefitters as a filler in conjunction with a thread paste to produce a tight seal on threaded pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> JET Range hemp spool/refill 80g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/62/581262_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/581260 - 581262 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/581262_Data.pdf,,,,,,,,
25,P519475,Wavin Wavin Hep2O HX78/15W hepkey 15mm,Wavin,0.35,"Made of polybutylene (PB), this Wavin Hep2O HX78 15mm HepKey demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Wavin Wavin Hep2O HX78/15W hepkey 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/75/NW-519475_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
26,P519474,Wavin Wavin Hep2O HX78/10W hepkey 10mm,Wavin,0.31,"Made of polybutylene (PB), this Wavin Hep2O HX78 10mm HepKey demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Wavin Wavin Hep2O HX78/10W hepkey 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/74/NW-519474_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
27,P519414,Wavin Wavin Hep2O HX79/28W hepkey plus 28mm,Wavin,0.45,"Made of polybutylene (PB), this Wavin Hep2O HX79 28mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Wavin Wavin Hep2O HX79/28W hepkey plus 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/14/NW-519414_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
28,PK74482,JET Range 55 plus 513 3 way key,JET Range,28.89,A JET Range 55 + 51 three-way key.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> JET Range 55 plus 513 3 way key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/82/NW-K74482_wm.jpg,,N,,,104077,3-way Key,N,,For three-way use,,,,,,,,,,,,,
