,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Water Heating Energy Efficiency Class,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Boiler Bundles,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
10,P116298,Grant Vortex Pro External Combi 36 ErP high efficiency outdoor combi oil boiler,Grant,3469.61,"Ideal for those homes where space is at a premium, the Grant Vortex Pro External Combi 36 boiler serves heating and hot water in an instant without the need for an additional water tank and, thanks to the tough powder-coated casing and built-in frost protection, it can be safely installed and run from the garden, garage or cellar. Fitted with the super reliable Riello RDB burner for compliancy with 2018 low NOx legislation and offering an ErP A rating, this 36kW combi reduces environmental impact and fuel bills while increasing hot water performance via Grant's larger sized heat exchangers.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro External Combi 36 ErP high efficiency outdoor combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/98/116296_116298_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116298_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Ext_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Ext_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Ext_Combi_Instructions.pdf
11,P115350,Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II external 12/18 2022+,Worcester Bosch,3045.04,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 12/18 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II external 12/18 2022+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,,15 L/min,Oil,Heatslave II 2022+,2 years,180Kg,A,N,,B,,18 kW,770,89.0,Floor Standing,7731600263,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,
12,P174939,Warmflow Agentis I21C internal combi oil boiler 21kW,Warmflow,2480.9,"The UK and Ireland's only AAA-rated oil combi boiler, the super efficient 21kW output Warmflow Agentis I21C saves up to 5L of fuel per week compared to competing oil boiler brands. This unique patented design hides a highly efficient 32 plate heat exchanger, 24L hinged expansion vessel, a factory-fitted seven day dual channel programmer and the most up-to-date Riello NOx burner technology behind its sleek and slimline white exterior, providing not just great value but easy, straightforward installation too.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Warmflow Agentis I21C internal combi oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/40/174939_174940_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Warmflow_Agentis_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_I21C_ErP.pdf,,,
13,P116295,Grant Vortex Pro Internal Combi 36 ErP combi oil boiler,Grant,3310.21,"Efficient, easy to use and hassle-free to fit, the robust Grant Vortex Pro Internal Combi 36 condensing boiler features Riello low NOx burner technology to meet the latest low NOx emission targets while helping to reduce fuel costs and waste through an impressive ErP A rating for heating efficiency. Fitted with Grant's patented larger size heat exchangers, designed to increase hot water performance, this 35kW output boiler ensures reliable heating and hot water side-by-side in even the busiest homes. With neon diagnostic indicators, a factory-fitted internal condensate trap and 24L expansion vessel, the quiet and compact Vortex Pro makes installation and maintenance easy.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro Internal Combi 36 ErP combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/95/116293_116295_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Int_Combi_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Int_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116295_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Int_Combi_Technical.pdf
14,P115352,Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II external 25/32 2022+,Worcester Bosch,3447.05,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 25/32 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II external 25/32 2022+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,,22 L/min,Oil,Heatslave II 2022+,2 years,186Kg,A,N,,B,,32 kW,770,88.8,Floor Standing,7731600265,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,
15,P116297,Grant Vortex Pro External Combi 26 ErP high efficiency outdoor combi oil boiler,Grant,3214.41,"Reduce your carbon footprint and lower fuel bills with the ErP A-rated Grant Vortex Pro External Combi 26 boiler. Providing heating and hot water without the need for an additional water tank, this 26kW combi boiler is ideal for homes where space is at a real premium thanks to the hard-wearing powder-coated casing and inbuilt frost protection that allow it to be safely sited outside of the house. Fitted with the reliable Riello RDB low NOx burner for compliancy with 2018 low NOx legislation, this combi provides peace of mind as well as the increased hot water performance that comes with Grant's larger sized heat exchangers.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro External Combi 26 ErP high efficiency outdoor combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/98/116296_116298_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Ext_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Ext_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Ext_Combi_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116297_ErP.pdf
16,P115349,Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II 25/32 2022+,Worcester Bosch,3279.99,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 25/32 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II 25/32 2022+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,,22 L/min,Oil,Heatslave II 2022+,2 years,153 KG,A,N,,B,,32 kW,600,88.8,Floor Standing,7731600262,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,2 year warranty,,,,,,,,,,
17,P174940,Warmflow Agentis I26C internal combi oil boiler 26kW,Warmflow,2645.91,"The UK and Ireland's only AAA-rated oil combi boiler, the efficient Warmflow Agentis I26C can save up to 5L of fuel per week compared to similar oil boilers. The uniquely designed Agentis includes a highly efficient 32 plate heat exchanger, 24L hinged expansion vessel, factory-fitted seven day dual channel programmer and eco-friendly Riello NOx burner technology. Providing great value along with easy, straightforward operation, this slimline patented 26kW boiler has a lower component count than most making it easier and more affordable to maintain while push-in O-ring fittings contribute to quick and simple installation.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Warmflow Agentis I26C internal combi oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/40/174939_174940_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Warmflow_Agentis_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/174940_ErP.pdf,,,
18,P111863,Firebird Envirogreen Slimline Combi C26 combi internal boiler 20-26kW,Firebird,2256.94,"At just below 600mm in width and almost silent during operation, the Firebird Envirogreen Slimline Combi C26 internal combi boiler is ideal for small space new builds and re-fits in awkward spaces, providing front access servicing and a wide range of flueing options for easy installation. This highly efficient, eco-friendly heating and hot water boiler maintains a cost-effective ErP A rating thanks to an elco low NOx burner and a highly efficient patented heat exchanger, all designed to make sure that efficiency legislation is not just met, but exceeded.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Firebird Envirogreen Slimline Combi C26 combi internal boiler 20-26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/64/111862_111864_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Firebird_Envirogreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Internal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Firebird_Envirogreen_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/111863_ErP.pdf,
19,P116296,Grant Vortex Pro External Combi 21 ErP high efficiency outdoor combi oil boiler,Grant,3005.11,"Helping to lower your carbon footprint and reduce fuel bills, the ErP A-rated Grant Vortex Pro External Combi 21 boiler is fitted with the brand's high performance larger sized heat exchanger and an ultra-reliable Riello RDB burner for compliancy with 2018 low NOx legislation. Providing heating and instant hot water on demand without the need for an additional water tank, this 21kW combi boiler is ideal for those family homes where space is limited thanks to its robust powder-coated casing and built-in frost protection that allow it to be sited in the garden or garage without any risk of adverse effects or additional maintenance requirements.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro External Combi 21 ErP high efficiency outdoor combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/98/116296_116298_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Ext_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Ext_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Ext_Combi_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116296_ErP.pdf
20,P333901,Grant Vortex Pro XS Internal Combi 26 oil boiler XS 26kW,Grant,2593.0,"Compact in size, the Grant Vortex Pro XS Internal Combi 26 condensing boiler also runs extremely quietly for convenient installation in a kitchen or utility room. Part of an award-winning range, this 26kW boiler is fitted with Grant's patented stainless steel heat exchanger and features Riello low-NOx technology, helping it to meet modern NOx emissions targets while delivering an ErP A rating for heating and a B rating for hot water. Providing a simple diagnostic system and super-fast hot water delivery, the Vortex Pro XS is a convenient choice for both homeowner and engineer alike.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro XS Internal Combi 26 oil boiler XS 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/om/bi/Grant_Vortex_Pro_Internal_Combi_wm.jpg,White/Gloss,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",Oil,Vortex Pro XS Internal Combi,5 Year,1.65Kg,A,N,92,B,,26 kW,606,91,Floor Standing,333901 PK,Combi Boiler Pack,N,Sleek white casing,Compact 515mm wide footprint,Exceptionally quiet operation,Suitable replacement for an older oil-fired combi,Riello low-NOx burner,24L expansion vessel,Neon diagnostic indicators,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Patented Grant larger size stainless steel heat exchanger for improved performance,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,"DHW flow rate 36.6LPM at 10°C, 18.3LPM at 20°C",5 year warranty available when following Grant's installation specification and guidelines,,,,,,,,
21,P111862,Firebird Envirogreen Slimline Combi C20 combi internal boiler 18-20kW,Firebird,2208.77,"The Firebird Envirogreen Slimline Combi C20 internal combi boiler ensures a highly efficient, eco-friendly heating and hot water supply in homes where installation space is limited. At just under 600mm width, this compact and quiet 20kW boiler with front servicing access and a range of flueing options can be fitted in even the most awkward spots, making it ideal for a re-fit or in a smaller new build. Meanwhile a host of green measures are incorporated into the ErP A-rated Envirogreen, including the elco low NOx burner and a highly efficient patented heat exchanger, to ensure that efficiency legislation is not just met, but exceeded.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Firebird Envirogreen Slimline Combi C20 combi internal boiler 18-20kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/64/111862_111864_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Firebird_Envirogreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Internal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Firebird_Envirogreen_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/111862_ErP.pdf,
22,P174941,Warmflow Agentis internal combi oil boiler 33kW,Warmflow,2902.83,"Supplied complete with a fire valve and MagnaClean system, the Warmflow Agentis Pro 33kW internal combi oil boiler offers reliability and performance thanks to its 32-plate heat exchanger and internal expansion vessel. AAA-rated, this oil boiler offers unbeatable levels of efficiency, reducing fuel consumption by more than 5L per week.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Warmflow Agentis internal combi oil boiler 33kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/_c/I21 26 33 C_wm.jpg,,24 L/min,Oil,Agentis,2 years,221 Kg,A/A,N,,A,A,3.3 kW,602,-,Floor Standing,I33C,Combi Boiler,N,With Riello low NOx burner technology,With 24L hinged expansion vessel,With 32 plate heat exchanger,Factory-fitted DHW mini expansion vessel,"With 7-day, 2-channel programmer",Includes O-ring fittings,AAA rated,2 year warranty,,,,,,,,,,,,
23,P174948,Warmflow Agentis Professional I21CPRO internal combi oil boiler 21kW,Warmflow,2926.71,"The UK and Ireland's only AAA-rated oil combi, the slimline Warmflow Agentis Professional I21CPRO internal combi boiler can save homeowners an impressive 5L of fuel per week compared to similar oil boilers. The unique design of the Agentis Professional incorporates an efficient 32 plate heat exchanger, 24L hinged expansion vessel, factory-fitted seven day dual channel programmer and eco-friendly Riello NOx burner technology. Easy to operate, this compact 21kW boiler has a low component count and push-in O-ring fittings for ease of maintenance and installation.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Warmflow Agentis Professional I21CPRO internal combi oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/48/174948_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Warmflow_Agentis_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_I21C_ErP.pdf,,,
24,P111864,Firebird Envirogreen Slimline Combi C35 combi internal boiler 26-35kW,Firebird,2514.17,"The compact and ultra-quiet Firebird Envirogreen Slimline Combi C35 internal combi boiler is designed with smaller new builds and tricky re-fits in mind. Measuring in at just under 600mm in width and providing front access servicing and a wide range of flueing options, this feature-packed combi is simple to install and maintain. Highly efficient and eco-friendly, the 36kW Envirogreen has a cost-effective ErP A rating for heating thanks to the elco low NOx burner and a highly efficient patented heat exchanger, designed to make sure that efficiency legislation is met and exceeded.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Firebird Envirogreen Slimline Combi C35 combi internal boiler 26-35kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/64/111862_111864_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Firebird_Envirogreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Internal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Firebird_Envirogreen_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/111864_ErP.pdf,
25,P174972,Warmflow Agentis Pro external combi oil boiler 26kW,Warmflow,3204.62,"Supplied complete with a fire valve and MagnaClean system, the Warmflow Agentis Pro 26kW external combi oil boiler offers reliability and performance thanks to its 32-plate heat exchanger and internal expansion vessel. AAA-rated, this oil boiler offers unbeatable levels of efficiency, reducing fuel consumption by more than 5L per week.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Warmflow Agentis Pro external combi oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_p/ro/E21 26 33 C PRO_wm.jpg,,22 L/min,Oil,Agentis Pro,5 Years (GB Only),226 Kg,A/A,N,,A,A,27 kW,700,-,Floor Standing,E26CPRO,Combi Boiler,N,Multi-directional flue,Weatherproof casing rated  to IP45,Includes Crossland oil filter,With Teddington fire valve,Includes Adey Magnacelan Pro 2 and 2x bottles of inhibitor,With 24L hinged expansion vessel,With 32 plate heat exchanger,Factory-fitted DHW mini expansion vessel,AAA rated,5 year warranty,,,,,,,,,,
