,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Finish,Depth (mm),Attachment 4,Attachment 5,Colour,Flush Type,Warranty,Air Pipe Supplied,Flush Mechanism,Material,Fittings Included,Inlet Position,Overflow Type,Feature 17,Feature 18,Feature 19,Feature 20
10,PJ44425,Grohe Adagio concealed cistern 6ltr,Grohe,64.53,This Grohe Adagio flushing cistern is a complete single flush concealed toilet cistern assembly for concealed or built-in installation in vanity units or removable cladding and suitable for fitting with back-to-wall toilets in low or high pressure water systems.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Grohe Adagio concealed cistern 6ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/25/NW-J44425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Adagio_37762SH0_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grohe_37_762_37_945_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PU91091,Geberit Type 123 seal for cistern,Geberit,3.79,This Geberit Type 123 replacement seal holds the flush pipe in place on a Geberit low height concealed toilet cistern.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Type 123 seal for cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/91/NW-U91091_wm.jpg,,,,Type 123,N,240.139.00.1,Seal,N,Clips neatly into groove in cistern shell,Matte finish,Plastic/rubber material,1 year warranty,,,,,,,,,,,,,Matt,71,,,,,,,,,,,,,,,
12,PJ44459,Grohe Adagio air button with hose 63mm,Grohe,30.51,"Made of ABS plastic, the Grohe Adagio air button is designed for use with the Adagio cistern and has been finished in the brand's trademark StarLight chrome.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Grohe Adagio air button with hose 63mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/59/NW-J44459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Adagio_38488000_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PJ44453,Grohe Skate Air concealed wall flush plate Chrome Plated,Grohe,44.26,"Grohe Skate Air flush plate provides an attractive, functional finishing touch to a bathroom. Easy to clean, the dual flush system gives the choice of 3L or 6L flush (or 3L and 4.5L in some ceramic bodies) as well as a stop option while integrated EcoJoy flush technology reduces water consumption by up to 50%. Installation, requiring the standard revision shaft, is straightforward and tool-free.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Grohe Skate Air concealed wall flush plate Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/53/NW-J44453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Skate_Air_38506000_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_Flush_Plate_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grohe_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PB78300,Ideal Standard Mura auto cistern with fittings 4.5ltr White,Ideal Standard,195.25,"Supplied with fittings for ease of installation, this Ideal Standard Mura 4.5L one-piece auto cistern includes an integral cover, helping to improve hygiene and make cleaning simple.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Mura auto cistern with fittings 4.5ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/00/NW-B78300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Mura_S620001_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PU86016,Geberit Kappa20 dual flush plate Gloss Chrome,Geberit,63.35,The Geberit Kappa20 gloss chrome dual flush plate is designed for flush actuation with Geberit Kappa concealed toilet cisterns.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Kappa20 dual flush plate Gloss Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/16/NW-U86016_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Geberit_Duofix_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Duofix_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Cisterns_Brochure.pdf,,,,,,,,,,,,,
16,PU86018,Geberit Sigma UP320 concealed dual flush cistern 12cm,Geberit,168.53,"Compatible with all Sigma flush plates, this Geberit Sigma UP320 concealed flush cistern is durably built and easy to install. Dual flush models are designed for easy flush identification with large actuators activating a full flush and smaller actuators activating single flush. The single flush Rumba, Tango and Mambo plates feature one actuator push button for a full 6L flush.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Sigma UP320 concealed dual flush cistern 12cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/18/U86018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Geberit_Duofix_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Duofix_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Flush_Brochure.pdf,,,,,,,,,,,,,
17,PB78996,Ideal Standard Simpla inlet connection Satin Chrome,Ideal Standard,1.6,This Ideal Standard Simpla inlet connector connects a WC trap spigot to the soil pipe.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Simpla inlet connection Satin Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/96/NW-B78996_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Simpla_S450567_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PU00966,"Geberit Type 360 bottom inlet valve for ceramic cistern 1/2""",Geberit,21.19,A Geberit Type 360 plastic bottom inlet valve with adjustable filling height for exposed cisterns with bottom water supply.,"Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Type 360 bottom inlet valve for ceramic cistern 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/66/NW-U00966_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PU00098,Geberit dual flush valve (type-190) Gloss Chrome,Geberit,58.8,"Designed for ceramic toilet cisterns, this Geberit Cisterns Type 290 adjustable height dual flush valve has a glossy chrome plating and features two half moon push buttons.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit dual flush valve (type-190) Gloss Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/98/NW-U00098_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PU77219,Geberit Omega cistern with dual flush and top/front access 120mm,Geberit,239.85,"This Geberit Omega concealed cistern is suitable for concealed installation or for back-to-wall floor-standing WCs and can be installed in a drywall part height prewall installation. It offers a dual flush via a push button flush plate and a left hand inlet. The top or front flush plate placement gives you the flexibility to meet your projects space requirement needs. Geberit cisterns are equipped for installation requiring electrical connections. This means shower toilets, odour extraction units, touchless flush plates and other devices can be installed or retro-fitted quickly and easily. Installed over 60 million times over the past 50 years, Geberit concealed cisterns represent the ultimate tried-and-tested solution Simply remove the flush plate for access to all important parts. Geberit stock spare parts for 50 years Every Geberit cistern is individually tested to guarantee water tightness What’s Included: Water supply connection Rp 1/2"" - R 1/2"", compatible with MF, with integrated angle stop valve and h",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Omega cistern with dual flush and top/front access 120mm,,"Water supply connection, R1/2, compatible with MeplaFix, with integrated angle stop valve and hand wheel;Flush bend extension diameter 45mm;Protection housing for service opening;Fastening for flush bend;Protection plug;2x fastening brackets;Fastening ma",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/U77219_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/U77219_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/U77219_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PU91096,Geberit flush bend for low height concealed cistern,Geberit,8.07,This Geberit replacement flush bend is for low height concealed cisterns and includes an internal flush pipe cone for a perfect fit.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit flush bend for low height concealed cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/96/NW-U91096_wm.jpg,,,,,N,119.705.93.1,Flush Bend,N,Includes internal rubber cone,For cisterns with 51mm outlet,,,,,,,,,,,,,,,Matt,415,,,,,,,,,,,,,,,
22,PU91092,Geberit Operating part set for fill valve type 380,Geberit,9.63,"This Geberit Operating part set seal kit for is suitable for use with the 3/8"" BSP thread type 380 side filling valve.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Operating part set for fill valve type 380,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/U91092_Primary_Image_wm.jpg,,,,,N,240.771.00.1,Seal Kit,N,For Geberit type 380 Filling Valve models,"For use in UP300, UP200 and AP123 concealed frame cisterns",Easy servicing in minutes,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,
23,PB78560,Ideal Standard spatula cistern lever Chrome,Ideal Standard,70.17,This modern Ideal Standard cistern lever for close-coupled cisterns has a spatula shape and chrome finish.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard spatula cistern lever Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/60/NW-B78560_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S4420AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PD04890,Ideal Standard ProSys WC mechanical frame 820mm,Ideal Standard,211.85,"This Ideal Standard ProSys 820mm mechanical wall-hung WC frame is suitable for front or top actuation of a cistern. The ProSys In Wall installation system includes a variety of high quality frames, concealed cisterns and flush plates.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard ProSys WC mechanical frame 820mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/90/NW-D04890_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D04890_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PU61207,Geberit Sigma01 dual flush plate plate Chrome/Gloss,Geberit,68.64,"A Geberit Sigma01 plastic, gloss chrome-plated dual flush plate for flush actuation with Geberit Sigma concealed cisterns.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Sigma01 dual flush plate plate Chrome/Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/07/NW-U61207_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
