,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Thickness,Warranty,Hazardous,Depth (mm),Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 3,Attachment 4,Range,Attachment 5,Weight
10,PD28573,Merlyn MBOX pivot shower door 800mm,Merlyn,273.16,"Combining practicality and style, the 800mm Merlyn MBox pivot shower door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn MBOX pivot shower door 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/73/UP-D28571_D28573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_PivotDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_PivotDoor_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,
11,PD69737,Roman Haven6 sliding door 1100 x 1900mm,Roman,247.4,"Ideal for smaller bathrooms, the Roman Haven6 1900 x 1100mm sliding shower door has a smart, simple design featuring clear, robust glass and chrome fixtures. Sliding open effortlessly on its rails, this door ensures that getting in and out of the shower is easy, with no obstruction from other bathroom fittings. The door's lower quick-release mechanism makes cleaning and maintenance of the shower enclosure simple too.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Roman Haven6 sliding door 1100 x 1900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/37/NW-D69737_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roman_H3S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roman_H3S_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD05972,Mira Elevate pivot shower door 900mm,Mira,260.05,"Maximising your bathroom floor space, the Mira Elevate 900mm shower enclosure pivot door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Elevate pivot shower door 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/72/UP-D05970_D05972_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Pivot_Door_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD65134,Coram Optima 6 pivot door 800 x 1900mm Glass/Chrome Finish,Coram,203.35,"Ideal for small bathrooms or en-suites, the 800 x 1900mm Coram Optima 6 pivot door shower enclosure has an in-swing to minimise its intrusion on your precious space and a 20mm adjustment per profile for a perfect fit. This modern, semi-frameless pivot door enclosure includes smooth rise and fall hinges, ultra-clear seals and stay-clean glass for hassle-free cleaning while Coram's Lock and Level system allows for screwless adjustment and Cam and Pin system makes installation fast.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Optima 6 pivot door 800 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/36/UP-D65132_D65136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Pivot_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Pivot_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,
14,PD28359,Mira Leap pivot door only 1200mm,Mira,367.77,"The Mira Leap 1200mm pivot door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Leap pivot door only 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/59/UP-D28355_D28359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Pivot_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PA21037,Twyford Geo pivot door shower enclosure 760mm,Twyford,214.22,"Ideal for spacious bathrooms with room for an outward-opening door, the Twyford Geo 760 x 1900mm pivot shower enclosure door is made from toughened glass with a corrosion-resistant aluminium frame. Fully rotatable for ease of installation, it features a rise-and-fall pivot system to support rigidity and long lasting durability. The Geo is treated with a ProClean nano coating for ease of cleaning. This coating helps the screen's glass to resist water marks, soap scum and limescale so it stays clear and clean with minimal scrubbing.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Twyford Geo pivot door shower enclosure 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/37/A21037_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A21037_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/A21037_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD16377,Roman Haven6 bi-fold shower door 900mm,Roman,252.22,"Designed with precision-crafted glides and hinges, this Roman Haven6 1900 x 900mm bifold door shower enclosure maximises space in your bathroom. The door folds back into the shower surround with ease, so there's no knocking into sinks or manoeuvring around the loo as you step out. Simple and modern, this enclosure is made using robust, clear glass with a smart silver frame. An additional frameless panel is available for corner fitting.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Roman Haven6 bi-fold shower door 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/77/NW-D16377_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roman_H3B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roman_H3B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD65180,Coram Premier 8 pivot door 900 x 2000mm Glass/Chrome finish,Coram,344.07,"A contemporary, minimalist design, the 900mm Coram Premier 8 pivot door shower enclosure has modern linear handles and a semi-frameless design with concealed fixings and soft close sliding doors for a touch of luxury. Seamless flush rollers and ultra-clear soft seals are easy to clean and Level and Lock screwless adjustment ensures secure, straightforward installation. The Premier 8's pivot door is made using 8mm toughened safety glass and has a rise and fall pivot hinge, allowing the door to remain open at 90° and close easily.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Premier 8 pivot door 900 x 2000mm Glass/Chrome finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/81/UP-D65177_D65181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Premier_8_Pivot_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Premier_8_Pivot_Door_Technical.pdf,,,
18,PD12268,Ideal Standard Connect 2 slider door 1400mm Bright Silver,Ideal Standard,710.48,"Manufactured in a thick toughened safety glass, the Ideal Standard Connect 2 1400mm slider door has a bright silver frame and chrome handle to suit the majority of bathroom decors. 1955mm in height, this shower door is treated with IdealClean and has easy to remove click-and-clean rollers, making regular, thorough cleaning effortless.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Ideal Standard Connect 2 slider door 1400mm Bright Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/68/D12268_wm.jpg,,,Bright Silver,6mm,10 Years,N,79,Bright Silver,AluminiumGlass,K9426EO,Sliding,N,With 6mm toughened clear safety glass,IdealClean treatment for ease of cleaning,Offers 25mm adjustment per profile,With chrome-plated handle,Click-and-clean wheels removed easily,Unhanded,With concealed fixings,Smooth running wheels,Power showerproof,10 year warranty,,,,Connect 2,,
19,PD29037,Ionic Essence Framed pivot enclosure 760mm Chrome Clear,Ionic,489.11,"The high quality Ionic Essence Framed 760mm pivot shower enclosure door is manufactured in tough 8mm glass and features chrome fittings, right down to the colour-matched magnetic seals. Suitable for fitting with a side panel, this 'clunk' close door has concealed fixings and is treated with Mershield Stayclear for easy cleaning.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Ionic Essence Framed pivot enclosure 760mm Chrome Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/39/UP-D29037_D29039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Essence_Framed_P_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Shower_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Ionic_Essence_Framed_Pivot_Door_Tech.pdf,,,,
20,PD29039,Ionic Essence Framed pivot enclosure 900mm Chrome Clear,Ionic,533.11,"The high quality Ionic Essence Framed 900mm pivot shower enclosure door is manufactured in tough 8mm glass and features chrome fittings, right down to the colour-matched magnetic seals. Suitable for fitting with a side panel, this 'clunk' close door has concealed fixings and is treated with Mershield Stayclear for easy cleaning.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Ionic Essence Framed pivot enclosure 900mm Chrome Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/39/UP-D29037_D29039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Essence_Framed_P_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Shower_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Ionic_Essence_Framed_Pivot_Door_Tech.pdf,,,,
21,PD28356,Mira Leap pivot door only 800mm,Mira,334.62,"The Mira Leap 800mm pivot door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Leap pivot door only 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/59/UP-D28355_D28359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Pivot_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
