,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Thickness,Waste Supplied,Bowl Type,Bowl Shape,Fitting / Mounting Type,Main Bowl Size,Material,Number of Tap Holes,Second Bowl Size,Depth (mm),Feature 15,Feature 16,Connection,Connection Size,Thread Standard,Thread Size,Maximum Operating Temperature,Application,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Sector,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Handle Type,Finish,Pack Quantity,Flush Type,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Fittings Included,Feature 17,Feature 18,Anti Slip,Grips/Handles,Weight,Mounting Type,Feature 19,Feature 20,Feature 21,Position,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Shape,Capacity Litre,Dimensions (L x W x D),Diameter,Attachment 6,Attachment 7,Attachment 8
10,PD67383,"Saracen TMV3 basin lever tap, flexible tails",Saracen,188.74,"Supplied with flexi-tails, the Saracen TMV3 basin level tap is safe, reliable and attractively designed. The smooth, easy grip sequential lever, operated by hand or elbow, makes this deck-mounted tap user-friendly, even for those with reduced dexterity. Meanwhile proven anti-scald technology, a safe touch body and self-draining spout ensure accident-free operation. Ideal for sheltered accommodation, less-able bathrooms and domestic use, this deck-mounted tap also provides thermostatic protection.","Commercial Plumbing/Commercial Plumbing.csv -> Saracen TMV3 basin lever tap, flexible tails",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/84/NW-D67383_D67384_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D67383_Saracen_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P171678,Saracen 4 in 1 thermostatic mixing valve 15mm,Saracen,50.13,"Providing accurate temperature control, the Saracen 4-in-1 anti-scald thermostatic mixing valve is supplied with an angle valve and 15mm copper x copper compression end connections.",Commercial Plumbing/Commercial Plumbing.csv -> Saracen 4 in 1 thermostatic mixing valve 15mm,,Thermostatic mixing valveAngle valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/78/NW-171678_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PU91090,Geberit flat gasket for flush valve,Geberit,1.8,A Geberit flat gasket for use in the flush valves of exposed and concealed cisterns.,Commercial Plumbing/Commercial Plumbing.csv -> Geberit flat gasket for flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/90/NW-U91090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P171677,Saracen 2 in 1 thermostatic mixing valve 22mm,Saracen,37.58,"Providing accurate temperature control, the Saracen 2-in-1 anti-scald thermostatic mixing valve is supplied with 22mm copper x copper compression end connections.",Commercial Plumbing/Commercial Plumbing.csv -> Saracen 2 in 1 thermostatic mixing valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/77/NW-171677_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/171677_Saracen_Data.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PB98509,Saniflo Sanibest Pro pro small bore sanitary system,Saniflo,587.5,"Ideal for heavy duty use, the Saniflo Sanibest Pro macerator pump is designed for public or commercial environments, handling connection to a toilet, basin, bidet and shower for effective waste removal from a busy bathroom. Fitted with an activated carbon filter and able to deal with high temperatures over short periods, the Sanibest Pro offers effective, odour-free performance.",Commercial Plumbing/Commercial Plumbing.csv -> Saniflo Sanibest Pro pro small bore sanitary system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/09/NW-B98509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Best_Pro_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98509_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PB79104,Cistermiser IRC Urinal Flushing Infrared Control Valve IRC,Cistermiser,256.03,"The Cistermiser cistern-flushing urinal control valve with infrared motion sensor and solenoid valve assembly automatically manages water supply to a urinal cistern, activating the solenoid valve when motion is sensed, allowing water into the cistern. With a robust brass valve, compact body and an eco-friendly, cost saving Economy mode, this unit has front access to the battery compartment for convenient replacement and rear access to terminals.",Commercial Plumbing/Commercial Plumbing.csv -> Cistermiser IRC Urinal Flushing Infrared Control Valve IRC,,Control valveSolenoid valveSensor module,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/04/NW-B79104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Cistermiser_Specification_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B79104_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Cistermiser_IRCUrinal_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB96681,Saniflo Sanispeed+ sanispeed and macerator pump with four inlets,Saniflo,482.51,"Suitable for light commercial or domestic applications, the Saniflo Sanispeed+ macerator pump includes four inlets for the connection of a range of basins and appliances including washing machines and dishwashers or toilets and showers. Compact and quiet, the Sanispeed+ fits unobtrusively into a cupboard or under a countertop for convenient, out-of-sight use.",Commercial Plumbing/Commercial Plumbing.csv -> Saniflo Sanispeed+ sanispeed and macerator pump with four inlets,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/81/NW-B96681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96681_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Speed_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PC90125,Ideal Standard Contour 21 1 tap hole lever sequential thermostatic basin mixer,Ideal Standard,387.51,"Made for the non-residential sector, the practical Ideal Standard Contour 21 thermostatic washbasin mixer is suitable for balanced and unbalanced low or high water pressure systems. With an eye-catching modern design, this chrome deck-mounted tap offers intuitive single lever operation.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Contour 21 1 tap hole lever sequential thermostatic basin mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/25/NW-C90125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_A4169AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PD12141,Rada Thermotap-3 copper thermostatic mixing tap,Rada,287.19,"Easy to use, the Rada Thermotap-3L thermostatic mixing tap has a 100mm lever control offering single sequential lever control from cold through to a pre-set maximum temperature. Installation of this deck-mounted tap is easy and quick while day-to-day care is equally simple thanks to the durable easy-clean chrome finish.",Commercial Plumbing/Commercial Plumbing.csv -> Rada Thermotap-3 copper thermostatic mixing tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/42/NW-D12141_D12142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Rada_Thermotap_3_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/ic/Rada_Thermotap_3_Schematic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_Thermotap_3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Thermotap_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB98986,Ideal Standard Contour 21 high standard projected close coupled pan 46cm,Ideal Standard,378.63,"Designed to meet the challenges of commercial use, this Ideal Standard Contour 21 raised height close coupled pan combines water efficiency with high levels of durability and regulatory compliance.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Contour 21 high standard projected close coupled pan 46cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/86/NW-B98986_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AS_Contour_21_1170_1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
