,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Flow Rate,Warranty,Hazardous,Depth (mm),Enclosure Class,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Connection,Connection Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Application,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Attachment 3,Weight,Phase,Output,Litres,Capacity Litre,Range,Feature 6,Voltage (V),Frequency,Pressure Rating
10,P141531,"Pump House Adaptors condesate pump adaptor 3/8"" to 22mm",Pump House,8.17,"This 3/8"" to 22mm Pump House condensate drain adapter is designed for use with tank condensate pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Pump House Adaptors condesate pump adaptor 3/8"" to 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/31/NW-141531_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC1_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/CADType2_Line Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PumpHouse_Pump_Accessories_Technical.pdf,,,,,,,,,,
11,P150062,Grundfos Magna 3 spacer kit PN6 40mm,Grundfos,76.78,"Made of steel, this Grundfos adapter allows for the replacement of a pump with a different port-to-port length.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Magna 3 spacer kit PN6 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/62/NW-150062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Circulator_Pumps_Brochure.pdf,,,,,,,,,,,
12,P193154,Hotun SF HBSF15-22 SF dry trap tundish 15x22mm Black,Hotun,27.47,"The Hotun HBSF15-22 dry trap tundish is designed to supply safe discharge from a relief valve and to keep waste pipe odours from entering a building. Built for full compliance with water and building regulations, the SF range connects relief valve discharge to a foul waste or soil pipe, with one-way flow of water along with regulation required back-flow contamination and back-siphonage protection. This prevents cross-contamination of wholesome water. This dry trap tundish is approved for use as an air break to drain in commercial and domestic systems.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Hotun SF HBSF15-22 SF dry trap tundish 15x22mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/54/NW-193154_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hotun_SF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hotun_SF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hotun_SF_Installation.pdf,,,,,,,,,,
13,P100632,Wilo mounting feet kit DN65-DN100,Wilo,168.33,"Made of KTL-coated 513 material, this Wilo F 3-14 60mm mounting bracket set with fixings, is designed for the installation of inline and monobloc pumps onto a base. Comprised of several brackets, this set is intended for screwed connection with screw-on bases or pump feet. Three angles ensure secure fastening of the pump to the foundation.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Wilo mounting feet kit DN65-DN100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/32/NW-100631_100632_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Wilo_F3-14_Mounting_Bracket_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P144238,Grundfos add on CPL packed,Grundfos,301.88,"This Grundfos CIM 200 interface module is designed for communication via Modbus RTU Fieldbus protocol, fitting into the pump terminal box. The CIM module enables the communication of operating data, such as measured values and setpoints between 11 - 22kW E-pumps and building management systems (BMS).",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos add on CPL packed,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-144238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_E_Pumps_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P158055,Grundfos bacnet add on coupling,Grundfos,301.88,"This Grundfos CIM 300 interface module is designed for communication via BACnet MS/TP Fieldbus protocol, fitting into the pump terminal box. The CIM module enables the communication of operating data, such as measured values and setpoints between 11 - 22kW E-pumps and building management systems (BMS).",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos bacnet add on coupling,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/55/NW-158055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_E_Pumps_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P108848,Wilo Yonos Maxo connect module,Wilo,278.0,"A universal module for the complete Yonos Maxo series that is suitable for single and twin-head pumps, for new installations and for retrofitting pumps that have already been installed.  The Wilo-Connect module enables the optimal integration of the Wilo-Yonos Maxo into the building management system. Dual pump management is already integrated with no additional components required.  Compatible with Wilo Yonos Maxo, Wilo Yonos Maxo-D & Wilo Yonos Maxo-Z circulation pumps.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Wilo Yonos Maxo connect module,,Yonos Maxo module;2x fastening screws;4x threaded cable glands M16;Installation ;operating instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/48/NW-108848_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Wilo_Yonos_Maxo_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Certificate.pdf,,,,,,,,,,,
17,P144839,Grundfos 96412344 vibration damper,Grundfos,112.85,"Designed for use with the Hydro MPC pump system, this Grundfos CRI(E) 1 to CRI(E) 3 machine shoe reduces vibrations passed from a system into the floor, allowing for height adjustment by ±20mm.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos 96412344 vibration damper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/39/NW-144839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_Hydro_Multi_S_Data_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P146385,Wilo IF stratos module extension,Wilo,202.0,This Wilo interface module acts as a retrofit table plug-in for extending the communication interfaces of a pump in accordance with various standards and protocol variants according to type key.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Wilo IF stratos module extension,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/85/NW-146385_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Wilo_IF_Module_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P149257,Grundfos transducer kit 0-4bar,Grundfos,837.38,This Grundfos 12 - 30V differential-pressure sensor with M12 screw (self-cutting) for mounting on MGE 180 is supplied with an angular bracket for mounting on a motor or bracket for wall mounting.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos transducer kit 0-4bar,,Sensor;Angular bracket;M12 screw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/57/NW-149256_149257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_E_Pumps_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P149256,Grundfos pressure tranducer 0-6bar,Grundfos,837.38,"This Grundfos 12 - 30V differential-pressure sensor with 3x capillary tubes (short/long) and 2x fittings (1/4 - 7/16"") is supplied with an angular bracket for mounting on a motor or a bracket for wall mounting.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos pressure tranducer 0-6bar,,Sensor;Angular bracket;3x capillary tubes (short/long);2x fittings (1/4 to 7/16 inch),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/57/NW-149256_149257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_E_Pumps_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P109964,Wilo TOP-S SD40/7 EM head kit,Wilo,747.3,A Wilo TOP-S 40/7 pump head.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Wilo TOP-S SD40/7 EM head kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/74/121374_wm.jpg,,,,N,,,,29991416,Pump Head,N,Pre-selectable speed stages for manual capacity adjustment,,,,,,,,Automatically vented,Simple installation,"Quiet, maintenance free",,,,,,,,,TOP-S,,,,
22,P143901,Grundfos 40-120/2 1 phase pump head,Grundfos,1188.0,This Grundfos Model C 230 - 240V pump head kit is suitable for use with UPS40-120 pumps.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos 40-120/2 1 phase pump head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/01/NW-143901_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P100631,Wilo mounting feet kit DN32-DN50,Wilo,146.0,"Made of KTL-coated 513 material, this Wilo F 3-12 60mm mounting bracket set with fixings is designed for the installation of inline and monobloc pumps onto a base. Comprised of several brackets, this set is intended for screwed connection with screw-on bases or pump feet. Three angles ensure secure fastening of the pump to the foundation.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Wilo mounting feet kit DN32-DN50,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/32/NW-100631_100632_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Wilo_Mounting_Bracket_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P173640,Grundfos flexibles 50mm Stainless Steel,Grundfos,422.73,"Made of stainless steel, this Grundfos JBP20BS screwed pump connector consists of a grade 321 convoluted hose with grade 304 outer protective braid fitted with fixed grade 316 BSPT male end connections. This Stourflex connector reduces the noise and vibration created by pumps and reciprocating machinery.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos flexibles 50mm Stainless Steel,,Connector;Convoluted hose (grade 321);Outer protective braid (grade 304),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/40/173640_wm.jpg,,,,N,300,,,97522730,Connector,N,300°C maximum working temperature,,,,,,,,16 bar maximum working pressure,Do not use at both maximum working temperature and pressure,Maximum test pressure equal to 1.5x working pressure/1.5x flange rating,"Compatible with chilled water, LTHW, MTHW and steam",,,3.28807,,,,,,,,,
25,P193156,Hotun HiFlo SF HHBSF15-32 SF dry trap tundish 15x32mm Black,Hotun,26.73,"The Hotun HHBSF15-32 dry trap tundish is designed to supply safe discharge from a relief valve and to keep waste pipe odours from entering a building. Built for full compliance with water and building regulations, the SF range connects relief valve discharge to a foul waste or soil pipe, with one-way flow of water along with regulation required back-flow contamination and back-siphonage protection. This prevents cross-contamination of wholesome water. This dry trap tundish is approved for use as an air break to drain in commercial and domestic systems.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Hotun HiFlo SF HHBSF15-32 SF dry trap tundish 15x32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/56/NW-193156_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hotun_SF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hotun_SF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hotun_SF_Installation.pdf,,,,,,,,,,
26,P101268,Grundfos Hydro Solo-E Optimum universal dongle,Grundfos,434.0,"This Grundfos Hydro Solo-E Optimum universal dongle connects you to Grundfos GO, a comprehensive platform for mobile pump control. Intuitive and simple Grundfos online tools save time and work, offering easy reporting and data collection and remote control of installation, data monitoring and fault recognition via IR or radio connection. This tool is suitable for domestic ground water intake, drinking water treatment, ground water intake, solar water solutions, surface water intake, water distribution, flood control, wastewater treatment, wastewater transport, irrigation groundwater supply, livestock watering, irrigation surface water and transfer applications.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Hydro Solo-E Optimum universal dongle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/68/NW-101268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Grundfos_HydroSoloEOptimum_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P144342,"Grundfos G2 union set BSP 1.1/4""",Grundfos,15.73,"Made of cast iron, this Grundfos Union set with G2/Rp 1 1/4"" pipework connection offers a PN10 pressure rating and compatibility with a wide range of light commercial circulator pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos G2 union set BSP 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/42/NW-144342_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_Alpha2_CircularPump_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha2_L_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_Alpha2_Instructions.pdf,,,,,,,,,,
