,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Refrigerant Suitability,Hazardous,Fin Spacing mm,Depth (mm),Surface Area,Air Throw,Fan Amps,Motor,Air Volume (m3 per s),Capacity at SC2 R404A,Inlet Size,Noise Level,Number of Fans,Outlet Size,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
10,P656549,Kelvion cooler ksc-402-4rn no defrost,Kelvion,2130.1,"The Kelvion KSC-402-4RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-402-4rn no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/656549_wm.jpg,80kg,HFC,N,4 mm,651,57.5,17,1.3,1270,1.77,12.52,22 mm,48dB(A) @3m,2,35mm,230/1/50,100778315,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1270 RPM motor,17M air throw,,,
11,P656497,Kelvion cooler ksc-301-6bn no defrost,Kelvion,897.95,"The Kelvion KSC-301-6BN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-301-6bn no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/97/656497_wm.jpg,22 kg,HFC,N,7 mm,453,11.4,9,0.6,1600,0.43,2.75,12mm,47dB(A) @ 3m,1,22mm,230/1/50,100685095,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,9M air throw,,,
12,P656558,Kelvion cooler ksc-403-4be elec defrost,Kelvion,3284.28,"The Kelvion KSC-403-4BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-403-4be elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/656558_wm.jpg,120kg,HFC,N,7 mm,561,51.6,25,1.3,1270,3,14.58,22 mm,50dB(A) @3m,3,42mm,230/1/50,100789011,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1270 RPM motor,25M air throw,,,
13,P685162,Beermaster BMOP190-1 1 phase condensing unit,Beermaster,2331.76,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP190-1 1 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/62/685162_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/90/-1/685162_IM_Beermaster_BM+_OP190-1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
14,P656511,Kelvion cooler ksc-302-4rn no defrost,Kelvion,1212.67,"The Kelvion KSC-302-4RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-302-4rn no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/11/656511_wm.jpg,28kg,HFC,N,4 mm,453,25.7,12,0.6,1600,0.75,5.21,15mm,49dB(A) @3m,2,28mm,230/1/50,100685048,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,12M air throw,,,
15,P656602,Kelvion MSC-403-6BE cooler electric defrost,Kelvion,4416.96,"The Kelvion MSC-403-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion MSC-403-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/02/656602_wm.jpg,151kg,HFC,N,7 mm,590,86.5,27,2.1,1535,3.63,23.48,28mm,63dB(A) @3m,3,42mm,230/1/50,100778303,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1535 RPM motor,27M air throw,,,
16,P656468,Kelvion KSC-231-2BE cooler electric defrost,Kelvion,718.94,"The Kelvion KSC-231-2BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-231-2BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/68/656468_wm.jpg,11 kg,HFC,N,7 mm,403,2.8,7,0.3,1590,0.25,0.8,10mm,41dB(A) @3m,1,12mm,230/1/50,100685099,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1590 RPM motor,7M air throw,,,
17,P656499,Kelvion cooler ksc-301-6rn no defrost,Kelvion,905.89,"The Kelvion KSC-301-6RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-301-6rn no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/99/656499_wm.jpg,22 kg,HFC,N,4 mm,453,19.1,8,0.6,1600,0.34,3,12mm,47dB(A) @ 3m,1,22mm,230/1/50,100685057,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,8M air throw,,,
18,P675589,Kelvion TEC TEC3-7 cooler,Kelvion,446.94,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC3-7 1.04kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC3-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
19,P656620,Kelvion MSC-501-6RE cooler electric defrost,Kelvion,2412.06,"The Kelvion MSC-501-6RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion MSC-501-6RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/20/656620_wm.jpg,82 kg,HFC,N,4 mm,590,68.8,18,2.2,1340,1.6,13.63,22 mm,58 Db(A) @ 3m,1,35mm,230/1/50,100778276,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1340 RPM motor,18M air throw,,,
20,P685165,Beermaster BMOP250-3 3 phase condensing unit,Beermaster,2381.38,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP250-3 3 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/685165_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/50/-3/685165_IM_Beermaster_BM+_OP250-3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf
21,P685161,Beermaster BMOP150-1 1 phase condensing unit,Beermaster,2228.24,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP150-1 1 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/61/685161_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/50/-1/685161_IM_Beermaster_BM+_OP150-1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
22,P656472,Kelvion KSC-231-3BE cooler electric defrost,Kelvion,759.36,"The Kelvion KSC-231-3BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-231-3BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/72/656472_wm.jpg,12Kg,HFC,N,7 mm,403,4.2,7,0.3,1590,0.24,1.10,10mm,41dB(A) @3m,1,12mm,230/1/50,100685102,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1590 RPM motor,7M air throw,,,
23,P656491,Kelvion KSC-301-3RN cooler no defrost,Kelvion,777.4,"The Kelvion KSC-301-3RN electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-301-3RN cooler no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/91/656491_wm.jpg,1.6 kg,HFC,N,4 mm,453,9.7,9,0.6,1600,0.4,2.25,10mm,47dB(A) @ 3m,1,22mm,230/1/50,100685039,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,9M air throw,,,
24,P656475,Kelvion KSC-231-3RN cooler no defrost,Kelvion,640.27,"The Kelvion KSC-231-3RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-231-3RN cooler no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/75/656475_wm.jpg,10 kg,HFC,N,4 mm,403,7,6,0.3,1590,0.22,1.44,10mm,41dB(A) @3m,1,12mm,230/1/50,100685034,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1590 RPM motor,6M air throw,,,
