,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Flow Rate,Water Heating Energy Efficiency Class,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Dry Weight (kg),Boiler Bundles,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
10,P333929,Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II 12/18 2022+,Worcester Bosch,2563.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 12/18 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II 12/18 2022+,,"Boiler, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,White/Gloss,Oil,Heatslave II 2022+,2 years,138 kg,A,N,"90,A/90%",A,18 kW,600,89.0,Floor Standing,333929 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,15 L/min,B,A-rated efficiency,2 year warranty,,,,,,,,,,,
11,P333899,Grant Vortex Pro Internal Combi 21 oil boiler 21kW,Grant,2562.0,"Designed for safety, reliability, efficiency and comfort, the Grant Vortex Pro Internal Combi 21 condensing boiler promises to help you reduce your greenhouse gas emissions and lower your fuel bills thanks to its ErP A rating for heating. Compliant with 2018's low NOx legislation, this 21kW combi is fitted with a tried and trusted Riello RDB burner alongside a patented Grant stainless steel heat exchanger which, with its larger surface area, increases hot water performance while a duo of ultra accurate electronic temperature controls ensure that hot water is available in an instant, even when in central heating condensing mode. Sleekly designed, the quiet but powerful Vortex Pro fits smartly and unobtrusively into any household.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro Internal Combi 21 oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/om/bi/Grant_Vortex_Pro_Internal_Combi_wm.jpg,White/Gloss,Oil,Vortex Pro Internal Combi,2 years,16.0 kg,A,N,90.81,,21 kW,606,90.81,Floor Standing,333899 PK,Internal Combi Boiler,N,"Exceptionally quiet operation, ideal for kitchen or utility room installations",Unique Grant Vortex stainless steel heat exchanger increases hot water performance thanks to its low water content and larger surface area,Low system pressure cut off switch protects the boiler in the unlikely event of system water loss,Two accurate electronic temperature controls,89.5 to 91.6% gross SAP 2009 annual efficiency,24L expansion vessel,Neon diagnostic indicators make diagnosing faults easier,2 year warranty,"30 L/min @ 10°C, 15 L/min @ 20°C",B,Extended warranty available when following Grant installation specification and guidelines,,,,,,333899,,,,,,
12,P333932,Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II external 12/18 2022+,Worcester Bosch,2705.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 12/18 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II external 12/18 2022+,,"Boiler, low level balanced flue kit, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,Green/Gloss,Oil,Heatslave II 2022+,2 years,180Kg,A,N,"90,A/90%",A,18 kW,770,89.0,Floor Standing,333932 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,15 L/min,B,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,,
13,P174952,Warmflow Agentis E26 external heat only oil boiler 26kW,Warmflow,1829.56,"Designed for convenient outdoor installation, the Warmflow Agentis E26 external heat only boiler has a robust, maintenance-free weatherproof casing for reliability, rain, snow or shine. Supplied with a range of flueing options, this oil-fired boiler provides siting flexibility and with a Riello low-NOx burner and patented heat exchanger ensures AA-rated efficiency for reduced energy bills, fuel savings and less harmful emissions.",Boilers/Oil Boilers/Oil Boilers.csv -> Warmflow Agentis E26 external heat only oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/53/174951_174953_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_E26_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Warmflow_Oil_Boilers_Guide.pdf,,,
14,P174951,Warmflow Agentis E21 external heat only oil boiler 21kW,Warmflow,1781.79,"Designed for convenient outdoor installation, the Warmflow Agentis E21 external heat only boiler has a robust, maintenance-free weatherproof casing for reliability, rain, snow or shine. Supplied with a range of flueing options, this oil-fired boiler provides siting flexibility and with a Riello low-NOx burner and patented heat exchanger ensures AA-rated efficiency for reduced energy bills, fuel savings and less harmful emissions.",Boilers/Oil Boilers/Oil Boilers.csv -> Warmflow Agentis E21 external heat only oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/53/174951_174953_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_E21_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Warmflow_Oil_Boilers_Guide.pdf,,,
15,P333912,Grant Vortex Eco External 15/21 floor standing heat only oil boiler,Grant,1629.0,"The steel-enclosed Grant Vortex Eco External 15/21 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco External 15/21 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External,5 Year,113kg,A,N,A,,21 kW,800,92.68,Floor Standing,333912 PK,External Condensing Boiler,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,,333912,,,,,,
16,P333926,Worcester Bosch Greenstar Danesmoor External 12/18 2022+ heat only boiler,Worcester Bosch,2123.0,"A regular oil boiler ideal for external fitting on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External 12/18 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor External 12/18 2022+ heat only boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User Instructions;Guarantee registration card;Condensate trap;BSP plug;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/72/115370_115372_wm.jpg,White,Oil,Greenstar Danesmoor External,2 years,107kg,A,N,"90,A/90%",A,18 kW,780,91.1,Floor Standing,333926 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,,,,,
17,P333900,Grant Vortex Pro Internal Combi 26 oil boiler 26kW,Grant,2635.0,"Energy efficient, attractively designed, reliable and high performing, the Grant Vortex Pro Internal Combi 26 condensing boiler brings together thoughtful technology, high safety levels and an impressive ErP A rating for heating efficiency, helping to lessen your environmental impact and reduce fuel bills too. Featuring the trusted Riello RDB burner, this 26kW output combi is compliant with 2018's low NOx legislation while Grant's patented larger size heat exchangers increase performance and accurate dual temperature controls maintain instant hot water production while in central heating condensing mode, keeping the whole family comfortable.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro Internal Combi 26 oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/om/bi/Grant_Vortex_Pro_Internal_Combi_wm.jpg,White/Gloss,Oil,Vortex Pro Internal Combi,2 years,177 kg,A,N,91.71,,26 kW,606,91.71,Floor Standing,333900 PK,Internal Combi Boiler,N,"Exceptionally quiet operation, ideal for kitchen or utility room installations",Unique Grant Vortex stainless steel heat exchanger increases hot water performance thanks to its low water content and larger surface area,Low system pressure cut off switch protects the boiler in the unlikely event of system water loss,Two accurate electronic temperature controls,89.5 to 91.6% gross SAP 2009 annual efficiency,24L expansion vessel,Neon diagnostic indicators make diagnosing faults easier,2 year warranty,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",B,Extended warranty available when following Grant installation specification and guidelines,,,,,,333900,,,,,,
18,P333892,Grant Vortex Eco Utility 15/21 floor standing heat only oil boiler,Grant,1416.0,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 15/21 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco Utility 15/21 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/as/e)/Grant Vortex Eco Utility Boiler (Case)_wm.jpg,White/Gloss,Oil,Vortex Eco Utility,5 Years,97kg,A,N,92.7,,21 kW,601,92.68,Floor Standing,333892 PK,Heat Only Boiler,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,,,5 year warranty available when following Grant installation specification and guidelines,,,,,,333892,,,,,,
19,P116281,Grant Vortex Pro External 15/26 ErP external oil boiler,Grant,2317.63,"Tough and reliable, the galvanised steel Grant Vortex Pro External 15/26 oil boiler has a weatherproof powder-coating and inbuilt frost resistance for effective all-weather operation. Supplied with a factory-fitted flexible flue and free from complicated wiring and plumbing, this compact boiler is extremely easy and quick to install. It is fitted with the Grant Vortex heat exchanger and a Riello low-NOx burner for efficient, ErP A-rated heating.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro External 15/26 ErP external oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/85/116280_116285_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116281_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_Vortex_Pro_External_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Pro_External_Install.pdf
20,P333918,Grant Vortex Pro External Combi 21 oil boiler 21kW,Grant,2677.0,"Designed to meet low-NOx regulations, the Grant Vortex Pro External Combi 21 external boiler is part of an award-winning range featuring Riello low-NOx technology. Incorporating Grant's patented heat exchangers with their large surface areas and low water content, this 21kW boiler has an ErP A rating for heating and B rating for hot water, improving efficiency in the home. Standing up to all weathers, the Vortex Pro External has a robust powder-coated casing and built-in frost protection for year-round reliability, even in challenging weather conditions.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro External Combi 21 oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Pro_External_wm.jpg,White/Gloss,Oil,Vortex Pro External Combi,2 Year,181 kg,A,N,90.81,,21 kW,754,90.81,Floor Standing,333918 PK,External Combi Boiler Pack,N,"High quality, external powder-coated casing","Factory-fitted multi-directional flue for faster, flexible installation",Patented Grant larger size heat exchanger for improved performance,Riello low-NOx burner,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,24L expansion vessel,Neon diagnostic indicators,"30 L/min @ 10°C, 15 L/min @ 20°C",B,Built-in frost protection,89.5 to 91.6% gross SAP2009 annual efficiency,"DHW flow rate 30LPM at 10°C, 15LPM at 20°C",2 year warranty,,,,,,,,,
21,P333943,Worcester Bosch Greenstar Danesmoor 18/25 2022+ external system boiler,Worcester Bosch,2648.0,"Suitable for heating most properties of most sizes, the Worcester Bosch Greenstar Danesmoor External System 18/25 2022+ system boiler is designed with a tough, weatherproof cabinet for installation outside the house, meaning there's no need to dedicate a whole kitchen cupboard to running your home heating. With a one-piece stainless steel primary baffle and cross firing burner, this 25kW system boiler offers high levels of efficiency and quick, easy servicing to help reduce running and maintenance costs.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor 18/25 2022+ external system boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User instructions;Guarantee registration card;Condensate trap;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/61/115359_115361_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,121 kg,A,N,A,,25 kW,780,90.9,Floor Standing,333943 PK,System Boiler,N,Floor standing design,With cross firing burner,Suitable for 30°C return temperature to suit modern heating designs,One-piece baffle for faster servicing,Lightweight design makes installation simple,With easy-access oil and hydraulic connections,Durable casing designed to blend into garden environments,80/125mm room sealed flues available in lengths of up to 8M,,A,Plume management up to 5M with conventional and flexi-flue kits available,ErP A-rated for efficiency,IP45 protection,2 year warranty,,121,,,,,,,
22,P333893,Grant Vortex Eco Utility 21/26 floor standing heat only oil boiler,Grant,1533.0,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 21/26 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco Utility 21/26 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/as/e)/Grant Vortex Eco Utility Boiler (Case)_wm.jpg,Red,Oil,Vortex Eco Utility,5 Years,97kg,A,N,91.7,,26 kW,601,91.67,Floor Standing,333893 PK,Heat Only Boiler,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,,,5 year warranty available when following Grant installation specification and guidelines,,,,,,333893,,,,,,
23,P116293,Grant Vortex Pro Internal Combi 21 ErP combi oil boiler,Grant,2927.83,"Designed for safety, reliability, efficiency and comfort, the Grant Vortex Pro Internal Combi 21 condensing boiler promises to help you reduce your greenhouse gas emissions and lower your fuel bills thanks to its ErP A rating for heating. Compliant with 2018's low NOx legislation, this 21kW combi is fitted with a tried and trusted Riello RDB burner alongside a patented Grant stainless steel heat exchanger which, with its larger surface area, increases hot water performance while a duo of ultra accurate electronic temperature controls ensure that hot water is available in an instant, even when in central heating condensing mode. Sleekly designed, the quiet but powerful Vortex Pro fits smartly and unobtrusively into any household.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro Internal Combi 21 ErP combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/95/116293_116295_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Int_Combi_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116293_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Int_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Int_Combi_Technical.pdf
24,P117033,Grant Vortex Eco VTXSECO15/21 ERP utility boiler 15/21kw,Grant,1879.71,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 21kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco VTXSECO15/21 ERP utility boiler 15/21kw,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/117033_117035_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,,,,
25,P333925,Worcester Bosch Greenstar Danesmoor Utility 25/32 2022+ heat only boiler,Worcester Bosch,2198.0,"A regular oil boiler ideal for the utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor Utility 25/32 2022+ heat only boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/67/115365_115367_wm.jpg,White,Oil,Greenstar Danesmoor Utility,2 years,11.5 kg,A,N,"A/91%,91",A,32 kW,600,90.5,Floor Standing,333925 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,,,,,
26,P333913,Grant Vortex Eco External 21/26 floor standing heat only oil boiler,Grant,1841.0,"The steel-enclosed Grant Vortex Eco External 21/26 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco External 21/26 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External,5 Year,113kg,A,N,A,,26 kW,800,91.67,Floor Standing,333913 PK,External Condensing Boiler,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,,333913,,,,,,
27,P117038,Grant Vortex Eco External System 26/35 external sealed module system boiler 26/35kw,Grant,2800.64,"The steel-enclosed Grant Vortex Eco External 26/35 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco External System 26/35 external sealed module system boiler 26/35kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/38/117036_117038_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoExternalSystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Grant_Vortex_Eco_External_26-35_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoExternal_Installation.pdf
