,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Range,Attachment 1,Attachment 2,Pack Quantity,Attachment 3,Connection Type,Single / Double,Material,Thread Size,Standards,Feature 3,Feature 4,Feature 5
16,PK74479,JET Range 38 swing check valve (BSP) PN20 32mm Bronze,JET Range,175.81,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 32mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range 38 swing check valve (BSP) PN20 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,
17,PK74480,JET Range 38 swing check valve (BSP) PN20 40mm Bronze,JET Range,282.42,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 40mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range 38 swing check valve (BSP) PN20 40mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,
18,PK74481,JET Range 38 swing check valve (BSP) PN20 50mm Bronze,JET Range,423.33,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 50mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range 38 swing check valve (BSP) PN20 50mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,
19,PK22943,Crane D220W wras dcpn16 dzr dbl check d220w 1.1/2 in,Crane,1817.5,"Made of DZR brass, this Crane D220W double check valve with 1 1/2"" threaded connection helps to prevent backflow and back siphonage contamination in domestic, public and commercial buildings. Suitable for use with wholesome (potable) water to 85°C, it has a shell pressure rating of PN16 with a maximum inlet/working pressure of 16 bar.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Crane D220W wras dcpn16 dzr dbl check d220w 1.1/2 in",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/45/NW-K22942_K22945_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_Wras_D220W_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_Wras_D220W_Installation.pdf,,,,,,,,,,
20,PK84083,Socla EA453 single check valve PN16 DN150,Socla,1480.71,"Certified to NF anti-pollution norms, the Socla PN16 DN150 non-return valve EA 453 is designed for the protection of drinking water against polluted backflow with no recognised toxic or microbiological risk to human health. This single check valve is especially well suited for mounting after a water meter.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Socla EA453 single check valve PN16 DN150",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/83/NW-K84081_K84083_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Socla_EA453_Technical.pdf,,,,,,,,,,,
21,PK74238,JET Range DZR DZR copper x copper double check valve 50mm,JET Range,102.62,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 50mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range DZR DZR copper x copper double check valve 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
22,PK74699,JET Range WCV-SP single plate check valve 65mm,JET Range,347.96,"This JET Range WCV-SP 65mm 16PN single plate check valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range WCV-SP single plate check valve 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/04/NW-K74698_K74704_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
23,PK74237,JET Range DZR DZR copper x copper double check valve 40mm,JET Range,79.31,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 40mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range DZR DZR copper x copper double check valve 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
24,PK74700,JET Range WCV-SP single plate check valve 80mm,JET Range,304.08,"This JET Range WCV-SP 80mm 16PN single plate check valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range WCV-SP single plate check valve 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/04/NW-K74698_K74704_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
25,PK84081,Socla EA453 single check valve PN16 DN80,Socla,605.62,"Certified to NF anti-pollution norms, the Socla PN16 DN80 non-return valve EA 453 is designed for the protection of drinking water against polluted backflow with no recognised toxic or microbiological risk to human health. This single check valve is especially well suited for mounting after a water meter.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Socla EA453 single check valve PN16 DN80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/83/NW-K84081_K84083_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Socla_EA453_Technical.pdf,,,,,,,,,,,
26,PK74209,Rubinetterie 24 spring check valve (BSP) 65mm Brass,Rubinetterie,91.66,"Designed to make sure that liquid or gas flows in just one direction, this 24 PN12 spring single check valve with 65mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 12 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Rubinetterie 24 spring check valve (BSP) 65mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
27,PK22940,Crane wras dcpn16 dzr dbl check d220w 3/4 in,Crane,236.9,"Suitable for domestic or commercial applications, this WRAS approved Crane DCPN16 DZR d220W 3/4"" double check valve allows for installation on horizontal or vertical pipework. A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Crane wras dcpn16 dzr dbl check d220w 3/4 in",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/40/K22940_wm.jpg,,N,0JG93386V,Check,N,DZR brass construction,BSP tapered connection,,,,,,BSP Taper,Single,DZR Brass,3/4,BS EN 13959,Suitable for maximum working pressure of PN16,Meets BS EN 13959 standard,WRAS approved for potable water to 85°C
28,P255683,Midland Brass double check valve (DZR) 22mm (10),Midland Brass,7.3,"Made of DZR brass, this Midland Brass 22mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass double check valve (DZR) 22mm (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/83/255683_wm.jpg,22 mm,N,TBFDCV-22,Check Valve,N,DZR brass construction,22mm size,,,,10,,,,,,,,,
29,PK15184,Crane FM463 double door wafer check valve PN16 65mm Cast Iron,Crane,700.71,"The Crane FM463 PN16 65mm double door wafer check valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Crane FM463 double door wafer check valve PN16 65mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/91/NW-K15184_K15191_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_FM463_FM466_FA463_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FM463_FA463_FM466_Install.pdf,,,,,,,,,,
30,PK22939,Crane D220W wras dcpn16 dzr dbl check d220w 1/2 in,Crane,152.33,"Made of DZR brass, this Crane D220W double check valve with 1/2"" threaded connection helps to prevent backflow and back siphonage contamination in domestic, public and commercial buildings. Suitable for use with wholesome (potable) water to 85°C, it has a shell pressure rating of PN16 with a maximum inlet/working pressure of 16 bar.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Crane D220W wras dcpn16 dzr dbl check d220w 1/2 in",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/89/581089_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_Wras_D220W_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_Wras_D220W_Installation.pdf,,,,,,,,,,
