,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Attachment 5,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11
10,PD08165,Bristan Evo KIT01 2M C evc shower kit Chrome,Bristan,55.81,"This Bristan Evo shower kit includes a large single function, easy-clean handset and 2M long shower hose.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Bristan Evo KIT01 2M C evc shower kit Chrome,,1x riser rail;2x wall brackets;1x slider;4/4x fixings;1x hose;1x Single function handset,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/65/NW-D08164_D08165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_EVCKIT012MC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_EVCKIT01_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_EV_KIT01_C_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PC43264,Deva Spares-tapware universal conversion kit Chrome Plated,Deva,16.61,"This Deva universal chrome-plated tap conversion kit includes two replacement tap heads and connections designed for compatibility with most basin, sink or bath taps.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Deva Spares-tapware universal conversion kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/64/NW-C43264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_MCK001_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PN42408,Multipanel high grab adhesive 290ml,Multipanel,7.92,Multipanel high grab panel adhesive provides secure fixing of Multipanel bathroom wall and ceiling panels.,Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Multipanel high grab adhesive 290ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/08/UP-N42408_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/GrantWestfield_Grab_Pnl_Adhesiv_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Multipanel_NeutralsCllctn_Brcr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD62499,Mira Advance Flex advance flex fittings kit,Mira,70.75,This Mira Advance Flex fittings kit makes installation of the Advance Flex easy.,Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Mira Advance Flex advance flex fittings kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/99/NW-D62499_wm.jpg,,,,,Chrome,,,,1 year,N,,,,,1.1785.625,Fittings Kit,N,Chrome finish,1 year warranty,,,,,Advance Flex,,,,,,
14,PD61765,Mira Beat slide bar White/Chrome Plated,Mira,48.15,"Easy to install, the Mira Nectar white and chrome slide bar adjusts for fitting to existing screw holes with variable fixing points.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Mira Beat slide bar White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/65/NW-D61765_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD02614,Saracen curtain rod 1200 x 1200mm Stainless Steel,Saracen,58.67,"The strong, durable Saracen polished stainless steel shower curtain rod is supplied with zinc-plated mild steel wall brackets, chrome-plated zinc die-cast covers, chrome-plated ABS ceiling support brackets and 24 rings.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Saracen curtain rod 1200 x 1200mm Stainless Steel,,Shower curtain rod;6x fixing screws;6x wall plugs;Hex head key;3x spare grub screw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/14/NW-D02614_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Saracen_D02614_Curtain_Rod_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02614_Curtain_Rod_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD80250,Bristan Prism shower pack,Bristan,460.74,Sleek and contemporary design with fingertip touch practicality that's effortless to use and easy to clean.,Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Bristan Prism shower pack,,PM2 SHCDIV C;200mm Fixed Head;Wall Arm;Wall Outlet;1.5m Hose;Single Function Handset,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/50/NW-D80250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD51385,Aqualisa Midas 100 bar shower and kit Chrome Plated,Aqualisa,188.62,"Smartly modern, the Aqualisa Midas 100 bar mixer shower offers high levels of performance and control, ideal for family bathrooms. With its slimline bar valve, the sleek Midas 100 includes both integrated flow and temperature controls and a temperature override button to ensure safety for the smallest showerers.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Aqualisa Midas 100 bar shower and kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/85/NW-D51385_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Midas_100_MD100BAR_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Midas_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PC16324,Delabie Securitherm Premix thermostatic shower panel top entry 15mm,Delabie,718.59,"This Douglas Delabie pre-assembled anodized aluminium shower panel is fitted with an automatic shut-off shower mixer and vandal-proof fixed showerhead with easy-clean, scale-proof nozzles. The angle of spray can be adjusted and locked by the installer and safety features include thermostatic control and shut-off in case of hot or cold supply failure.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Delabie Securitherm Premix thermostatic shower panel top entry 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/24/NW-C16324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/DouglasDelabie_79230015_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ns/tl/Delabie_SecurithermShowerPanel_Instl.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/DouglasDelabie_79230015_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Delabie_SecurithermShowerPanel_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Delabie_ShowerPanel_Certificate.pdf,,,,,
19,PD08167,Bristan Evo evc shower kit Chrome,Bristan,68.58,This Bristan Evo shower kit includes a range of shower accessories in a chrome finish.,Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Bristan Evo evc shower kit Chrome,,"1.5 M easy-clean hose, adjustable fixing brackets, multi-function rub-clean anti-limescale handset and hose retainer",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/67/D08167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PD63827,Ideal Standard Idealrain Soft dual shower kit for exposed mixer shower,Ideal Standard,435.5,"The Ideal Standard Idealrain Soft M1 shower kit includes a three function showerhead, diverter, an Idealflex hose and adjustable wall brackets for flexible installation.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Ideal Standard Idealrain Soft dual shower kit for exposed mixer shower,,Long shower pipe;Integrated diverter;Adjustable solid wall bracket;Round head shower;Bended arm fixed to the wall bracket;Ideal flex hose;3 function h;spray;Slider;Push button,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/27/NW-D63827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_A5691_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/IS_A5691_Spare_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/IS_A5691_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD53194,Aqualisa Mian 3 mode handset 110mm Chrome,Aqualisa,110.18,"This Aqualisa adjustable shower kit includes a 110mm chrome-plated stainless steel rail, a 106mm three spray pattern shower handset and a 1.5M metal hose. The rail incorporates a push button slider for effortless adjustments.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Aqualisa Mian 3 mode handset 110mm Chrome,,Handset;Metal hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/94/NW-D53194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aqualisa_ACY1010_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PD61469,Mira Logic fittings kit Chrome Plated,Mira,76.66,"Including a hose, showerhead, soap dish and slide rail, the Mira Logic shower fittings kit provides a quick, contemporary refresh in any bathroom. Compatible with any shower on any system, this kit provides simple, fast installation via adjustable fixing centres on the slide rail.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Mira Logic fittings kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/69/NW-D61469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_LogicShower_Fittings_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PA66806,Bristan Prism dual control shower pack,Bristan,560.18,"The Bristan Prism shower pack includes a Prism shower valve with integral two outlet diverter along with a 200mm single function round showerhead, shower arm and adjustable riser. Easy to install, this shower is designed for UK wall cavities.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Bristan Prism dual control shower pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/06/NW-A66806_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_PRISMSHWRPK2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mb/ly/Bristan_CAS_KIT02_C_Assembly.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_PRISMSHWRPK2_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC05633,Ideal Standard Idealrain BC544 stick handspray kit,Ideal Standard,138.64,"Made of brass with a chrome-plated finish, this Ideal Standard Idealrain stick hand spray kit incorporates a single function handheld shower, a 1600mm smooth shower hose and an elbow bracket.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Ideal Standard Idealrain BC544 stick handspray kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/33/NW-C05633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_Essentials_2021_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C05633_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PC30400,Ideal Standard Trevi CTV folding shower seat and legs White,Ideal Standard,575.1,"A compact design, the wall-mounted Ideal Standard folding shower seat is designed to be folded neatly against a wall when not in use. Ideal for family bathrooms, this comfortable padded seat is fitted with strong, secure legs capable of holding weights of up to 210kg and adjustable feet for sturdy use on uneven floors. Easy to clean, this white shower seat is free from dirt traps, ensuring hygienic use.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Ideal Standard Trevi CTV folding shower seat and legs White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/00/NW-C30400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Blue_Book_Showers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C30400_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6850_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
