,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Area (m2),Range,Warranty,Hazardous,Output (W),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Diameter,Dimensions (L x W x D),Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Connection Size,Material,Number of Ports,Depth (mm),Feature 17,Thickness,Connection Type,Operating Temperature,Sector,Model For Use With
10,P222642,"Warmup StickyMat 2SPM4 floor traffic mat area 4mSQ, 800W 200W/mSQ",Warmup,143.99,"Fast and easy to install, the Warmup 2SPM4 4M² 800W StickyMat is a low profile alternative to traditional water-based underfloor heating. Each mat in the StickyMat range features an ultra-fine heating wire, evenly spaced and taped into glass fibre mesh matting for simplified electric underfloor heating. Pressure-sensitive adhesive backed, this matting effortlessly attaches to a subfloor though it can be easily respositioned if required.","Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Warmup StickyMat 2SPM4 floor traffic mat area 4mSQ, 800W 200W/mSQ",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/20/E00410_20_wm.jpg,,,,,,,4,StickyMat,Lifetime limited manufacturer warranty,N,800,222642 PK,Electric Underfloor Heating,N,Fast installation,Uses 1.8mm heating wire for no increase to floor levels,Self-adhesive backing for ease of repositioning,Compatible with all floor finishes,Cable can be removed from mat to fit around difficult objects,Lifetime limited manufacturer warranty,,,,,,,,,,,,,,,,,,,,,,
11,P518909,Polypipe stainles steel manifold control pack,Polypipe,534.19,"Suitable for use alongside stainless steel manifolds, this Polypipe UFCH manifold control pack is used to keep temperatures reliably consistent in an underfloor system. Usually set between 30°C and 60°C, this easy to use control pack ensures that your UFCH system is both safe and comfortable.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Polypipe stainles steel manifold control pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/09/NW-518909_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Polypipe_UFH_Product_Guide_2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P262493,Myson Floortec multi layer pipe coiled 16/2mm x 400mtr,Myson,1216.0,"With a 16mm diameter, this 400M coil of Myson Floortec multilayer flexible pipe is easy to install and offers compatibility with almost all Myson Floortec underfloor heating systems.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Myson Floortec multi layer pipe coiled 16/2mm x 400mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/93/262492_262493_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P517883,JG Underfloor Speedfit UFH spreader plate (TJI Joist),JG Underfloor,11.16,"Designed for use with composite joists, these JG Underfloor Speedfit spreader plates are fixed from below. Speedfit underfloor heating pipe is fixed into the grooves of the plates and insulation is fitted in the void below to minimise downward heat loss.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Speedfit UFH spreader plate (TJI Joist),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/83/517882_517883_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P567632,Wavin Wavin Hep2O Underfloor Heating 15UH510 underfloor heating composite manifold starter pack,Wavin,148.59,"A complete kit for underfloor heating installation, this Wavin Hep2O starter pack includes a full composite manifold with combined inlets and flow as well as pressure and temperature gauges. This UFH pack is suitable for domestic and light commercial installations.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Wavin Wavin Hep2O Underfloor Heating 15UH510 underfloor heating composite manifold starter pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/32/567632_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Hep2O_Wavin_UFH_Manifold_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P581501,JG Underfloor Speedfit 12BLKCON-25C black conduit 12mm - 25mtr coil,JG Underfloor,29.61,"This John Guest Speedfit 12mm conduit pipe, supplied in a 25M coil, provides a cover and blanket for Speedfit PEX or polybutylene pipe. This ensures installers meet Water Regulations, which require pipes to be removable when installed in concrete or masonry.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Speedfit 12BLKCON-25C black conduit 12mm - 25mtr coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/01/NW-581501_wm.jpg,,,,,,,,Speedfit,,N,,12BLKCON-25C,Conduit Pipe,N,For use with PEX and polybutylene pipes,Hardwearing corrugated design,Colour-coded for easy identification,Dimensions of 12mm x 25M,,,,,,,,,,,,,,,,,,,,,,,,
16,P581499,JG Underfloor Layflat layflat polybutyle pipe coil 12mmx80m,JG Underfloor,171.35,"Offering improved flexibility compared to standard polybutylene pipe, this JG Layflat 12mm barrier pipe, supplied in an 80M length, helps to make laying long pipe runs and cabling through joists quick and simple. This flexible pipe significantly reduces the need for fittings compared to copper pipe systems, saving on costs and labour. Highly convenient, after being removed from its coil, this pipe 'lays flat and stays flat', meaning there's no annoying spring back or wrestling to keep pipe in place. Consisting of five layers, Layflat pipe has a coloured oxygen barrier at its centre, preventing air ingress to reduce costly corrosion on metal components.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Layflat layflat polybutyle pipe coil 12mmx80m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/99/NW-581498_581499_wm.jpg,,,,,,,,Layflat,,N,,12BPB-80C,Barrier Pipe,N,80M length,"Ultra-flexible pipe for fast, simple cabling",Lightweight pipe material,Resists corrosion and scale build-up,Reduced risk of pin hole leaks and blockages,Pipe elasticity reduces risk of burst pipes in freezing conditions,12 mm,80 m,Significant reduction in water hammer noise,"Safe, non-toxic material","Suitable for long runs, ideal for underfloor heating",Standard UK plumbing sizes for reduced waste,Easy to handle,"Won't need flames, flux or chemicals",,,,,,,,,,,,,,
17,PP95911,"Uponor UNI-C manifold L 3 pole 3/4 x 1/2""",Uponor,33.31,This plated-brass Uponor UNI-C three port manifold with valve allows each underfloor heating circuit to be isolated.,"Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Uponor UNI-C manifold L 3 pole 3/4 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/11/P95910_P95911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_A5_Price_2020_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_MLC_Sales_2014_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P581498,JG Underfloor Layflat layflat polybutyle pipe coil 12mmx50m,JG Underfloor,107.11,"Offering improved flexibility compared to standard polybutylene pipe, this JG Layflat 12mm barrier pipe, supplied in a 50M length, helps to make laying long pipe runs and cabling through joists quick and simple. This flexible pipe significantly reduces the need for fittings compared to copper pipe systems, providing savings on cost and labour. Highly convenient, after being removed from its coil, this pipe 'lays flat and stays flat', meaning there's no annoying spring back or wrestling to keep pipe in place. Consisting of five layers, Layflat pipe has a coloured oxygen barrier at its centre, preventing air ingress to reduce costly corrosion on metal components.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Layflat layflat polybutyle pipe coil 12mmx50m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/99/NW-581498_581499_wm.jpg,,,,,,,,Layflat,,N,,12BPB-50C,Barrier Pipe,N,50M length,"Ultra-flexible pipe for fast, simple cabling",Lightweight pipe material,Resists corrosion and scale build-up,Reduced risk of pin hole leaks and blockages,Pipe elasticity reduces risk of burst pipes in freezing conditions,12 mm,50 m,Significant reduction in water hammer noise,"Safe, non-toxic material","Suitable for long runs, ideal for underfloor heating",Standard UK plumbing sizes for reduced waste,Easy to handle,"Won't need flames, flux or chemicals",,,,,,,,,,,,,,
19,PP05171,"Uponor Vario S FM manifold eurocone 6 x 3/4""",Uponor,254.75,"This Uponor Vario S six port stainless steel manifold is suitable for use in radiant heating and cooling systems. With 3/4"" Eurocone connectors all Uponor pipe dimensions are compatible, making this manifold suitable for all Uponor underfloor heating and cooling systems.","Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Uponor Vario S FM manifold eurocone 6 x 3/4""",,Manifold;Fill ;drain points;1 inch ball valve;Valve pins for actuator control,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/41/1086541_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/pn/Uponor_Smart-S_PN.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Vario_S_Manifold_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P262689,Myson Floortec coil 17 x 2mm 600mtr,Myson,1416.0,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 500M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Myson Floortec coil 17 x 2mm 600mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P262687,Myson Floortec coil 17 x 2mm 120mtr,Myson,283.2,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 120M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Myson Floortec coil 17 x 2mm 120mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
