,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Style,Warranty,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Thickness,Frame Colour,Feature 10
10,PD65153,Coram Optima 6 sliding door 1400 x 1900mm Glass/Chrome Finish,Coram,346.97,"The 1400 x 1900mm Coram Optima 6 sliding door shower enclosure offers a spacious solution for larger showering areas. Easy to clean, with quick-release rollers and ultra-clear seals and fast and simple to install with Cam and Pin fitting and Level and Lock screw-free adjustment, the Optima 6 makes life easy for installers and users alike.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Coram Optima 6 sliding door 1400 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/53/UP-D65149_D65153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Sliding_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Sliding_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,
11,PD28570,Merlyn MBOX sliding shower door moving panel 1400-1700mm,Merlyn,93.89,"Combining practicality and style, the 1400-1700mm Merlyn MBox shower enclosure moving panel sliding door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Merlyn MBOX sliding shower door moving panel 1400-1700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/70/UP-D28562_D28570_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_SlidingDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_SlidingDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
12,PD28376,Mira Leap double sliding doors only 516mm,Mira,312.26,"The Mira Leap double sliding doors meet the needs of multi-generational households without compromising on floor space or style, ideal for a bath replacement in an alcove or corner. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Mira Leap double sliding doors only 516mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/76/UP-D28373_D28376_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_DoubleDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_DoubleDoor_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,PD65150,Coram Optima 6 sliding door 1100 x 1900mm Glass/Chrome Finish,Coram,294.97,"The 1100 x 1900mm Coram Optima 6 sliding door shower enclosure offers a spacious solution for larger showering areas. Easy to clean, with quick-release rollers and ultra-clear seals and fast and simple to install with Cam and Pin fitting and Level and Lock screw-free adjustment, the Optima 6 makes life easy for installers and users alike.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Coram Optima 6 sliding door 1100 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/53/UP-D65149_D65153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Sliding_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Sliding_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,
14,PJ02185,Ideal Standard Synergy L6289 slider pack 1200mm Silver/Clear,Ideal Standard,791.73,"Made with thick, 8mm reinforced glass, this Ideal Standard Synergy 1900 x 1200mm slider door is coated with an Ideal Clean easy-clean finish, requiring less elbow grease for that high shine. The frame is finished in bright silver,",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Ideal Standard Synergy L6289 slider pack 1200mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/85/NW-J02185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_L6289_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD00548,Ionic Express slider shower enclosure pack 1400mm,Ionic,886.06,"This 1400mm Ionic Express sliding door shower enclosure pack includes both a fixed and moving panel in 6mm toughened glass. Treated with Mershield Stayclear for easier cleaning, the moving panel has smooth, easy-clean double rollers while double fin seals increase water retention for leak-free use.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Ionic Express slider shower enclosure pack 1400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/49/UP-D00548_D00549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Express_Sliding_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,PD28373,Mira Leap double slider panels only 1500mm,Mira,279.14,"The Mira Leap 1500mm double slider panel meets the needs of multi-generational households without compromising on floor space or style, ideal for a bath replacement in an alcove or corner. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Mira Leap double slider panels only 1500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/76/UP-D28373_D28376_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_DoubleDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_DoubleDoor_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,
17,PD00549,Ionic Express slider shower enclosure pack 1700mm,Ionic,976.79,"This 1700mm Ionic Express sliding door shower enclosure pack includes both a fixed and moving panel in 6mm toughened glass. Treated with Mershield Stayclear for easier cleaning, the moving panel has smooth, easy-clean double rollers while double fin seals increase water retention for leak-free use.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Ionic Express slider shower enclosure pack 1700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/49/UP-D00548_D00549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Express_Sliding_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,
18,PD65152,OPTIMA6 SLIDING DOOR 1300X1900 GLASS CH,Coram,322.93,"The 1300 x 1900mm Coram Optima 6 sliding door shower enclosure offers a spacious solution for larger showering areas. Easy to clean, with quick-release rollers and ultra-clear seals and fast and simple to install with Cam and Pin fitting and Level and Lock screw-free adjustment, the Optima 6 makes life easy for installers and users alike.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> OPTIMA6 SLIDING DOOR 1300X1900 GLASS CH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/53/UP-D65149_D65153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Sliding_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Sliding_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,
19,PD28371,Mira Leap sliding door only 1200mm,Mira,412.49,"The Mira Leap 1200mm sliding door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Mira Leap sliding door only 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/72/UP-D28369_D28372_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_SlidingDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_SlidingDoor_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,
20,PD55490,Merlyn 6 Series sliding door 1200mm,Merlyn,502.92,"Robust and easy to clean, the Merlyn 6 Series 1200 x 2000mm sliding door features quick-release double rollers and easy-clean glass treatment for hassle-free day-to-day maintenance. This toughened glass shower door has a smart aluminium frame with attractive chrome finish and two designer handles for effortlessly smooth opening and closing.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Merlyn 6 Series sliding door 1200mm,,Shower Enclsoure,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/90/D55490_wm.jpg,,,,,Chrome,6 Series,Framed,Lifetime,N,100,Aluminium,M68241,Slider,N,With 6mm toughened glass,Mershield Stayclear protection for easy cleaning,With quick-release easy-clean double rollers,With double handle,Can be used with 2x side panels,Reversible installation,Wetroom compatible,With chrome frame,Lifetime warranty,,,
21,PD29036,Merlyn Ionic Essence sliding door 1200mm Chrome/Clear,Merlyn,433.11,"The stylish Merlyn Ionic Essence 1200mm framed sliding shower door brings together functionality and good looks. Built in toughened glass treated with Mershield Stayclean and incorporating high quality 'clunk' close, colour-matched chrome magnetic seals and concealed fittings, this door offers easy cleaning and reversible installation.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Merlyn Ionic Essence sliding door 1200mm Chrome/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/UP-D29036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_Essence_FSlidingDoor_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_Essence_FSlidingDoor_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,
