,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Fuel Type,Range,Hazardous,Seasonal Space Heating Energy Efficiency %,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 6,Boiler Bundles,Flow Rate,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Feature 15,Feature 16,Feature 17,Feature 18,Max Vertical Level Flue Length (metres),Boiler Section,Boiler Range,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class,Max High Level Flue Length (metres),Preset Pressure Relief Valve (Bar),Dry Weight (kg),Feature 19,Feature 20,Attachment 7,Attachment 8
10,P333071,Vaillant Ecotec Plus 2 832 horizontal flue pack,Vaillant,1473.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 832 boiler and a compatible horizontal flue.,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant Ecotec Plus 2 832 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/71/333071_wm.jpg,,,,,,,,Ecotec Plus 2,N,,333071 PK,,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P333829,Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler and flue pack 35kw,Worcester Bosch,1470.0,"A worthy successor to the perennially popular CDi Classic, with all the same connections for ease of replacement, the Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler pack with flue is just as reliable while also offering simplified installation, service and maintenance. Lightweight and easy to use, this ErP A-rated 30kW combi is fitted with an intuitive LCD display and offers the option for wireless smart operation using the Bosch EasyControl. Compatible with the state of the art Greenstar Intelligent Filling System, the efficient 8000 Life makes heating a home effortless.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler and flue pack 35kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/333826_30 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/333826-30_Worcester_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/333826-30_Worcester_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P333186,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler and flue 25kW,Worcester Bosch,1020.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 25kW condensing combi boiler is supplied with a flue for quick fitting in one easy job. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler and flue 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/333186_333192_PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P333987,Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler pack 35kW White,Worcester Bosch,1417.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG is designed as a direct replacement for the ever popular CDi Classic, so while its just as reliable it also benefits from improved efficiency, flexibility and usability. Blending seamlessly into any home, installation of the 8000 Life is faster and easier owing to a reduced lift weight compared to its predecessor plus the familiar layout with all the same fixture points. Daily use of this boiler is simpler too thanks to a full colour text display and the option to hook up to Bosch's EasyControl smart thermostat. The 35kW 8000 Life boasts an ErP A rating to help keep fuel bills and emissions low.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler pack 35kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,,Natural Gas,Greenstar 8000 Life,N,,333987 PK,Condensing Combi Boiler,N,Direct replacement for the Worcester Bosch CDi Classic,"Easier installation, servicing and maintenance",Full colour text display and push button boiler control,Simple switch from CDi classic with same fixing points and connections,Greenstar Intelligent Filling System,Reduced lift weight compared to the CDi classic,Full wireless connectivity with the Bosch EasyControl,8 year guarantee,,,,,,,,"333829, 333987",13 L/min @ 40°C,8 years,47 kg,A,A,35 kW,365,94,Wall Hung,,,,,,,,,,,,,,,,
14,P111337,Worcester 1000 30 kW boiler with free Center RF theromstat,Worcester,711.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 1000 30 kW boiler with free Center RF theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/37/111337_wm.jpg,,,,,,,,,N,,111337 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P333487,Baxi 636 7796588 combi 2 boiler only pack,Baxi,919.99,"Lightweight and compact, the Baxi 636 Combi 2 boiler offers easy installation and reliable operation thanks to its robustly built brass hydraulic block, pre-heated condensate trap and stainless steel heat exchanger. Suitable for use with natural gas or LPG, this 36kW boiler is highly efficient, earning it an ErP A rating for both heating and hot water.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Baxi 636 7796588 combi 2 boiler only pack,,114285,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/85/114285_wm.jpg,,,,,,,Natural Gas / LPG,636,N,,333487 PK,Boiler - Combi,N,Lightweight design for ease of fitting,Compact cupboard fit,With stainless steel heat exchanger,Tough brass hydraulic block,With Easy-Fill permanent filling link,Pre-heated siphonic condensate trap reduces risk of freezing,Combined PrV with seperate drain for easy maintenance,Removeable easy-access wiring blocks,Certified Opentherm,Compatible with natural gas or LPG,ErP A rating,7 year parts and labour warranty,,,,,15.0 lpm,7 Years Parts and Labour,32.3 kg,A,A,36 kW,285,94,hanging bracket,,,,,,,,,,,,,,,,
16,P333078,Worcester 4000 25 kW boiler flue & comfort pack,Worcester,1138.0,"Making specification and fitting simple, this complete boiler pack is built around the Worcester Bosch 4000 25kW boiler and a compatible flue.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 4000 25 kW boiler flue & comfort pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/_b/333078_B_wm.jpg,,,,,,,,,N,,333078 PK,,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P333718,Ideal Vogue Max Combi 32 boiler and horizontal flue pack,Ideal,1378.0,"Stylishly designed, the wall-mounted Ideal Vogue Max 32 combi boiler is built using high quality components for the perfect blend of looks and practicality. A lightweight, single-piece unit, this 32kW combi has a smart composite casing with a bright, backlit LCD display, providing all the details both homeowner and engineer will need for daily use, commissioning and fault identification at a glance. Supplied with a horizontal flue for ease of installation, the Vogue Max delivers fast, reliable hot water as well as heating, all with extremely high levels of efficiency for an ErP A rating.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Vogue Max Combi 32 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333717_19 PK_wm.jpg,,,,,,White/Gloss,Natural Gas,Vogue Max Combi,N,A,333718 PK,Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Single piece unit for fast installation,Low lift weight,Premium product featuring best components available,Stylish composite design,Damped opening control cover,"User-friendly backlit 3.5"" full colour LCD display with plain text and graphics",Large rotary control dials,Full text support for fault modes,Easy to read pressure gauge,Service timer with telephone number display/service display,DHW flow rate 13.1LPM at 35°C,Compatible with Ideal controls,Full sequence automatic spark ignition,,,,,,,,,,,,Fan-assisted combustion,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,12 year warranty,,,,,,,,,,,,
18,P111983,Worcester 2000 30 kW boiler with free Center RF theromstat pack,Worcester,890.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 2000 30 kW boiler with free Center RF theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/83/111983_wm.jpg,,,,,,,,,N,,111983 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P333539,Worcester Bosch Greenstar 2000 GR2300iW 25 C NG combi boiler only pack 25kW,Worcester Bosch,700.0,"Suitable for apartments and small-medium houses, the Worcester Bosch Greenstar 2000 GR2300iW 25 C NG combi boiler pack is ideally suited to serving single bathroom properties. Fully compatible with third party external 230V controls as well as a wide range of Worcester mechanical and connected controls, this 25kW combi offers ErP A-rated levels of efficiency alongside excellent reliability.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 2000 GR2300iW 25 C NG combi boiler only pack 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/26/113026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_2000_Instal_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_2000_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_2000_Operating_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/WB_GR2300iW_25_C_NG_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
