,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Feature 2,Feature 3,Feature 4,Range,Max Set Pressure,Maximum Operating Temperature,Exhaust Port Size,Thread Size,Part Gas Council number,Weight
10,P466082,Hamworthy Seqnce control (SE),Hamworthy,445.16,"This Hamworthy Seqnce control is suitable for Hamworthy 200 HE, 50 HE and 200 County boilers.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy Seqnce control (SE),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/82/NW-466082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Wessex-200_Install.pdf,,,,,,,,,,,,,,,,,
11,P409267,Hamworthy customer de-scale kit (for modumax 110/220),Hamworthy,270.96,"This Hamworthy de-scale kit is suitable for maintenance of Hamworthy ModuMax Mk1 110 HE, Mk1 220 HE and Mk1 160 HE.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy customer de-scale kit (for modumax 110/220),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/67/409267_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxEco_Install.pdf,,,,,,,,,,,,,,,,,
12,P409626,Hamworthy nitrile 70 shore OD 3.53 x ID 53.75,Hamworthy,0.85,"This Hamworthy 53.75mm inside diameter O-ring has a tough nitrile 70 shore construction for resistance to oil, grease and chemicals. It is suitable for boilers in the Hamworthy PV range. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy nitrile 70 shore OD 3.53 x ID 53.75,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/26/NW-409625_409626_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell65-125HE_Install.pdf,,,,,,,,,,,,,,,,,
13,P443013,Hamworthy main PCB assembly,Hamworthy,790.02,"This Hamworthy main PCB assembly is suitable for use in the brand's fully automatic PC, PI and W boiler ranges.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy main PCB assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/13/NW-443013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell40-120KW_Install.pdf,,,,,,,,,,,,,,,,,
14,P466312,Hamworthy flame probe (Variheat),Hamworthy,50.73,A genuine Hamworthy replacement flame probe for PV boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy flame probe (Variheat),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/12/NW-466312_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell65-125HE_Install.pdf,,,,,,,,,,,,,,,,,
15,P443022,Hamworthy flame probe lead,Hamworthy,43.29,A Hamworthy replacement flame probe lead for P and HE range boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy flame probe lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/22/NW-443022_wm.jpg,,N,x  x,563901248,Flame Probe Lead,N,"P105,P70LL,P70,P80,P50,W 60,P60,P40,W 95,P95,P100LL,P40LL,P120,W 140",,,,,,,,,,,
16,P409628,Hamworthy 533805021 flame probe,Hamworthy,34.96,A genuine Hamworthy replacement flame probe for the brand's F range boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy 533805021 flame probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/28/NW-409628_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
17,P409629,Hamworthy spark ignitor,Hamworthy,38.29,A Hamworthy replacement spark igniter for boilers in the F range.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy spark ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/29/NW-409629_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Upton_Install.pdf,,,,,,,,,,,,,,,,,
18,P466197,Hamworthy service kit (Wessex),Hamworthy,89.8,A Hamworthy brand service kit specifically for the Hamworthy 50 HE.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy service kit (Wessex),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/97/NW-466197_wm.jpg,,N,x  x,563605179,Service Kit,N,,,,,,,,,,,,
19,P443007,Hamworthy damper motor,Hamworthy,231.23,This Hamworthy damper motor is suitable for use with a range of Hamworthy fully automatic boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy damper motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/07/NW-443007_wm.jpg,,N,,563901281,Damper Motor,N,"PC 70,PC 60,PC 120,PC 80,PI 70,PC 105,PI 40,PI 100,PC 50,PC 95,PC 40",Boiler part,,,,,,,,,,
20,P466319,Hamworthy routine service kit,Hamworthy,127.08,A Hamworthy routine service kit for PV range units.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy routine service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/19/NW-466319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell65-125HE_Install.pdf,,,,,,,,,,,,,,,,,
21,P409264,Hamworthy variheat customer annual service kit,Hamworthy,181.82,A Hamworthy annual service kit for the Purewell Variheat C boiler.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy variheat customer annual service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/64/NW-409264_wm.jpg,,N,x  x,563605555,Annual Service Kit,N,,Reliable,Qualified,Trustworthy,Experienced,,,,,,,
22,P409266,Hamworthy LMU64 LMU64 controller (for wessex modumax 220NG),Hamworthy,389.76,A Hamworthy LMU64 220WM NG programmer for use with the Wesses Modumax 220 NG.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy LMU64 LMU64 controller (for wessex modumax 220NG),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/66/NW-409266_wm.jpg,,N,x  x,533901448,Programmer Controller,N,"250 C,220 C",Reliable,Qualified,Trustworthy,Experienced,LMU64,,,,,,
23,P444735,Hamworthy pilot gas valve,Hamworthy,234.15,"This Hamworthy pilot gas valve is compatible with a wide selection of Hamworthy boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy pilot gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/35/NW-444735_wm.jpg,,N,,533903015,Pilot gas valve,N,"PC 120,PC 60,PC 80,P105,W 80,P80,PI 40,PC 105,W 60,P60,P40,PC 40,PI 100,PC 70,P70,P70LL,PI 70,P50,W 95,P95,P100LL,PC 50,PC 95,P40LL,P120,W 140,W 120",,,,,,60 mbar,60,,,,
24,P443002,Hamworthy hot surface igniter,Hamworthy,144.26,"This Hamworthy hot surface igniter is compatible with PC, PI and W boilers. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy hot surface igniter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/02/NW-443002_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell40-120KW_Install.pdf,,,,,,,,,,,,,,,,,
25,P443074,Hamworthy thermocouple,Hamworthy,20.5,"This Hamworthy thermocouple is suitable for Hamworthy P, PC, PPI and UR boilers. Made of two metals, each producing a slight electrical charge when heated on one side, the thermocouple is involved in the opening and closing of the boiler's gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy thermocouple,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/74/NW-443074_wm.jpg,,N,x  x,747439864,Thermocouple,N,"PC 120,PC 60,PC 80,P105,P80,PI 40,PC 105,P60,P40,PC 40,UR 430,UR 470,UR 250,UR 265LL,PI 100,PC 70,P70LL,P70,PI 70,P50,UR 384LL,P95,P100LL,PC 50,UR 300,PC 95,UR 365,P40LL,UR 180,P120",,,,,,,,,,,
26,P444719,Hamworthy probe (200HE),Hamworthy,42.62,This Hamworthy brand probe is suitable for 200 HE and 200 County boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy probe (200HE),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/19/NW-444719_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Wessex-200_Install.pdf,,,,,,,,,,,,,,,,,
27,P409268,Hamworthy ametek fan,Hamworthy,782.36,"This Hamworthy replacement fan is suitable for Hamworthy ModuMax Mk1 110 HE, Mk1 120 C, Mk1 100 C, Mk2 100 C and Mk2 120 C. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy ametek fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/68/NW-409268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxEco_Install.pdf,,,,,,,,,,,,,,,,,
28,P444773,Hamworthy gas valve (V4605E),Hamworthy,226.8,"This Hamworthy gas valve is compatible with a wide selection of Hamworthy boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy gas valve (V4605E),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/73/NW-444773_wm.jpg,,N,,533903016,Gas Valve,N,"PC 60,PC 120,P105,PC 80,P80,W 80,PI 40,PC 105,P60,W 60,P40,PC 40,PI 100,PC 70,P70LL,P70,PI 70,P50,P95,W 95,P100LL,PC 50,PC 95,P40LL,P120,W 140,W 120",,,,,,60 mbar,60,1/2,1/2,,
29,P444075,Hamworthy limit thermostat,Hamworthy,70.51,"This Hamworthy limit thermostat is compatible with a wide variety of Hamworthy boilers, including those in the ModuMax range. This thermostat uses in built-in sensors to monitor a boiler's temperature, ceasing operation if the maximum selected temperature is reached.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy limit thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/75/NW-444075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxEco_Install.pdf,,,,,,,,,,,,,,,,,
30,P409265,Hamworthy zero governor gas valve,Hamworthy,189.93,"This Hamworthy zero governor gas valve is compatible with Hamworthy ModuMax and other Hamworthy boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy zero governor gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/65/NW-409265_wm.jpg,,N,,533903037,Zero Governor Gas Valve,N,"PV 110 C,PV 125 HE,PV 65 HE,PV 105 HE,PV 85 HE,PV 95 C,PV 70 C,110 C,120 C,PV 140 C,PV 180 C",Reliable,Qualified,Trustworthy,Experienced,,60 mbar,60,,,,
31,P466187,Hamworthy thermocouple,Hamworthy,24.99,"This Hamworthy thermocouple is suitable for Hamworthy UR 180, UR 250, UR 265 Lowline, UR 300, UR 365, UR 384 Lowline, UR 430, UR 470, UR 110 and UR 150 boilers. Made of two metals, each producing a slight electrical charge when heated on one side, the thermocouple is involved in the opening and closing of the boiler's gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy thermocouple,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/87/NW-466187_wm.jpg,,N,x  x,339007844,Thermocouple,N,"UR 430,UR 365,UR 470,UR 250,UR 180,UR 265LL,UR 384LL,UR 300",,,,,,,,,,4135119,
32,P466315,Hamworthy NTC temperature sensor (10K),Hamworthy,12.08,This Hamworthy NTC temperature sensor is suitable for ModuMax and PV boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy NTC temperature sensor (10K),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/15/NW-466315_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
33,P444099,Hamworthy spark electrode.,Hamworthy,38.38,This Hamworthy spark electrode is suitable for the Fully Automatic and HE boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy spark electrode.,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/99/NW-444099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_PurewellAuto_Install.pdf,,,,,,,,,,,,,,,,,
34,P444046,Hamworthy 333801333 flame probe,Hamworthy,35.45,A genuine Hamworthy replacement flame probe for the 50 HE boiler.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy 333801333 flame probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/46/NW-444046_wm.jpg,,N,x  x,333801333,Flame Probe,N,,,,,,,,,,,4135110,
