,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
10,PF57724,Geberit HDPE HDPE electroweld coupling 110mm,Geberit,6.06,"Made of high density polyethylene (HDPE), this Geberit HDPE electrofusion coupling with 110mm solvent weld connections is suitable for a range of uses in building and roof drainage in industrial, commercial and laboratory settings and can be installed in-ground, in concrete or during bridge construction. This fitting is additionally suitable for conventional or siphonic roof drainage systems and in land drainage systems.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Geberit HDPE HDPE electroweld coupling 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/24/NW-F57724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PW12010,Saint Gobain Ensign EC002 two piece ductile coupling 50mm,Saint Gobain,12.29,"This Saint Gobain Ensign EC002 50mm two-piece iron coupling is made of cast iron with a red protective finish, compression connections and inbuilt electrical continuity. Used by flagship hospitals throughout the UK, the strong and long lasting Ensign range helps to maintain a safe environment while providing reliable sanitary drainage and rainwater solutions.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Ensign EC002 two piece ductile coupling 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/12/NW-W12010_W12012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SG_Pipes_and_Fittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_Drainage_Systems_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PQ66774,Wavin Wavin OsmaSoil acoustic coupler 110mm Grey,Wavin,21.34,"Manufactured in robust grey PVC-u, this 110mm Wavin OsmaSoil 110mm acoustic coupler is fitted with socket connections. This fitting helps to minimise problematic soil stack noise, which can be caused by thermal movement or by unexpected contact between the stack and surrounding structure.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Wavin Wavin OsmaSoil acoustic coupler 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/74/NW-Q66774_wm.jpg,,,,Grey,110mm,Socket,110mm,Wavin OsmaSoil,1 year,0.296Kg,N,Polyvinyl Chloride Unplasticized (PVC-U),BBABSIWRAS,4S125G,Acoustic Coupler,N,Grey colour,Limits noise transfer between walls and floors when installed on all floors,Reduces stress on pipework due to thermal movement,Allows pipe to move within body of fitting by up to 18mm,Promotes best practice by managing expansion,Expansion gap visible when installed with access pipe,Suitable for horizontal or vertical installation,"BBA, BSI and WRAS approved",,,,,
13,PF68877,Polypipe double socket 110mm Grey,Polypipe,33.14,"This Polypipe System 2000 double socket is made of grey PVC-U with 110mm push-fit connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Polypipe double socket 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-F68877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PF87170,Marley dBlue MPD coupler 110mm Dark Blue,Marley,29.5,"Offering secure fitting, this Marley dBlue 110mm MPD coupler in dark blue is designed with reliable push-fit connections. With three layers, the dBlue acoustic system provides reliable soundproofing, making it ideal for domestic use, as well as hospital and hotel installation.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Marley dBlue MPD coupler 110mm Dark Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/70/NW-F87170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PQ66868,Wavin OsmaSoil PVC-U pipe couplier 110mm White,Wavin,25.11,"Built for sanitary waste removal, this white PVC-u Wavin OsmaSoil 110mm pipe coupler has socket connections for secure fitting. Suitable for commercial or domestic installation, this fitting is part of a comprehensive waste system available in a range of sizes and colours to suit any location.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Wavin OsmaSoil PVC-U pipe couplier 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/68/NW-Q66868_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC-U_Pipe_Fittings_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PW12017,Saint Gobain two piece ductile coupling 300mm,Saint Gobain,130.68,"Part of the cast iron Kitemark approved Saint Gobain Ensign mechanically jointed above-ground drainage system, this Ensign 300mm two-piece ductile coupling is suitable for use in soil and waste systems as well as in venting, internal rainwater and suspended drainage applications, capable of withstanding 5 bar accidental pressure. Offering excellent fire resistance properties, cast iron is also acoustically extremely quiet as well as being extremely robust, resulting in the potential for a service life in excess of fifty years.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain two piece ductile coupling 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/10/W12010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/SaintGobain_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PW13563,Saint Gobain Rapid EC002NG gas coupling 100mm Stainless Steel,Saint Gobain,17.61,"Made of stainless steel, this Saint Gobain Rapid PAM EC002NG 100mm push-fit standard coupling with single blot offers quick, reliable installation. Offering optimised water-tightness and resistance to both pressure and corrosion, this coupling maintains a maximum hydrostatic accidental pressure of 5 bar when fully restrained and 0.5 bar (5M water head) when unrestrained. The maximum angular deflection supported between two assembled elements is 3°.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Rapid EC002NG gas coupling 100mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/63/NW-W13563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SG_PAM_Soil_&_Drain_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF72184,Saint Gobain Timesaver GT05E eared coupling 100mm,Saint Gobain,43.64,This Saint Gobain Timesaver Heritage GT05E 100mm push-fit joint coupling with ears is made of cast iron with a water-based paint finish. The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.,Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver GT05E eared coupling 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/84/NW-F72184_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF72048,Saint Gobain stepped coupling 75 x 70mm,Saint Gobain,25.82,"This Saint Gobain Timesaver 75 x 70mm stepped coupling is part of a Kitemarked cast iron mechanically jointed above ground drainage system. Designed for use in soil and waste, Timesaver is also suitable for venting, internal rainwater and suspended drainage applications thanks to its ability to withstand accidental pressures of up to 5 bar. In use since the '70s, this range is now most commonly employed for refurbishment projects on original installations and is also used for external soil stacks. Paired with Heritage couplings, Timesaver helps to create the look of traditional socket and spigot soil systems but with all the convenience of push-fit installation.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain stepped coupling 75 x 70mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/48/F72048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/SaintGobain_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PW10138,Saint Gobain Rapid EC002NG natural gas coupling 150mm Stainless Steel,Saint Gobain,35.27,"Made of stainless steel, this Saint Gobain Rapid PAM EC002NG 150mm push-fit standard coupling with single blot offers quick, reliable installation. Offering optimised water-tightness and resistance to both pressure and corrosion, this coupling maintains a maximum hydrostatic accidental pressure of 5 bar when fully restrained and 0.5 bar (5M water head) when unrestrained. The maximum angular deflection supported between two assembled elements is 3°.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Rapid EC002NG natural gas coupling 150mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/38/NW-W10138_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SG_PAM_Soil_&_Drain_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF72290,Saint Gobain Timesaver TD01 2 part coupling 225mm,Saint Gobain,141.13,A Saint Gobain Timesaver 225mm two-part coupling in black.,Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver TD01 2 part coupling 225mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/90/F72290_wm.jpg,,,,Black,,,225mm,Timesaver,,0.32917 kg,N,Cast Iron,BS437,191296,Coupling,N,Cast iron construction,Black colour,Offers high levels of crush resistance,Long service life,Strong design can withstand over-vigorous rodding and jetting,Suitable for installation in unstable ground,Can be installed in shallow trenches,Fewer bedding materials required,Suitable for as dug trenches,Fit and forget design for reduced maintenance,BS437 connectivity with existing cast iron drainage systems,Kitemark approved to BS437,A1 fire rating
22,PF68760,Polypipe double socket pipe coupler 110mm Black,Polypipe,17.59,"This Polypipe System 2000 coupler is made of black PVC-U with 110mm solvent weld connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Polypipe double socket pipe coupler 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/60/NW-F68760_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PW13561,Saint Gobain Rapid EC002NG gas coupling 50mm Stainless Steel,Saint Gobain,12.29,"Made of stainless steel, this Saint Gobain Rapid PAM EC002NG 50mm push-fit standard coupling with single blot offers quick, reliable installation. Offering optimised water-tightness and resistance to both pressure and corrosion, this coupling maintains a maximum hydrostatic accidental pressure of 5 bar when fully restrained and 0.5 bar (5M water head) when unrestrained. The maximum angular deflection supported between two assembled elements is 3°.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Rapid EC002NG gas coupling 50mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/61/NW-W13561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SG_PAM_Soil_&_Drain_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PW13562,Saint Gobain Ensign gas coupling 70mm Stainless Steel,Saint Gobain,13.55,Ensign stainless steel couplings for above ground applications,Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Ensign gas coupling 70mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/62/W13562_wm.jpg,,,,Silver,70 mm,Push Fit,70 mm,Ensign,1 year,0.1Kg,N,Stainless Steel,BS EN877,210425,Coupling,N,One piece stainless steel band: One bolt assembly,Kitemarked to BS EN 877,CE Marked,A1 Fire rating,Acoustically the quietest system,,,,,,,,
25,PF72102,Saint Gobain Timesaver GT12 reducer coupling 100 x 90mm,Saint Gobain,33.27,"Made of cast iron, this Saint Gobain Timesaver GT12 100mm two-piece transitional coupling with synthetic rubber gasket joints Timesaver soil to conventional soil (black gasket with identity marking). The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver GT12 reducer coupling 100 x 90mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/02/NW-F72102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PQ40372,Wavin HDPE electro-fusion coupler WaviDuo 110mm,Wavin,5.19,"This Wavin HDPE 110mm electro-fusion coupler with 100mm connections is part of the tough and durable Wavin high density polyethylene (HDPE) system, designed to combine chemical resistance with flexibility and excellent impact resistance. This fitting is jointed by welding, ensuring resistance to tension.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Wavin HDPE electro-fusion coupler WaviDuo 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/72/NW-Q40372_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_HDPE_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
