,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Type,Range,Weight,Container Type,Quantity,Application
10,PE68062,Bostik Evode plumbers mait 750g,Bostik,4.3,"A waterproof, non-setting putty, Bostik Evo-Stik plumber's mait is ideal for sanitary joints and bedding-in sinks.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Bostik Evode plumbers mait 750g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/62/NW-E68060_E68062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Plumbers_Mait_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P555383,CB Jet Blue Plus jointing compound cold water WRAS approved pack,CB Jet,16.2,This CB Jet Blue Plus PTFE cold water jointing compound pack is suitable for use in cold water up to 23°C in temperature. This PTFE paste dries to an off-white colour to meet the needs of a variety of applications.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> CB Jet Blue Plus jointing compound cold water WRAS approved pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/89/581189_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/581189_Jet_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/th/er/581189_Jet_PDF - Other.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P498513,Rocol Rapidseal extra small thread seal 50ml,Rocol,20.64,"Rapid curing, Rocol RapidSeal universal foliac pipe sealant is a fluorescent yellow compound formulated for use as a thread sealant on industrial metal pipework, including stainless steel, up to 3"" in diameter. This rapid cure solution minimises downtime, making repairs fast and efficient.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rocol Rapidseal extra small thread seal 50ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/13/NW-498513_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_RAPIDSEAL_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_RAPIDSEAL_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PP41598,Georg Fischer tin of solvent cement 250g,Georg Fischer,32.23,"Promising fast, effortless results, GFPS Tangit glue creates secure, tight connections with no need for specialist knowledge or pricey equipment. Developed for use in plastic piping systems, Tangit makes reliably firm and durable connections between pipe elements, suitable to withstand movement and bending forces.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Georg Fischer tin of solvent cement 250g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/99/NW-P41598_P41599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/GFPS_Tangit_PVCU_SpecialAdhesive_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/GFPS_PVC_U_Technical_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PQ64160,Wavin OsmaS 4S384G solvent 250ml,Wavin,24.14,Wavin OsmaS solvent cement is designed to bond spigots and sockets in non-pressure thermoplastic uPVC and ABS pipe systems.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Wavin OsmaS 4S384G solvent 250ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/60/NW-Q64160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Solvent_Cement_NO2_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Wavin_Solvent_Cement_NO2_DOP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P455175,Sika Everbuild PCFJC1 flue jointing 1kg,Sika,13.29,"With its stiff consistency, Sika Everbuild PCFJC1 flue jointing compound is a finely dispersed asbestos-free material that won't completely harden, accommodating minor movements with no cracking. Non-flammable, this flue jointing compound is free of fire risks.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Sika Everbuild PCFJC1 flue jointing 1kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/75/NW-455175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Everbuild_Fire Compounds_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Everbuild_Flue_Joint_Compound_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Everbuild_Flue_Jointing_Compound_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PP12440,Durapipe HTA cement 250ml (1),Durapipe,33.14,A 250ml tin of Durapipe HTA solvent cement welding polymer.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Durapipe HTA cement 250ml (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/41/NW-P12440_P12441_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_HTA_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Girpi_Rerfixb_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PF68409,Polypipe aerosol lubricant 400ml,Polypipe,32.18,"Polypipe SG300 jointing silicone lubricant spray  is designed for use when fitting Polypipe's plastic push-fit waste, soil and underground drainage systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe aerosol lubricant 400ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/09/NW-F68409_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_SG300_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PN50045,CT1 multipurpose solvent 200ml,CT1,7.41,"Safe to use, CT1 MultiSolve clear multi-purpose solvent removes wax, paraffin, printing ink adhesives, sealants, oil, grease and silicone. Ideal for a range of trades, MultiSolve is a popular choice for plumbers, shopfitters, tilers, upholsterers, joiners, builders, sign makers, stonemasons and electricians.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> CT1 multipurpose solvent 200ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/45/NW-N50045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Multisolve_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Multisolve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF69147,Polypipe SC250 solvent cement tin comes with brush 250ml,Polypipe,22.77,"Polypipe SC250 solvent cement is an extremely strong adhesive for the reliable, long-lasting joining of pipes and fittings. Suitable for use in non-pressure uPVC, ABS and cPVC applications, this fast-setting solvent is supplied with an applicator brush for easy use.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe SC250 solvent cement tin comes with brush 250ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/47/NW-F69147_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_Solvent_Cement_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF25303,Marley Chemicals and Adhesives silicone lubricant 100g,Marley,17.98,This Marley SZ100 universal silicone lubricant is formulated specifically for use with Marley Equator products. It is suitable for use in both above and below ground drainage projects.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Marley Chemicals and Adhesives silicone lubricant 100g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/03/NW-F25303_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Marley_Easyjoint_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF68402,Polypipe SC125 solvent cement tin comes with brush 125ml,Polypipe,14.94,"Polypipe SC125 solvent cement is an extremely strong adhesive for the reliable, long-lasting joining of pipes and fittings. Suitable for use in non-pressure uPVC, ABS and cPVC applications, this fast-setting solvent is supplied with an applicator brush for easy use.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe SC125 solvent cement tin comes with brush 125ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/02/NW-F68402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_Solvent_Cement_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P455173,Sika Everbuild PCFJC05 flue jointing 500g,Sika,7.21,"With its stiff consistency, Sika Everbuild PCFJ05 flue jointing compound is a finely dispersed asbestos-free material that won't completely harden, accommodating minor movements with no cracking. Non-flammable, this flue jointing compound is free of fire risks.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Sika Everbuild PCFJC05 flue jointing 500g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/73/NW-455173_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Everbuild_Fire Compounds_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Everbuild_Flue_Joint_Compound_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Everbuild_Flue_Jointing_Compound_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PQ64159,Wavin OsmaS 4S383G solvent 125ml,Wavin,17.93,Wavin OsmaS solvent cement is designed to bond spigots and sockets in non-pressure thermoplastic uPVC and ABS pipe systems.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Wavin OsmaS 4S383G solvent 125ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/59/NW-Q64159_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Solvent_Cement_NO2_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Wavin_Solvent_Cement_NO2_DOP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PF25309,Marley solvent cement can,Marley,16.27,"This Marley KS10 liquid solvent cement is suitable for uPVC, ABS and muPVC non-pressure pipe systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Marley solvent cement can",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/09/NW-F25309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/ds/Marley_KS10_Coshh_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Marley_Solvent_Cement_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Marley_SolventCement_SDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,
