,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Model For Use With,Boiler Section,Boiler Range,Warranty,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Connection,Fuel Type,Thread Size,Feature 8,Pack Quantity
10,P497069,Riello coil assembly,Riello,26.25,"This Riello replacement solenoid coil opens the oil pump, allowing pressurised flow to the nozzle.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello coil assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/69/NW-497069_wm.jpg,,,N,,,"CAMRAY 12/18 EXT SYS,Heatslave II 12/18 External,Heatslave II 18/25 External,CAMRAY 12/18 EXT,Heatslave II 12/18,CAMRAY 18/25 U'LITY SYS,CAMRAY 25/32 U'LITY,CAMRAY 25/32 U'LITY SYS,Heatslave II 25/32,18/25 OOO GB OIL,CAMRAY 18/25 U'LITY,CAMRAY 18/25 EXT",87161091850,Solenoid Coil,N,,"Suitable for Heatslave II 12/18, Heatslave II 12/18 External, Heatslave II 18/25 External and Heatslave II 25/32","Suitable for 18/25 OOO GB Oil, Camray 12/18 EXT, Camray 12/18 Ext System, Camray 18/25 Ext and Camray 18/25 Utility","Suitable for Camray 18/25 Utility System, Camray 25/32 Utility and Camray 25/32 Utility System",,,,,,,,,,,,,,
11,P446991,"Anglo Nordic oil line adaptor 3/8"" x 1/4""",Anglo Nordic,1.77,"Intended for use with braided oil safety lines, this Anglo Nordic oil line adapter has 1/4"" x 3/8"" connections and is supplied with a copper ring.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic oil line adaptor 3/8"" x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/91/NW-446991_wm.jpg,,,N,x  x,,,9400008-W,Adaptor,N,,Designed for braided oil safety lines,"1/4"" x 3/8"" connections and copper ring.",,,,,,,,,,,,,,,
12,P412837,Ideal Heating Spares burner seal kit 30/40kw,Ideal Heating,50.82,This Ideal 30/40kW burner seal kit offers compatibility with Ideal 30 - 150 and LPG boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Heating Spares burner seal kit 30/40kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/37/NW-412837_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P460957,Ideal Spares pilot burner with injector,Ideal,60.1,"An authentic Ideal spare, this pilot burner is suitable for CX, CXA and CXAP commercial boilers. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares pilot burner with injector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/57/NW-460957_wm.jpg,,Spares,N,11.1L X 17.1W X 2.5H,E58138,"CXA 90,CXA 50,CXA 70,CXAP 80,CXA 50/H,CXAP 60,CXA 110,CX 80,CXA 70/H,CXAP 40,CX 60,CXA 120/H,CXA 100/H,CXA 90/H,CX 40,CXA 60,CXA 80,CXAP 90/H,CXAP 70/H,CXA 40/H,CXA 100,CXA 120,CXAP 50/H,CXAP 90,CXA 40,CX 90,CX 100,CX 70,CXA 60/H,CXA 80/H,CX 50,CXA 110/H",077105,Pilot Burner,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
14,P329895,S and S Northern Merlin remote emergency stop button,S and S Northern,26.78,"Offering longevity and reliability, the easy to install S and S Northern Merlin emergency stop or knock-off button uses a resettable Perspex screen, allowing the user to press multiple times with no need to replace the button. When the Perspex screen is pressed inwards an activation indicator will drop into view at the top of the window, the unit is then reset with a key ready for immediate re-use.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> S and S Northern Merlin remote emergency stop button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/95/NW-329895_wm.jpg,,Merlin,N,x  x,,,EM-STOP,Emergency Stop,N,,Key resettable,Perspex screen,Shrouded fascia,,,,,Gas shut-off label on fascia,Activation indication when emergency knock-off button is pressed,Easy installation,3 year warranty,,,,,,
15,P455285,"Anglo Nordic oil filter 1/4""",Anglo Nordic,14.68,"Designed for use with small bore oil lines, this aluminium Anglo Nordic bowl filler with 1/4"" female BSPP connection is made by Italian specialist FAG.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic oil filter 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/86/NW-455285_455286_wm.jpg,,,N,x  x,,,2501105,Filter,N,,Suitable for small bore oil lines,"1/4"" female BSPP connection",,,,,,,,,,,,,,,
16,P466622,Ecoflam photocell Red,Ecoflam,10.98,"Compatible with a range of Minor 1 oil burners, this Ecoflam A208/3 red photocell consists of a light-sensitive resistor with a signal monitored by the control box.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ecoflam photocell Red,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/22/NW-466622_wm.jpg,,,N,x  x,,"Minor 4.1,Max 4,Minor 1R,Max 8,Minor 1,Minor 4.1 R,Max 12,Max 1",65074156,Photocell,N,CommercialDomestic,50mm plastic housing,500mm cable,"Suitable for Minor 1 40/60, Minor 1 60/80 and Minor 1 80/95",,,,,,,,,,,,,,
17,P456565,Riello mounting O ring,Riello,12.28,"Suitable for use in domestic, residential and industrial units, this Riello 84 x 3mm mounting O-ring is made of moderately elastic neoprene and creates a tight seal between a flange and mounting plate.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello mounting O ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/65/NW-456565_wm.jpg,,,N,x  x,,"HEATSLAVE 25/32 EXT,HEATSLAVE HE 12/18 INT,CAMRAY 25/32 EXT,DANESMOOR HE 18/25 OOO,HEATSLAVE HE 25/32 INT,HEATSLAVE 12/18 EXT,CAMRAY 25/32 U'LITY SYS,CAMRAY 25/32 U'LITY,HEATSLAVE HE 18/25 INT,CAMRAY 25/32 EXT SYS",87161093280,O-Ring,N,ResidentialCommercialIndustrial,"Compatible with Grant, Warmflow, Mistra, Riello and Worcester Bosch units",,,,,,,,,,,,,,,,
18,P400457,Worcester Bosch door seal extrusion,Worcester Bosch,12.75,"A Worcester Bosch brand seal for the outer casing of Si/C1 Series and RD Series boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Worcester Bosch door seal extrusion,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/57/400457_wm.jpg,,,N,,J04178,"24 SI II,28 Si II LPG,28 Si II,24 SI II LPG,RD628 RSF",87161051570,Seal,N,,,,,"24 SI II LPG, 24 SI II, 28 Si II LPG, 28 Si II, RD628 RSF",Casing,"Si/C1 Series, RD Series",,,,,,,,,,,
19,P456485,Riello coil assembly,Riello,20.3,"This Riello solenoid coil is a replacement part for R40 burner models, designed to open the feed from the pump to the nozzle. The compact R40 burner is found in many early oil boilers produced by major manufacturers, commonly used before the current RDB burner range came into production. Where the solenoid is non-operational, oil is no longer passed to the nozzle, putting the burner into lock out.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello coil assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/85/NW-456485_wm.jpg,,,N,,,"RIELLO 444 T 55,RIELLO 419 T 55,RIELLO 437 T 55,RIELLO 444 T 50,RIELLO 458 T 55,RIELLO 464 T 50,RIELLO 443 T 57/58,RIELLO 459 T 55,RIELLO 422 T 56,RIELLO 443 T 56,RIELLO 464 T 55,RIELLO 437 T 50,RIELLO 424 T 55",87161092580,Solenoid Coil,N,,"Suitable for 419 T 55, 422 T 56, 424 T 55, 437 T 50 and 443 T 56","Suitable for 443 T 57/58, 444 T 55, 458 T 55, 459 T 55, 464 T 55, 437 T 55, 444 T 50 and 464 T 50",,,,,,,,,,,,,,,
20,P455286,"Anglo Nordic filter 3/8""",Anglo Nordic,10.78,"Designed for use with small bore oil lines, this aluminium Anglo Nordic bowl filler with 3/8"" female BSPP connection is made by Italian specialist FAG.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic filter 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/86/NW-455285_455286_wm.jpg,,,N,x  x,,,2501302,Filter,N,,Suitable for small bore oil lines,"3/8"" female BSPP connection",,,,,,,,,,,,,,,
21,P498298,Riello oil line,Riello,23.27,"This Riello hose is suitable for residential, commercial and industrial use.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello oil line,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/98/NW-498298_wm.jpg,,,N,x  x,,,87161164690,Hose,N,ResidentialCommercialIndustrial,They also manufacture gas boosters for applications where the mains gas pressure available needs to be increased.,,,,,,,,,,,,,,,,
22,P456644,Anglo Nordic oil line,Anglo Nordic,22.52,"Designed for connecting pipework to an oil burner, this Anglo Nordic Mectron braided red and green flexible oil line with 1/4"" male (90° elbow) x 3/8"" female connections is suitable for diesel, kerosene and biofuel blends to B20. This oil line includes 90° elbow inlet/outlet fittings mechanically crimped to the hose.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic oil line,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/44/NW-456644_wm.jpg,,Riello,N,x  x,,"RIELLO 464 T 50,RIELLO 444 T 55,RIELLO 437 T 55,RIELLO 443 T 57/58,RIELLO 459 T 55,RIELLO 444 T 50,RIELLO 422 T 56,RIELLO 437 T 50",9404002-W,Oil Line,N,,UNI9362 nitrile rubber core,Nitrile rubber complies with EN 6806,"Core generally TN6 6mm, larger bore cores",,,,,Temperature range -25 to 90°C,"Suitable for liquid fuels including diesel, kerosene and biofuels up to B20",,,,,,,,
23,P419382,Ecoflam Satronic photocell,Ecoflam,25.19,The Ecoflam S01-MZ770S-80 long-type photocell has an 80mm shaft length.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ecoflam Satronic photocell,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/82/NW-419382_wm.jpg,,Satronic,N,x  x,,,65325639,Photocell,N,CommercialDomestic,105mm total length,For TF830 TF832 control boxes,,,,,,,,,,,,,,,
24,P456782,Riello short hydraulic ram,Riello,35.99,"This Riello hydraulic jack is suitable for residential, commercial and industrial use.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello short hydraulic ram,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/82/NW-456782_wm.jpg,,,N,x  x,,"RIELLO 444 T 55,RIELLO 464 T 50,RIELLO 419 T 55,RIELLO 437 T 55,RIELLO 444 T 50,RIELLO 458 T 55,RIELLO 422 T 56,RIELLO 464 T 55,RIELLO 437 T 50,RIELLO 424 T 55",87161092740,Hydraulic Jack,N,ResidentialCommercialIndustrial,"Compatible with Riello 419 T 55, Riello 422 T 56, Riello 437 T 55 and Riello 444 T 50","Compatible with Riello 464 T 50, Riello 424 T 55, Riello 437 T 50, Riello 444 T 55, Riello 458 T 55 and Riello 464 T 55",,,,,,,,,,,,,,,
25,P464980,"Anglo Nordic female connection angled oil hose 1/4 x 1/4"" x 700mm",Anglo Nordic,6.0,"Designed for connecting pipework to an oil burner, this Anglo Nordic Mec-style braided red and green flexible oil line with 1/4"" female (90° elbow) x 1/4"" female connections is suitable for diesel, kerosene and biofuel blends to B20. This oil line includes 90° elbow inlet/outlet fittings mechanically crimped to the hose.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic female connection angled oil hose 1/4 x 1/4"" x 700mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/80/NW-464980_wm.jpg,,Oil Hose,N,x  x,,,9400030,Oil Line,N,,UNI9362 nitrile rubber core,Nitrile rubber complies with EN 6806,"Core generally TN6 6mm, larger bore cores",,,,,Temperature range -25 to 90°C,"Suitable for liquid fuels including diesel, kerosene and biofuels up to B20",,,,,,,,
26,P455506,Eogb F02-4009 filter element,Eogb,7.41,This Eogb filter element is suitable for use in 4009 Tankmaster burners.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Eogb F02-4009 filter element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/06/NW-455506_wm.jpg,,,N,x  x,,,F02-4009,Element,N,CommercialDomestic,Suitable for use with 4009 Tankmaster burners,Element only,,,,,,,,,,,,,,,
27,P457574,"Riello MB MB 420/1 - RSM 30 gas valve for MBDLE 420 2""",Riello,1824.81,"Suitable for use with a variety of burners, this Riello MB gas train is fitted with a 2"" Rp connection. A gas train is selected based on fuel output and the pressure in the supply line. Either multibloc type or composed type, a gas train can be designed with the fuel supply delivered from the right or left hand side.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello MB MB 420/1 - RSM 30 gas valve for MBDLE 420 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/46/597446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Riello_Gas_Series_1_Stage_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Riello_Sales_Burner_Catalogue.pdf,,,,,
28,P457573,"Riello MB MB 415/1 - RSM 30 gas valve for MBDLE 415 1 1/2""",Riello,1419.74,"Suitable for use with a variety of burners, this Riello MB gas train is fitted with a 1 1/2"" Rp connection. A gas train is selected based on fuel output and the pressure in the supply line. Either multibloc type or composed type, a gas train can be designed with the fuel supply delivered from the right or left hand side.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello MB MB 415/1 - RSM 30 gas valve for MBDLE 415 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/45/597445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Riello_Gas_Series_1_Stage_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Riello_Sales_Burner_Catalogue.pdf,,,,,
29,P150583,"Nu-Way gas train 1.1/2""",Nu-Way,1641.42,"This Nu-Way 1 1/2"" gas train is a replacement part suitable for burners working with natural gas.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Nu-Way gas train 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/83/150583_wm.jpg,,,N,200MM LENGTH,,,47-30-22744-33,GAS TRAIN,N,NAT GAS,For use with burners,200mm total length,Suitable for natural gas,,,,,,,,,,,,,,
