,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 1,Attachment 2,Attachment 3,Position,Shower Tray Shape,Style,Weight,Depth (mm),Floor Mounted,Waste Supplied,Anti Slip Surface,Riser included,Feature 10,Feature 11,Attachment 4
10,PT41734,Scudo S8 Wetroom with Return Panel 1000,Scudo,318.97,"The Scudo S8 1000mm wetroom return panel has a sleek design to suit most bathrooms. This 2000mm height shower door with smart fittings is manufactured in a robust toughened safety glass treated with Aqua-Shield for easier, streak-free cleaning.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo S8 Wetroom with Return Panel 1000,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/34/T41734_wm.jpg,Chrome,,8mm,Lifetime Guarantee,N,Chrome,Aluminimum / Glass,1000I8WETSET,Shower Panel,N,Frameless design,With clear glass,8mm thick glass,Chrome fittings,Wet wall hinge flipper,Aqua-Shield treated for ease of cleaning,Lifetime warranty,,,,,,,,,,,,,,,,,
11,PD54016,Impey Aqua Dec EasyFit rotating plate square drain flow former 1000 x 1000 x 22mm Off-White,Impey,486.85,"Suitable for installation on timber or concrete flooring, this Impey Aqua-Dec EasyFit 1000mm wet room former is 22mm thick and offers flow rates of up to 36LPM via a central drain plate. The Aqua-Dec EasyFit's drain rotates 360°, avoiding underfloor obstructions and is trimmable right up to the solid surround. Compatible with a wide range of drain types, this wet room former can be used in a multitude of applications with a choice of drain tops available to suit any interior.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit rotating plate square drain flow former 1000 x 1000 x 22mm Off-White,,Wet room former;Waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/16/NW-D54016_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Impey_Showers_Merchant_June2021_Brcr.pdf,,,,,,,,,,,,,,
12,PD00979,Kudos Ultimate 2 glass panel 8mm 1100mm,Kudos,285.65,"The ultra-minimalist 1100mm Kudos Ultimate 2 wetroom shower panel with 8mm thick glass offers easy-fit versatility, helping you create a seamless showering area in almost any bathroom space. Easy to clean with crystal-clear seals, maintaining the Ultimate 2 won't detract from your wetroom experience.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 glass panel 8mm 1100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/80/UP-D00973_D00980_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kudos_Ultimate_2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kudos_Ultimate_2_Technical.pdf,,,,,,,,,,,,
13,PD00976,Kudos Ultimate 2 glass panel only 8mm 800mm,Kudos,234.48,"The ultra-minimalist 800mm Kudos Ultimate 2 wetroom shower panel with 8mm thick glass offers easy-fit versatility, helping you create a seamless showering area in almost any bathroom space. Easy to clean with crystal-clear seals, maintaining the Ultimate 2 won't detract from your wetroom experience.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 glass panel only 8mm 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/80/UP-D00973_D00980_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kudos_Ultimate_2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kudos_Ultimate_2_Technical.pdf,,,,,,,,,,,,
14,PD05992,Mira Elevate wet room panel 1000mm,Mira,274.09,"Create a seamless wetroom look in any bathroom with the 1000mm Mira Elevate shower divider panel. Easy to clean, with streak-free CleanCoat technology and supplied with an adjustable, square section bracing bar, this panel can be fitted to a tray or directly to a floor and with magnetic closings at both top and bottom provides a reliable watertight seal.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Mira Elevate wet room panel 1000mm,,Divider panel;Cover cap;4 piece screw pack;Wall channel ;cover strip;Bottom profile (825 mm);Bottom profile (925 mm);Bottom profile (1125 mm);Bracing bar,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/93/UP-D05992_D05993_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Divider_Panel_Spares.pdf,,,,,,,,,,,,,,
15,PD06542,Impey EasyFit level dec and edp1 1200 x 750mm,Impey,461.55,"A high-strength 22mm thick GRP floorboard replacement, the Impey 1200 x 750mm Level-Dec EasyFit wet room floor former has an eccentric 360° rotating drain for ease of fitting and three locating rings ensuring a reliable hold between former and drain plate. Withstanding weights of up to 300kg, or 47 stone, with no need for under-boarding, the Level-Dec is made of tough SMC with a high glass content. Offering optional horizontal or vertical gravity drainage, four pre-formed drainage gradients and a round vinyl clamping drain, this floor former ensures level access in wetrooms finished with a vinyl floor covering.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey EasyFit level dec and edp1 1200 x 750mm,,Wet room former;Gravity drainage;Round vinyl clamping drain,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_d/ec/Level_Dec_wm.jpg,Grey,EasyFit,,Lifetime,N,,Multi Layer GRP,LDE1275GRY,Wetroom Floor Former,N,Suitable for use in healthcare facilities,Multi-layer GRP construction,Grey colour,Suitable for new concrete and timber floors,Suitable for vinyl floor finishes,Can be used in centre or corner of room,Suitable for use in the centre of a wall or in-alcove,With rotating waste,Trimmable design,,,,Centre,Rectangle,Modern,17.66667,750,Yes,Yes,No,No,EasyFit installation,Lifetime warranty,
16,PD06546,IMPEY LEVEL DEC EASY FIT 1500X800 + EDP1,Impey,494.64,"Straightforward to install, the Impey Level-Dec EasyFit 1500 x 800mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a vinyl finish. Manufactured in high glass content SMC, the Level-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> IMPEY LEVEL DEC EASY FIT 1500X800 + EDP1,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/NW-D06544_D06549_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,,,,,,,,,,,,,,
17,PD54023,Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1500 x 1200 x 22mm Off-White,Impey,630.71,"Straightforward to install, the Impey Aqua-Dec EasyFit 1500 x 1200mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1500 x 1200 x 22mm Off-White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/NW-D54017_D54024_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
18,PT41796,Scudo S8 wetroom panel 600,Scudo,173.61,"The Scudo S8 600mm wetroom panel has a sleek design to suit most bathrooms. This 2000mm height shower door with smart fittings is manufactured in a robust toughened safety glass treated with Aqua-Shield for easier, streak-free cleaning.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo S8 wetroom panel 600,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/96/T41796_wm.jpg,Clear,,8mm,Lifetime,N,Chrome,Glass,S8-WET600CHR,Wetroom Panel,N,Chrome frame,With clear glass,8mm thick glass,Lifetime warranty,,,,,,,,,,,,,,,,,,,,
19,PD02416,Kudos Ultimate 2 front panel fixing kit Chrome,Kudos,127.9,"Suitable for installation on a shower tray or fitted directly to a tiled floor for a seamless wet room look, the 1M Kudos Ultimate 2 front panel fixing kit helps you to create your ideal shower enclosure. Easy to install, this kit is supplied with a unique clear glass-to-glass corner joint seal for a beautifully modern finish.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 front panel fixing kit Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/17/UP-D02416_D02417_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,,,,,,,,,,,,,,
20,PD05993,Mira Elevate wet room panel 1200mm,Mira,305.34,"Create a seamless wetroom look in any bathroom with the 1200mm Mira Elevate shower divider panel. Easy to clean, with streak-free CleanCoat technology and supplied with an adjustable, square section bracing bar, this panel can be fitted to a tray or directly to a floor and with magnetic closings at both top and bottom provides a reliable watertight seal.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Mira Elevate wet room panel 1200mm,,Divider panel;Cover cap;4 piece screw pack;Wall channel ;cover strip;Bottom profile (825 mm);Bottom profile (925 mm);Bottom profile (1125 mm);Bracing bar,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/93/UP-D05992_D05993_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Divider_Panel_Spares.pdf,,,,,,,,,,,,,,
21,PD14083,AQUA-DEC EASYFIT 1850X900MM,Impey,630.74,"Straightforward to install, the Impey Aqua-Dec EasyFit 1850 x 900mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> AQUA-DEC EASYFIT 1850X900MM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/83/NW-D14083_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
22,PD00977,Kudos Ultimate 2 glass panel 8mm 900mm,Kudos,251.54,"The ultra-minimalist 900mm Kudos Ultimate 2 wetroom shower panel with 8mm thick glass offers easy-fit versatility, helping you create a seamless showering area in almost any bathroom space. Easy to clean with crystal-clear seals, maintaining the Ultimate 2 won't detract from your wetroom experience.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 glass panel 8mm 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/80/UP-D00973_D00980_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kudos_Ultimate_2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kudos_Ultimate_2_Technical.pdf,,,,,,,,,,,,
23,PD54022,Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1500 x 800 x 22mm Off-White,Impey,522.2,"Straightforward to install, the Impey Aqua-Dec EasyFit 1500 x 800mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1500 x 800 x 22mm Off-White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/NW-D54017_D54024_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
