,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Boiler Bundles,Feature 9,Feature 10,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Water Heating Energy Efficiency Class
10,P174952,Warmflow Agentis E26 external heat only oil boiler 26kW,Warmflow,1829.56,"Designed for convenient outdoor installation, the Warmflow Agentis E26 external heat only boiler has a robust, maintenance-free weatherproof casing for reliability, rain, snow or shine. Supplied with a range of flueing options, this oil-fired boiler provides siting flexibility and with a Riello low-NOx burner and patented heat exchanger ensures AA-rated efficiency for reduced energy bills, fuel savings and less harmful emissions.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Warmflow Agentis E26 external heat only oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/53/174951_174953_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_E26_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Warmflow_Oil_Boilers_Guide.pdf,,,,
11,P112142,Firebird Envirolite Utility CR26 utility heat only elco burner low nox 26kW,Firebird,1405.87,"Ultra-quiet in operation and with a compact, under-counter fit, the Firebird Envirolite Utility CR26 internal regular boiler offers flexible installation with multiple tapping points and a multi-directional flue. ErP A-rated, this 26kW regular boiler has a reliable low-NOx burner and patented heat exchanger for fuel bill lowering efficiency and reduced maintenance. A great pick for larger households with multiple bathrooms, the Envirollite can be used in conjunction with water storage for generous, balanced hot water output.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Firebird Envirolite Utility CR26 utility heat only elco burner low nox 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/43/112141_112143_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Firebird_Boiler_Handbook.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Firebird_Envirolite_Utility_ErP.pdf,,,,,
12,P112143,Firebird Envirolite Utility CR35 utility heat only elco burner low nox 35kW,Firebird,1624.09,"Ultra-quiet in operation and with a compact, under-counter fit, the Firebird Envirolite Utility CR35 internal regular boiler offers flexible installation with multiple tapping points and a multi-directional flue. ErP A-rated, this 35kW regular boiler has a reliable low-NOx burner and patented heat exchanger for fuel bill lowering efficiency and reduced maintenance. A great pick for larger households with multiple bathrooms, the Envirolite can be used in conjunction with water storage for generous, balanced hot water output.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Firebird Envirolite Utility CR35 utility heat only elco burner low nox 35kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/43/112141_112143_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Firebird_Boiler_Handbook.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Firebird_Envirolite_Utility_ErP.pdf,,,,,
13,P333936,Worcester Bosch Greenstar Utility 50/70 2022+ heat only boiler,Worcester Bosch,2778.0,"Ideal for large homes and light commercial premises, the Worcester Bosch Greenstar Danesmoor Utility 50/70 2022+ heat only boiler has a compact footprint yet provides an impressive heat output. ErP A-rated, this smartly designed and efficient boiler includes a concealed control panel for a neater look wherever it's installed.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Utility 50/70 2022+ heat only boiler,,Boiler;Greenstar Utility installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;ErP label,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/69/115368_115369_wm.jpg,Black,Oil,Greenstar Utility,2 years,220 kg,A,N,A,,70 kW,795,90.5,Floor Standing,333936 PK,Heat Only Boiler,N,100/150mm room sealed flues,,,,,,,,,,,,,,,,,
14,P333927,Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler,Worcester Bosch,2160.0,"A regular oil boiler ideal for external fitting on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User Instructions;Guarantee registration card;Condensate trap;BSP plug;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/72/115370_115372_wm.jpg,White,Oil,Greenstar Danesmoor External,2 years,114 kg,A,N,"90,A/90%",A,25 kW,780,90.9,Floor Standing,333927 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,
15,P116257,Grant Vortex Eco Utility 21/26 ErP floor standing utility boiler excluding flue,Grant,1727.56,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 21/26 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Utility 21/26 ErP floor standing utility boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/58/116256_116258_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoUtility_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoUtilitySystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116257_ErP.pdf,
16,P333926,Worcester Bosch Greenstar Danesmoor External 12/18 2022+ heat only boiler,Worcester Bosch,2123.0,"A regular oil boiler ideal for external fitting on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External 12/18 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor External 12/18 2022+ heat only boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User Instructions;Guarantee registration card;Condensate trap;BSP plug;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/72/115370_115372_wm.jpg,White,Oil,Greenstar Danesmoor External,2 years,107kg,A,N,"90,A/90%",A,18 kW,780,91.1,Floor Standing,333926 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,
17,P333903,Grant Vortex Eco Utility 26/35 floor standing heat only oil boiler,Grant,1851.0,"Easy to use and easy to install, the utility room-friendly Grant Vortex Eco Utility 26/35 automatic pressure jet oil boiler features an intuitive control panel and simplified pipework layout. State of the art internal components include the Riello RDB low-NOx burner and Grant's own patented stainless steel heat exchanger, helping to make the Vortex Eco not just highly reliable but efficient enough for an energy-saving, cost-reducing ErP A rating.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Utility 26/35 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/57/116257_wm.jpg,White,Oil,Vortex Eco Utility,5 Year,127 kg,A,N,92.4,,35 kW,602,92.4,Floor Standing,333903 PK,Heat Only Boiler Pack,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,,5 year warranty available when following Grant installation specification and guidelines,,,,,,,,
18,P116272,Grant Vortex Pro Utility 15/26 ErP kitchen/utility oil boiler,Grant,1926.4,"The unique Grant Vortex Pro Utility 15/26 automatic pressure jet oil boiler is full of inventive features designed to maximise efficiency for lower running costs and an ErP A rating. Designed for use in a fully pumped central heating system with an indirect domestic hot water cylinder, the Vortex Pro is fitted with the highly reliable Riello RDB low-NOx burner and a patented heat exchanger which makes sure that every bit of heat is used to run your central heating system. Attractively designed and quiet in operation, this boiler fits unobtrusively into just about any setting.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Pro Utility 15/26 ErP kitchen/utility oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/79/116271_116279_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_Vortex_Utility_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Utility_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116272_ErP.pdf,
19,P333914,Grant Vortex Eco External 26/35 floor standing heat only oil boiler,Grant,2100.0,"The steel-enclosed Grant Vortex Eco External 26/35 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco External 26/35 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,Green/Gloss,Oil,Vortex Eco External,5 Year,142Kg,A,N,A,,35 kW,800,92.4,Floor Standing,333914 PK,External Condensing Boiler,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,333914,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,,,,
20,P116258,Grant Vortex Eco Utility 26/35 ErP floor standing utility boiler excluding flue,Grant,2063.25,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 26/35 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Utility 26/35 ErP floor standing utility boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/58/116256_116258_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoUtility_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoUtilitySystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116258_ErP.pdf,
21,P116264,Grant Vortex Eco Wall Hung Internal 16/21 ErP internal wall hung boiler excluding flue,Grant,1879.71,"Highly efficient and always reliable, the Grant Vortex Eco Internal 16/21 automatic pressure jet oil boiler is part of an award-winning range of ErP A-rated boilers. Fitted with Grant's patented stainless steel heat exchanger and turbulator baffle system, this wall-mounted boiler includes inbuilt weather protection for all year round reliability. Pre-plumbed and with a multi-directional flue, the Vortex Eco provides a variety of fitting options for flexibility of installation.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Wall Hung Internal 16/21 ErP internal wall hung boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/66/116263_116266_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_VortexEcoWall_Internal_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116264_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoWHInternalSstem_Guide.pdf,
22,P333913,Grant Vortex Eco External 21/26 floor standing heat only oil boiler,Grant,1841.0,"The steel-enclosed Grant Vortex Eco External 21/26 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco External 21/26 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External,5 Year,113kg,A,N,A,,26 kW,800,91.67,Floor Standing,333913 PK,External Condensing Boiler,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,333913,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,,,,
23,P174925,Warmflow Agentis boilerhouse oil boiler 21kW,Warmflow,1268.68,"Designed specifically for boilerhouse or garage installation, the Aegentis Warmflow 21kW oil boiler has a robust blue housing inside which you'll find an efficient heat exchanger supplying A-rated efficiency. This boiler features an up-to-the-minute Riello burner for powerful yet quiet operation, top-mounted flow and return connections and a factory-fitted condensate trap. Warmflow boilers are supplied fully factory-wired with burner and thermostat, helping to simplify installation.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Warmflow Agentis boilerhouse oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/33/B21 26 33_wm.jpg,,Oil,Agentis,2 years,114 kg,A,N,,A,21 kW,600,-,Floor Standing,B21,Heat Only Boiler,N,Blue leathergrain casing,"Robust, compact design",Front servicing for faster maintenance,For use with conventional flues,Also compatible with HE Easy-Fit balanced flue system,With Riello burner,ErP A-rated,Up to 5 year warranty,,,,,,,,,,A
24,P116256,Grant Vortex Eco Utility 15/21 ErP floor standing utility boiler excluding flue,Grant,1576.22,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 15/21 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Utility 15/21 ErP floor standing utility boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/58/116256_116258_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116256_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoUtility_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoUtilitySystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,
25,P116261,Grant Vortex Eco External 21/26 ErP external floor standing utility boiler including flue,Grant,2063.25,"Robustly built to withstand challenging outdoor conditions, the steel-enclosed Grant Vortex Eco External 21/26 condensing boiler is designed for installation outside the home, against a wall or as a freestanding unit. The boiler's multi-directional flue and conveniently quiet operation make siting easy in even the most difficult of locations, while internal components including a tough stainless steel heat exchanger and Riello RDB low-NOx burner help to achieve an ErP A rating.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco External 21/26 ErP external floor standing utility boiler including flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/62/116260_116262_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoExternalSystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116261_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoExternal_Installation.pdf,
26,P111868,Firebird Envirogreen Heatpac C44 external boiler 35-44kW,Firebird,2752.46,"Offering all the same reliability and cutting edge features you've come to expect from Firebird but with added protection for outdoors installation, the Firebird Envirogreen Heatpac C44 external regular boiler is suitable for any outdoor location with no requirement for additional protection or housing. This 44kW, ErP A-rated boiler is fitted with a patented heat exchanger, frost protection stat and low-NOx blue flame burner for reliable and efficient operation even in harsh conditions.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Firebird Envirogreen Heatpac C44 external boiler 35-44kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/70/111868_111870_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Firebird_Envirogreen_Heatpac_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Firebird_Boiler_Handbook.pdf,,,,
27,P111872,Firebird Envirogreen Popular C58 boiler 44-58kW,Firebird,2357.43,"With flexible fitting options, the Firebird Envirogreen Popular C58 regular boiler is suitable for new installation or retrofit in a dedicated boiler house, garage or other outside building, freeing up interior space without compromising on comfort in the home. Efficient and reliable, this steel-cased 58kW boiler is packed with impressive features, including a low-NOx blue flame burner and patented heat exchanger for reduced maintenance and an ErP A rating.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Firebird Envirogreen Popular C58 boiler 44-58kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/74/111871_111874_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Firebird_Envirogreen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Firebird_Boiler_Handbook.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Firebird_Envirogreen_Popular_ErP.pdf,,,,
