,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Size,Diameter,Warranty,Hazardous,Energy Efficiency Class,Material,Mounting Type,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Range,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Connection Type,Pressure,Voltage (V),Weight,Overheat Protection,Direct / Indirect,Insulation Type,Application,Feature 15,Grade,Pack Quantity,Feature 16
35,P119533,UK Cylinders Elite cylinder indirect slimline unvented 150ltr,UK Cylinders,566.79,"Ideal for homes where storage space is at a premium or access is tight, the UK Cylinders Elite Cyl 150L slimline indirect cylinder offers the same high performance as other Elite Cyl units but measures just 475mm in diameter. Made of Duplex stainless steel and fitted with quality components, this cylinder is built to last.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite cylinder indirect slimline unvented 150ltr,,Cylinder;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/35/NW-119531_119535_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P112503,UK Cylinders Elite Cyl direct unvented cylinder 90ltr,UK Cylinders,377.67,"Reliable and high performing, the UK Cylinders Elite Cyl 90L unvented direct cylinder delivers fast hot water to all outlets with fast reheating and minimal heat loss, even in high use homes. Manufactured to the highest quality in by UK specialists, this cylinder is made of robust Duplex stainless steel and incorporates quality components for long-lasting, trouble-free use.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite Cyl direct unvented cylinder 90ltr,,Cylinder;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/09/NW-112503_112509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P128781,Gledhill Stainless Pro IND210 indirect cylinder 210ltr,Gledhill,640.17,"Supplying mains pressure hot water, the 208L capacity Gledhill Stainless Pro IND210 indirect unvented hot water storage cylinder comes with full NSF WRC independent approvals and G3 package. Designed with SAP in mind, the Stainless Pro boasts extremely high levels of efficiency thanks to effective lagging and a specialist corrugated coil for improved re-heat performance. Built using robust duplex stainless steel, this tough, reliable cylinder is designed for longevity.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Gledhill Stainless Pro IND210 indirect cylinder 210ltr,,Unvented hot water storage cylinder;Cold water inlet PRV combination valve/expansion relief;Pressure ;temperature relief valve;Control thermostat;Energy cut-out thermostat;Energy cut-out motorised valve;Tundish;Drain valve;3kW Immersion heater including,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/83/128777_128783_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Gledhill_Stainless Pro_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/128777_128783_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Gledhill_Stainless Pro_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P174767,CenterStore Unvented direct cylinder 120L,CenterStore,627.78,"Built to a high standard, the 120L Centerstore Direct unvented cylinder is made using robust and long-lasting Duplex stainless steel with thick polyurethane lagging to help retain heat for longer. Supplied with quality components, every Centerstone Direct cylinder supplies fast-flowing water to a home's outlets, performing to its best in even the highest use properties. This cylinder is designed for fast reheat times and minimal heat loss.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Unvented direct cylinder 120L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/v2/174767_17477_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Direct_Cylinders_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Direct External Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P174787,CenterStore Slim indirect unvented cylinder 120L,CenterStore,738.66,"Manufactured to the brand's reliably high standards, the 120L capacity Centerstore Slimline unvented cylinder is designed with a 475mm diameter, making it perfect for installation where space is at a premium or in homes with narrow doors. This reliable cylinder is made of tough Duplex stainless steel with thick polyurethane lagging to help maximise heat retention, while high quality components supply fast hot water to a home's outlets.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Slim indirect unvented cylinder 120L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/v2/174787_174790_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Indirect External Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Slimline_Cylinders_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P178550,Heatrae Sadia Megaflo Eco 70D unvented direct cylinder,Heatrae Sadia,833.0,"Part of a range favoured by installers and homeowners alike, the Heatrae Sadia Megaflo Eco 70L direct unvented cylinder reduces energy consumption without compromising on hot water power, giving you all the flow you need for uninterrupted showering, fast bath filling and stress-free dishwashing. Made right here in the UK from hardwearing corrosion-resistant duplex stainless steel, the almost maintenance-free Megaflo Eco is supplied with a lifetime guarantee so you need never worry about going without hot water. With an internal expansion system, installation of the Megaflo Eco is quick and easy with a neater, more compact finish.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Heatrae Sadia Megaflo Eco 70D unvented direct cylinder,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/56/178550_178556_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Megaflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Megaflo_Issue9_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Direct_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_MegafloEco_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/t2/Megaflo_Eco_Direct2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P174769,CenterStore Unvented direct cylinder 170L,CenterStore,701.04,"Built to a high standard, the 170L Centerstore Direct unvented cylinder is made using robust and long-lasting Duplex stainless steel with thick polyurethane lagging to help retain heat for longer. Supplied with quality components, every Centerstone Direct cylinder supplies fast-flowing water to a home's outlets, performing to its best in even the highest use properties. This cylinder is designed for fast reheat times and minimal heat loss.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Unvented direct cylinder 170L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/v2/174767_17477_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Direct_Cylinders_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Direct External Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P174792,CenterStore Slim direct unvented cylinder 150L,CenterStore,659.7,"Manufactured to the brand's reliably high standards, the 150L capacity Centerstore Slimline unvented cylinder is designed with a 475mm diameter, making it perfect for installation where space is at a premium or in homes with narrow doors. This reliable cylinder is made of tough Duplex stainless steel with thick polyurethane lagging to help maximise heat retention, while high quality components supply fast hot water to a home's outlets.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Slim direct unvented cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/v2/174791_174794_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Direct External Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Slimline_Cylinders_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P119535,UK Cylinders Elite Cyl cylinder indrct slimline unventedented 200ltr,UK Cylinders,632.27,"Ideal for homes where storage space is at a premium or access is tight, the UK Cylinders Elite Cyl 200L slimline indirect cylinder offers the same high performance as other Elite Cyl units but measures just 475mm in diameter. Made of Duplex stainless steel and fitted with quality components, this cylinder is built to last.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite Cyl cylinder indrct slimline unventedented 200ltr,,Cylinder;Expansion vessel;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/35/NW-119531_119535_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P170634,Bosch Green Storage WB green storage unvented cylinder 210ltr & G3 kit,Bosch,773.43,"Easy to install and maintain, the 210L Bosch Green Storage WB unvented cylinder is supplied with a factory-fitted G3 temperature and pressure relief valve. Compatible with the Bosch system diverter valve kit, this unvented cylinder is an affordable yet quality choice for any home. Every cylinder in the WB range offers excellent water retention and heats up quickly for reliable delivery of hot water without long, frustrating waits.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Bosch Green Storage WB green storage unvented cylinder 210ltr & G3 kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/36/NW-170630_170636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/170634_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bosch_Green_Storage_WB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bosch_Green_Storage_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P113875,UK Cylinders Elite Cyl indirect unvented cylinder 150ltr,UK Cylinders,512.23,"Built for performance and reliability, the UK Cylinders Elite Cyl 150L unvented indirect cylinder is manufactured to a very high quality here in the UK. Promising fast flowing water to all outlets throughout the home, it ensures a fast reheat and low heat loss. Containing robust and well-designed components and made of long-lasting Duplex stainless steel, the Elite Cyl will work at its best for many years to come.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite Cyl indirect unvented cylinder 150ltr,,Cylinder;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/82/NW-113873_113882_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P174791,CenterStore Slim direct unvented cylinder 120L,CenterStore,632.44,"Manufactured to the brand's reliably high standards, the 120L capacity Centerstore Slimline unvented cylinder is designed with a 475mm diameter, making it perfect for installation where space is at a premium or in homes with narrow doors. This reliable cylinder is made of tough Duplex stainless steel with thick polyurethane lagging to help maximise heat retention, while high quality components supply fast hot water to a home's outlets.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Slim direct unvented cylinder 120L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/v2/174791_174794_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Direct External Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Slimline_Cylinders_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P128772,Gledhill Stainless Pro D150 direct cylinder 150ltr,Gledhill,529.46,"Supplying mains pressure hot water, the 148L capacity Gledhill Stainless Pro D150 direct unvented hot water storage cylinder comes with full NSF WRC independent approvals and G3 package. Designed with SAP in mind, the Stainless Pro boasts extremely high levels of efficiency thanks to effective lagging and a specialist corrugated coil for improved re-heat performance. Built using robust duplex stainless steel, this tough, reliable cylinder is designed for longevity.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Gledhill Stainless Pro D150 direct cylinder 150ltr,,Unvented hot water storage cylinder;Cold water inlet PRV combination valve/expansion relief;Pressure ;temperature relief valve;Control thermostat;Energy cut-out thermostat;Tundish;Drain valve;3kW Immersion heater including control ;cut out thermostats;Ex,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/76/128770_128776_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Gledhill_Stainless Pro_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/128770_128776_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Gledhill_Stainless Pro_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P170635,Bosch Green Storage WB green storage unvented cylinder 250ltr & G3 kit,Bosch,852.92,"Easy to install and maintain, the 250L Bosch Green Storage WB unvented cylinder is supplied with a factory-fitted G3 temperature and pressure relief valve. Compatible with the Bosch system diverter valve kit, this unvented cylinder is an affordable yet quality choice for any home. Every cylinder in the WB range offers excellent water retention and heats up quickly for reliable delivery of hot water without long, frustrating waits.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Bosch Green Storage WB green storage unvented cylinder 250ltr & G3 kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/36/NW-170630_170636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bosch_Green_Storage_WB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bosch_Green_Storage_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/170635_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P119534,UK Cylinders Elite Cyl cylinder indrct slimline unventedented 170ltr,UK Cylinders,591.74,"Ideal for homes where storage space is at a premium or access is tight, the UK Cylinders Elite Cyl 170L slimline indirect cylinder offers the same high performance as other Elite Cyl units but measures just 475mm in diameter. Made of Duplex stainless steel and fitted with quality components, this cylinder is built to last.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite Cyl cylinder indrct slimline unventedented 170ltr,,Cylinder;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/35/NW-119531_119535_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,P112509,UK Cylinders Elite Cyl direct unvented cylinder 300ltr,UK Cylinders,580.82,"Reliable and high performing, the UK Cylinders Elite Cyl 300L unvented direct cylinder delivers fast hot water to all outlets with fast reheating and minimal heat loss, even in high use homes. Manufactured to the highest quality in by UK specialists, this cylinder is made of robust Duplex stainless steel and incorporates quality components for long-lasting, trouble-free use.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite Cyl direct unvented cylinder 300ltr,,Cylinder;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/09/NW-112503_112509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P113877,UK Cylinders Elite Cyl indirect unvented cylinder 200ltr,UK Cylinders,579.27,"Built for performance and reliability, the UK Cylinders Elite Cyl 200L unvented indirect cylinder is manufactured to a very high quality here in the UK. Promising fast flowing water to all outlets throughout the home, it ensures a fast reheat and low heat loss. Containing robust and well-designed components and made of long-lasting Duplex stainless steel, the Elite Cyl will work at its best for many years to come.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders Elite Cyl indirect unvented cylinder 200ltr,,Cylinder;Casing;Mechanical cylinder stat;Immersion heater;Nuts;Olives,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/82/NW-113873_113882_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/UK_Cylinders_Elite_Unvented_P_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P174775,CenterStore Air indirect unvented cylinder 120L,CenterStore,776.01,"An internal expansion unvented cylinder, the 120L capacity Centerstore Air offers good levels of performance and reliability. Robust and long-lasting, this cylinder is made of high grade Duplex stainless steel with heat-retaining CFC-free polyurethane lagging. This cylinder supplies fast flowing hot water to single or multiple outlets using innovative components for fast recovery, low heat loss and less wasted energy.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Air indirect unvented cylinder 120L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/v2/174775_174780_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Indirect Internal Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Air_Cylinders_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P128779,Gledhill Stainless Pro IND150 indirect cylinder 150ltr,Gledhill,572.72,"Supplying mains pressure hot water, the 148L capacity Gledhill Stainless Pro IND150 indirect unvented hot water storage cylinder comes with full NSF WRC independent approvals and G3 package. Designed with SAP in mind, the Stainless Pro boasts extremely high levels of efficiency thanks to effective lagging and a specialist corrugated coil for improved re-heat performance. Built using robust duplex stainless steel, this tough, reliable cylinder is designed for longevity.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Gledhill Stainless Pro IND150 indirect cylinder 150ltr,,Unvented hot water storage cylinder;Cold water inlet PRV combination valve/expansion relief;Pressure ;temperature relief valve;Control thermostat;Energy cut-out thermostat;Energy cut-out motorised valve;Tundish;Drain valve;3kW Immersion heater including,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/83/128777_128783_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Gledhill_Stainless Pro_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/128777_128783_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Gledhill_Stainless Pro_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P174773,CenterStore Solar indirect twin coil unvented cylinder 250L,CenterStore,1086.02,"Built to a high standard, the 250L Centerstore Solar Twin Coil unvented cylinder is made using robust and long-lasting Duplex stainless steel with thick polyurethane lagging to help retain heat for longer. Supplied with quality components, every Centerstone Direct cylinder supplies fast-flowing water to a home's outlets, performing to its best in even the highest use properties. This cylinder is designed for fast reheat times and minimal heat loss.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Solar indirect twin coil unvented cylinder 250L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/v2/174771_174774_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Indirect External Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_v/_6/CenterStore Solar Cylinders_V.6.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
