,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Warranty,Weight,Hazardous,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Voltage (V),Feature 5,Feature 6,Feature 7,Colour,Connection Type,Diameter,Pressure,Overheat Protection,Direct / Indirect,Insulation Type,Material,Application,Attachment 2,Attachment 3,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
10,P175024,UK Cylinders Prolite WPHPD3170 Heat Pump Cylinder 170 ltr,UK Cylinders,974.87,"Offering high levels of performance, this UK Cylinders Prolite 170L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> UK Cylinders Prolite WPHPD3170 Heat Pump Cylinder 170 ltr,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,ProLite,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,4.3kg,N,WPHPD3170,,N,170 l,For domestic use,Duplex stainless steel construction,Silver colour,22mm compression fittings,,230,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,Silver,22mm compression fittings,545mm,4 bar,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,Domestic,,,,,,,
11,P125450,Vaillant uniSTOR 0020237129 pre-plumbed heat pump cylinder 150ltr,Vaillant,1302.34,"Designed to make installers' lives that bit easier, the Vaillant uniSTOR 150L pre-plumbed slimline cylinder has a diameter of just 435mm, ideal for those homes with less storage space or tricky access and making installation easier and faster in any property. Ensuring high performance, with a low standby loss of 1.8kW every 24 hours, the uniSTOR incorporates a specially designed smooth bore coil, located to maximise heat transfer inside the compact unit.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant uniSTOR 0020237129 pre-plumbed heat pump cylinder 150ltr,,CylinderTundishTemperature and pressure expansion relief valveThree-way motorised valveExpansion vesselSensorDrain valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/NW-125450_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_uniSTOR_GB_IE_Installation.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_uniSTOR_Operating_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_uniSTOR_Cylinder_Brochure.pdf,,,,,
12,PT21885,Panasonic Aquarea KIT-G3TD30C1E5 stainless steel domestic hot water tank 300ltr,Panasonic,1482.0,"This Panasonic KIT-G3TD30C1E5 300L domestic hot water tank is designed for compatibility with an air source heat pump. Built in a tough, high quality stainless steel chosen for its longevity, this tank is fitted with a heating coil that boasts a large surface area of 3M square for complete efficiency. A-rated, this hot water tank is compatible with air to water heat pumps from Panasonic's own Aquarea range.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Panasonic Aquarea KIT-G3TD30C1E5 stainless steel domestic hot water tank 300ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/_5/T21884_5_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Panasonic_Renewables_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
13,P143380,Joule Kodiak Standard HUKH-G6150-L3C pre-plumbed indirect cylinder 150L,Joule,2176.18,This 150L capacity Joule Kodiak Standard indirect cylinder is pre-plumbed for ease and speed of installation.,Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak Standard HUKH-G6150-L3C pre-plumbed indirect cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/80/143380_wm.jpg,Kodiak Standard,7 Years,78kg,N,HUKH-G6150-L3C,ASHP Cylinders,N,150 l,Pre-plumbed for quicker installation,1134mm height,7 year warranty,,,,,,,,,,,,,,,,,,,,,,
14,P125456,Vaillant uniSTOR 0020235273 heat pump cylinder 250ltr,Vaillant,1213.61,"Built for performance and reliability, the Vaillant uniSTOR 250L indirect heat pump cylinder is manufactured from hardwearing stainless steel and incorporates the latest thermal-injected insulation for ultra-low heat loss, as little as 1kW in 24 hours. The uniSTOR has a large diameter, smooth-surfaced coil positioned in an optimal spot for the ultimate in hot water performance and with automatic de-scaling provides ongoing efficiency with minimal maintenance.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant uniSTOR 0020235273 heat pump cylinder 250ltr,,Cylinder;Documentation;Tundish;Three-way motorised valve;Unvented cylinder kit;Expansion vessel;3/4 inch x 28mm MI-copper compression fittings;Secondary return T piece connection,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/57/125454_125457_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Heat_Pump_Cylinder_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
15,P118881,Vaillant Arostor water heat pump 200ltr,Vaillant,2176.0,"Ideal for large homes or small commercial premises, the Vaillant aroSTOR water heat pump offers a capacity of 200L to meet high hot water demand. This efficient cylinder improves the sustainability of a premises by using thermal energy collected through an external air duct to heat water, or by recycling in-room hot air, reducing reliance on fossil fuels. For peace of mind, an electrical back-up heater provides a boost when needed while also protecting from Legionella.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant Arostor water heat pump 200ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/or/aroSTOR_wm.jpg,Arostor,2,55,N,0010031862,Domestic Hot Water Heat Pump,N,200 l,Small footprint and range of 360° air duct accessories for flexible siting,High COP of <gt/>3.19,ErP A+ rated,With integrated control,,230,High quality material and components,Advanced insulation and rubber on compressor for quiet operation,Self-managing hot water with electrical back up heater for hot water boost,,,,,,,,,,,,With Legionella protection,Completely stand-alone hot water solution,1.2kW corrosion-resistant titanium electrical back-up heater,Supplied in strong bag for two person carry,2 year warranty
16,P125457,Vaillant uniSTOR 0020235274 heat pump cylinder 300ltr,Vaillant,1302.34,"Built for performance and reliability, the Vaillant uniSTOR 300L indirect heat pump cylinder is manufactured from hardwearing stainless steel and incorporates the latest thermal-injected insulation for ultra-low heat loss, as little as 1kW in 24 hours. The uniSTOR has a large diameter, smooth-surfaced coil positioned in an optimal spot for the ultimate in hot water performance and with automatic de-scaling provides ongoing efficiency with minimal maintenance.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant uniSTOR 0020235274 heat pump cylinder 300ltr,,Cylinder;Documentation;Tundish;Three-way motorised valve;Unvented cylinder kit;Expansion vessel;3/4 inch x 28mm MI-copper compression fittings;Secondary return T piece connection,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/57/125454_125457_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Heat_Pump_Cylinder_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
17,P143383,Joule Kodiak Standard HUKH-G6200-L3C pre-plumbed indirect cylinder 200L,Joule,2368.21,This 200L capacity Joule Kodiak Standard indirect cylinder is pre-plumbed for ease and speed of installation.,Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak Standard HUKH-G6200-L3C pre-plumbed indirect cylinder 200L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/83/143383_wm.jpg,Kodiak Standard,7 Years,92 kg,N,HUKH-G6200-L3C,ASHP Cylinders,N,200 l,Pre-plumbed for quicker installation,1499mm height,7 year warranty,,,,,,,,,,,,,,,,,,,,,,
18,P143385,Joule Kodiak Standard HUKH-G6250-L3C pre-plumbed indirect cylinder 250L,Joule,2484.13,This 250L capacity Joule Kodiak Standard indirect cylinder is pre-plumbed for ease and speed of installation.,Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak Standard HUKH-G6250-L3C pre-plumbed indirect cylinder 250L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/85/143385_wm.jpg,Kodiak Standard,7 Years,9.6Kg,N,HUKH-G6250-L3C,ASHP Cylinders,N,250 l,Larger capacity for high demand households,Pre-plumbed for quicker installation,1754mm height,7 year warranty,,,,,,,,,,,,,,,,,,,,,
19,P175023,UK Cylinders Prolite WPHPD3150 Heat Pump Cylinder 150 ltr,UK Cylinders,893.18,"Offering high levels of performance, this UK Cylinders Prolite 150L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> UK Cylinders Prolite WPHPD3150 Heat Pump Cylinder 150 ltr,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,ProLite,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,37Kg,N,WPHPD3150,,N,150 l,For domestic use,Duplex stainless steel construction,Silver colour,22mm compression fittings,,230,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,Silver,22mm compression fittings,545mm,3 bar,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,Domestic,,,,,,,
20,P619521,MITS 150L MONO PP CYL SLIM SMALL 22MM,Mitsubishi,2893.48,"An efficient unit featuring a high capacity coil heat exchanger, the pre-plumbed Mitsubishi Ecodan 150L mono slimline cylinder is part of a versatile range designed to meet the needs of a wide variety of hot water applications. These adaptable MELCloud enabled cylinders offer fast heat-up times, thanks to their integral plate heat exchangers, and are suitable for integration with the brand's monobloc air source heat pumps, helping to reduce a system's carbon footprint.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> MITS 150L MONO PP CYL SLIM SMALL 22MM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/21/619521_wm.jpg,,3 Years,59 kg,N,607774,Cylinder,N,150 l,Plug-and-play installation,Unvented,"For efficient, rapid heating",With premium insulation,,220 - 240,Flexible 2-zone space heating control,MELCloud enabled,3 year warranty,,,,,,,,,,,,,,,,
21,P619179,ECODAN 210L VERSATILE STANDARD CYL,Mitsubishi,2353.93,"An efficient unit featuring a high capacity coil heat exchanger, the pre-plumbed Mitsubishi Ecodan 210L standard cylinder is part of a versatile range designed to meet the needs of a wide variety of hot water applications. These adaptable MELCloud enabled cylinders offer fast heat-up times, thanks to their integral plate heat exchangers, and are suitable for integration with the brand's monobloc air source heat pumps, helping to reduce a system's carbon footprint.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> ECODAN 210L VERSATILE STANDARD CYL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/79/619179_wm.jpg,Ecodan,3 Years,53 kg,N,678157,Cylinder,N,210 l,Plug-and-play installation,Unvented,"For efficient, rapid heating",With premium insulation,,220 - 240,Flexible 2-zone space heating control,MELCloud enabled,3 year warranty,,,,,,,,,,,,,,,,
22,P175027,UK Cylinders Prolite WPHPD3300 Heat Pump Cylinder 300 ltr,UK Cylinders,1105.68,"Offering high levels of performance, this UK Cylinders Prolite 300L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> UK Cylinders Prolite WPHPD3300 Heat Pump Cylinder 300 ltr,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,ProLite,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,57kg,N,WPHPD3300,,N,300 l,For domestic use,Duplex stainless steel construction,Silver colour,22mm compression fittings,,230,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,Silver,22mm compression fittings,545mm,5 bar,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,Domestic,,,,,,,
23,P635041,Vaillant flexoTHERM heat pump 8kW,Vaillant,7245.0,"Vaillant's 8kW flexoTHERM heat pump is designed with state of the art EVI compressor technology for impressively high efficiency and heating performance. Quiet Mark accredited, the flexoTHERM boasts exceptionally low operating noise levels, no louder than a standard domestic fridge.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant flexoTHERM heat pump 8kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/42/635041_635042_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_flexoTHERM_Technical.pdf,,,,,,,,,,,,,,,,,,,,
24,P143387,Joule Kodiak HUKH-G6300-L3C pre-plumbed indirect cylinder 300L,Joule,2494.39,"Supplying homeowners with a huge 300L capacity, this Joule Kodiak Tall indirect cylinder is pre-plumbed for ease and speed of installation.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak HUKH-G6300-L3C pre-plumbed indirect cylinder 300L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/87/143387_wm.jpg,Kodiak,8 years,102 kg,N,HUKH-G6300-L3C,ASHP Cylinders,N,300 l,Larger capacity for high demand households,Pre-plumbed for quicker installation,2020mm height,8 year warranty,,,,,,,,,,,,,,,,,,,,,
25,P131045,Joule Kodiak Slim HUKH-G6170-S3C pre-plumbed indirect cylinder 170L,Joule,2402.01,"Offering a capacity of 170L, this Joule Kodiak Slim indirect cylinder is suitable for installation in smaller spaces or where access is limited. Pre-plumbed, this cylinder allows for fast, easy installation.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak Slim HUKH-G6170-S3C pre-plumbed indirect cylinder 170L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/45/131045_wm.jpg,Kodiak Slim,7 Years,89 kg,N,HUKHG6170S3C,ASHP Cylinders,N,170 l,Slimline design for small spaces,Pre-plumbed for quicker installation,1732mm height,7 year warranty,,,,,,,,,,,,,,,,,,,,,
