,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection,Connection Size,Hazardous,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pack Quantity,Range,Sector,Depth (mm),Warranty
10,PD61046,"Rada thermostatic mixer valve 1/2""",Rada,283.79,"Approved for use in healthcare facilities, this Rada 215-T3 DK 1/2"" thermostatic mixing valve with Radatherm cartridge is safe, controllable and suitable for under-basin mounting.","Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Rada thermostatic mixer valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/NW-D61046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_215_T3_DK_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_215_222_Series_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/cs/Rada_215_T3_DK_V2_App_Schematics.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_215_T3_DK_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
11,P870117,Reliance Valves Easifit union 2 in 1 TMV 22mm,Reliance Valves,87.26,A Radiance Valves Easifit 2-in-1 22mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 2 in 1 TMV 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/17/NW-870116_870117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD61281,Bristan Sirrus mixing valve 22mm Chrome,Bristan,686.25,"A Bristan 22mm thermostatic TMV3 group blending valve with integral isolation valves, ideal for group applications at pressures down to 0.1 bar.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Bristan Sirrus mixing valve 22mm Chrome,,Mixing valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/81/NW-D61281_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_TS4753ECP_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_TS4753ECP_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_TS4753ECP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
13,P870116,Reliance Valves Easifit union 2 in 1 TMV 15mm,Reliance Valves,73.35,A Radiance Valves Easifit 2-in-1 15mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 2 in 1 TMV 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/17/NW-870116_870117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
14,P171618,Reliance Valves Heatguard Dual 2 in 1 dual thermostatic mixing valve 15mm,Reliance Valves,98.7,"Made of nickel-plated DZR brass and with viton seals, this RWC Heatguard Dual 2-in-1 thermostatic mixing valve can supply 37LPM at 2.5 bar pressure loss. With a tamperproof cap that can act as a temperature adjustment tool, this three-port TMV has scale-resistant internal components and 15mm compression water inlets with flat faced union connections to comply with building regulations and D08.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard Dual 2 in 1 dual thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/19/NW-171618_171619_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/RWC_Heatguard_Dual_TMV_Tech_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_Dual_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_HeatGuardTMV_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/RWC_Heatguard_Dual_TMV_TMV2_3_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,
15,P411094,DVS 6v 6w dc asco valve latching 12.7mm,DVS,68.12,"Designed with a robust brass body, this DVS 6V DC latching valve has a NBR seal and 12.7mm orifice with compression fittings for 15mm pipe.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> DVS 6v 6w dc asco valve latching 12.7mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/94/NW-411094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/DVS_127mm_Valve_Cleaning_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
16,P171623,Reliance Valves Ausimix Compact 4 in 1 thrmostatic mixing valve 15mm,Reliance Valves,117.8,"Offering versatile protection from the dangers of scalding, RWC Ausimix Compact 4-in-1 thermostatic mixing valve is made of DZR brass with a nickel-plated finish. This three-port valve offers viton seals, red/blue levers and 15mm flat face union connections. Telescopic connectors and SharkBite push-fit connections are also available.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Ausimix Compact 4 in 1 thrmostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/24/NW-171623_171624_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Ausimix_Compact_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/RWC_Ausimix_Compact_4in1_TMV_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_Ausimix_TMV2_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
17,P419891,Altecnic flush and fill valve 28mm,Altecnic,150.0,"Suitable for domestic or small commercial heating systems, the Altecnic 28mm flush and fill valve combines two ball-type isolating valves and a single T-port diverting ball valve. This provides ease of filling and flushing with chemical cleaners or water treatment solutions.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Altecnic flush and fill valve 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/91/419891_wm.jpg,,,,,,Compression,28 mm,N,Compression,Brass,28mm,85,124-1502,Fill & Flush Valve,N,Used to fill and flush the system with cleaning chemicals or water treatment,For use with cleaning chemicals or water treatment,For maximum temperatures of 85°C,Works to minimum temperature of 2°C,Suitable for maximum pressure of 10 bar,Compression ends comply with BS EN 1252-2 for use with R250 (half hard) copper tube,,,,,
18,P870118,Reliance Valves Easifit union 4 in 1 TMV 15mm,Reliance Valves,99.25,A Radiance Valves Easifit 4-in-1 15mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 4 in 1 TMV 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/19/NW-870118_870119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD63655,Intatec Intamix thermostatic mixing valve 15mm,Intatec,43.15,"Delivering safe, blended hot water to outlets including taps, showers and bidets, this Intatec Intamix thermostatic mixing valve is suitable for single outlet use. Suitable for use in schools, healthcare settings and leisure centres, this three-port valve is made of robust brass and has 15mm connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Intatec Intamix thermostatic mixing valve 15mm,,Thermostatic mixing valveIntegral check valvesStrainersIsolation ball valvesTest ports,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/55/NW-D63655_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/D63655_Spares_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Intamix_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intatec_Intamix_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
20,PD06420,Saracen WhiffAway Waterless Urinals waterless valves (Pack of 10),Saracen,120.75,Saracen Waterless Urinal Replacement Valves (x10 valves).  Blister pack of 10 x Replacement Valves/Hygiene Seals.  Helpline provided for technical support,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Saracen WhiffAway Waterless Urinals waterless valves (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/20/NW-D06420_wm.jpg,,,,,,,,N,,,,,WHIF-NRV-40MM,Waterless Valve,N,,Made from plastic,Suitable for Saracen waterless urinal system,,,,pack of 10,WhiffAway Waterless Urinals,"Office/Retail/Washrooms,Education,Healthcare,Hotels/Leisure,Sport/Fitness",30,
21,P171679,Saracen 4 in 1 thermostatic mixing valve UA 22mm,Saracen,64.06,"Providing accurate temperature control, the Saracen 4-in-1 anti-scald thermostatic mixing valve is supplied with an angle valve and 22mm copper x copper compression end connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Saracen 4 in 1 thermostatic mixing valve UA 22mm,,Thermostatic mixing valveAngle valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/79/NW-171679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
22,PC16432,Delabie Tempostop basin/urinal cartridge 15sec,Delabie,40.35,This Douglas Delabie 15 second basin/urinal cartridge is suitable for Tempostop urinals or basins.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Delabie Tempostop basin/urinal cartridge 15sec,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/32/C16432_wm.jpg,,,,,,,,N,,,,,743010,Cartridge for Tempostop Basin/Urinal,N,,15 second operation,For use with Tempost basin or urinal products,,,,,Tempostop,Sport/Fitness;Education,35,30-year warranty
23,PB97946,Twyford Concealed Cisterns concealed cistern single flush lever side supply internal overflow 4ltr,Twyford,78.66,This Twyford 4L concealed cistern with single flush and delayed action inlet valve is suitable for front or back wall fixing.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Twyford Concealed Cisterns concealed cistern single flush lever side supply internal overflow 4ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/46/NW-B97946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rw/ng/Twyford_ConcealedCisternsLever_Drwng.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Concealed_CisternsLever_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Twyford_CX9540XX_CX9564XX_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ConcledCisternMatrixBrochure.pdf,,,,,,,,,,,,,,,,,,,,,,
24,PJ10190,Armitage Shanks Septa Pro mechanical metal dual flushplate,Armitage Shanks,123.27,"Suitable for commercial bathrooms, the vandal-resistant Armitage Shanks Septa Pro mechanical dual flush plate is compatible with Prosys in-wall WC frames and concealed cisterns.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Armitage Shanks Septa Pro mechanical metal dual flushplate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/J10190_wm.jpg,,,,,,,,N,,,,,S0858AA,Mechanical flushplate,N,,Mechanical actuation,Dual flush,Vandal resistant,,,,Septa Pro,,17,
