,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Material,Size,Range,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Size,Material Type,Dimensions mm (H x W x D),Connection Type,Diameter,Weight,Protection Time,Drainage Product Type,Resistance Features,Standards,Application,Feature 9,Feature 10,Feature 11,Container Type,Quantity
10,PE68062,Bostik Evode plumbers mait 750g,Bostik,4.3,"A waterproof, non-setting putty, Bostik Evo-Stik plumber's mait is ideal for sanitary joints and bedding-in sinks.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Bostik Evode plumbers mait 750g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/62/NW-E68060_E68062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Plumbers_Mait_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P555383,CB Jet Blue Plus jointing compound cold water WRAS approved pack,CB Jet,16.2,This CB Jet Blue Plus PTFE cold water jointing compound pack is suitable for use in cold water up to 23°C in temperature. This PTFE paste dries to an off-white colour to meet the needs of a variety of applications.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> CB Jet Blue Plus jointing compound cold water WRAS approved pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/89/581189_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/581189_Jet_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/th/er/581189_Jet_PDF - Other.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PW91223,Horobin pvc sealing bag 100mm and hose 1.5mtr,Horobin,29.61,This Horobin PVC sealing bag for 100mm pipes offers easy inflation for trouble-free pipe sealing.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin pvc sealing bag 100mm and hose 1.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/25/NW-W91221_W91225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PW91074,"Horobin spring drain rod steel 3ft x 1/2""",Horobin,5.47,"Made of steel, this robust Horobin 1/2"" x 3' spring rod works through acute bends and includes a worm screw end for capturing and removing tissues and other blockages.","Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin spring drain rod steel 3ft x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/74/NW-W91074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Horobin_ToolCatalogue_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT86868,Rothenberger drain down hose 10mtr,Rothenberger,44.76,"Made of rubber, this Rothenberger drain down hose is suitable for use in hot or cold water and is supplied with a thumbscrew hose clip.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Rothenberger drain down hose 10mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/68/NW-T86868_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PW91221,Horobin PVC sealing bag plus hose 1.5mtr 50mm,Horobin,28.17,This Horobin PVC sealing bag for 50mm pipes offers easy inflation for trouble-free pipe sealing.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin PVC sealing bag plus hose 1.5mtr 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/25/NW-W91221_W91225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PW92254,Horobin boxed drain test kit,Horobin,38.07,This Horobin drain test kit is easy to use thanks to its high quality design. The kit is presented in an eye-catching display box.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin boxed drain test kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/55/NW-W92254_W92255_wm.jpg,,,,,,N,,,79140,Drain Test Kit,N,Superior design and quality ensures ease of use,High visual impact for point of sale display box,,,,,,,Cardboard & Plastic components,95cms x 165cms x 220cms,,,,,,,,,,,,,,,,,,,,,
17,PW91148,"Horobin steel drain test plug with brass cap 4"" 100mm",Horobin,5.1,This Horobin 100mm test plug is made of steel with a corrosion-resistant zinc plating.,"Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin steel drain test plug with brass cap 4"" 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/49/NW-W91147_W91149_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P498513,Rocol Rapidseal extra small thread seal 50ml,Rocol,20.64,"Rapid curing, Rocol RapidSeal universal foliac pipe sealant is a fluorescent yellow compound formulated for use as a thread sealant on industrial metal pipework, including stainless steel, up to 3"" in diameter. This rapid cure solution minimises downtime, making repairs fast and efficient.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Rocol Rapidseal extra small thread seal 50ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/13/NW-498513_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_RAPIDSEAL_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_RAPIDSEAL_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PP41598,Georg Fischer tin of solvent cement 250g,Georg Fischer,32.23,"Promising fast, effortless results, GFPS Tangit glue creates secure, tight connections with no need for specialist knowledge or pricey equipment. Developed for use in plastic piping systems, Tangit makes reliably firm and durable connections between pipe elements, suitable to withstand movement and bending forces.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Georg Fischer tin of solvent cement 250g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/99/NW-P41598_P41599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/GFPS_Tangit_PVCU_SpecialAdhesive_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/GFPS_PVC_U_Technical_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PQ64160,Wavin OsmaS 4S384G solvent 250ml,Wavin,24.14,Wavin OsmaS solvent cement is designed to bond spigots and sockets in non-pressure thermoplastic uPVC and ABS pipe systems.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Wavin OsmaS 4S384G solvent 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/60/NW-Q64160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Solvent_Cement_NO2_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Wavin_Solvent_Cement_NO2_DOP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PW91224,Horobin pvc sealing bag and hose 150mm 1.5mtr,Horobin,45.38,This Horobin PVC sealing bag for 150mm pipes offers easy inflation for trouble-free pipe sealing.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin pvc sealing bag and hose 150mm 1.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/25/NW-W91221_W91225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PW91292,Horobin inflatable pvc testing bag 100mm,Horobin,40.24,"Made of PVC, this Horobin testing bag for 100mm pipes is easy to inflate using a simple bicycle tire pump for almost effortless pipe sealing.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin inflatable pvc testing bag 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/93/NW-W91291_W91293_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PW90186,Horobin pvc sealing bag 40mm,Horobin,29.06,This Horobin PVC sealing bag for 40mm pipes offers easy inflation for trouble-free pipe sealing.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin pvc sealing bag 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/86/NW-W90186_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P455175,Sika Everbuild PCFJC1 flue jointing 1kg,Sika,13.29,"With its stiff consistency, Sika Everbuild PCFJC1 flue jointing compound is a finely dispersed asbestos-free material that won't completely harden, accommodating minor movements with no cracking. Non-flammable, this flue jointing compound is free of fire risks.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Sika Everbuild PCFJC1 flue jointing 1kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/75/NW-455175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Everbuild_Fire Compounds_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Everbuild_Flue_Joint_Compound_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Everbuild_Flue_Jointing_Compound_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PP12440,Durapipe HTA cement 250ml (1),Durapipe,33.14,A 250ml tin of Durapipe HTA solvent cement welding polymer.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Durapipe HTA cement 250ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/41/NW-P12440_P12441_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_HTA_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Girpi_Rerfixb_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PW91222,Horobin pvc sealing bag and hose 75mm 1.5mtr,Horobin,28.89,This Horobin PVC sealing bag for 75mm pipes offers easy inflation for trouble-free pipe sealing.,Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Horobin pvc sealing bag and hose 75mm 1.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/25/NW-W91221_W91225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT85817,Rothenberger Polupropylene Drain Rods drain rods set of 10,Rothenberger,29.38,"Offering the flexibility to fit into a 90° bend, this Rothenberger drain rod set contains ten rods and a rubber disc, designed to apply positive force and suction to a pipe. Used in a back and forth motion, the rod and disc will create a washing machine effect for quick and effective clearing of blockages. The supplied double corkscrew can be used to capture and remove roots and textile items with a hook and wrap action.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Rothenberger Polupropylene Drain Rods drain rods set of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/17/NW-T85817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PF68409,Polypipe aerosol lubricant 400ml,Polypipe,32.18,"Polypipe SG300 jointing silicone lubricant spray  is designed for use when fitting Polypipe's plastic push-fit waste, soil and underground drainage systems.",Trade Essentials/Drainage Essentials/Drainage Essentials.csv -> Polypipe aerosol lubricant 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/09/NW-F68409_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_SG300_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
