,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Style,Warranty,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
11,PC24136,Nabis Vision fascia pack for washbasin unit 700mm White Gloss,Nabis,80.65,"Suitable for use with washbasin units, this Nabis Vision fascia pack is finished in white gloss. This door and front panel is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision fascia pack for washbasin unit 700mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/36/NW-C24136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Washbasin_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
12,PC23987,Nabis laminate worktop 1500 x 230 x 22mm White Gloss,Nabis,88.15,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis laminate worktop 1500 x 230 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/87/NW-C23987_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,
13,PC24246,Nabis White Gloss tall cladding panel 300 x 1971mm,Nabis,74.4,Nabis tall cladding panel is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis White Gloss tall cladding panel 300 x 1971mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/46/NW-C24246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TallCladdingPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,,
14,PC22683,* NAB DEC 1700MM BATH SIDE PANEL WH GL,Nabis,122.94,"Finished in white gloss, this stylish Nabis Deco 500 x 1700mm bath side panel is designed to complement the wider Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> * NAB DEC 1700MM BATH SIDE PANEL WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/83/NW-C22683_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_DecoBathEndSidePanel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22683-C22690_Installation.pdf,,,,,,,,,,,,,,,,
15,PC24094,Nabis Vision doors for tall unit 300mm White Gloss,Nabis,90.65,"Suitable for use with tall bathroom units, this white gloss finish Nabis Vision door pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision doors for tall unit 300mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/94/NW-C24094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Tall_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
16,PC24127,Nabis Grace fascia pack for washbasin unit 600mm Charcoal Grey Gloss,Nabis,143.78,"Finished in deep Charcoal Grey, this Nabis Grace fascia pack is suitable for use with washbasin units. Easy to install, this pack is manufactured from high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Grace fascia pack for washbasin unit 600mm Charcoal Grey Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/27/NW-C24127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Washbasin_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
17,PE14545,ATLA 13PS/WHITE HIGH GLOSS 004049,Atlanta,35.4,"This Atlanta Original Fitted plinth measures 180 x 1300mm and is finished in simple, clean and neutral white gloss.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> ATLA 13PS/WHITE HIGH GLOSS 004049,,Plinth;Clear plastic sealing strip,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/45/E14545_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,,,,,,,,,,,,,,,
18,PD71662,Be Modern Atlanta countertop 2000 x 365 x 22 Natural Oak,Be Modern,132.58,"Robust and stylish, the Be Modern Atlanta 2000 x 365 x 22mm countertop in warm Natural Oak is the perfect finishing touch for a modern bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Be Modern Atlanta countertop 2000 x 365 x 22 Natural Oak,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/62/D71662_wm.jpg,,,,Natural Oak,Atlanta,Post Formed,Lifetime,N,365,0.8 laminate with 22mm MFC,200CT22/NOAK,Post Formed,N,Easy installation,Supplied with sealing strips,Constructed in 0.8 laminate and 22mm MFC,Natural Oak finish,Lifetime warranty
19,PC23980,Nabis laminate worktop 1000 x 310 x 22mm White Gloss,Nabis,61.9,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis laminate worktop 1000 x 310 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/80/NW-C23980_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,
20,PE05852,Atlanta counter 1.5mtr x 365 x 12mm White Stone,Atlanta,300.63,"Providing a contemporary look along with hardwearing practicality, this 1500mm Atlanta solid surface countertop in White Stone is designed to blend in with a wide range of bathroom finishes, offering particular suitability as a finishing touch for the Accents, Editions and Fitted furniture ranges. 12mm thick, this non-porous acrylic counter is easy to cut for quick and hassle-free on-site finishing.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Atlanta counter 1.5mtr x 365 x 12mm White Stone,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/52/E05852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Atlanta_BathroomFurniture_Brchr_2021.pdf,,,,,,,,,,,,,,,,,
21,PE05246,ATLA 2000 PLINTH & SEALING STRIP/WH GL,Atlanta,50.24,"This Atlanta Original Fitted plinth measures 180 x 2000mm and is finished in simple, clean white gloss, a neutral tone to suit any bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> ATLA 2000 PLINTH & SEALING STRIP/WH GL,,Plinth;Clear plastic sealing strip,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/46/E05246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,,,,,,,,,,,,,,,
22,PD71645,Be Modern Atlanta countertop 1500 x 365 x 22 White Gloss,Be Modern,104.57,"Finished in a clean and fresh white gloss, this Be Modern Atlanta 1500 x 365mm laminate bathroom countertop has a depth of 22mm. Designed to complement existing bathroom furniture, this simple worktop offers ease of installation and is supplied with sealing strips for a complete fitting job.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Be Modern Atlanta countertop 1500 x 365 x 22 White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/45/D71645_wm.jpg,,,,White/Gloss,Atlanta,Laminate countertops,Lifetime,N,365,Laminate,150CT22/WHG,Bathroom Countertop,N,Easy installation,Laminate construction,Gloss white finish,Supplied with sealing strips,Lifetime warranty
23,PC24117,Nabis Vision fascia pack for back-to-wall toilet unit 600mm White Gloss,Nabis,69.4,"Finished in white gloss, this Nabis Vision door pack is designed for use with 600mm back-to-wall toilet units. This pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision fascia pack for back-to-wall toilet unit 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/17/NW-C24117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
24,PC22286,Nabis Vision plinth 2600mm White Gloss,Nabis,64.87,"This Nabis Vision 2600 x 175mm plinth is finished in clean white gloss. Easy to install, this plinth is made of quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision plinth 2600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/86/NW-C22286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Plinth_2600_Long_Drawing.pdf,,,,,,,,,,,,,,,
