,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Voltage (V),Hazardous,Setting Range,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 2,Switch Type,Operating Temperature Range (C),Range,Attachment 3,Attachment 4,Attachment 5,Connection,Connection Size,Connection Type,Material,Thread Size,Working Pressure,Maximum Operating Temperature,Number of Ports,Operator Type,Seal Material,Size,Colour,Attachment 6,Connection Gender,Standards,Feature 11,Operating Temperature,Attachment Type,Pipe Diameter,Pressure Rating,Attachment 7,Material Type,Min Outlet Pressure,Max Outlet Pressure,Feature 12,Feature 13,Feature 14,Feature 15
10,P120076,Vaillant sensoCOMFORT RF control unit,Vaillant,260.97,"Ensuring excellent efficiency for Vaillant heat pumps and boilers, the Vaillant sensoCOMFORT RF thermostat with load compensation is suitable for use in multi-zone heating systems. Capable of operation in complex systems and working with underfloor heating and renewable technologies, this clever thermostat harnesses triVAI technology to automatically select the most efficient, and therefore cost-effective, setting for your home. Meanwhile, the included outdoor sensor adjusts flow according to outside weather conditions for the ultimate in reactive comfort. Using guided commissioning to detect a system's eBUS components and select pre-defined settings, the sensoCOMFORT is easy and quick to install.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Vaillant sensoCOMFORT RF control unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/76/NW-120076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Sensocomfort_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_sensoCOMFORT_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P418087,Secure Simple Controls C1727 Secure Room Stat Receiver,Secure,92.48,"Compatible with gas, oil or electric boilers as well as heat pumps, combis and system boilers, the Secure C1727 smart programmable thermostat offers handy seven day programming of heating for one or two zones. It is alternatively suitable for controlling both heating and hot water at once. Boiler Plus compliant, this stat will work with a plug-in WiFi card while also connecting to an app via Bluetooth, giving homeowners complete control from anywhere inside or outside the house. With one unit covering most system types, the C1727 can even control an existing wired thermostat or other appliance.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Secure Simple Controls C1727 Secure Room Stat Receiver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/87/NW-418087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Secure_C1727_Instal.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Secure_C1727_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P302615,"Schneider Electric MB 3 port low pressure hot water valve 2 "" cv=32",Schneider Electric,521.61,"Supplied with 2"" female BSP connections, this Schneider Electric MB three port rotary-shoe type valve is suitable for use as a mixing or diverting valve in hot or chilled water in heating, ventilating and air conditioning applications. This valve can be driven by the RM or XRM range of actuators or the MD10/MD20 range of damper actuators, if used in connection with a linkage kit.","Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Schneider Electric MB 3 port low pressure hot water valve 2 "" cv=32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/15/NW-302611_302615_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SE_Valves_Actuators_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/SE_MB_MBF_RotaryShoeValv_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P440978,Danfoss Timeswitches & Programmers TS710 V2 TS710 V2 single channel timer 230V (1),Danfoss,61.44,"An up to the minute design for modern homes, the Danfoss TS710 V2 230V single channel timer is operated with a simple intuitive display with common sense layout. This user-friendly display gives you the current day, time and on/off period in a large-sized top area while clear icons give you the status of output channels. Offering a choice of up to three heating periods, the TS710 also offers a handful of useful functions including a service interval timer.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Danfoss Timeswitches & Programmers TS710 V2 TS710 V2 single channel timer 230V (1),,1 x TS710 V2,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/_a/440978_A_wm.jpg,,1,230Vac,N,NA,45 x 100 x 218,087N7884,Time Switch,N,Domestic Central Heating,Large backlit display,"7 day, 5/2 day or 24 hr schedule","For 6x events over 1, 2 or 3 periods",User channel override function,"Auto, +1 hr boost (single touch) and On and Off modes",Multiple cable access options for ease of installation,Industry standard backplate,Service interval timer,,,,SPDT,,Timeswitches & Programmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P301752,"Watts Industries Black Teknigas gas solenoid valve fast opening and flow 2"" 230v (fo and flow)",Watts Industries,661.69,"This Watts Industries Black Teknigas series 2000 solenoid operated safety shut-off valve with 2"" connection is primarily used in the on/off control of low pressure 1st (town gas), 2nd (natural gas) and 3rd (LPG) family gases, but is also suitable as a control valve for automatic burners and for low pressure air applications.","Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Watts Industries Black Teknigas gas solenoid valve fast opening and flow 2"" 230v (fo and flow)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/52/NW-301752_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Black_Teknigas_Series_2000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P333534,Salus RT510BC+ RF wireless programmer,Salus,80.15,"Easy to install, this Salus RT510BC+ wireless RF programmable room thermostat with plug-in boiler control has a stylish, modern design and a convenient desk stand for convenient docking.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Salus RT510BC+ RF wireless programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/34/NW-333534_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/333534_Installation.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/333534_Technical.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Salus_Product_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Salus_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/333534_Quick_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P307250,ESBE 3-way valve 28mm CV=10.00,ESBE,95.24,"Suitable for mixing or diverting, this ESBE series VRG130 three way valve with 25mm Rp thread is made of robust brass for use in heating and cooling installations. This valve combines well with ESBE actuators and controllers.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> ESBE 3-way valve 28mm CV=10.00,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/50/NW-307250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Esbe_VRG130_Series_Mixing_Valve_Tech.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_VRG_VRB_Building_Declaration.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Esbe_VRG130_Mixing_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_VRx_Mixing_Valve_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P440979,Danfoss Timeswitches & Programmers FP720 V2 FP720 V2 two channel programmer 230V (1),Danfoss,77.79,"An up to the minute design for modern homes, the Danfoss FP720 V2 230V two channel timer is operated with a simple intuitive display with common sense layout. This user-friendly display gives you the current day, time and on/off period in a large-sized top area while clear icons give you the status of output channels. Offering a choice of up to three heating periods, the FP720 also offers a handful of useful functions including a service interval timer as well as an additional channel for time control of either a secondary heating zone or a hot water cylinder.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Danfoss Timeswitches & Programmers FP720 V2 FP720 V2 two channel programmer 230V (1),,1 x FP720 V2,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/_a/440979_A_wm.jpg,,1,230Vac,N,NA,45 x 100 x 218,087N7885,Programmer,N,Domestic Central Heating,Large backlit display,"7 day, 5/2 day or 24 hr schedule","For 6x events over 1, 2 or 3 periods",User channel override function,"Auto, +1 hr boost (single touch) and On and Off modes",Multiple cable access options for ease of installation,Industry standard backplate,Service interval timer,For heating and domestic hot water or 2x heating channels,,,SPDT,,Timeswitches & Programmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P451048,Secure C-Stat 17-M 7day programmable thermostat,Secure,76.05,"With a large display and simple interface, the mains-powered Secure C-Stat 17-M programmable room thermostat is easy to set-up and effortless to use. Suitable as a replacement for most existing units, C-Stat 17-M makes controlling your heating system simple. Boiler Plus compliant, this thermostat offers up to six temperature settings per day, seven days a week for a completely personalised heating system.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Secure C-Stat 17-M 7day programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/48/NW-451048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ns/tr/Secure_C-Stat_17B_17M_User_Instr.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Secure_C-Stat_11M_17M_Installation.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Secure_C-Stat_17-M_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P310525,Honeywell Home hw home t6360b 1036 room stat 240v 10a,Honeywell Home,34.45,"Providing automatic temperature control of wet central heating systems, the T6360 mains voltage room thermostat can be used to directly switch a circulating pump or boiler or to operate spring-return and motor open/motor close zone valves. Switching electrical heating loads up to 10A, T6360 can also be used for cooling applications. This model includes a cover-mounted indicator lamp, which is lit for a call on heat.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home hw home t6360b 1036 room stat 240v 10a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/25/310525_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P310715,Honeywell Home T3 Y3H710RF0053-1 hw home t3 wireless bdr,Honeywell Home,103.11,"The T3 wireless BDR is part of a popular range of programmable thermostats designed for completely intuitive control of a heating system. Suitable for use in domestic premises and especially for social housing and new build installations, this thermostat provides optional seven day and 5/2 day scheduling of your heating with up to four time periods selectable across every day, ensuring that heating is only in use when it's really needed.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home T3 Y3H710RF0053-1 hw home t3 wireless bdr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/15/310715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_Thermostat_Guide.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Honeywell_T3R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P440976,Danfoss TP5001RF + RX1-S V2 wireless programmable room stat & receiver,Danfoss,104.1,"Offering a large backlit LCD display, the Danfoss RET2001 wireless programmable electronic room thermostat allows for easy temperature selection using an intuitive ring set around the central display. Supplied with a receiver, this thermostat provides handy functions including a holiday mode.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Danfoss TP5001RF + RX1-S V2 wireless programmable room stat & receiver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/_a/440975_76_A_wm.jpg,,,230v at Receiver. 3v DC at Thermostat,N,5 to 30 °C,86 x 86 x 30,087N7936,Room Thermostat,N,Domestic,LCD display with push buttons,On/off load compensation,Holiday function,,,,,,,,,SPDT,5 to 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P307276,"ESBE 2 way valve and actuator 1 1/4"" 230v",ESBE,298.92,"Made of nickel-plated brass, this ESBE two way motorised ball valve with two point 230 VAC motor and microswitch has a 1 1/4"" female BSP parallel connection.","Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> ESBE 2 way valve and actuator 1 1/4"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-307275_307276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_Motorized_Ball_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
