,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Diameter,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Depth (mm),Dimensions mm (H x W x D),Material Type,Tap Holes,Body Material,Number of Tap Holes,Feature 6,Feature 7,Range,Feature 8,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Feature 9,Feature 10,Attachment 3,Attachment 4,Weight,Minimum Base Unit Size (mm),Waste Kit Included,Sector
10,PC39739,Thomas Dudley combi plastic body and spring clicker,Thomas Dudley,17.49,"Easy to fit, this Thomas Dudley combi basin waste has a spring-loaded plug mechanism for effortless operation. Manufactured with a plastic body and sleek chrome finish, this high quality basin waste is the ideal finishing touch for a modern bathroom.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Thomas Dudley combi plastic body and spring clicker,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/39/NW-C39739_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P257495,Nabis combi plastic body and poly plug 1 1/2in,Nabis,7.57,"Offering quick, easy installation, this Nabis 1 1/2"" combi bath waste is supplied complete with a classic poly plug and chrome chain and a chrome-plated overflow grid.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis combi plastic body and poly plug 1 1/2in,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/95/257495_wm.jpg,,,Stainless Steel / Polished / Chrome Plated / Black,,N,Plastic bodyStainless steel waste outlet 304 polishedChrome Plated Overflow Grid,,PSWWAS374591,Combi Plastic Body and Poly Plug,N,Stainless steel 304 construction,Polished finish,With poly plug,Includes chrome-plated ball chain,With centre screw fixing,,,,,,,With Chrome-plated overflow grid,With combi waste kit,,,,,,,,,,,,,,,,,,,,,,,
12,PC50228,Wirquin Slim+ Ultra slim shower waste 90mm Chrome,Wirquin,51.33,"Easy to install, the Wirquin SLIM+ 90mm extra flat shower waste is suitable for use in a wide range of configurations. Featuring smart membrance technology, this easy-clean ABS shower waste with chrome finish minimises the risk of leaks.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Wirquin Slim+ Ultra slim shower waste 90mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/28/C50228_wm.jpg,,,Chrome,,N,ABS,,30723374,Shower Waste,N,SLIM+,Slim,Shower waste,90,Membrane,,,,,,,Waterless,Compact,Slim,Wirquin,,,,,,,,,,,,,,,,,,,,,
13,PC50531,"Nabis 1 1/4"" Basin waste easy seal solid - chrome plated",Nabis,11.76,Nabis chrome plated 1 1/4 inch basin waste with 60mm flange complete with quick clac plug,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4"" Basin waste easy seal solid - chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/31/C50531_wm.jpg,,,Chrome,61 mm,N,Brass,,WBK94WC,Basin Waste,N,Unslotted body,1-1/4 inch basin waste,Chrome plated brass,Chrome plated quick clac plug with brass mechanism,2 year warranty,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PC50154,"Nabis 1 1/2"" Long/solid grid waste - chrome plated",Nabis,9.25,Nabis chrome plated 1 1/2 inch flush grated waste with 86mm flange complete with metal backnut,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/2"" Long/solid grid waste - chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/54/C50154_wm.jpg,,,Chrome,100mm,N,Brass,,WFS67WC,Grid Waste,N,Metal backnut,3-½ inch tail,86mm flange,Unslotted body,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PC50152,"Nabis 1 1/4"" Long/solid grid waste - chrome plated",Nabis,9.36,This Nabis long/solid grid waste is made of ductile iron with a metal backnut.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4"" Long/solid grid waste - chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/52/C50152_wm.jpg,,,Chrome,,N,Ductile Iron,,WFS12WC,Grid Waste,N,Metal backnut,"1 1/4"" BSP x 3 1/2"" tail",2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PC24921,"Ideal Standard combi trap 1.1/2"" x 1/2"" Chrome Plated",Ideal Standard,72.65,An Ideal Standard chrome bath waste and trap with overflow and domed clicker suitable for use in hotels and home bathrooms.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Ideal Standard combi trap 1.1/2"" x 1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/21/C24921_wm.jpg,,,Chrome,,N,Plastic,,S8840AA,Bath Waste and Trap,N,Chrome finish,1.1/2'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PC62000,Nabis 1 1/4' Adjustable bottle trap - chrome plated,Nabis,19.8,This Nabis chrome adjustable bottle trap is suitable for all commercial and domestic installations.,Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4' Adjustable bottle trap - chrome plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/00/C62000_wm.jpg,,,Chrome,,N,Metal,,PBT41WC,Bottle Trap,N,Easy to install,Lightweight and easy to handle on-site,Suitable for commercial and domestic installations,Chrome-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PD10027,Bristan Cobalt bath filler tap pack,Bristan,129.99,"The bold, geometric lines of the Bristan Cobalt bath filler are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted filler is compatible with all plumbing systems.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Bristan Cobalt bath filler tap pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-D77276_wm.jpg,,,Chrome/Gloss,,N,Brass,,D10027 PK,Bath Filler,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,165,,,,,2,Metal back nuts for durability,Easy to use lever handles,Cobalt,Chrome-plated to BS EN 248,5.7 l/min,0.3,65,104,Modern,5 Years,Low,No,No,Yes,Fixed,Deck,Lever,Flow rate 5.7LPM,5 year warranty,,,,,,
19,PC39744,Thomas Dudley plastic combi sink brass overflow plug,Thomas Dudley,4.31,"Easy to fit, this Thomas Dudley combi sink waste has a classic PVC plug. Manufactured with a plastic body and sleek chrome finish, this high quality waste is the ideal finishing touch for a modern kitchen",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Thomas Dudley plastic combi sink brass overflow plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/44/NW-C39744_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PC50156,"Nabis 1 1/4"" Slotted grid waste - chrome plated",Nabis,9.58,A Nabis brass grid waste with tail and metal backnut.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4"" Slotted grid waste - chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/56/C50156_wm.jpg,,,Chrome,,N,Brass,,WFS13WC,Grid Waste,N,Metal backnut,"1 1/4"" BSP x 3 1/2"" tail",60mm slotted flange,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PC93657,Armitage Shanks Conceala 2 TI hose inlet filter without nut,Armitage Shanks,17.04,This Armitage Shanks Conceala 2 TI hose inlet filter is a convenient replacement part for use in the Conceala 2 range.,Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Armitage Shanks Conceala 2 TI hose inlet filter without nut,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/57/C93657_wm.jpg,,,White/Blue,,N,N/A,,SR04367,Spare Part,N,Without nut,For Conceala 2 range,,,,,,,,,,,,Conceala 2,,,,,,,,,,,,,,,,,,,,,,
22,PA05103,Center H5112 tap reviver lever head 1/2 (1 pair),Center,11.56,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Center H5112 tap reviver lever head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/03/A05103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05103 - Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05103 TDS Center tap reviver lever head.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P257494,Nabis slotted brass body and poly plug,Nabis,10.01,"A high quality and reliable design, this Nabis 1 1/4"" basin waste has an elegant chrome-plated threaded brass body and is supplied complete with a poly plug, chain and stay.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis slotted brass body and poly plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/94/257494_wm.jpg,,,Chrome,,N,Brass BodyChrome Plated,,PSWWAS374590,Basin Wate abd Plug,N,Slotted brass body,Chrome-plated,With 60mm flange,"Supplied with PVC plug, chrome-plated chain and stay","Offers fast, easy installation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PD10034,Bristan Orta bath filler tap Chrome Plated pack,Bristan,84.0,"Uniquely designed for a modern bathroom, the Bristan Orta bath filler offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted filler is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Bristan Orta bath filler tap Chrome Plated pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/34/NW-D10034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10034_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,
25,PC24919,"Ideal Standard combination bath chain waste 1.1/2"" Chrome Plated",Ideal Standard,21.85,An Ideal Standard chrome chain bath waste with plastic plug and overflow.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Ideal Standard combination bath chain waste 1.1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/19/C24919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochr_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PB79044,"Shaws Of Darwen Belfast sink leg and bracket 25"" Stainless Steel",Shaws Of Darwen,48.98,"This set of 25"" stainless steel Shaws Of Darwen legs and brackets is designed to be used with the heavy duty Belfast sink range. These legs are highly robust in order to securely hold the weight of a large fireclay sink.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Shaws Of Darwen Belfast sink leg and bracket 25"" Stainless Steel",,2x 25 inch stainless steel legs and brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/44/B79044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B79040_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PN00916,Multipanel Classic bath and shower seal,Multipanel,40.89,"This Multipanel Bath Seal Kit is a smart, reliable two part shower tray and bath sealing system including a PVC strip and a highly resistant white silicone sealant.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Multipanel Classic bath and shower seal,,2x 1.85m PVC trim;4x end caps for PVC trim;2x tubes white silicone;Mitre block;Cleaning wipes to remove excess silicone;Installation guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/16/NW-N00916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Multipanel_Economy_Classic_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PB61004,Nabis B61004 steel bath bolt on legs set,Nabis,25.54,"Easy to install, this Nabis B61004 steel bolt-on legs set for Nabis rectangular baths is easy to install and offers sturdy rigidity.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis B61004 steel bath bolt on legs set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/04/NW-B61004_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/SteelBathInstallation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Care_Instructions_22Aug2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PB79043,"Shaws Of Darwen Cleaner cleaner sink leg and bracket 12"" Stainless Steel",Shaws Of Darwen,48.98,"This set of 12"" stainless steel Shaws Of Darwen legs and brackets is designed to be used with the heavy duty Cleaner sink range. These legs are highly robust in order to securely hold the weight of a large fireclay sink.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Shaws Of Darwen Cleaner cleaner sink leg and bracket 12"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/44/NW-B79043_B79044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B79000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PB61003,Nabis B61003 steel bath grips in chrome,Nabis,26.38,"Easy to install, these Nabis B61003 enamelled steel bath grips with chrome-plated finish provide security when getting in and out of a bath.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis B61003 steel bath grips in chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/NW-B61003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/SteelBathInstallation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Care_Instructions_22Aug2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PC50270,"Wirquin long/solid sink waste 1 1/2"" Chrome Plated",Wirquin,11.03,A Wirquin long/solid sink waste with chrome finish.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Wirquin long/solid sink waste 1 1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/70/NW-C50270_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_Brassware_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
