,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Voltage (V),Watts,Weight,Easy Maintenance,Inlets,Clog Resistance,Noise Level,Application,Thickness,Waste Supplied,Bowl Type,Tap Orientation,Drainer Type,Bowl Shape,Main Bowl Size,Second Bowl Size,Main Bowl Size (mm),Minimum Base Unit Size (mm),Waste Kit Included,Pressure,Material Type,Tap Holes
10,PB08929,Nabis Vico mono pull out kitchen tap,Nabis,89.48,"Designed with a flexible pull-out hose, the Nabis Vico mono kitchen tap is ideal for installation in a cook's kitchen. Making rinsing jobs simple, this deck-mounted kitchen tap also swivels for ease of pot filling and food prep. Easy to fit thanks to the included flexible tails, this smart monobloc tap incorporates ceramic disc technology for precision use.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis Vico mono pull out kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/29/NW-B08929_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B08922_24_29_30_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 47 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PB02423,Ideal Standard Sandringham 21 2 tap hole lever deck sink mixer tap Chrome Plated,Ideal Standard,98.78,"Part of a broad range of furnishings and fixtures designed to help you create a cohesive look, this two tap hole Ideal Standard Sandringham 21 sink mixer tap will suit both modern and traditional kitchens. Offering dual control, ceramic disc operation for ease of turning, this user-friendly deck-mounted tap is finished in a glossy, clean chrome.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Ideal Standard Sandringham 21 2 tap hole lever deck sink mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/23/NW-B02423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Sandringham21_B9886AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Sandringham21_B9873-80-86_SpareGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB79000,Shaws Of Darwen Cleaner cleaners sink 460 x 380 x 205 x 355mm White,Shaws Of Darwen,338.5,"A practical design ideal for heavy commercial use, this Shaws Of Darwen 460 x 380mm low back rectangular cleaner's sink is made of a tough fine fireclay. Constructed using cutting edge kiln technology, this single bowl sink has an antibacterial white glaze finish fired for resistance to stains and acids. This smart cleaner's sink is suitable for floor or wall mounting.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Shaws Of Darwen Cleaner cleaners sink 460 x 380 x 205 x 355mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/00/NW-B79000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B79000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD10036,Bristan Echo Frz Bas C Frenzy Basin Mixer Ch,Bristan,71.21,"Modern and elegant, the Bristan Echo mono sink mixer is made of durable brass with a shiny chrome finish. Compatible with all system pressures, this easy installation kitchen tap is operated with smooth, ceramic disc controlled handles.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Bristan Echo Frz Bas C Frenzy Basin Mixer Ch,,Mono sink mixer;EasyFit base;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/36/NW-D10036_wm.jpg,,,,,,,Chrome/Metallic,38.1 L/min at 5 bar,0.4,5 to 2565,190,Echo,Contemporary,5 Years,N,230,Medium,No,No,Yes,High Arc,Deck,Lever,Brass,1,D10036 PK,Sink Mixer,N,Quick change,Chrome finish,Precise glide,Long life 1/4 turn ceramic disc valves,Metal fixing nut for durability,EasyFit base included,Flexible tails included,"Flow rate 11.9LPM at 0.2 bar, 46.6LPM at 5 bar",5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,
14,PB79059,"Shaws Of Darwen Cleaner cleaners sink pack birch with lever tap 18""",Shaws Of Darwen,442.4,"A practical all in one installation kit, this Shaws Of Darwen Birch pack includes a 480 x 380mm low back rectangular cleaner's sink made of a tough fine fireclay, ideal for heavy commercial use. Constructed using cutting edge kiln technology, this single bowl sink has an antibacterial white glaze finish fired for resistance to stains and acids. This smart cleaner's sink is suitable for floor or wall mounting and is supplied with legs, a lever tap and all fittings for installation.","Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Shaws Of Darwen Cleaner cleaners sink pack birch with lever tap 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/62/NW-B79059_B79062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Shaws_Of_Darwen_Cleaner_Pack_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PB08917,Nabis Regal lever 1/4 turn kitchen tap,Nabis,71.96,"Elegant and traditional, the Nabis Regal kitchen tap is ideal for classic kitchens requiring updated practicality. This tap's handy swivel spout provides flexible use over a double sink while a ceramic disc valve provides precision control via a single lever handle. Finished in chrome, this deck-mounted tap comes complete with metal fixing nut and flexible tails for ease of fitting.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis Regal lever 1/4 turn kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/17/NW-B08917_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PC43076,Deva LEVER lever action high neck sink tap Chrome Plated,Deva,31.18,"This Deva LEVER sink tap is made of brass with a chrome finish. Suitable for all plumbing systems, this deck-mounted tap includes a tactile lever handle design for inclusive flow and temperature control.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Deva LEVER lever action high neck sink tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/76/NW-C43076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLT103_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PG10166,Carron Phoenix Eiger lever tap Silk Steel,Carron Phoenix,266.09,"The Carron Phoenix Eiger lever tap is a sleek, contemporary kitchen tap with elegant J-type spout and quarter-turn lever. A smart silk steel finish looks great in any kitchen, while ceramic disc valves and an inbuilt aerator support precision delivery of soft, straight water flow.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Carron Phoenix Eiger lever tap Silk Steel,,"Tap, Fittings, Tails, Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/66/G10166_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/FrankeSissons_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PC77071,Comap Araya long neck mono sink mixer,Comap,245.88,"An elegant choice for a classic kitchen design, this Comap Araya sink mixer tap has an elegantly curved 211mm long spout. Made of robust brass with a chrome finish, this deck-mounted monobloc mixer tap is fitted with a flow straightener and aerator for soft, splash-free delivery.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Comap Araya long neck mono sink mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/71/NW-C77071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C77071_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PG62528,Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,Nabis,73.13,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with sleek satin finish incorporates a large 400mm bowl, reversible drainer and a single tap hole for a mixer tap.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/28/NW-G62528_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
