,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Thickness,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Range,Weight,Diameter,Feature 6,Feature 7
10,P519389,Hep2O HX65 pipe clips cable 10mm,Hep2O,0.21,"This Hep2O HX65 cable nail-type pipe clip for 10mm pipes is primarily for use on concealed pipework, allowing fast, convenient fixing to timber.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Hep2O HX65 pipe clips cable 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/91/NW-519389_519391_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Hep2O_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hep2o_Brochure.pdf,,,,,,
11,P697260,Inaba Denko SLIMDUCT ID-SW-75-K slim trunk wall cover 75mm Black,Inaba Denko,10.4,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm trunking wall cover is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SW-75-K slim trunk wall cover 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/60/697260_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
12,PM97919,JET Range Rubber Lined pipe clip twin screw M8/M10 dual boss 122-135mm,JET Range,8.89,"Offering excellent versatility, this JET Range twin screw rubber-lined pipe clip for 122 - 135mm pipes incorporates a phthalate-free EPDM rubber strip, allowing grip range to be extended while offering acoustic suppression, reducing noise transference through pipework. Compatible with plastic, copper and stainless steel pipes, the EPDM rubber has a rounded leading edge for easier pipework installation without the issue of the rubber being pulled out of the clip. Thanks to its BZP steel construction and strengthening ribs, the clip is able to handle high load weights with no deforming while an extended dual M8/M10 threaded boss provides wide ranging system compatibility.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> JET Range Rubber Lined pipe clip twin screw M8/M10 dual boss 122-135mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/23/NW-M97904_M97923_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ee/ts/M97904 - M97923_RL Clips Spec Sheets.pdf,,,,,,,
13,P511442,Talon Pipe Cover crossover tee 15mm,Talon,7.03,"Providing a high quality, professional finish, this Talon 15mm uPVC cross-over T connector joins a Talon pipe cover to an installation, allowing for horizontal running of pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover crossover tee 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/42/NW-511442_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,,,,,,,
14,P697256,Inaba Denko SLIMDUCT ID-SK-75-K 90deg slim trunk 75mm Black,Inaba Denko,10.4,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm 90° trunking bend is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SK-75-K 90deg slim trunk 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/56/697256_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
15,P511426,Talon Pipe Cover inner corner for double cover 15mm,Talon,1.65,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC inner corner is designed to conceal a gap where pipe cover lengths meet at an inward corner.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover inner corner for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/26/NW-511426_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
16,P597033,"Flamco RKW supaplate 28mm 3/4"" White",Flamco,0.55,"Providing a neat finish to any installation this Flamco RKW 28mm white pipe escutcheon plate conceals messy pipe holes in walls, floors or ceilings.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Flamco RKW supaplate 28mm 3/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/NW-597030_597035_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Flamco_Domestic_Brochure.pdf,,,,,,,
17,P511427,Talon Pipe Cover outer corner for double cover 15mm,Talon,1.63,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC outside corner is designed to conceal a gap where pipe cover lengths meet at an outward corner.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover outer corner for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/27/NW-511427_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
18,P511431,Talon Pipe Cover top access for double cover 15mm,Talon,1.26,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC top access is designed to provide concealment anywhere that pipework is required to run horizontally.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover top access for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/31/NW-511431_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
19,P637056,Lawton Tube MUN pressed screw on bracket 15mm Chrome Plated,Lawton Tube,1.02,"Made of brass with a chrome finish, this Lawton Tube MUN 15mm pressed screw-on bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN pressed screw on bracket 15mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/NW-637056_637057_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
20,P173020,Falcon Trunking APAC pipe cover 15/22mm 2.5mtr,Falcon Trunking,6.05,"Suitable for use on copper or plastic pipe, this pack of Falcon Trunking 2.5M universal pipe covers is suitable for concealing 15mm plastic pipe couplers and elbows. Easy to install, the APAC system saves on time and offers complete enclosure of pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Falcon Trunking APAC pipe cover 15/22mm 2.5mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/20/NW-173020_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Falcon_Trunking_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Falcon_Trunking_APAC_System_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Falcon_Trunking_Pipe_Management_Brcr.pdf,,,,,
21,P511433,Talon Pipe Cover inner corner for double cover 22mm,Talon,2.02,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 22mm uPVC inner corner is designed to conceal a gap where pipe cover lengths meet at an inward corner.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover inner corner for double cover 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/33/NW-511433_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
22,P517465,JG Speedfit pipe clip spacer White,JG Speedfit,0.22,"This JG Speedfit white pipe clip is part of the brand's plastic push-fit system. Quick to install with no need for special tools, the Speedfit system is fully demountable and suitable for use in hot and cold water services and heating applications. Lead-free, these fittings are resistant to scale build-up and proven to withstand extremely high temperatures and pressures. All Speedfit pipes are supplied in longer lengths for a reduced need for jointing and with a barrier to prevent air ingress.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> JG Speedfit pipe clip spacer White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/65/NW-517465_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/JG_Speedfit_Plumbing_Product_Guide.pdf,,,,,,,
23,P511434,Talon Pipe Cover outer corner for double cover 22mm,Talon,2.14,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 22mm uPVC outside corner is designed to conceal a gap where pipe cover lengths meet at an outward corner.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover outer corner for double cover 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/34/NW-511434_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
24,P511429,Talon Pipe Cover straight connector for double cover 15mm,Talon,0.81,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC straight connector is designed to conceal a join where pipe cover lengths meet.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover straight connector for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/29/NW-511429_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
25,P637146,Lawton Tube MUN female backplate M10 Chrome Plated,Lawton Tube,2.47,"Made of brass with a chrome finish, this Lawton Tube MUN 10mm female back plate is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN female backplate M10 Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/46/NW-637145_637146_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
26,P511437,Talon Pipe Cover stop end for double cover 22mm,Talon,1.73,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 22mm uPVC double stop end conceals a gap where pipe cover lengths end.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover stop end for double cover 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/37/NW-511437_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
