,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Thickness,Hazardous,Waste Supplied,Bowl Type,Tap Orientation,Drainer Type,Bowl Shape,Fitting / Mounting Type,Main Bowl Size,Material,Number of Tap Holes,Second Bowl Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Minimum Base Unit Size (mm),Waste Kit Included,Depth (mm),Main Bowl Size (mm),Attachment 4,Material Type,Warranty,Tap Holes,Feature 8,Feature 9
10,PG62549,Nabis 1.0 bowl reversible inset sink with one tap hole pack 950 x 508mm Stainless Steel,Nabis,94.71,This Nabis single bowl inset sink with one tap hole pack is made from a high grade 18/10 stainless steel for robust longevity.,Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Nabis 1.0 bowl reversible inset sink with one tap hole pack 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/49/NW-G62549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Aquamix1Monobloc_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PG62511,Nabis right hand inset sink 1.0 bowl two tap hole 950 x 508mm Stainless Steel,Nabis,79.14,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with glossy finish incorporates a 350mm sink bowl, right hand drainer and two tap holes.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Nabis right hand inset sink 1.0 bowl two tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/11/NW-G62511_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CitySinks_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PG97162,Leisure Sinks 1 bowl with waste kit 60mm,Leisure Sinks,11.51,An easy-install Leisure Sinks waste kit for sinks with 60mm waste holes.,Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Leisure Sinks 1 bowl with waste kit 60mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/62/NW-G97162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Leisure_Sinks_Sink-Tap_Brochure_2012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PF47706,"McAlpine basket strainer waste 1.1/2""",McAlpine,15.26,"Ideal for Belfast sinks, this McAlpine basket strainer waste has 1 1/2"" male BSP x 113mm stainless steel flange connections, a stem ball plug and centre pin. The centre pin dry fixing connection is fast and easy to install with a neat finish.","Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> McAlpine basket strainer waste 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/06/NW-F47706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47706_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PG97165,Leisure Sinks Leisure Sinks basket strainer waste kit,Leisure Sinks,19.6,A handy Leisure Sinks basket strainer waste kit for single bowl sinks.,Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Leisure Sinks Leisure Sinks basket strainer waste kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-G97165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Leisure_Sinks_Sink-Tap_Brochure_2012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PG66572,Leisure Sinks Contract  LC106R 1000X600 right hand roll top front sink 1000 x 600mm Stainless Steel,Leisure Sinks,177.17,"Designed with seamless soldering and a rigid frame construction, this tough Leisure Sinks Contract rectangular inset sink is resistant to bending and flexing, even when put under pressure. Made of robust 18/10 stainless steel with a polished finish, this right hand roll-top front sink has a 400 x 420 x 160mm bowl and ready-drilled tap holes.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Leisure Sinks Contract  LC106R 1000X600 right hand roll top front sink 1000 x 600mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/72/NW-G66572_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Leisure_Sinks_Sink-Tap_Brochure_2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Leisure_Sinks_Contract_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/la/te/Leisure_Sinks_Aqualine_Sink_Template.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PG62526,Nabis reversible inset sink 1.5 bowl with one tap hole 950 x 508mm Stainless Steel,Nabis,89.94,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with sleek satin finish incorporates a 340mm bowl along with a handy half bowl, a reversible drainer and a single tap hole for a mixer tap.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Nabis reversible inset sink 1.5 bowl with one tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/26/NW-G62526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PG09092,Carron Phoenix Bali granite sink 1.5 bowl 150mm Jet Black,Carron Phoenix,544.55,"Setting itself apart from the competition with its eye-catching Jet Black finish, the Carron Phoenix Bali 150 kitchen sink is made of a durable, sleek granite. A stand-out choice for a modern kitchen, this worktop-mounted reversible sink has a practical 390 x 350 x 190mm main bowl alongside a handy side sink. This smart sink is supplied with a revolution waste and a single tap hole ready for mixer tap installation.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Carron Phoenix Bali granite sink 1.5 bowl 150mm Jet Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/92/NW-G09092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Carron_Phoenix_Bali_100_150_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Carron_GraniteSink_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/G09092_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PG62510,Nabis left hand inset sink 1.0 bowl with two tap hole 950 x 508mm Stainless Steel,Nabis,79.14,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with glossy finish incorporates a 350mm main sink bowl as well as a handy side bowl, left hand drainer and two tap holes.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Nabis left hand inset sink 1.0 bowl with two tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/10/NW-G62510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CitySinks_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PG66602,Leisure Sinks Lexin left hand single drainer 1.0 bowl two tap hole 950 x 508mm Stainless Steel,Leisure Sinks,103.56,"Highly resistant to bending and flexing, even if placed under pressure, this Leisure Sinks Lexin rectangular inset sink is designed with seamless soldering and a rigid frame, making it ideal for heavy duty kitchen use. Made of a tough 18/10 satin finished stainless steel, the Lexin includes a single 350 x 420 x 180mm sink with left hand drainer and two tap holes ready for the tap pair of your choice.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Leisure Sinks Lexin left hand single drainer 1.0 bowl two tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/02/NW-G66602_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Leisure_Sinks_Sink-Tap_Brochure_2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Leisure_Sinks_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/la/te/Leisure_Sinks_Aqualine_Sink_Template.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PG66573,CONTRACT LC106L 1000X600 LH RL/FRONT  SS,Leisure Sinks,177.17,"Designed with seamless soldering and a rigid frame construction, this tough Leisure Sinks Contract rectangular inset sink is resistant to bending and flexing, even when put under pressure. Made of robust 18/10 stainless steel with a polished finish, this left hand roll-top front sink has a 400 x 420 x 160mm bowl and ready-drilled tap holes.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> CONTRACT LC106L 1000X600 LH RL/FRONT  SS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/73/NW-G66573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Leisure_Sinks_Sink-Tap_Brochure_2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Leisure_Sinks_Contract_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/la/te/Leisure_Sinks_Aqualine_Sink_Template.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PG74670,Aga Rangemaster Andesite Igneous 1.5 bowl sink 1000 x 500mm Crystal White,Aga Rangemaster,232.66,"Combining practicality with style, the AGA Rangemaster Andesite inset sink is made of tough igneous granite with a glossy Crystal White finish. Incorporating a large 345 x 430 x 200mm sink bowl and useful half sink, both with smart geometric design and low profile corners, the Andesite provides plenty of space for all of your kitchen tasks. This sink is finished with a simple, stylish reversible drainer and pre-drilled tap hole.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Aga Rangemaster Andesite Igneous 1.5 bowl sink 1000 x 500mm Crystal White,,Inset sink;Waste kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/70/NW-G74670_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/G74670_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Aga_Rangemaster_IGranite_Sink_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PG70663,"Carron Phoenix Onda 1-tap hole sink 3.1/2""",Carron Phoenix,135.44,"A durable, high performance design, the Carron Phoenix Onda single sink with reversible drainer is manufactured in tough stainless steel with a smart polished finish for ease of cleaning. Supplied with one ready-drilled taphole, the Onda is compatible with your choice of mixer tap.","Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Carron Phoenix Onda 1-tap hole sink 3.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/63/G70663_wm.jpg,,,,Stainless Steel/Polished,Onda,0.6mm,N,Yes,1 sink 1 drainer,Centre,Reversible,Rectangular,Inset,345 x 395 x 160,Stainless Steel,1,NA,101.0488.562,Inset Sink,N,Rectangular shape,With drainer,Reversible installation,Stainless steel construction,Polished finish,With 1x taphole,,,,,,,,,,,
