,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Type,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Max Vertical Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10
14,P333562,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler with flue and system filter 30kW,Worcester Bosch,1308.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 30kW condensing combi boiler is supplied with a flue as well as a system filter for clean and reliable operation. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler with flue and system filter 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333562_333563_PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,
15,P333187,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler and flue 30kW,Worcester Bosch,1183.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 30kW condensing combi boiler is supplied with a flue for quick fitting in one easy job. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler and flue 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/333186_333192_PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,P333179,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler only 25kW pack,Worcester Bosch,977.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler pack offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 25kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler only 25kW pack,,Wall mounted gas-fired condensing combi appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware ;literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;Fittings pack;Condensate si,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,
17,P334491,Worcester Bosch Greenstar 24RI regular boiler pack with flue,Worcester Bosch,1085.0,"Supplied with a telescopic flue for ease of fitting, even in a challenging spot, this Worcester Bosch Greenstar 24RI NG regular boiler is a practical choice for installation in small to medium sized homes. A compact unit suitable for hanging inside a standard kitchen cupboard, the Greenstar has a low lift weight, making the job of installing as straightforward as possible. In addition to a flue, this 24kW boiler is supplied with all fittings so it's ready to go straight out of the box.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 24RI regular boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/334486_50 PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Greenstar_24Ri_NG_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_9-24Ri_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/WB_Greenstar_9-24Ri_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
18,P107131,Worcester Bosch greenstar 1000 24kW boiler and flue pack,Worcester Bosch,653.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch greenstar 1000 24kW boiler and flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/31/107131_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/10/00/107131_107133_Wocester Greenstar 1000.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P333648,Worcester Bosch Greenstar CDi Compact 28CDi NG combi boiler and horizontal flue pack,Worcester Bosch,1096.0,"Designed to supply reliable heating and hot water to properties with up to three bedrooms and two bathrooms, the Worcester Bosch Greenstar 28CDi NG Compact condensing combi boiler is supplied with a horizontal flue and pre-plumbed mounting jig for ease of installation in a kitchen cupboard. Providing an easy to understand commissioning and diagnostic display, this 28kW combi boiler provides both user and engineer with all the information they need for operation and maintenance, minimising the risk of errors and downtime. The Greenstar Compact is ErP A-rated for excellent levels of efficiency, however if installed with the Bosch EasyControl smart thermostat that rating is boosted to an A+.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar CDi Compact 28CDi NG combi boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/333648_50 PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_CDi Compact_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P333829,Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler and flue pack 35kw,Worcester Bosch,1470.0,"A worthy successor to the perennially popular CDi Classic, with all the same connections for ease of replacement, the Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler pack with flue is just as reliable while also offering simplified installation, service and maintenance. Lightweight and easy to use, this ErP A-rated 30kW combi is fitted with an intuitive LCD display and offers the option for wireless smart operation using the Bosch EasyControl. Compatible with the state of the art Greenstar Intelligent Filling System, the efficient 8000 Life makes heating a home effortless.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler and flue pack 35kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/333826_30 PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/333826-30_Worcester_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/333826-30_Worcester_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P333186,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler and flue 25kW,Worcester Bosch,1020.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 25kW condensing combi boiler is supplied with a flue for quick fitting in one easy job. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler and flue 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/333186_333192_PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,
22,P333987,Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler pack 35kW White,Worcester Bosch,1417.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG is designed as a direct replacement for the ever popular CDi Classic, so while its just as reliable it also benefits from improved efficiency, flexibility and usability. Blending seamlessly into any home, installation of the 8000 Life is faster and easier owing to a reduced lift weight compared to its predecessor plus the familiar layout with all the same fixture points. Daily use of this boiler is simpler too thanks to a full colour text display and the option to hook up to Bosch's EasyControl smart thermostat. The 35kW 8000 Life boasts an ErP A rating to help keep fuel bills and emissions low.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 C NG combi boiler pack 35kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,N,333987 PK,N,Direct replacement for the Worcester Bosch CDi Classic,"Easier installation, servicing and maintenance",Full colour text display and push button boiler control,,,,,,,13 L/min @ 40°C,Natural Gas,Greenstar 8000 Life,8 years,47 kg,A,A,35 kW,365,"333829, 333987",94,Wall Hung,Condensing Combi Boiler,Simple switch from CDi classic with same fixing points and connections,Greenstar Intelligent Filling System,Reduced lift weight compared to the CDi classic,Full wireless connectivity with the Bosch EasyControl,8 year guarantee,,,,,
23,P333539,Worcester Bosch Greenstar 2000 GR2300iW 25 C NG combi boiler only pack 25kW,Worcester Bosch,700.0,"Suitable for apartments and small-medium houses, the Worcester Bosch Greenstar 2000 GR2300iW 25 C NG combi boiler pack is ideally suited to serving single bathroom properties. Fully compatible with third party external 230V controls as well as a wide range of Worcester mechanical and connected controls, this 25kW combi offers ErP A-rated levels of efficiency alongside excellent reliability.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 2000 GR2300iW 25 C NG combi boiler only pack 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/26/113026_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_2000_Instal_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_2000_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_2000_Operating_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/WB_GR2300iW_25_C_NG_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,
24,P334490,Worcester Bosch Greenstar 21RI regular boiler pack with flue,Worcester Bosch,1055.0,"Providing reliable heating for small and medium sized homes, even those that experience problematic low water pressure, the Worcester Bosch Greenstar 21Ri ErP+ NG regular boiler is ErP A-rated for its high levels of frost-protected efficiency. And with the option to connect to Bosch's Greenskies solar panels and the Greenstore cylinder, this 21kW boiler could really help to improve the carbon footprint of a green-minded household. Easy to install, thanks to its compact footprint, the Greenstar Ri is supplied with a telescopic horizontal flue kit to help save on fitting time and trouble.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 21RI regular boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/334486_50 PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_9-24Ri_Regular_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112405_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/WB_Greenstar_Ri_ErP+_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
25,P333192,Worcester Bosch Greenstar 4000 GR4700iW 24 S NG system boiler and flue 24kW,Worcester Bosch,1313.0,"Supplied with a flue, the Worcester Bosch Greenstar 4000 System GR4700iW 24 S NG system boiler pack offers easy wall mounting and a neat, attractive finish ideal for modern family homes. Providing excellent levels of performance, this 24kW system boiler has earned an ErP A rating for its energy efficiency and is designed with an intuitive, clear display panel for ease of operation and trouble-free error identification.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 24 S NG system boiler and flue 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/333186_333192_PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_24_S_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
