,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Watts,Weight,Hazardous,Depth (mm),Dimensions (L x W x D),IP Rating,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Material Type,Material,Attachment 1,Attachment 2,Pack Quantity,Size,Attachment 3,Attachment 4,Colour,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Range,Style,Connection Type,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Pressure,BTU h,Height (mm),Width (mm),Diameter,Attachment 6
10,P248014,Pegler Yorkshire B1701/3 liquid head 2mtr,Pegler,99.88,"Made of a tough brass, this Pegler Yorkshire Terrier Belmont III B1701/3 straight liquid head is designed for use in commercial radiator valves.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Pegler Yorkshire B1701/3 liquid head 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/14/NW-248014_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Pegler_Yorkshire_BSI_Kitemark_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belmont_ThrmstRmotAdjst_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belmont_CommercialRadVlve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P247021,Danfoss aero RA/VL built in sensor,Danfoss,39.62,"A premium design, the Danfoss Aero RA/VL BIS Aero is gas thermostat suitable for most set-ups. This compact built-in sensor has unique gas bellow technology for excellent levels of performance and reliable energy efficiency.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss aero RA/VL built in sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/21/247021_wm.jpg,,,,N,,,,015G4550,Commercial TRV Sensor,N,Suitable for commercial use,Heat-protected,Suitable for 7 - 28°C,Gas bellow technology,,Plastic,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,
12,P173002,Manthorpe new radiator pipe guide and seal,Manthorpe,5.54,"This Manthorpe new radiator pipe guide and seal is designed to complete the fitting of a radiator, creating a seal at the point of entry where the radiator is attached to the wall.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Manthorpe new radiator pipe guide and seal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/02/173002_wm.jpg,,,,N,,,,GRS-FF,Radiator Pipe Guide and Seal,N,Helps to reduce heat loss,Guides pipes to prevent kinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P247408,"Drayton TRV4 straight TRV and internal head 1/2""",Drayton,44.84,"This Drayton TRV4 straight radiator valve (TRV) is suitable for commercial applications and comes with lockshield and push-fit pack for a straightforward installation job. Slimline and modern, the TRV4 incorporates a double gland seal and non-stick, pre-set internals, a useful feature designed to allow for balancing the radiator through the TRV.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 straight TRV and internal head 1/2""",,Thermostatic radiator valve;Lockshield;Pushfit pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/08/247406_247408_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_h002943_31426_t_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_D34_11_TRV_Installation.pdf,,,,,,,,,,,,,,,,,
14,P246035,Danfoss RLV-D drain-off tail piece,Danfoss,4.5,This Danfoss RLV-D drain-off tailpiece allows for easy local radiator drainage.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RLV-D drain-off tail piece",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/35/NW-246035_wm.jpg,1 year,,,N,,,,003L0105,Drain Off Tail Piece,N,Metallic finish,Circular style,For use with RLV-D thermostatic radiator valves,1 year warranty,,Metal,,,,,,,Metal / Nickel,,,,,,,,RLV-D,Circular,,,,,,,,,,,,,,,
15,P262531,Center CB standard element 400w Chrome,Center CB,47.28,"This Center CB RTW 400W output standard element includes an internal pre-set over temperature switch and fail-safe fuse. Suitable for use in bathroom Zones 1 and 2, this IP55 rated element allows a towel warmer to operate independently as a safely sealed electric unit.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Center CB standard element 400w Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/32/262530_262532_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_262530-262534_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_Electrc Elemant_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Electric_Elemant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PK62419,Myson radiator extension 20mm Chrome (25),Myson,3.11,This Myson 200mm radiator extension in chrome allows for the easy fitting of a new radiator of a different size with no need to remove and re-fit pipework.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Myson radiator extension 20mm Chrome (25)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/19/K62419_wm.jpg,2 years,,,N,,,,CHRRADEXT-20,Extension Piece,N,No need for pipework changes,"1/2"" BSP threaded and compression connections",Brass construction,Chrome finish,,Brass,,,25,,,,Chrome,2 year warranty,,,,,,,,N/A,"Threaded, Compression",No,N/A,N/A,1/2 BSP,1/2 BSP,N/A,N/A,No,,,,,,
17,P246424,"Danfoss KOV fittings 1/2 "" x 15mm",Danfoss,6.83,This Danfoss KOV compression fitting is compatible with steel and copper tubings.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss KOV fittings 1/2 "" x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/24/NW-246424_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_Compression_Fitting_Tech.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_Acc_Compression_Fitting_Tech.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Valve_Bodies_Technical.pdf,,,,,,,,,,,,,,,,,
18,PK62421,Myson radiator extension 40mm Chrome (25),Myson,5.36,A Myson 40mm radiator extension in chrome.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Myson radiator extension 40mm Chrome (25)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/21/K62421_wm.jpg,2 years,,,N,,,,CHRRADEXT-40,Extension Piece,N,For fitting of new radiator in different size,No need to change pipework,Brass construction,Chrome finish,,Brass,,,25,,,,Chrome,"1/2"" BSP connections",2 year warranty,,,,,,,N/A,"Threaded, Compression",No,N/A,N/A,1/2 BSP,1/2 BSP,N/A,N/A,No,,,,,,
19,P247407,"Drayton TRV4 angled TRV and internal head 3/4""",Drayton,49.69,"This Drayton TRV4 angled radiator valve (TRV) is suitable for commercial applications and comes with lockshield and push-fit pack for a straightforward installation job. Slimline and modern, the TRV4 incorporates a double gland seal and non-stick, pre-set internals, a useful feature designed to allow for balancing the radiator through the TRV.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 angled TRV and internal head 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/08/247406_247408_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_h002943_31426_t_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_D34_11_TRV_Installation.pdf,,,,,,,,,,,,,,,,,
20,P262532,Center CB standard element 600w Chrome,Center CB,47.06,"This Center CB RTW 600W output standard element includes an internal pre-set over temperature switch and fail-safe fuse. Suitable for use in bathroom Zones 1 and 2, this IP55 rated element allows a towel warmer to operate independently as a safely sealed electric unit.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Center CB standard element 600w Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/32/262530_262532_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_262530-262534_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_Electrc Elemant_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Electric_Elemant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P246176,Danfoss RA remote adjuster 5mtr,Danfoss,126.29,This Danfoss RA remote temperature adjuster for 5M tube offers frost protection as well as limiting and locking of a temperature set-point.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA remote adjuster 5mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/77/NW-246175_246177_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_Remote_T_Adjuster_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_2000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
22,P247039,Danfoss Clamp Ring RA-FR 8mm Reducer,Danfoss,4.07,"This Danfoss RA-FR 8mm compression ring reducer is designed for 1/2"" valves.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss Clamp Ring RA-FR 8mm Reducer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/39/NW-247039_wm.jpg,5 Years,,2.00000,N,,,,013G0253,Compression Ring,N,"Clamp Ring 8mm for 1/2"" Valves",,,,,Brass,,,,,,,Brass/Metallic,,,,,,,,Clamp Ring,N/A,N/A,No,,N/A,8 mm,8 mm,N/A,Round,No,,,,,,
23,PK62420,Myson radiator extension 30mm Chrome (25),Myson,4.02,A Myson 30mm radiator extension in chrome.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Myson radiator extension 30mm Chrome (25)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/20/K62420_wm.jpg,2 years,,,N,,,,CHRRADEXT-30,Extension Piece,N,For fitting of new radiator in different size,No need to change pipework,Brass construction,Chrome finish,,Brass,,,25,,,,Chrome,"1/2"" BSP connections",2 year warranty,,,,,,,N/A,"Threaded, Compression",No,N/A,N/A,1/2 BSP,1/2 BSP,N/A,N/A,No,,,,,,
24,P247406,"Drayton TRV4 angled TRV and internal head 1/2""",Drayton,40.65,"This Drayton TRV4 angled radiator valve (TRV) is suitable for commercial applications and comes with lockshield and push-fit pack for a straightforward installation job. Slimline and modern, the TRV4 incorporates a double gland seal and non-stick, pre-set internals, a useful feature designed to allow for balancing the radiator through the TRV.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 angled TRV and internal head 1/2""",,Thermostatic radiator valve;Lockshield;Pushfit pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/08/247406_247408_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_h002943_31426_t_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_D34_11_TRV_Installation.pdf,,,,,,,,,,,,,,,,,
25,P247040,Danfoss gland seal for RAV/RAVL,Danfoss,13.09,This Danfoss gland seal is compatible with RAV and RAVL valves. When upgrading any part of your system it is recommended that the valve gland seal is replaced.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss gland seal for RAV/RAVL",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/40/NW-247040_wm.jpg,1 year,,,N,,,,013U0070,Gland Seal,N,Can be replaced without draining system,For RAV and RAVL valves,1 year warranty,,,Metal,,,,,,,Brass,,,,,,,,,Circular,,,,,,,,,,,,,,,
