,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 9
10,PT41931,Scudo fixed panel 1000 x 1400mm,Scudo,142.23,"Made with thick toughened glass for reliable safety, the Scudo S6 1000 x 1400mm fixed shower panel has a simple, practical design with a smart chrome frame. Designed for left or right-handed opening, this shower panel offers easy installation and easy cleaning.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo fixed panel 1000 x 1400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/31/T41931_wm.jpg,Clear,,6mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,SCREEN006,Pivot bath panel,N,Manufactured in 6mm thick toughened safety glass,Chrome frame,Universal design for left and right-handed opening,Aquashield glass treatment for ease of cleaning,Smooth sliding action,Large adjustment for out of true walls,Easy installation,Lifetime warranty on fixed parts,,,,,2 year warranty on moving parts and seals
11,PD03646,Merlyn curtain rail bath screen 300x1800,Merlyn,176.8,"Giving you all the flexibility of a curtain but with the security and longevity of glass, this Merlyn 1500 x 300mm bath screen is made with a 6mm toughened glass. The unique shape of this panel keeps water from splashing out of your shower, filling the gap between the wall and curtain. This screen can be combined with the shower curtain of your choice.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Merlyn curtain rail bath screen 300x1800,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/46/NW-D03646_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MB5A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MB5A_Installation.pdf,,,
12,PJ78897,Ideal Standard Connect radius bath screen 800mm Silver/Clear,Ideal Standard,178.69,The contemporary Ideal Standard Connect radius bath screen has an angled design and gleaming aluminium chrome frame along with the brand's reliable deflector seal for leak-free reliability.,Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ideal Standard Connect radius bath screen 800mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/97/UP-J78897_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,
13,PD28962,Ionic right handed 2 panel hinged bath screen,Ionic,375.37,"The Ionic right handed two panel hinged bath/shower screen includes a secure 180° inwards swing with built-in stop for adjustable deflection of shower spray and drip drying after use. Fitted with HydraSEAL for additional leak protection, this frameless screen is treated with Mershield Stayclear for easy cleaning and can be installed into existing holes with Easy-Fit for drill-free, mess-free fitting.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ionic right handed 2 panel hinged bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/62/UP-D28961_D28962_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ionic_Bath_Screen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Bath_Screen_Installation.pdf,,
14,PD29078,IONIC 2 PANEL 1100MM MOVING BATH SCREEN,Ionic,488.08,"Minimalist in design, the Ionic frameless two panel folding 1100mm bath/shower screen has a secure 180° inwards and outwards swing and inbuilt stop mechanism, this practical screen provides generous adjustable protection from sprays and leaks. Reversible for fitting at either end of the bath, this screen is manufactured in robust 8mm glass treated with Mershield Stayclear and includes smart chrome hinges and concealed fittings for easier cleaning. Folding neatly back to the wall, the Ionic screen provides a smart, minimalist solution for splash-free showering.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> IONIC 2 PANEL 1100MM MOVING BATH SCREEN,,Two panel folding bath screen;2 piece cover caps for wall profile L/R;Wall profile;Cover strip;Moving panel;3 piece screws ST4 x 12;3 piece dia 6 x 30 wall plugs;3 piece flat head screws ST4 x 30;3 piece plastic part for cover strips;2 piece Luna rail en,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/78/UP-D29078_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D29078_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D29078_Installation.pdf,,,
15,PD28367,Mira Leap side panel only 900mm,Mira,206.25,"Built to last and highly flexible, this 900mm Mira Leap side panel is used to create a bespoke corner shower enclosure using any door from the Leap range. Easy to clean, this toughened glass panel incorporates CleanCoat technology for a long lasting, effortless shine, hidden fixings for a seamless finish and the Twist and Lock installation system for fast fitting.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Mira Leap side panel only 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/67/UP-D28364_D28367_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Leap_Side_Panel_S43E_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Leap_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Leap_Side_Panels_Drawing.pdf,,
16,PD16379,Roman Haven side panel 760mm,Roman,148.03,"Compatible with the Haven bi-fold, pivot or sliding doors, the Roman Haven 760 x 1900mm shower side panel is a simple, attractive design that will look great in most bathrooms. Made with thick clear glass, this shower panel has a bright silver frame to complement existing taps and shower fittings.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Roman Haven side panel 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/an/el/Haven_Side_Panel_wm.jpg,Bright Silver,Haven,6mm,Truelife Lifetime Guarantee,N,Bright Silver,Glass & Aluminium,H3R76CS,Side Panel,N,With 6mm thick glass,Bright silver frame,Plastic top caps with chrome finish,Reversible design for left or right-handed fixing,Lifetime warranty,,,,,,,,
17,PD28917,Ionic Express side panel shower enclosure 800mm,Ionic,289.97,"This 800mm Ionic Express shower side panel is suitable for use with shower enclosures in the Ionic Express range. Built in 6mm toughened glass, this panel is treated with Mershield Stayclear for ongoing easy cleaning.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ionic Express side panel shower enclosure 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/17/UP-D28916_D28917_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Shower_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_PDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoorPanel_Tech.pdf,,
18,PD58471,Ideal Standard Concept Space shower bath screen Silver/Clear,Ideal Standard,393.55,"This Ideal Standard Concept Space shower/bath screen is designed for use with the 170 and the 150 Concept square shower baths, providing splash-free coverage during baths and showers.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ideal Standard Concept Space shower bath screen Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/71/UP-D58471_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,
19,PD16380,Roman Haven6 side panel 800mm,Roman,152.15,"This Roman Haven6 1900 x 800mm side panel is compatible with Haven range bi-fold, pivot and sliding doors.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Roman Haven6 side panel 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/80/NW-D16380_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roman_H3R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roman_H3R_Installation.pdf,,,
20,PD28368,Mira Leap inline panel only 400mm,Mira,212.0,"Built to last and highly flexible, this 400mm Mira Leap inline panel is used to create a bespoke corner shower enclosure using any door from the Leap range. Easy to clean, this toughened glass panel incorporates CleanCoat technology for a long lasting, effortless shine, hidden fixings for a seamless finish and the Twist and Lock installation system for fast fitting.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Mira Leap inline panel only 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/68/UP-D28368_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Leap_In_Line_Panel_Line_Drawing.pdf,,,,
21,PT41786,Scudo side panel 1000 mm,,175.37,"Manufactured in toughened safety glass, the Scudo 1000 x 1850mm shower side panel is finished with Acquashield for ease of cleaning. This must-have glass treatement creates an invisible barrier that resists soap scum, limescale and bacterial buildup, making regular cleaning simple with no need for harsh chemicals.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo side panel 1000 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/86/T41786_wm.jpg,Clear,,,,N,,,S6-GLASS029,,N,Up to 6mm thick toughened safety glass,Universal design,Acquashield glass treatment,Large adjustment for out of true walls,Lifetime warranty,,,,,,,,
22,PT41785,Scudo side panel 900 x 1850mm - 6mm glass,Scudo,120.18,"The Scudo S6 900 x 1850mm pivot shower side panel is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this shower panel is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo side panel 900 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/85/T41783_T41785_wm.jpg,Clear,,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S6-GLASS028,Sliding Door,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,
23,PJ78822,Ideal Standard Synergy bath screen 815mm Silver/Clear,Ideal Standard,365.41,The Ideal Standard Synergy 815 x 1500mm angle bath/shower screen is manufactured using 6mm toughened safety glass and incorporates a watertight seal for reliable leak-proof use. This square screen can be folded inwards or outwards for convenience when cleaning and getting in and out of the shower.,Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ideal Standard Synergy bath screen 815mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/22/UP-J78822_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,
24,PD16381,Roman Haven side panel 900mm,Roman,161.74,"Compatible with the Haven bi-fold, pivot or sliding doors, the Roman Haven 900 x 1900mm shower side panel is a simple, attractive design that will look great in most bathrooms. Made with thick clear glass, this shower panel has a bright silver frame to complement existing taps and shower fittings.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Roman Haven side panel 900mm,,Panel; fixing pack; instructions; Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/an/el/Haven_Side_Panel_wm.jpg,Bright Silver,Haven,6mm,Truelife Lifetime,N,Bright Silver,Glass & Aluminium,H3R9CS,Side Panel,N,With 6mm thick glass,Bright silver frame,Plastic top caps with chrome finish,Reversible design for left or right-handed fixing,Lifetime warranty,,,,,,,,
25,PJ78896,Ideal Standard Connect 2 angle bath screen 800mm Silver/Clear,Ideal Standard,216.77,"Reliably watertight, the Ideal Standard Connect 2 1400 x 800mm bath screen is fitted with a deflector seal to minimise spray and mess when using an over-bath shower. Simply designed, this shower screen is made of robust safety glass has a smart bright silver frame to complement chrome fittings.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ideal Standard Connect 2 angle bath screen 800mm Silver/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/96/NW-J78896_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_T9923EO_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_LiveTheIdeal_Brochure.pdf,,,
26,PT41782,Scudo side panel 6 x 700 mm,,138.89,"Manufactured in toughened safety glass, the Scudo 700 x 1850mm shower side panel is finished with Acquashield for ease of cleaning. This must-have glass treatement creates an invisible barrier that resists soap scum, limescale and bacterial buildup, making regular cleaning simple with no need for harsh chemicals.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo side panel 6 x 700 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/82/T41782_wm.jpg,Clear,,,,N,,,S6-GLASS025,,N,Up to 6mm thick toughened safety glass,Universal design,Acquashield glass treatment,Large adjustment for out of true walls,Lifetime warranty,,,,,,,,
