,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Equal / Unequal,End Connection A size,End Connection C size,Gender,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Approvals,Angle,Feature 6,Colour,Depth (mm),Diameter,Weight,Feature 7,Range,Attachment 2,Attachment 3,End Connection B size
10,PP13022,GF CPVC 90D BEND 723000107            25,Georg Fischer,19.39,"This Georg Fischer 25mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 723000107            25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,25 mm,25 mm,,PVC-C,25 mm,Socket,,723000107,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,25 mm,,,,,,
11,PP13042,GF CPVC 90D ELBOW 723100107           25,Georg Fischer,5.21,"This Georg Fischer 25mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D ELBOW 723100107           25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/-c/_3/PVC-C 3_wm.jpg,,N,Equal,25 mm,25 mm,,PVC-C,25 mm,Socket,,723100107,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,25 mm,0.02600,,,,,
12,PP13115,GF CPVC REDUCING BUSH 723900341    32S25,Georg Fischer,5.81,"This Georg Fischer 32 x 25mm reducing bush is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC REDUCING BUSH 723900341    32S25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/10/P13110_wm.jpg,,N,Unequal,32 mm,25 mm,,PVC-C,32 mm,Spigot,,723900341,PVC-C Reducer,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,32mm x 25mm,,,,,,
13,PP13151,GF CPVC ADPT UNION PXMI 235302    25X3/4,Georg Fischer,20.6,"This Georg Fischer 25mm x 3/4"" adapter union is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC ADPT UNION PXMI 235302    25X3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/51/P13151_wm.jpg,,N,Unequal,25 mm,3/4 in,,PVC-C,25 mm,Socket,,723530307,PVC-C Union,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,,,,,,,
14,PP13021,GF CPVC 90D BEND 723000106            20,Georg Fischer,22.31,"This Georg Fischer 20mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 723000106            20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,20 mm,20 mm,,PVC-C,20 mm,Socket,,723000106,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,20 mm,,,,,,
15,PP13028,GF CPVC 90D BEND 732000113            90,Georg Fischer,163.18,"This Georg Fischer 90mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 732000113            90",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,90 mm,90 mm,,PVC-C,90 mm,Socket,,723000113,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,90mm,,,,,,
16,PP38089,Georg Fischer ball valve 127 pvc-u/epdm d20dn15,Georg Fischer,909.15,"Supporting easy automation and batch control, the Georg Fischer Type 127 D20 DN15 PVC-u/EPDM ball valve is compatible with the 546 Pro valve for complete open/close actuation with 4-20mAmp feedback. If required, additional card slots can be added, with battery backup/failsafe units available for improved security.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Georg Fischer ball valve 127 pvc-u/epdm d20dn15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/89/P38089_wm.jpg,,N,,,,,,,,,199127003,,N,PVC-u construction,Internal heater included,With open/close limit switches,Mounting inserts at base of valve,Additional card options available (battery backup),,,110-230v actuator,,,,,Includes manual override key,,,,
17,PP13060,GF CPVC 45D ELBOW 723150105           16,Georg Fischer,6.88,"This Georg Fischer 16mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 45D ELBOW 723150105           16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/60/P13060_wm.jpg,,N,Equal,16 mm,16 mm,,PVC-C,16 mm,Socket,,723150105,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,45,WRAS approved,,,16 mm,,,,,,
18,PP13112,GF CPVC REDUCING BUSH 723900337    25X20,Georg Fischer,3.89,"This Georg Fischer 25 x 20mm reducing bush is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC REDUCING BUSH 723900337    25X20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/10/P13110_wm.jpg,,N,Unequal,25 mm,20 mm,,PVC-C,25 mm,Spigot,,723900337,PVC-C Reducer,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,25mm x 20mm,,,,,,
19,PP04284,GF TYPE 305 ST STEEL SCREEN 0.5MM     50,Georg Fischer,26.39,"This Georg Fischer 0.5 x 50mm stainless steel screen is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF TYPE 305 ST STEEL SCREEN 0.5MM     50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/84/P04284_wm.jpg,,N,N/A,N/A,N/A,,PVC-C,50 mm,N/A,,161486104,PVC-C Screen,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,,WRAS approved,,,,,,Type 305,,,
20,PP13162,GF CPVC CAP 723960107                 25,Georg Fischer,5.21,"This Georg Fischer 25mm cap is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC CAP 723960107                 25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/60/P13160_wm.jpg,,N,Unequal,25 mm,N/A,,PVC-C,25 mm,Socket,,723960107,PVC-C Cap,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,,WRAS approved,,,25 mm,,,,,,
21,PP13571,GF CPVC ELBOW 45D 723000117 160X150,Georg Fischer,346.28,"This Georg Fischer 160 x 150mm 45° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC ELBOW 45D 723000117 160X150",,1 x 45 Degree Elbow,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/71/P13571_wm.jpg,,N,,,,,PVC-C,,,,723150117,,N,,,,,,,,,Light Grey,244,,,,,,,
22,PP95134,MEPLA 624.271.00.5 90D ELBOW          32,Geberit,13.64,"This Geberit Mepla 32 x 32mm 90° elbow is made of PVDF with press-fit connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, service water, treated water, rainwater with a pH value of greater than6, sea water, extinguishing water (wet), extinguishing water (wet/dry, dry), chemicals or technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> MEPLA 624.271.00.5 90D ELBOW          32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/37/NW-P95133_P95137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mepla_Application_Overview.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Mapela_Elbow_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,
23,PP13024,GF CPVC 90D BEND 723000109            40,Georg Fischer,36.53,"This Georg Fischer 40mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 723000109            40",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,40 mm,40 mm,,PVC-C,40 mm,Socket,,723000109,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,40 mm,,,,,,
24,PP13016,GF CPVC L STRAINER 305 FPM            25,Georg Fischer,173.06,"This Georg Fischer 25mm DN20 L-strainer is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC L STRAINER 305 FPM            25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/16/P13016_wm.jpg,,N,N/A,N/A,N/A,,PVC-C,25 mm,N/A,,163305318,PVC-C Screen,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,,,,,,,
