,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Colour,Connection Size,Connection Type,Thickness,Refrigerant Suitability,Material,Application,Volume,Physical State / Form,Feature 6,Feature 7,Feature 8,Pack Quantity,Diameter,Size,Connection Type 1,Gender,Connection Type 2,Attachment 5,Sheath Colour,Voltage Rating,Cross Sectional Area (mm),Conductor Strand Type,Pack Length,Harmonised Code,Conductor Material,Insulation Material,Number of Cores,Number of Strands,Operating Temperature Range (C),Outer Diameter,Sheath Material,Strands Size,Standards,Ambient CO Range,Magnetic Attachment,Flue Gas Loss Range,O2 Range,Draught Measurable Range,Ambient CO2 Measureable Range,Data Storage Capacity,Bluetooth,CO2 Determination,Display Type,Pressure Rating,Feature 9,Drive,Feature 10,Feature 11,Handle Type,Total Pack Quantity,Washer Type,Warranty,Operating Range,Detection Type,Power Supply,Measuring Range,Weight,Feature 12,Feature 13,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Testing Capability,Testing Range(s),Battery Life,Shank Type,Resistance Features,Depth (mm),Back Box Type,Number of Gangs,Material Type,Nut Types,Feature 14,Feature 15,Head Material,Feature 16,Feature 17,Feature 18,Feature 19,Amps,Voltage (V),Ways,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Length (M),Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Cut Resistance Rating,Tear Resistance Rating,Puncture Resistance Rating,Coating Material,Lining Material,Double Sided,Dimensions mm (H x W x D),Bolt Type,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Head Type,Refrigerant,Max Pressure,Sight Glass,Number of Valves,Operating Pressure,Protection Time,Drainage Product Type,Feature 20,Feature 21,Connection,Flow Rate,Motor Speed,Horse Power,Absolute Vacuum,Stages,Oil Capacity,Container Type,Quantity,Cut Type / Speed,Teeth Per Inch
347,P649317,Kane replacement filter,Kane,40.0,A Kane 400/5 replacement filter.,Trade Essentials/Trade Essentials.csv -> Kane replacement filter,,5x filters,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/17/649317_wm.jpg,,,,,,N,,,,PF400/5,Replacement Filter,N,Pack of five,for use with KANE250/400/425/455/450 also AUTO5-4 & AUTO4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,P457257,Regin heat sink compound,Regin,10.0,This Regin heat sink compound evenly dissipates heat at the probe for clamp-on and dry pocket boiler overheat thermostats.,Trade Essentials/Trade Essentials.csv -> Regin heat sink compound,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/57/NW-457257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/457257_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,P430780,Viessmann Spares 7858492 Pressure Gauge,Viessmann,47.58,"A Viessmann brand replacement pressure gauge.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Trade Essentials/Trade Essentials.csv -> Viessmann Spares 7858492 Pressure Gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/80/NW-430780_wm.jpg,,,,,Spares,N,,,,7858492,Pressure Gauge,N,For Vitodens boilers,Genuine Viessmann spare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PN37658,Center CB universal silicone 300ml White,Center CB,6.2,"This Center CB white universal silicone sealant is ideal for sealing around worktops, weather sealing around windows, top sealing around windows and door frames or glazing.",Trade Essentials/Trade Essentials.csv -> Center CB universal silicone 300ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/58/NW-N37658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PM10008,Doncaster YY yy 0.75mm 2 core 50mtr rl per reel Grey,Doncaster,41.59,"Suitable for use as an interconnecting cable, this Doncaster YY 5.9mm power cable, supplied on a 50M reel, is manufactured for the measurement, control or regulation of the control equipment used on assembly and production lines. It is also suitable for use in conveyors or for computer units and, thanks to its flexibility, this cable is particularly recommended for linking fixed mobile equipment. Suitable for use indoors in dry or moist atmospheres, YY class 5 annealed copper cable is also well-protected enough for outdoor applications.",Trade Essentials/Trade Essentials.csv -> Doncaster YY yy 0.75mm 2 core 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/08/NW-M10008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_YY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,P408829,CEF Omega swiched metalclad fused spur 13A,CEF,17.11,"Made of tough, powder-coated steel, this CEF Omega switched fused connection unit offers a frequency of 50/60Hz.",Trade Essentials/Trade Essentials.csv -> CEF Omega swiched metalclad fused spur 13A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/29/NW-408829_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CEF_RPP_OM13SSUM_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,PC59029,Thomas Dudley Dudley close coupling washer to suit outlet of 2inches (1),Thomas Dudley,1.45,"This Masefield close coupling washer is suitable for a 2"" outlet.",Trade Essentials/Trade Essentials.csv -> Thomas Dudley Dudley close coupling washer to suit outlet of 2inches (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/29/NW-C59029_wm.jpg,,,,,Dudley,N,,,,PTOCCS367494,Washer,N,Conforms to DIN 125A,Bright zinc plate (BZP) finish offers resistance to corrosion,,,,,,,,,EPDM Foam,,,,,,,1,,75x75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Coupling Washer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,P514160,Fernox Powerflow lead free solder spool 500g,Fernox,47.69,"Suitable for all plumbing jobs, this Fernox Powerflow lead-free solder wire helps you to produce perfect joints quickly while meeting all relevant health and safety and environmental requirements for potable water supplies.",Trade Essentials/Trade Essentials.csv -> Fernox Powerflow lead free solder spool 500g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/60/NW-514160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/514160_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/514160_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fernox_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,P696584,Pump House Charles Gallo drain gun with adapter kit,Pump House,66.09,"Clearing condensate drains with a simple swoosh, this Pump House Charles Gallo drain gun is a lightweight and portable tool designed to blow-out drain lines instantly. Swoosh CO2 cartridges deliver 800 PSI of oil-free air to clear the line and each unit is equipped with a tapered fitting for 3/8 - 3/4"" drain openings. The drain gun's flexible hose assembly makes clearing hard to reach spots easy, manoeuvring through cabinets, coils and remote drains.",Trade Essentials/Trade Essentials.csv -> Pump House Charles Gallo drain gun with adapter kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/84/696584_wm.jpg,,,,,Charles Gallo,N,,,,GGK-W,Drain Gun,N,"Lightweight and portable, weighing just 3oz.",Uses refrigerant to clean drain line,Reduces labour costs and time on service calls,No need for air or nitrogen tanks,Cartridges are environmentally safe and recyclable,Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,PT10595,Maxam Dura+ adhesive sealant tube 290ml White,Maxam,8.79,"There's no longer any need to buy and transport multiple sealents, mastics, fillers and adhesives thanks to Maxam DURA+, a six-in-one hybrid adhesive sealant that works reliable on a wide range of surfaces, from lead to brick to glass. Sealing and bonding in any situation, even underwater, this high performance product can be used to fill, repair, plug and much more, helping you complete a variety of jobs without the hassle of using multiple tubes and bottles. Food-safe and chemical-resistant, DURA+ can be used in just about any room or situation and provides a tough yet flexible seal that's resistant to high temperatures and extremes of weather.",Trade Essentials/Trade Essentials.csv -> Maxam Dura+ adhesive sealant tube 290ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/95/T10595_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/be/ls/Maxam product labels.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,P408682,CEF Omega switched fused spur and neon 13A,CEF,7.7,"This 230V, 13A CEF Omega switched fused connection unit is made of urea. It offers a frequency of 50/60Hz.",Trade Essentials/Trade Essentials.csv -> CEF Omega switched fused spur and neon 13A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/82/408682_wm.jpg,,,,,OMEGA,N,,,,2010-047,Switch Fused Connection Unit,N,13A fuse fitted as standard,Frequency 50/60Hz,,,,,,,,,,HomesKitchensGarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PN44056,CT1 construct adhesive Black,CT1,12.98,"Using innovative Tribrid technology, CT1 sealant and construction adhesive effectively bonds to all metals, lead, glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles and concrete. It will also adhere to most stone types, most synthetic materials and many plastics, excluding PP, PE and PTFE. UV-resistant and stain-free, CT1 retains its black colour well and is proven to be a massive 360% stronger than traditional hybrid polymers, supplying reliable adhesion, even underwater.",Trade Essentials/Trade Essentials.csv -> CT1 construct adhesive Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/56/N44056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Sealant_Adhesive_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Licence.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/ce/CT1_Declaration_of_Performance_CE.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/CT1_Certificate_of_Compliance.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,P500015,Allied Hygiene best wipe quick release dispenser unit with paint solution 25 x 25cm Black with Blue nozzle (Pack of 100),Allied Hygiene,17.08,"This Allied Hygiene quick release dispenser with blue nozzle contains 100 Serious wet wipes made of heavy duty fabric. The double-sided wipes offer safe and effective removal of paint, oil, grime, adhesive, ink, PU foam and silicone from hands and surfaces, employing a rough micro-beaded side and a smooth wiping side.",Trade Essentials/Trade Essentials.csv -> Allied Hygiene best wipe quick release dispenser unit with paint solution 25 x 25cm Black with Blue nozzle (Pack of 100),,Wet wipesBlue nozzle,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/15/NW-500015_wm.jpg,,,,,,N,100,,250 (L) x 250 mm (W),SWW-100,Wet Wipes,N,Pack of 100,Rough micro-beaded side removes grime,Smooth side wipes clean,Larger surface,"50gsm, heavier than most wipes",Black,,,,,,,,,Reduced packaging waste,,,Pack of 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,P628806,A-Gas OXYG010 Steel Oxygen Cylinder 10ltr,A Gas,29.87,This A-Gas 10L steel oxygen cylinder with acetylene is ideal for brazing copper pipes together in refrigeration and air conditioning systems and brazing together different metals such as steel and copper.,Trade Essentials/Trade Essentials.csv -> A-Gas OXYG010 Steel Oxygen Cylinder 10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/NW-628805_628806_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_Oxygen_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,PT85773,"Rothenberger spare multibender guide 15mm (1/2"")",Rothenberger,14.14,"This precision-made Rothenberger 80175 multibender guide is made of strong aluminium and offers clean, strong bends.","Trade Essentials/Trade Essentials.csv -> Rothenberger spare multibender guide 15mm (1/2"")",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/73/NW-T85773_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,PW91015,Horobin stand pipe key,Horobin,22.13,This Horobin steel hydrant key is fitted with a T handle.,Trade Essentials/Trade Essentials.csv -> Horobin stand pipe key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/15/NW-W91015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Horobin_Tool_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,P454964,Regin gas tape 50mm x 66mtr,Regin,5.0,"An extra long roll of Regin 50mm gas tape, printed with GAS for identification.",Trade Essentials/Trade Essentials.csv -> Regin gas tape 50mm x 66mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/64/NW-454964_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT02746,Rothenberger HSS bi-metal hole cut saw 38mm x 1.1/2in,Rothenberger,7.35,"Compatible with most leading brands, the Rothenberger HSS 38mm x 1 1/2"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Trade Essentials.csv -> Rothenberger HSS bi-metal hole cut saw 38mm x 1.1/2in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/46/T02746_wm.jpg,,,,,,N,,,,1500004847,Hole Cut Saw,N,Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,Steel,"Cutting wood, metal and plastics",,,,,,,,38 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,P617057,Specialised Wiring butt splice 15mm Blue (100),Specialised Wiring,0.08,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Trade Essentials.csv -> Specialised Wiring butt splice 15mm Blue (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/NW-617057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,P671348,"Parker 42F 42F-10 male flanged union double 5/8 x 5/8"" (Pack of 5)",Parker,13.11,"Made of brass, this Parker 42F 5/8 x 5/8"" union with 7/8-14 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Trade Essentials/Trade Essentials.csv -> Parker 42F 42F-10 male flanged union double 5/8 x 5/8"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,P696929,Javac Cool Seal CS-3CS coolseal stick caps,Javac,43.22,"Working with all popularly used refrigerants and oils, the Javac Cool Seal A/C leak sealer capsule seals micro-leaks in condensers, evaporators, O-rings and hoses. This handy solution can keep older, out-of-warranty AC and R systems that leak small amounts of refrigerant running for years, not only fixing current leaks but remaining safely in the system to help protect against future leaking.",Trade Essentials/Trade Essentials.csv -> Javac Cool Seal CS-3CS coolseal stick caps,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/29/NW-696929_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_1140_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,PT02744,Rothenberger HSS bi-metal hole cut saw 29mm x 1.1/8in,Rothenberger,5.68,"Compatible with most leading brands, the Rothenberger HSS 29mm x 1 1/8"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Trade Essentials.csv -> Rothenberger HSS bi-metal hole cut saw 29mm x 1.1/8in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/44/T02744_wm.jpg,,,,,,N,,,,1500004820,Hole Cut Saw,N,Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,Steel,"Cutting wood, metal and plastics",,,,,,,,29 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,P671052,"Refcomm LGL NS4-10 short flared nut 5/8""",Refcomm,6.62,"This Refcom LGL 5/8"" short flare nut is made of brass","Trade Essentials/Trade Essentials.csv -> Refcomm LGL NS4-10 short flared nut 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-671050_671054_wm.jpg,,,,,LGL,N,,,,NS4-10,Short Flared Nut,N,Made of Brass,"Sizes in 5/8""",,,,,,,,,Brass,,,,,,,,5/8,5/8,Flare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,PH01044,Sika Everbuild Jetcem rapid set cement 3kg,Sika Everbuild,4.09,"Specially formulated, this Sika Everbuild Jetcem rapid setting cement is a cement-based patching and repair compound suitable for a whole host of applications. Once mixed with water, this cement sets in around 30 minutes.",Trade Essentials/Trade Essentials.csv -> Sika Everbuild Jetcem rapid set cement 3kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/NW-H01044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_Everbuild_Jetcem_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Sika_Everbuild_Jetcem_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sika_Everbuild_Jetcem_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
