,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,By Model Number,Supplier Product Code,Type,WEEE Compliant,Range,Dimensions mm (H x W x D),Feature 1,Feature 2,Feature 3,Connection,Connection Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Application,Feature 4,Feature 5,Spray Angle,Diameter,Operating Temperature,Warranty,Capacitance,Dimensions (L x W x D),Part Gas Council number,Working Pressure,Voltage (V),Output (W),Phase,Frequency,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 6,Attachment 7,Pack Quantity
10,P421707,Atkinson Tankmaster plastic filter element,Atkinson,7.06,"Designed for the Mark II Tankmaster, this Atkinson Tankmaster TM4660F replacement filter kit can also be used in a Tankmaster Mark I with the addition of a 2"" cable tie attached around the tube immediately below the filter. The supplied O-ring, designed to fit around the bolt at the bottom of the filter housing, is tapered on one edge and should be fitted with this tapered edge facing up.",Heating/Burner Parts/Burner Parts.csv -> Atkinson Tankmaster plastic filter element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/07/NW-421707_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Atkinson_Tankmaster_Vlv_Ftg_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PK81191,Danfoss AMZ AMZ112 internally threaded 2-port valve with actuator DN20 230v 6bar 41m3/h,Danfoss,145.0,"This Danfoss AMZ motorised control valve with 3/4"" BSPT female connections is suitable for commercial central heating, solar energy plants and HVAC. It can be used for priority control of hot water supply and heating or priority control of boiler and solid fuel installations (diverting function).",Heating/Burner Parts/Burner Parts.csv -> Danfoss AMZ AMZ112 internally threaded 2-port valve with actuator DN20 230v 6bar 41m3/h,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-K81191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_AMZ_Operation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AMZ_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P406958,Riello RDB motor with capacitor,Riello,154.39,"This Riello RDB motor with capacitor is suitable for use in Heatslave II 12/18, 12/18 External, 25/32, 25/32 External, 18/25 and 18/25 External units.",Heating/Burner Parts/Burner Parts.csv -> Riello RDB motor with capacitor,,,https://www.wolseley.co.uk/wcsstore/WolseleyStorefrontAssetStore/images/NoImageIcon.jpg,,,,,,N,"Heatslave II 12/18 External,Heatslave II 18/25 External,Heatslave II 12/18,Heatslave II 25/32 External,Heatslave II 25/32,Heatslave II 18/25",87161166370,RDB Motor,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P364443,Fantini Banico ZEV ZEVF100 gas solenoid valve automatic-reset 100mm 230v,Fantini Banico,662.61,"Suitable for use in natural gas, LPG and propane applications, this 230V Fantini Banico gas solenoid valve with 100mm BSP connection and automatic reset provides a safely controlled shut-off for gas feed pipes. With 1/4"" inlet and outlet plugs, this valve is compatible with CPI switch and pressure gauges and can be used for connection to proving and interlock systems.",Heating/Burner Parts/Burner Parts.csv -> Fantini Banico ZEV ZEVF100 gas solenoid valve automatic-reset 100mm 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/43/NW-364441_364443_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P469782,Anglo Nordic Lodge wire electrode 200 mm,Anglo Nordic,41.02,"This Anglo Nordic Lodge IEG 5709 electrode is a traditional Lodge style, type IEG14 electrode.",Heating/Burner Parts/Burner Parts.csv -> Anglo Nordic Lodge wire electrode 200 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/82/NW-469782_wm.jpg,,,,,,N,,9600046,Electrode,N,Lodge,x  x,60mm porcelain length,200mm wire length,11mm porcelain diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PU91085,Riello capacitor 4.5 uf,Riello,37.74,"Designed to start a burner motor, this Riello 20071576 4.5µF capacitor has moulded connection leads and is suitable for the majority of domestic RDB burners.",Heating/Burner Parts/Burner Parts.csv -> Riello capacitor 4.5 uf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/85/NW-U91085_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Riello_Grant_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P353076,Eph Controls V222P 2 port motorised valve 22 mm,Eph Controls,65.9,"Specifically designed for domestic use, the EPH Controls Detach Pro 2-port motorised valve can be used in central heating or hot water systems.",Heating/Burner Parts/Burner Parts.csv -> Eph Controls V222P 2 port motorised valve 22 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/76/353076_wm.jpg,,,,,,N,,V222P,Motorised Valve,N,,,For use in hot water or central heating circuits,For domestic use,With two ports,Compression,22 mm,GB/T20667-2006,Hpb59-1,22 mm,Ambient: 50,Domestic,Yellow colour,22mm compression connections,,,,,,,,,,,,,,,,,,,,,
17,P364436,"Fantini Banico gas solenoid valve automatic-reset 2"" 230v",Fantini Banico,126.75,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 2"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Burner Parts.csv -> Fantini Banico gas solenoid valve automatic-reset 2"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P555961,Anglo Nordic oil suction pump,Anglo Nordic,110.4,"An essential addition to the oil engineer's kit, this Anglo Nordic reciprocating oil suction pump is useful in installing new systems or modifying old non-self-priming systems. The pump is supplied with a suction hose for connecting to the GS 2000 de-aerator or an oil filter and has a discharge flexible hose for draining excess oil into a collecting basin.",Heating/Burner Parts/Burner Parts.csv -> Anglo Nordic oil suction pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/61/NW-555961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_3006035_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P417696,"Goldseal GSV GSV 50 gas solenoid valve 50mm 2"" 230V BSP EN161",Goldseal,172.04,"Ideal for gas distribution applications, this Gold Seal GSV gas solenoid valve with 2"" BSPT female connection provides isolation and emergency shut-off. Compatible with  a variety of hydrocarbon gases, including natural gas, methane and liquid petroleum gas, this valve incorporates a blue neon light, giving a visual indication that power is at the gas solenoid valve and working correctly, providing an added level of safety.","Heating/Burner Parts/Burner Parts.csv -> Goldseal GSV GSV 50 gas solenoid valve 50mm 2"" 230V BSP EN161",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/96/417696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Gold_Seal_GSV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Gold_Seal_GSV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P449606,"Asco L182 solenoid valve 3/4"" 230v",Asco,77.7,"Suitable for use in a broad range of industrial applications, this Asco series L182 general purpose solenoid valve is designed to control water, air, inert gases, steam and non-aggressive fluids. It is supplied with G 3/4"" connections.","Heating/Burner Parts/Burner Parts.csv -> Asco L182 solenoid valve 3/4"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/07/NW-449605_449607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Asco_L182_Solenoid_Valve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Asco_Solenoid_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P364433,"Fantini Banico gas solenoid valve with automatic reset 1"" 230v",Fantini Banico,65.17,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 1"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Burner Parts.csv -> Fantini Banico gas solenoid valve with automatic reset 1"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P469783,Anglo Nordic Lodge wire electrode 460mm,Anglo Nordic,38.55,"Supplied with a 14mm nut, this Anglo Nordic Lodge IEG electrode measures 2.5 x 460mm.",Heating/Burner Parts/Burner Parts.csv -> Anglo Nordic Lodge wire electrode 460mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/83/NW-469783_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P732918,Danfoss EH H04941Y 00.55 x 80 eh nozzle kerosene,Danfoss,7.82,"Suitable for domestic high-pressure oil burners, this Danfoss EH oil nozzle is designed to operate with kerosene. Fitted with sintered bronze filters, this brass nozzle offers a spray angle of 80°.",Heating/Burner Parts/Burner Parts.csv -> Danfoss EH H04941Y 00.55 x 80 eh nozzle kerosene,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/18/NW-732918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Burner_Component_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_EH_ES_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P732898,Danfoss ES 00.45 x 60 es nozzle kerosene,Danfoss,7.82,"Suitable for domestic high-pressure oil burners, this Danfoss ES oil nozzle is designed to operate with kerosene. Fitted with sintered bronze filters, this brass nozzle offers a spray angle of 60°.",Heating/Burner Parts/Burner Parts.csv -> Danfoss ES 00.45 x 60 es nozzle kerosene,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/98/NW-732898_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Burner_Component_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_EH_ES_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P364432,"Fantini Banico gas solenoid valve automatic-reset 3/4"" 230v",Fantini Banico,52.45,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 3/4"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Burner Parts.csv -> Fantini Banico gas solenoid valve automatic-reset 3/4"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
