,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Type,Output,Feature 11,Feature 12,Feature 13,Feature 14
10,P231526,Stuart Turner Showermate Twin shower pump S2.0 bar,Stuart Turner,145.0,"Boosting both hot and cold water supplies to a bathroom where pressure is an issue, the Stuart Turner Showermate S2.0 standard twin shower pump supplies reliable flow rates of up to 37LPM. A compact and quiet unit offering excellent levels of performance, Showermate is supplied with two 15mm anti-vibration flexible hoses with integral isolation valves on their inlets in addition to a pre-wired power cable.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Showermate Twin shower pump S2.0 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,,,,,,1.8,Black,G3/4 Male,37 L/min,0.9,40,Horizontal,2 Bar,Peripheral/Regenerative,Showermate,230,3 Year,420,Single,N,Positive,Twin,Plastic,231526 PK,N,Suitable for positive head applications,High-quality compact plastic pump,With 15mm flexible hoses with integral ISO valves on inlets,Quiet in operation,Intermittently rated,With anti-vibration feet,EPDM/PTFE/Al oxide seal,Pre-wired with 1.5M power cable,WRAS approved,3 year warranty,,,,,,
11,PD52931,Stuart Turner Showermate single shower pump S2.0,Stuart Turner,108.5,"Suitable for use in pairs, the Stuart Turner Showermate standard single shower pump can independently pump hot and cold water. It can also be used as a single pump to boost one or other depending on the needs of the household. This high performance yet compact pump is supplied with a pair of 15mm anti-vibration flexible hoses, each with an integral isolation valve on the inlet.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Showermate single shower pump S2.0,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/31/NW-D52931_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Stuart_Showermate_Standard_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rv/es/Stuart_Showermate-Std-Single_Curves.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Showermate_Std_Single_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD52374,Stuart Turner Monsoon Standard 3 Bar Twin Shwr Pump,Stuart Turner,408.51,"Designed for vented systems, the 3 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon Standard 3 Bar Twin Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/NW-D52373_D52375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PC88058,Salamander CT Force 20SU Force 20 Su Single Uni 2 Bar Pump,Salamander,271.01,"Quiet and efficient, the 2 bar Salamander CT Force 20 single ended pump boosts hot or cold water supplies to a shower or individual taps and outlets in negative head gravity fed installation. Suitable for use in mains fed cold water systems, the CT Force offers more powerful water delivery for faster bath filling and more invigorating showers.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force 20SU Force 20 Su Single Uni 2 Bar Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/59/NW-C88058_C88059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PD53820,Impey Whale gulper pump only,Impey,306.06,This Impey Whale spare pump is a useful replacement for any Impey Whale shower waste pump.,Showering/Shower Pumps/Shower Pumps.csv -> Impey Whale gulper pump only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/20/NW-D53820_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD08095,Grundfos STP Amazon 3 Bar +VE Twin Regen Pump,Grundfos,325.0,"Part of the Amazon pump range, the Grundfos STP 3 bar regenerative shower pump is fitted with precision-machined brass impellers and brass body stampings. Designed for heavy duty use, this pump supplies reliable flow rates of up to 0.6M³/h and includes all fittings, including braided stainless steel connection hoses, inlet filters and a mains power cable.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos STP Amazon 3 Bar +VE Twin Regen Pump,,Pump;Flexible ;braided connection hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/95/NW-D08095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR_STR_SSP_STP_SSN_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Shower_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD00885,Salamander AquaScan 4-in-1 Digital Water Multimeter,Salamander,386.45,"Offering precision insight into a property's water supply, the Salamander AquaScan is a 4-in-1 digital water multimeter providing pressure, temperature, flow and hardness readings via an easy-to-read digital screen. This clever tool promises high levels of accuracy, helping engineers and installers to make sensible adjustments to a home's system in order to improve the water supply. AquaScan is provided complete with a tough carry case for ease of storage and transport, alongside numerous accessories for fitting to taps, showers, pipes and other outlets.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander AquaScan 4-in-1 Digital Water Multimeter,,1x AquaScan Unit;1x AquaScan Isolation Valve;1x Carry Case;1x 1m USB-C to USB Cable;1x User Guide;1x AquaScan Results Notepad;1x MainsBooster Range Brochure;1x GravityBooster Range Brochure;1x 3/4” Thread To 1/2” Thread Adaptor;1x Male & Female Aerat,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/85/D00885_wm.jpg,,,,,,N/,Black /  Brass,Inlet ¾” female thread (brass); Outlet ¾” male thread (brass),Max 30L/min,0,0-85,N/A,N/A,N/A,AquaScan,Battery charge voltage: 5,1 year,N/A,N/A,N,N/A,N/A,Brass; plastic,AQUASCAN,N,Digital display for precision measurement,"Measures flow, pressure, temperature and hardness",With robust protective case,Included accessories allow for easy connection to different outlets,"Suitable for taps, showers, pipework and hoses",Patent pending technology,UK-built,1 year warranty,,,,,,,,
17,PD52377,Stuart Turner Monsoon standard single shower pump 3.0bar,Stuart Turner,405.74,"Designed for use in vented systems, the 3 bar Stuart Turner Monsoon standard single shower pump boosts water pressure in the hot and cold water supply of a positive head application. The pump requires just 0.6LPM to start and provides ideal power for boosting the blended water outlet between a shower valve and showerhead.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon standard single shower pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/78/NW-D52377_D52378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_SinglePump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/STurner_Monsoon_StdSinglePump_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_SinglePump_Curve.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PC88043,Salamander CT55 Xtra 55 Xtra Single 1.5 Bar Shwr Pump,Salamander,129.24,"Boost hot or cold water in a gravity fed, positive head system with this 1.5 bar Salamander CT55 Xtra single regenerative pump. Quiet and compact, this continuously rated pump boosts water to individual hot or cold taps.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT55 Xtra 55 Xtra Single 1.5 Bar Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/43/C88043_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD12064,Grundfos SSR2 single impeller positive regen shower pump,Grundfos,343.0,"The innovative, tough Grundfos SSR2 regenerative shower pump with positive head and one impeller combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the SSR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos SSR2 single impeller positive regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/64/NW-D12064_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
