,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Warranty,Design Type,Material,Shape,Fittings Included
10,PB61628,Nabis Lamone close coupled horizontal outlet pan,Nabis,101.99,"Part of a water-saving bathroom range, the Nabis Lamone close coupled toilet pan with horizontal outlet has an elongated design for a smooth, elegant look. Built in white vitreous china, the Lamone offers space saving simplicity.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Lamone close coupled horizontal outlet pan,,Toilet panToilet basin fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/28/NW-B61628_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Phase_II_Ceramic_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Toilet-20Seats_Matrix_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ee/ts/Nabis_Data_Sheets.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ee/ts/NABIS_SUITES_DATA_SHEETS.pdf,,,,,
11,PB47402,Twyford Alcona Flushwise AR1148WH horizontal outlet WC pan White,Twyford,65.72,"Suitable for a wide range of locations, from schools to hotels to homes, the Twyford Alcona Flushwise close coupled toilet pan with horizontal outlet has an eco-friendly water saving 4/2.6L dual flush.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Twyford Alcona Flushwise AR1148WH horizontal outlet WC pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/03/NW-B47401_B47403_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_AR2342WH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Twyford_DoP10_WCs_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Alcona_Drawing.pdf,,,,,,,
12,PB01084,Nabis Vector WC pack,Nabis,130.0,"Ideal for modern bathroom installations and re-designs, this Nabis Vector toilet pack includes a Vector II close-coupled horizontal outlet toilet pan with push button cistern and a soft-close toilet seat and cover. A contemporary design, the Vector II WC brings a touch of luxury to your loo.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Vector WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/B01084 PK_wm.jpg,White,Vector,N,B01084 PK,WC Pack,N,White vitreous china,Soft close seat,Lifetime warranty on ceramics,1 year warranty on toilet seat,,,,,,,,,,,,,
13,PT02628,Ideal Standard Tesi close coupled horizontal outlet WC pan with aquablade technology,Ideal Standard,137.19,"The geometric lines of the Ideal Standard Tesi close coupled toilet pan with horizontal outlet make it an ideal addition to a contemporary bathroom design. Part of an extensive range of bathroom furnishings, the Tesi toilet incorporates Ideal Standard's Aquablade flushing technology for improved hygiene, performance and water saving.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Tesi close coupled horizontal outlet WC pan with aquablade technology,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/28/NW-T02628_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Tesi_CC_Toilet_Tech.pdf,,,,,,,,,
14,PD64398,Ideal Standard Sandringham 21 smooth close coupled WC pan with horizontal outlet,Ideal Standard,97.34,"This Ideal Standard Sandringham 21 close coupled curved toilet pan is part of a comprehensive and popular range of sanitaryware, bathing and brassware. This water-saving, easy-clean toilet is suitable for domestic or public use.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Sandringham 21 smooth close coupled WC pan with horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/98/NW-D64398_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E8221_E8999_E1316_S9101_Tech.pdf,,,,,,,,,
15,PB61664,Nabis Vector 2 close coupled horizontal outlet toilet pan,Nabis,114.6,"The Nabis Vector 2 close coupled, elongated toilet pan combines high performance and stylish design. Wall hung, the Vector has a modern finish ideal for installation in luxury bathrooms.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Vector 2 close coupled horizontal outlet toilet pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/65/NW-B61664_B61665_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,
16,PD04666,Ideal Standard Tempo arc close coupled horizontal output WC pan White,Ideal Standard,113.42,"Ideal for family homes, hotels and other commercial spaces, the Ideal Standard Tempo close coupled curved design toilet pan with horizontal outlet has a streamlined design with easy to clean, safe and sleek smooth edges. Part of the comprehensive Tempo bathroom furniture range, this pan helps to create a feeling of space in a compact room.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Tempo arc close coupled horizontal output WC pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/66/NW-D04666_wm.jpg,White/Gloss,Tempo,N,T332101,Close Coupled Pan,N,Close coupled,Horizontal outlet,White finish,Lifetime warranty,,,,,,,,,Lifetime,Close Coupled,Vitreous China,Round,No
17,PD44948,Roca Debba Close coupled horizontal outlet pan white,Roca,144.09,"A simple, crowd-pleasing design, the square Roca Debba close coupled toilet pan with dual outlet is part of a range suited to any bathroom design.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca Debba Close coupled horizontal outlet pan white,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/48/NW-D44948_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A342997000_Technical.pdf,,,,,,,,,
18,PC21349,Ideal Standard Concept horizontal outlet close coupled pan White,Ideal Standard,208.99,"The Ideal Standard Concept close coupled toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Concept horizontal outlet close coupled pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-C21349_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E787101_WC_Pan_Tech.pdf,,,,,,,,,
19,PD58982,Roca Debba round rimless open back close coupled pan,Roca,151.67,"A simple, crowd-pleasing design, the round, rimless Roca Debba close coupled toilet pan with dual outlet is part of a range suited to any bathroom design.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca Debba round rimless open back close coupled pan,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/82/NW-D58982_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A34299P000_Technical.pdf,,,,,,,,,
20,PD00668,Roca Polo close coupled toilet pan White,Roca,71.66,"The curvaceous Roca Polo close coupled toilet pan has an open rim design. Compatible with a range of complementary basins and suitable for turn traps, this pan is a flexible choice for any bathroom.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca Polo close coupled toilet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/68/NW-D00668_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Roca_Data_Polo_CC_WC_Tech.pdf,,,,,,,,,
21,PP07588,Geberit Selnova close coupled toilet horizontal outlet,Geberit,136.61,"A classic design, the Geberit Selnova floor standing WC pan is a simple, understated toilet that will suit any bathroom. With its high-quality build and versatility, this round WC pan is made of robust vitreous china with a white finish.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Geberit Selnova close coupled toilet horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/88/NW-P07588_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501041006_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,
22,PB31700,Twyford Avalon horizontal outlet toilet panel White,Twyford,414.43,"The curved Twyford Avalon close coupled toilet pan with horizontal outlet incorporates an ergonomically designed cistern lever and raised seating position for inclusive, comfortable use.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Twyford Avalon horizontal outlet toilet panel White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/00/NW-B31700_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Avalon_HO_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Avalon_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Twyford_DoP10_WCs_Certificate.pdf,,,,,,,
23,PD00628,Roca Laura close coupled WC pan White,Roca,101.82,"A traditional and functional design ideal for public bathrooms, the Roca Laura close coupled round toilet pan with horizontal outlet includes a washdown flush and is supplied with fixings. Part of a wider range combining usability and elegance, the Laura is a versatile, tried-and-tested choice.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca Laura close coupled WC pan White,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/28/NW-D00628_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A342396000_Technical.pdf,,,,,,,,,
24,PA67219,Ideal Standard Connect Air c/c bowl ho aquabld s/wrp White,Ideal Standard,276.18,"The Ideal Standard Concept Air close coupled toilet pan incorporates Ideal Standard's cutting-edge Aquablade flushing technology. Offering improved hygiene, easier cleaning and a sleek modern look, the Concept Air has a sleekly tapered toilet bowl and matches with a wide range of Ideal Standard bathroom fittings for a cohesive design.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Connect Air c/c bowl ho aquabld s/wrp White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/19/NW-A67219_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E079701_WC_Pan_Tech.pdf,,,,,,,,,
25,PB61036,Nabis Pride close coupled pan White,Nabis,98.47,"A real space saver, the Nabis Pride close coupled, elongated toilet pan is designed to add a contemporary touch to your bathroom décor.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Pride close coupled pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/36/NW-B61036_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B61036_Nabis_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_WC_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Care_Instructions_22Aug2018.pdf,,,,,,
26,PD00705,Roca Laura concealed cistern pan 4.5/3ltr White,Roca,106.42,"A traditional and functional design ideal for public bathrooms, the Roca Laura close coupled round toilet pan with horizontal outlet includes a washdown flush and is supplied with fixings. Part of a wider range combining usability and elegance, the Laura is a versatile, tried-and-tested choice.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca Laura concealed cistern pan 4.5/3ltr White,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/05/NW-D00705_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A34239S000_Technical.pdf,,,,,,,,,
27,PD41582,Roca Senso Close coupled toilet pan White,Roca,393.21,The contemporary Schmidt and Lackner designed Roca Senso close coupled square toilet pan with double outlet is built with the design duo's signature German efficiency and modernity for a practical style suited to modern homes.,Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca Senso Close coupled toilet pan White,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/82/NW-D41582_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A342514000_Technical.pdf,,,,,,,,,
