,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Range,Feature 8
10,PT86976,Roca Unik (base unit with two drawers and basin),Roca,609.3,"Offering generous storage inside two soft-close drawers, the Roca Ona Unik 550 x 460mm base unit can help homeowners to create a sleek, clutter-free look in their modern bathroom. Finished in an attractive, contemporary grey, the Unik is supplied complete with a top-mounted vitreous china basin.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Unik (base unit with two drawers and basin),,Basin and Furniture,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/76/T86976_wm.jpg,,Grey,Vanity Unit,25 Years on Ceramic 2 for Furniture,N,460,N/A,VC and Particle Board,A851687510,Vanity Unit,N,Particle board construction,Grey finish,With 2x soft-close drawers,With vitreous china basin,2 year warranty on furniture,25 year warranty on ceramic,,,,
11,PT26506,Essentials NEVADA floor standing washbasin unit with 600mm wide - White,Essentials,315.77,"A contemporary design with a simple white finish, the Essentials Nevada 600mm floorstanding washbasin unit with integrated ceramic basin is the ideal finishing touch for a sleek, modern bathroom. This elegant unit is fitted with two bar-handled doors concealing useful storage for all those bathroom must-haves. It is part of the complete Nevada range of wall and base units.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Essentials NEVADA floor standing washbasin unit with 600mm wide - White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/06/T26506_wm.jpg,,White,Contemporary,10 Years,N,370,Right And Left,MDF UnitCeramic Basin,EFP300WH,Base Unit,N,Modern design,MDF unit construction,With ceramic basin,White colour,With 2x doors,Right and left-opening doors,10 year warranty,,,
12,PT86956,Roca Wall-hung Fineceramic® basin,Roca,118.48,"The Roca Ona Unik 450mm basin is constructed in robust, sleek Fineceramic finished in classic, high shine white. This simple hand wash basin is designed to be wall-mounted.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Wall-hung Fineceramic® basin,,The Product and Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/56/T86956_wm.jpg,,White,WALL HUNG,25,N,360,N/A,VC,A327682000,Wall Hung,N,Fineceramic construction,White colour,For wall hung installation,25 year warranty,,,,,,
13,PT86982,Roca Onabase Unik & Basin 2 Draws 450x460mm Matt Green,Roca,405.09,"This Roca Unik Onabase 450 x 460mm vanity unit is supplied complete with a basin for all-in-one installation with no need to shop around. Finished in stylish matte green, the unit features two soft-close drawers, maximising storage in the bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Onabase Unik & Basin 2 Draws 450x460mm Matt Green,,Unit and Basin,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/82/T86982_wm.jpg,,White/Gloss,Unit and Basin,2 Year,N,410,N/A,Moisture Resistant Particle Board,A851681513,Unit and Basin,N,With basin,Moisture-resistant particle board construction,Matte green finish,With 2x soft-close drawers,2 year warranty,,,,,
14,PD86566,Roca Gap unik 2dw 600mm Gloss White,Roca,464.11,"This Roca Unik The Gap 600mm vanity unit is supplied complete with a basin for all-in-one installation with no need to shop around. Finished in smart standard white, the unit features two soft-close drawers, maximising storage in the bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Gap unik 2dw 600mm Gloss White,,Unit and Basin,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/D86566_wm.jpg,,White/Gloss,Unit and Basin,2 Year,N,520,N/A,Moisture Resistant Particle Board,A851476806,Unit and Basin,N,With basin,Moisture-resistant particle board construction,Gloss white finish,With 2x soft-close drawers,2 year warranty,,,,Gap,
15,PT86981,Roca Onabase Unik & Basin 2 Draws 450x460mm Light Oak,Roca,405.09,"This Roca Unik Onabase 450 x 460mm vanity unit is supplied complete with a basin for all-in-one installation with no need to shop around. Finished in natural Light Oak, the unit features two soft-close drawers, maximising storage in the bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Onabase Unik & Basin 2 Draws 450x460mm Light Oak,,Unit and Basin,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/81/T86981_wm.jpg,,Light Oak,Unit and Basin,2 Year,N,410,N/A,Moisture Resistant Particle Board,A851681512,Unit and Basin,N,With basin,Moisture-resistant particle board construction,Light Oak finish,With 2x soft-close drawers,2 year warranty,,,,,
16,PD86601,Roca Gap unik 3dw 550mm Gloss White,Roca,510.83,"Designed to complement Roca's The Gap ceramics, this 550mm vanity unit helps to create a feeling of space in a bathroom. Finished in sleek, clean gloss white, the Roca The Gap vanity unit offers generous storage in three soft-close drawers.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Gap unik 3dw 550mm Gloss White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/01/D86601_wm.jpg,,White,Vanity Unit,5,N,460,N/A,Particle Board,A851623806,Vanity Unit,N,Particle board construction,Gloss white finish,With soft-close drawers,5 year warranty,,,,,Gap,
17,PC24172,Nabis Vision carcass for standard back-to-wall toilet unit 500mm White Gloss,Nabis,126.27,Nabis Vision 300mm standard fascia pack is available in white gloss finish and suitable for use with 500mm back to wall toilet units. The Nabis furniture range is designed with versatility. This range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Vision carcass for standard back-to-wall toilet unit 500mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/72/NW-C24172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_FHBTW_ToiletUnit_Installation.pdf,,
18,PE17301,Atlanta Fitted countertop unit 500mm Pescara Grip,Atlanta,242.87,"Designed for a semi-recessed basin, this Atlanta Original Fitted 820 x 500mm basin unit has modern J-pull doors concealing plenty of useful storage. This modern unit is finished in clean, fresh Grip White gloss, an ideal choice for an ultra-contemporary bathroom and an ideal complement to a grey countertop.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Atlanta Fitted countertop unit 500mm Pescara Grip,,Basin unit;Adjustable legs;1x adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/01/E17301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,
19,PE17299,Atlanta Fitted basin unit 600mm Pescara Grip,Atlanta,412.1,"This Atlanta Original Fitted 860 x 610mm basin unit with Breeze basin and modern J-pull doors conceals plenty of useful storage. This unit is finished in glossy, reflective Grip White, an ideal neutral for an ultra-modern bathroom and perfect with a grey countertop.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Atlanta Fitted basin unit 600mm Pescara Grip,,Basin unit;Adjustable legs;1x adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/99/E17299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,
20,PE17302,Atlanta Fitted countertop unit 600mm Pescara Grip,Atlanta,260.64,"Designed for a semi-recessed basin, this Atlanta Original Fitted 820 x 600mm basin unit has modern J-pull doors concealing plenty of useful storage. This modern unit is finished in clean, fresh Grip White gloss, an ideal choice for an ultra-contemporary bathroom and an ideal complement to a grey countertop.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Atlanta Fitted countertop unit 600mm Pescara Grip,,Basin unit;Adjustable legs;1x adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/02/E17302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,
21,PT26740,Essentials Montana 500mmx820mm 2 Door Vanity Unit & Basin - Gloss White,Essentials,278.35,"Part of a comprehensive range, the Essentials Montana 500mm vanity unit and basin is a contemporary choice that finishes off a modern bathroom perfectly. Offering handy storage hidden behind two soft-close doors fitted with your choice of handles, this vanity unit blends convenience with good looks.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Essentials Montana 500mmx820mm 2 Door Vanity Unit & Basin - Gloss White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/40/T26740_wm.jpg,,White/Gloss,Contemporary,10 Years,N,390,Right And Left,MDF / MFC,EFP907GW,Base Unit,N,Modern design,MDF/MFC unit construction,With basin,White gloss finish,With 2x soft-close doors,Includes 2x handle options,Right and left-opening doors,,,10 year warranty
22,PT86978,Roca Unik (base unit with two drawers and basin) - Matt Green,Roca,609.3,"Offering generous storage inside two soft-close drawers, the Roca Ona Unik 550mm base unit can help homeowners to create a sleek, clutter-free look in their modern bathroom. Finished in an attractive matte green, the Unik is supplied complete with a top-mounted ceramic basin.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Unik (base unit with two drawers and basin) - Matt Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/78/T86978_wm.jpg,,Green,Base Unit,2 years,N,460,N/A,Particle Board,A851687513,2 Drawer Unit,N,Particle board construction,Matte green finish,With 2x drawers,With basin,2 year warranty,,,,,
23,PT26534,NEVADA WHITE 500 FLOOR 2 DOOR BASIN UNIT,Essentials,312.39,"Finished in simple, clean white, the Essentials Nevada 500mm two-door basin unit is supplied with a matching ceramic basin. Ideal for storing toiletries or cleaning products, this spacious floor standing unit will fit seamlessly into most bathroom designs.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> NEVADA WHITE 500 FLOOR 2 DOOR BASIN UNIT,,Basin Vanity Unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/34/T26534_wm.jpg,,White,Contemporary,10 Years,N,390,Left & Right,MDF UnitCeramic Basin,EFP307WH,Base Unit,N,Modern design,White finish,MDF unit construction,With ceramic basin,Left and right opening doors,With solid cast bar handles,10 year warranty,,,
24,PE17298,500 BREEZE BASIN UNIT/GRIP PR,Atlanta,386.71,"This Atlanta Original Fitted 860 x 510mm basin unit with Breeze basin and modern J-pull doors conceals plenty of useful storage. This unit is finished in glossy, reflective Grip White, an ideal neutral for an ultra-modern bathroom and perfect with a grey countertop.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> 500 BREEZE BASIN UNIT/GRIP PR,,Basin unit;Adjustable legs;1x adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/98/E17298_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,
25,PT26746,Essentials Montana 600mm x 820mm 2 door vanity unit & basin - Gloss White,Essentials,304.13,"Pre-assembled to save time and effort, the Essentials Montana 600 x 820mm vanity unit is supplied complete with a basin and two handle options. Finished in a smart white gloss, this modern basin vanity has two soft-close drawers for toiletry storage.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Essentials Montana 600mm x 820mm 2 door vanity unit & basin - Gloss White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/46/T26746_wm.jpg,,White/Gloss,Contemporary,10 Years,N,390,,MDF / MFC,EFP909GW,Base Unit,N,MDF/MFC construction,Gloss white finish,With soft-close doors,Pre-assembled for ease of fitting,10 year warranty,,,,,
26,PT86979,Roca Onabase 2 Draws Unik & Basin 450x460mm Matt White,Roca,405.09,"Offering generous storage inside two soft-close drawers, the Roca Ona 450 x 460mm base unit can help homeowners to create a sleek, clutter-free look in their modern bathroom. Finished in a clean, simple white, the Unik is supplied complete with a top-mounted vitreous china basin.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Onabase 2 Draws Unik & Basin 450x460mm Matt White,,Basin and Furniture,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/79/T86979_wm.jpg,,White,Vanity Unit,25 Years on Ceramic 2 for Furniture,N,360,N/A,VC and Particle Board,A851681509,Vanity Unit,N,Particle board construction,Matte white finish,With 2x soft-close drawers,With vitreous china basin,2 year warranty on furniture,25 year warranty on ceramic,,,,
27,PT86980,ROCA ONABASE UN&BAS 2DRAWS 450X460 MGREY,Roca,405.09,"Offering generous storage inside two soft-close drawers, the Roca Ona Unik 450 x 460mm base unit can help homeowners to create a sleek, clutter-free look in their modern bathroom. Finished in an attractive matte grey, the Unik is supplied complete with a top-mounted vitreous china basin.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> ROCA ONABASE UN&BAS 2DRAWS 450X460 MGREY,,Basin and Furniture,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/80/T86980_wm.jpg,,Grey,Vanity Unit,25 Years on Ceramic 2 for Furniture,N,360,N/A,VC and Particle Board,A851681510,Vanity Unit,N,Particle board construction,Matte grey finish,With 2x soft-close drawers,With vitreous china basin,2 year warranty on furniture,25 year warranty on ceramic,,,,
28,PD86697,Roca Gap Cpt unik 2dw 500mm Gloss Anthracite Grey,Roca,399.79,"Designed to complement Roca's The Gap ceramics, this 500mm vanity unit helps to create a feeling of space in a bathroom. Finished in sleek, modern Anthracite grey, the Roca The Gap vanity unit offers generous storage in two soft-close drawers.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Roca Gap Cpt unik 2dw 500mm Gloss Anthracite Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/97/D86697_wm.jpg,,White,Vanity Unit,5,N,380,N/A,Particle Board,A851494806,Vanity Unit,N,Particle board construction,Gloss Anthracite grey finish,With soft-close drawers,5 year warranty,,,,,Gap Cpt,
