,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Warranty,Hazardous,Sector,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Material Type,Range,Depth (mm),Material,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Thickness,Frame Colour,Feature 11,Feature 12
10,PC92772,AKW OPT EW 900 HIGH SCRN SET 1000 X 1000,AKW,631.34,"Designed to meet the needs of domestic mobility users, the AKW Option EW 1000mm shower screen set in white has a 900mm high shower screen to protect carers from splashing, along with unique 360° two-way opening doors and a curtain for additional privacy. Included in this pack is an L-shaped curtain rail with 600mm trimmable ceiling support, gliders and fixings, making installation simple.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> AKW OPT EW 900 HIGH SCRN SET 1000 X 1000,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/72/C92772_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/AKW_Multiple Screen_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AKW_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_ShowerScreens_Technical.pdf,,,,,,,,
11,PB97301,Ideal Standard Avon 21 self closing bottom inlet non-mix shower,Ideal Standard,196.99,"The Ideal Standard Avon 21 built-in self closing, non-mixing shower has an anti-vandal design and water saving push button operation with adjustable time delay for automatic shut off. Non-concussive action avoids water hammer.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Ideal Standard Avon 21 self closing bottom inlet non-mix shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/01/NW-B97301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_B8266_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,
12,PC92782,AKW OPTN EW 900 HIGH SCRN SET 900 X 900,AKW,631.34,"Designed to meet the needs of domestic mobility users, the AKW Option EW 900mm shower screen set in white has a 900mm high shower screen to protect carers from splashing, along with unique 360° two-way opening doors and a curtain for additional privacy. Included in this pack is an L-shaped curtain rail with gliders and fixings, making installation simple.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> AKW OPTN EW 900 HIGH SCRN SET 900 X 900,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/82/C92782_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/AKW_Multiple Screen_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AKW_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_ShowerScreens_Technical.pdf,,,,,,,,
13,PC17360,"Delabie male vandal proof round shower head 1/2""",Delabie,129.84,"The Delabie 1/2"" vandal-resistant round showerhead is ideal for municipal or commercial facilities, offering a range of security features including a ligature-resistant design and automatic flow regulation. Finished in a simple chrome-plating to suit all interiors, this basic shower resists scale for easier maintenance and reliable delivery.","Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Delabie male vandal proof round shower head 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/10/709010_wm.jpg,,Chrome,30-year warranty,N,Sport/Fitness;Education;Hotels/Leisure;Office/Retail/Washrooms,709010,Showerhead,N,Brass construction,Chrome finish,With automatic flow regulation,Scale-resistant nozzle,Adjustable spray can be locked in place,Ligature-resistant design,Invisible blocking screw,Automatic drain after use to reduce stale water and scale buildup,Flow rate of 6LPM at 3 bar,30 year warranty,,,,,,,,,,,,,,
14,PC17431,SECURITHERM THERMOSTATIC SEQUENTIAL,Delabie,385.12,"Ideal for use in healthcare facilities, this Douglas Delabie Securitherm thermostatic sequential shower mixer provides safety and accessibility features suitable for care homes, hospitals and clinics. The shower's thermostatic sequential mixer opens and closes with cold water posing no risk of cross flow between hot and cold. Meanwhile, an anti-scalding failsafe shuts off automatically if the cold supply fails and Securitouch thermal insulation prevents surface burns.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> SECURITHERM THERMOSTATIC SEQUENTIAL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/31/NW-C17431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/DouglasDelabie_H9630_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tf/ct/DouglasDelabie_16ACCLY702_Crtfct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Delabie_NTH9610_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tf/ct/DouglasDelabie_H9630_WRAS_Crtfct.pdf,,,,,,,
15,PC00347,AKW OPTION EW750 HGH SCRN SET 900X900 NH,AKW,602.06,"Designed to meet the needs of domestic mobility users, the AKW Option EW 750 x 1524mm shower screen set in white has a high level shower screen to protect carers from splashing, along with unique 360° two-way opening doors and a curtain for additional privacy. Included in this pack is an L-shaped curtain rail with 600mm trimmable ceiling support, gliders and fixings, making installation simple.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> AKW OPTION EW750 HGH SCRN SET 900X900 NH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/47/C00347_wm.jpg,,,,N,Healthcare;Assisted Living;,91171N,Shower Screen,N,2x bifold doors,With white permeable weighted curtains,Either side adjustment of 14.5mm for uneven walls,Screen offers splash protection for carers,Tough nylon 6 hinges and caps,Robust high grade aluminium frames,Strong magnetic strip and profiled floor seals for water retention,Lightweight frosted shatterproof PET glazed panels,Smooth latches and ergonomic D handles,Trimmable corner blocks accommodate any radius to coved slip-resistant flooring,,Option EW,,,,,,,,,24 mm,White,High quality elastomeric gaskets for watertight seal,
16,PC16327,PREMIX THERMO SHWR PANL TOP INLETS 1/2IN,Delabie,880.69,"The Delabie 1/2"" premix thermostatic shower panel with top stopcock inlets has a smart chrome finish to suit most commercial bathrooms. Suitable for surface mounting, this thermostatic shower panel incorporates an adjustable temperature control operating from cold and limiters set at two temperature intervals for more comfortable, safer showering.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> PREMIX THERMO SHWR PANL TOP INLETS 1/2IN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/00/792400_wm.jpg,,Chrome,30-year warranty,N,Sport/Fitness;Education;Hotels/Leisure,79240015,Shower Panel Top Inlets,N,Aluminium epoxy-coated,Chrome finish,For surface mounting,"With top inlet, M 1/2"" via inline stopcocks",With Securitherm thermostatic mixer,Adjustable temperature control from cold water up to 38°C,"First limiter set at 38°C, second limiter set at 41°C",Instant shut-off if cold water supply fails reducing scald risk,Thermal shocks are possible,30 year warranty,,,,,,,,,,,,,,
17,PD74637,Triton Elina inclusive concentric built in mixer valve only,Triton,324.98,"Designed for care homes, hospitals and similar applications, this Triton Elina built-in valve is safe and functional with no compromise on style.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Triton Elina inclusive concentric built in mixer valve only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/37/NW-D74637_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Triton_MixerShowers-Taps_Brchr_2017.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_Elina_Mixer_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Triton_Elina_Built_In_Valve_Install.pdf,,,,,,,,
18,PD59759,Rada Sense bath/shower concealed digital mixing valve,Rada,693.11,"A convenient choice for commercial bathrooms, the Rada Sense bath/shower concealed digital mixing valve offers a range of programmable functions, including minimum, maximum and default temperatures and timed flow control. Operated via an infrared touch-free wall-mounted control panel, this robust shower also has a duty flush and thermal disinfection mode, helping to maintain hygiene in heavy use areas. For ease of fitting, the Sense mixing valve is supplied complete with a power supply, check valves and strainers as well as programmable software for simplified set-up.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Rada Sense bath/shower concealed digital mixing valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/59/NW-D59759_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Sense_T3_DMV_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_Sense_T3_DMV_Technical.pdf,,,,,,,,
19,PD74635,ELINA IS CONC EV MIXER VALVE ONLY,Triton,324.98,"Ideal for hospitals and care homes, this Triton Elina exposed concentric type 3 TMV inclusive mixer valve is easy to grip and control, with low resistance separate lever controls for flow and temperature. These controls are front facing for easy access, while clear flow and temperature markings ensure accuracy. The Elina's clean lines avoid the formation of dirt traps for improved hygiene and easier cleaning.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> ELINA IS CONC EV MIXER VALVE ONLY,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/35/NW-D74635_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Triton_Inclusive_Showering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_Elina_Inclusive_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_Elina_Technical.pdf,,,,,,,,
20,PD64385,Intatec Acura safe touch TMV3 bar shower valve,Intatec,330.83,"Safe and reliable, the Intatec Safe Touch TMV3 bar shower valve meets the general requirements of the NHS Model. Offering thermostatic internals for balanced delivery of water with no risk of scalding, this valve is also cool to the touch and has fail safe protection on both hot and cold water supplies.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Intatec Acura safe touch TMV3 bar shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/85/NW-D64385_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inta_ST10010CP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Inta_ST10010CP_Installation.pdf,,,,,,,,,
21,PB97300,Ideal Standard Avon 21 push button bottom inlet shower valve Chrome,Ideal Standard,330.25,"The Ideal Standard Avon 21 built-in self closing, mixer shower has an anti-vandal design and water saving push button operation with adjustable time delay for automatic shut off. Non-concussive action avoids water hammer.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Ideal Standard Avon 21 push button bottom inlet shower valve Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/00/NW-B97300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_B8265_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,
