,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Weight,Attachment 5,Connection Type,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Application,Capacity Litre
10,P157784,Grundfos MULTI-E 3 Hydro Multi-E 3 Crie 5-4,Grundfos,14616.0,"The Grundfos Hydro Multi-E 3 CRIE 5-4 booster system transfers and pressure boosts clean water in a range of settings, from waterworks to hotels, hospitals and schools. It is made up of 2 to 3 CME pumps coupled in parallel and mounted on a common base frame made of DIN W.-Nr. 1.4301 stainless steel. The suction side incorporates a DIN W.-Nr. 1.4401 or DIN W.-Nr. 1.4571 suction manifold, pressure switch mounted on a drainable valve and an isolating valve while the discharge side has a non-return valve, isolating valve, pressure gauge, two pressure transmitters on a drainable valve, a diaphragm tank and a stainless steel discharge manifold per DIN W.-Nr. 1.4401 or DIN W.-Nr. 1.4571. Maintaining a constant pressure regardless of flow fluctuation, this system has an internal PI-controller to regulate the number of running pumps and their speed of the pumps according to the required flow.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos MULTI-E 3 Hydro Multi-E 3 Crie 5-4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/84/NW-157784_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_Hydro_Multi_E_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P157811,Grundfos Hydro Multi-E 3 Crie 10-3,Grundfos,19894.0,The Grundfos Hydro Multi-E 3 CRIE 10-3 booster set comprises CRIE pumps coupled in parallel. These are mounted on a common base complete with all required fittings.,Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro Multi-E 3 Crie 10-3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/11/157811_wm.jpg,,,,,Black/Stainless Steel,,,380-415,,3,N,2.2 kW,1233,50/60,10 bar,DIN2642,98486778,Hydro Booster System,N,Energy efficient,For clean water use,Black/stainless steel finish,10 bar pressure rating,,,,,,,,,,,,,,,,,,
12,P157810,Grundfos Hydro Multi-E 3 CRIE 5-9 hyrdo multi-e 3 CRIE5-9 U2 A-A-A-A,Grundfos,19825.0,"The energy efficient three-phase Grundfos Hydro Multi-E booster pump set is designed for the pressure boosting clean water. Designed with two to four parallel connected frequency controlled pumps, this 16 bar pressure rated unit is supplied with an advanced integrated controller and all fittings required for installation.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro Multi-E 3 CRIE 5-9 hyrdo multi-e 3 CRIE5-9 U2 A-A-A-A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/10/NW-157810_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Hydro_Multi-E_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Hydro_Multi-E_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PS25128,Dab Pumps KVC AD 35/120 twin pump variable speed booster,Dab Pumps,5003.05,"This Dab Pumps 2 KVC AD 1.1kW 230V single phase, variable speed pressurisation set incorporates two vertical multistage centrifugal pumps designed to suit domestic and small civil or industrial systems. Featuring Active Driver Plus inverters, these pumps are capable of automatically adapting to a variety of system requirements, meeting any need for constant pressure as seen in water pipelines, irrigation, spas, hotels and residential buildings. While the set's inverter provides constant control of the electric pump's rotation speed for constant pressure regardless of flow rate fluctuations,  the other electric pumps, also with variable speed, are activated in a cascade after the first has reached maximum speed. Restart can be switched to a different pump each time, ensuring even use, with set operation times for each individual pump.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Dab Pumps KVC AD 35/120 twin pump variable speed booster,,Booster set;Installation/maintenance manual,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/30/NW-S25128_S25130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dab_Pumps_123KVC_AD_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P105028,Grundfos Hydro Multi-E pressure booster system,Grundfos,27877.0,"An innovative design suitable for industrial and building services, the Grundfos Hydro Multi-E pressure booster system is tested and ready to install. Comprising CRE/CRIE vertical multi-stage pumps or CME horizontal multi-stage pumps connected in parallel and mounted on a common base, Multi-E systems allow for easy set point adjustment via the control panel while advanced control ensures other adjustments are made in order to maintain constant pressure.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro Multi-E pressure booster system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/28/105028_wm.jpg,,,,,Black/Stainless Steel,,Hydro Multi-E,380-415,,3,N,4 kW,1233,50/60,10 bar,DIN2642,99133207,Hydro Booster System,N,Integral easy to use controls with large display,Energy-optimised control,2-3 pumps in cascade,Easy installation,Plug and pump solution no extra programming or cabling required,Data communication,Perfect constant pressure,Reduced noise level,Space-saving installation - no need for control cabinets,Compatible with Grundfos GO remote control,WRAS approved product,Multi master control system,No single point of failure,,,,,,,,,
15,P179812,Grundfos Hydro Multi-E 2 CRIE5-5 U8 A-A-A-A,Grundfos,12034.0,The Grundfos Hydro Multi-E 2 CRIE 5-5  U8 booster set comprises CRIE pumps coupled in parallel. These are mounted on a common base complete with all required fittings.,Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro Multi-E 2 CRIE5-5 U8 A-A-A-A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/12/179812_wm.jpg,,,,,Black/Stainless Steel,,Hydro,200-240,,1,N,15 kW,1020,50/60,10 bar,DIN ISO 7/1,98584969,Hydro Booster System,N,Energy efficient,For clean water use,Black/stainless steel finish,10 bar pressure rating,,,,,,,,,,1.41 kg,,,,,,,,
16,P157807,Grundfos MULTI-E 2 Hydro Multi-E 2 Crie 10-3,Grundfos,14721.0,"The Grundfos Hydro Multi-E 2 CME 5-6 booster system transfers and pressure boosts clean water in a range of settings, from waterworks to hotels, hospitals and schools. It is made up of 2 to 3 CME pumps coupled in parallel and mounted on a common base frame made of DIN W.-Nr. 1.4301 stainless steel. The suction side incorporates a DIN W.-Nr. 1.4401 or DIN W.-Nr. 1.4571 suction manifold, pressure switch mounted on a drainable valve and an isolating valve while the discharge side has a non-return valve, isolating valve, pressure gauge, two pressure transmitters on a drainable valve, a diaphragm tank and a stainless steel discharge manifold per DIN W.-Nr. 1.4401 or DIN W.-Nr. 1.4571. Maintaining a constant pressure regardless of flow fluctuation, this system has an internal PI-controller to regulate the number of running pumps and their speed of the pumps according to the required flow.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos MULTI-E 2 Hydro Multi-E 2 Crie 10-3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/07/NW-157807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_Hydro_Multi_E_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P149327,Grundfos home booster spare water tank,Grundfos,2232.0,This Grundfos 200L slave tank is for use in conjunction with home booster sets for those applications requiring additional water supply.,Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos home booster spare water tank,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/27/NW-149327_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Home_Booster_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PD64946,Stuart Turner Mainsboost Charger wall mount charger water bossting pump,Stuart Turner,1234.2,"Providing the ideal solution where mains pressure is less than 2.0 bar, this Stuart Turner Mainsboost 12-22 WM wall-mounted charger pump with MBC 12 and bypass kit will boost pressure by 3.5 bar when fitted in conjunction with Mainsboost steel or composite vessels. Suitable for installation remote from the Mainsboost vessel with no loss of performance, Mainsboost Charger pumps are supplied in a noise-reducing enclosure, making fitting flexible.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost Charger wall mount charger water bossting pump,,Boost system;Bypass kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/47/NW-D64946_D64947_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/Stuart_Turner_MBC_12_Dimension.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Stuart_Turner_MBC_12_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stuart_Turner_MBC_12_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fo/rm/Stuart_Turner_Mainsboost_Survey_Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P106149,Grundfos booster pump,Grundfos,43437.0,"A compact assembly, the Grundfos Hydro MPC-E 4 CRIE 10-9 U2 booster set is supplied to DIN standard 1988/T5.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/49/106149_wm.jpg,,,,,Black/Stainless Steel,48.4 m³/h,,380-415,,3,N,5.5 kW,1040,50/60,16 bar,N/A,99208312,Hydro Booster System,N,With frequency controlled pumps,Black and stainless steel finish,16 bar pressure rating,,,,,,,,,,,,,,,,,,,
20,P105193,Grundfos Hydro MPC-E 3 3-pump booster system,Grundfos,51810.0,"Supplied as a compact assembly per DIN standard 1988/T5, this Grundfos Hydro MPC-E CRIE20-6 three phase pressure booster system incorporates speed-controlled CRIE pumps with high efficiency electronically commutated permanent-magnet motors. The pumps are equipped with a service-friendly cartridge shaft seal, HQQE (SiC/SiC/EPDM).",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 3 3-pump booster system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/93/NW-105193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Hydro_MPC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Hydro_MPC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P144983,Grundfos UPA single tap/appliance home booster pump,Grundfos,961.0,"Ideal for domestic use, the Grundfos UPA 15-90 N is a high efficiency inline boosting pump, designed to increase water pressure from an external source to required levels at showers, taps and other points. UPA 15-90 N ensures constant water pressure thanks to an automatic start and stop controlled by an integrated flow switch. This robust pump is made using corrosion-free materials and has a stainless steel pump housing for a long life, while the canned rotor pump, for horizontal installation, has no shaft seal, reducing maintenance requirements.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos UPA single tap/appliance home booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/83/NW-144983_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPA_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UPA_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
