,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Range,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Thickness,Warranty,Frame Colour,Waste Kit Included,Feature 11
38,PN57622,Multipanel Linda Barker bathroom wall panel hydrolock tongue and groove 2400 x 900mm Calacatta Marble,Multipanel,195.86,"With no need to grout or paint, this 900mm Multipanel Linda Barker wall panel is a convenient alternative to tiling. Made with a water-resistant hardwood plywood core, this panel is finished with a high pressure decorative laminate on its front, with a plain balancing laminate to the rear. This panel is finished in Calacatta Marble, an affordable and realistic looking alternative to the real thing.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Linda Barker bathroom wall panel hydrolock tongue and groove 2400 x 900mm Calacatta Marble,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/23/NW-N57618_N57623_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Multipanel_NeutralsCllctn_Brcr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,
39,PN40723,Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 1200mm Riven Slate,Multipanel,157.79,"An easy, grout-free alternative to paint or tiling, this 1200mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel has been finished in Riven Slate, a highly textured realistic dark slate surface.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 1200mm Riven Slate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/23/NW-N40723_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,,,,,,,,,,,,,,,,,,,,,,,
40,PN57519,Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 1200mm Stardust,Multipanel,172.95,"An easy, grout-free alternative to paint or tiling, this 1200mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel is finished in eye catching, light reflective Stardust, a modern black gloss.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 1200mm Stardust,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/21/NW-N57516_N57521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
41,PN86329,Perform Panel Beige Eiger Sqaure Cut Plywood Core Panel 2400mm x 1200mm x 11mm,Perform Panel,146.89,"A fast, clean, stylish alternative to tiling, Perform Panel 2400 x 1200mm square cut shower wall panels require minimal installation effort and offer a reliable waterproof finish. Manufactured in 11mm thick plywood, these smart, modern panels are finished in Beige Eiger a contemporary grey with textural depth.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Perform Panel Beige Eiger Sqaure Cut Plywood Core Panel 2400mm x 1200mm x 11mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/29/N86329_wm.jpg,,,,,,,Beige Eiger,,N,11,PLY,1200SEBEIGEEIGER,Shower Panel,N,Waterproof design,Ply construction,For installation 5x quicker than tiles,Beige Eiger finish,,,,,,,,,,,
42,PN57517,MULTIPANEL CLS U/L 900 STARDUST,Multipanel,159.45,"An easy, grout-free alternative to paint or tiling, this 900mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel is finished in eye catching, light reflective Stardust, a modern black gloss.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> MULTIPANEL CLS U/L 900 STARDUST,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/21/NW-N57516_N57521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,,,,,,,,,,,,,,,,,,,,,,,
43,PN65947,Multipanel bathroom wall panel 2400 x 598mm Sage Green,Multipanel,109.89,"Quick and easy to install, Multipanel Pure Hydrolock 2400 x 1200mm shower panels are manufactured in a sustainable MDF with a waterproof laminate finish. A practical, cost-effective alternative to tiling with a smart Hydrolock tongue and groove jointing system, these panels are finished in welcoming Herringbone Sage Green for a trend-led look without the hassle and mess of tiling.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel bathroom wall panel 2400 x 598mm Sage Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/47/N65947_wm.jpg,,,,,,,Green,,N,11,Exterior Grade MDF and Laminate,MT638HT7228,Bathroom Wall Panel,N,Sage Green finish,Exterior grade MDF and laminate construction,100% recyclable,Made in Britain,No grout required,Quick and easy to install,Easy cleaning and maintenance,Discreet watertight Hydrolock joint,Unlipped version also available,Manufactured using FSC C128180 certified materials,,,,,
44,PN86549,Perform Panel n/lock ply 7228 2400 x 1200 x 11 Grey Bonito,Perform Panel,177.94,"A simple tongue and groove design, this Nu-Style 2400 x 1200mm ply shower wall panel provides ease of installation for a faster transformation compared to tile. These waterproof panels are finished in elegant Grey Bonito, a stylish choice for a modern bathroom.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Perform Panel n/lock ply 7228 2400 x 1200 x 11 Grey Bonito,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/N86549_wm.jpg,,,,,,,Grey Bonito,,N,11,LAMINATE AND PLYWOOD,NL1200PLYGREYBON,SHOWER PANELS,N,Grey Bonito finish,Nu-lock tongue and groove design,Laminate and plywood construction,Waterproof,"Quick, easy installation",,,,,,,,,,
45,PD29022,Ionic Essence hinge and inline side panel 800mm,Ionic,366.69,The Ionic Essence 800mm shower side panel is suitable for use with doors in the Merlyn Ionic hinge and inline range. It is manufactured from 8mm toughened glass and treated with Mershield Stayclear for easy cleaning.,Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Ionic Essence hinge and inline side panel 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/23/UP-D29022_D29023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_Essence_A0111_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Shower_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_Essence_A0111_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PE61103,Mermaid Timeless Trade ply wood square panel 2420 x 900mm Blue Eiger,Mermaid,167.84,"A simple, hardwearing and attractive choice for a luxe bathroom, this Mermaid Timeless Trade 2420 x 900mm square panel in blue eiger is made of robust, long-lasting plywood for a seamless finish with no need for messy and time consuming grouting. Reliably watertight, this panel's cloudy blue-grey finish is a serene choice for a clean, crisp bathroom.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Mermaid Timeless Trade ply wood square panel 2420 x 900mm Blue Eiger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/03/NW-E61103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mermaid_Timeless_Trade_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PD65119,Coram GB5 side panel 800 x 1800mm Glass/Chrome Finish,Coram,133.3,"With a reduced 1800mm height, this 800mm Coram GB5 shower side panel is ideal for small bathrooms and en suites. Semi-frameless, this classically designed panel is compatible with any doors to create a bespoke corner enclosure.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Coram GB5 side panel 800 x 1800mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/19/UP-D65119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_GB5_ESpacer_Pack_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_GB5_Side_Panel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PN86440,Perform Panel 7183 ply SE panel 2400 x 1200 x 11 Black Bonito,Perform Panel,146.89,"Making finishing a bathroom install quick and easy, this Nu-Style SE 2400 x 1200mm Perform Panel is a hassle-free, mess-free alternative to tiling with the option to cut to size to suit your project. Completely waterproof, these panels are maintenance-free and easy to clean, with no need for re-grouting. Finished in Black Bonito, these plywood laminate panels are ideal for contemporary dark bathroom schemes.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Perform Panel 7183 ply SE panel 2400 x 1200 x 11 Black Bonito,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/40/N86440_wm.jpg,,,,,,,Black,Bonito,N,11,"Plywood, Laminate, Balancer",SE1200PLYBLACKBON,SHOWER PANELS,N,Plywood and laminate construction,Black Bonito finish,,,,,,,,,,,,,
49,PD56182,Merlyn IQ 760 Side panel,Merlyn,214.87,"Offering fast, straightforward installation, the Merlyn IQ 1900 x 760mm side panel has a unique patent pending, easy-fit mechanism suitable for stress-free, one-person installation.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Merlyn IQ 760 Side panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/84/NW-D56182_D56184_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_IQ_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_IQ_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PN86340,Perform Panel Black Frost Sqaure Cut Plywood Core Panel 2400mm x 1200mm x 11mm,Perform Panel,146.89,"A fast, clean, stylish alternative to tiling, Perform Panel 2400 x 1200mm square cut shower wall panels require minimal installation effort and offer a reliable waterproof finish. Manufactured in 11mm thick plywood, these smart, modern panels are finished in Black Frost, a moody statement shade.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Perform Panel Black Frost Sqaure Cut Plywood Core Panel 2400mm x 1200mm x 11mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/40/N86340_wm.jpg,,,,,,,White Frost,,N,11,PLY,1200SEWHITEFROST,Shower Panel,N,Waterproof design,Ply construction,For installation 5x quicker than tiles,White Frost finish,,,,,,,,,,,
51,PN55897,Multipanel Classic bathroom wall panel unlipped 2400 x 1200mm Cappuccino Stone,Multipanel,144.28,"An easy, grout-free alternative to paint or tiling, this 1200mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel is finished in Cappuccino Stone, a multi-tonal glossy stone effect that pairs perfectly with both cool and earthy tones such as Pebble Grey or Clay from the Neutrals Collection.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Classic bathroom wall panel unlipped 2400 x 1200mm Cappuccino Stone,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/02/NW-N55897_N55902_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
52,PN86563,Perform Panel n/l ply 7256 2400 x 1200 x 11 Toffee Marble,Perform Panel,177.94,"A simple tongue and groove design, this Nu-Style 2400 x 1200mm ply shower wall panel provides ease of installation for a faster transformation compared to tile. These waterproof panels are finished in elegant Toffee Marble, a warm choice for a modern spa-style bathroom.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Perform Panel n/l ply 7256 2400 x 1200 x 11 Toffee Marble,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/63/N86563_wm.jpg,,,,,,,Toffee Marble,,N,11,LAMINATE AND PLYWOOD,NLPLYTOFFEEMARB,SHOWER PANELS,N,Toffee Marble finish,Nu-lock tongue and groove design,Laminate and plywood construction,Waterproof,"Quick, easy installation",,,,,,,,,,
53,PD05987,Mira Elevate side panel 900mm,Mira,165.55,"The simple Mira Elevate 900mm side panel is designed for installation with a pivot, bi-fold or sliding door to create a bespoke corner shower enclosure. Easy to install, this 6mm glass panel includes 25mm adjustment for to account for less than true walls and pre-drilled wall channels.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Mira Elevate side panel 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/87/UP-D05985_D05987_wm.jpg,,,,,,,Clear,Elevate,N,N/A,Glass,2.1814.018,Side Panel,N,6mm toughened safety glass,Magnetic closing at top and bottom of door,Watertight seal,25mm adjustment for uneven walls,Pre-drilled wall channels,10 year guarantee,,,,,6mm,10 Years,Chrome,,
54,PN36709,Multipanel Classic internal corner profile type A Satin Silver,Multipanel,14.08,"Finish edges or join corner panels neatly with this Multipanel Classic type A 2450mm internal corner profile in satin anodised silver. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Classic internal corner profile type A Satin Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/09/N36709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
55,PE61141,Mermaid Timeless Trade ply wood tunnel and groove panel 2420 x 1185mm Natural Pearl,Mermaid,182.45,"Easy to install, with no need for grouting, this Mermaid Timeless Trade 2420 x 1185mm tongue and groove panel is a great finishing touch for any bathroom. Built in plywood, Timeless Trade panelling is easy to maintain and offers a long-lasting alternative to tiling. Finished in natural pearl, this panel's luxurious pearlescent layers bring understated glamour and warmth to a spa-style bathroom.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Mermaid Timeless Trade ply wood tunnel and groove panel 2420 x 1185mm Natural Pearl,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/41/NW-E61140_E61141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mermaid_Timeless_Trade_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PN00849,Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 1200mm Frost White,Multipanel,157.79,"An easy, grout-free alternative to paint or tiling, this 1200mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel has a Frost White finish, a cool, bright gloss for a clean look.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 1200mm Frost White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/49/NW-N00849_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,,,,,,,,,,,,,,,,,,,,,,,
57,PN57508,Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 900mm Marfil Cream,Multipanel,172.95,"An easy, grout-free alternative to paint or tiling, this 900mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel has a stone effect Marfil Cream finish, a textured surface with a neutral look.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Classic bathroom wall panel hydrolock tongue and groove 2400 x 900mm Marfil Cream,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/09/NW-N57504_N57509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
58,PN65896,Multipanel Pure Panel Alpine White Hydro-Lock 2400mm x 1200mm,Multipanel,177.6,"Multipanel Pure Hydrolock 2400 x 1200mm shower wall panels are an effortless, stylish alternative to tiling with no need for grout and no time consuming spacing and fitting to deal with. Manufactured with an exterior grade FSC certified MDF core and Hydrolock tongue-and-groove edges, these panels aren't just simple to install, they're reliably waterproof and eco-friendly too. The Alpine White finish is a simple, clean choice that will suit almost any bathroom.",Showering/Shower Doors and Enclosures/Shower Panels/Shower Panels.csv -> Multipanel Pure Panel Alpine White Hydro-Lock 2400mm x 1200mm,,Wall Panel,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/96/N65896_wm.jpg,,,,,,,White,,N,11,Exterior grade MDF,MP1100SHRHLTG17,Bathroom Wall Panel,N,Exterior grade MDF construction,Alpine White finish,Ideal for installation with Multipanel profiles,Real stone slab look,100% waterproof design,100% recyclable at end of life,With watertight Hydrolock joint,Made in Britain,FSC and PEFC certified,,,,,,
