,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Resistance Features,Standards,Pack Quantity,Feature 7,Feature 8,Feature 9,Warranty,Cut Resistance Rating,Tear Resistance Rating,Puncture Resistance Rating,Coating Material,Lining Material,Application,Feature 10,Feature 11,Feature 12,Pack Type,Attachment 3,Attachment 4,Physical State / Form
10,P617193,DTS defend HD nitrile gloves Large Black 100,DTS,7.84,"A 6g glove ideal for use in automotive, plumbing, timber merchant and oil and gas applications, the DTS Defend heavy duty nitrile glove has textured fingers for good grip. Heavier than the industry standard, the Defend HD glove provides excellent protection from chemicals and cutting risks while also providing the potential for longer lasting wear.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> DTS defend HD nitrile gloves Large Black 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/617190_617194_wm.jpg,,,Black,,N,Heavy Duty Black Nitrile,Large,ZHPFN-0460L,,N,Box of 100,Large size,Black colour,Nitrile manufacture,Suitable for utility applications,Chemical protection,,,EN374 - Personal Protection Conformity;EN455 - Medical Conformity;EN1186 - Food Migration,,Meets EN 374-1 Type B KPT,Meets EN 455 for medical conformity,Meets En 1186 for food migration,,,,,,,,,,,,,,
11,PBE6827,Beeswift BFlex nitrile / PU coated glove XL,Beeswift,4.0,"This pair of Beeswift Bflex X-large unisex black/grey gloves is made of nitrile with a PU mixed coating. Offering long lasting quality, these premium work gloves are breathable for comfortable wear even over long periods.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift BFlex nitrile / PU coated glove XL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/27/NW-BE6827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Beeswift_BFlex_Gloves_User_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_BFlex_Gloves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PBE6818,Beeswift Click 2000 house hold gloves heavy grade large Black,Beeswift,1.63,"Manufactured from a neoprene blended natural latex, these black Beeswift Click 2000 heavyweight unisex large household rubber gloves have cotton flock lining for comfort. Highly durable, these gloves offer excellent grip and protection from heat and cold as well as from mechanical, chemical and cutting hazards.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift Click 2000 house hold gloves heavy grade large Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/18/NW-BE6818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_Click_2000_Gloves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beeswift_Click_2000_User_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PBE4341,Beeswift BSafe BS023 disposable over shoe (30),Beeswift,2.98,"Designed to protect floors and carpets during decorating jobs, these Beeswift BSafe BS023 blue overshoes are supplied in a handy pack of 30. Tear-resistant and waterproof, these disposable overshoes are elasticated for good grip over shoes and have textured anti-slip bottoms for safety.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift BSafe BS023 disposable over shoe (30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/41/NW-BE4341_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Beeswift_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BE4341_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PBE8048,Scruffs Trade Flex Softshell M Black,Scruffs,36.34,"Helping you to look good and stay comfortable on the job, this Scruffs Trade Flex soft shell jacket in black, size M, is made of a water-resistant fabric with a breathable mesh lining. Zipped pockets keep your personal belongings, including tools and stationary, safe while you work while abrasion-resistant sleeve panels ensure durability.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex Softshell M Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/50/NW-BE8048_BE8050_wm.jpg,,,Black,Trade Flex,N,PolyesterElastane,Medium,T55122,Softshell Jacket,N,Water resistant fabric,Four-way flex for ease of movement,Breathable mesh lining,Abratect abrasion-resistant sleeve panels,High fleece-lined collar for warmth and protection,With 3x outer zipped pockets and internal phone pocket,,,,,"92% polyester, 8% elastane",,,,,,,,,,,,,,,,
15,P620653,Arctic Hayes Gripster nitrile gloves Large,Arctic Hayes,7.46,"Protecting from chemicals, oils and dirt, Arctic Hayes nitrile gloves are latex and powder-free to minimise the risk of allergies. Ideal for plumbing, automotive, and numerous other applications, these highly resistant, extra-strong gloves have a unique inside-out grip pattern for reliable purchase in wet and dry conditions.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Arctic Hayes Gripster nitrile gloves Large,,50 Gloves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/53/620653_wm.jpg,,,Black,Gripster,N,Nitrile,Large,GRIP50BKL,,N,Large size,Black colour,Nitrile construction with PU coating,Patented fish scale pattern for wet and dry grip,Inside and outside grip,Extra strong 6mil and 1mil at grip,,,EN ISO 374-1:2016EN 420:2003+A1:2009,,Resistant to chemicals,Latex-free,Comfort stretch maximises dexterity,5 Year Shelf Life,Level 0,Level 0,Level 0,PU-Coating,Powder Free Nitrile,"To protect Hands from dirts, oils, chemicals etc",Meets EN ISO 374-1:2016,Meets EN420:2003+A1:2009,5 year shelf life,,,,
16,PBE8041,Scruffs Flexible Knee Pads,Scruffs,5.98,"Made of protective EVA foam, these Scruffs Workwear flexible knee pads help to make working in challenging situations more comfortable while protecting the delicate knee joints.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Flexible Knee Pads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/NW-BE8041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/BE8041_EU_Declaration_of_Conformity.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P617192,DTS Defend - Nitrile Heavy Duty 6g - Black Gloves - Box of 100,DTS,7.57,"DTS Defend heavy duty nitrile gloves are 6g gloves ideal for automotive, gas, plumbing, timber merchant and utility applications. Supplied in a handy 100 piece box, these finger-textured gloves are manufactured in tough nitrile that is substantially heavier than the industry standard for excellent protection from chemicals, cuts and other hazards, supporting longer lasting use.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> DTS Defend - Nitrile Heavy Duty 6g - Black Gloves - Box of 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/92/617192_wm.jpg,,,Black,,N,Heavy Duty Black Nitrile,XS to XL,ZHPFN-0460M,,N,Box of 100,6g heavy duty weight,Black colour,Nitrile construction,Meets EN374-1 Type B KPT,Meets EN455 medical,,,EN374 - Personal Protection Conformity;EN455 - Medical Conformity;EN1186 - Food Migration,,Meets EN1186 food migration,,,,,,,,,,,,,,,,
18,PBE6814,Beeswift Click 2000 house hold gloves medium grade large Blue,Beeswift,0.77,"Manufactured from natural rubber latex, these blue Beeswift Click 2000 medium weight unisex large household rubber gloves have cotton flock lining for comfort. Highly durable, these gloves offer excellent grip and protection from heat and cold as well as from mechanical, chemical and cutting hazards.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift Click 2000 house hold gloves medium grade large Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/15/NW-BE6814_BE6815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Beeswift_Click_2000_Gloves_User_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Beeswift_Click_2000_Blue_Gloves_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PBE6815,Beeswift Click 2000 house hold gloves medium grade xlarge Blue,Beeswift,0.77,"Manufactured from natural rubber latex, these blue Beeswift Click 2000 medium weight unisex X-large household rubber gloves have cotton flock lining for comfort. Highly durable, these gloves offer excellent grip and protection from heat and cold as well as from mechanical, chemical and cutting hazards.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift Click 2000 house hold gloves medium grade xlarge Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/15/NW-BE6814_BE6815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Beeswift_Click_2000_Gloves_User_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Beeswift_Click_2000_Blue_Gloves_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PBE8075,"Scruffs Trade Flex shorts 38"" Slate",Scruffs,26.37,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 38"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex shorts 38"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/13/T52813_wm.jpg,,,Slate,Trade Flex,N,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",3/8,T52813,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability,Mens,Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,,,,,,,,,,,,,,,,,,,
21,PBF0109,Scruffs halo 3 size 12 Navy,Scruffs,53.42,"A casual design with added safety, this Scruffs Halo safety trainers in size 12 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs halo 3 size 12 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PN00269,Rodo Blackrock BRKP Internal knee pads (10),Rodo,7.72,"Supplying ergonomic protection and improving comfort, these Rodo Blackrock internal knee pads are a must for those who regularly work on the floor. Fitting the internal pockets of all Blackrock trousers, these knee pads can be cut to size and are suitable for cleaning in your everyday machine wash.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Rodo Blackrock BRKP Internal knee pads (10),,10x internal knee pad,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/br/kp/BRKP_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Rodo_Blackrock_InternalKneePad_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N00269_Rodo_Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PBE6823,Beeswift cotton washable mask,Beeswift,4.49,"A level 3 trade community mask made of white cotton, this Beeswift Click Medical adult facemask is tested for compliance with the technical requirements of breathability and bacterial filtration efficiency specified for Covid-19 community protection.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift cotton washable mask,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/23/NW-BE6823_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BE6823_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oe/Beeswift_Click_Medical_L3_Mask_DOE.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PBE8074,"Scruffs Trade Flex shorts 36"" Slate",Scruffs,24.99,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 36"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex shorts 36"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/12/T52812_wm.jpg,,,Slate,Trade Flex,N,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",36,T52812,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability,Mens,Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,,,,,,,,,,,,,,,,,,,
25,PBE7947,Scruffs winter essentials pack Black,Scruffs,10.79,"A perfect gift for someone who often works outside, this Scruffs winter essentials pack contains a soft-touch fleece beanie hat, neck warmer and gloves. These lightweight winter accessories make working in tough winter conditions more bearable, helping to keep hands and heads protected from wind and chilly air.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs winter essentials pack Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/47/NW-BE7947_wm.jpg,,,Black,,N,,,T54874,Winter Essentials Pack,N,"Made from warm, lightweight fleece",Suitable for industrial or commercial use,Machine washable,Ideal gift pack,One size fits all,,,,,,,,,,,,,,,IndustrialCommercial,,,,Box,,,
26,PBF0105,Scruffs halo 3 size 8 Navy,Scruffs,53.42,"A casual design with added safety, this Scruffs Halo safety trainers in size 8 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs halo 3 size 8 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PBE8038,Scruffs socks size 7-9.5 (Pack of 3),Scruffs,6.85,"Comfortable and smart, these Scruffs Workwear size 7 - 9.5 work socks, supplied in a pack of three pairs, are made to last, no matter how hard you work. Made with 66% cotton, these socks also include elastane for flexibility.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs socks size 7-9.5 (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/38/NW-BE8038_wm.jpg,,,Black,,N,"66% cotton, 21% polyester, 7% polypropylene, 3% elastodiene, 2% nylon, 1% elastane",7-9.5 / 41-43,T53545,Socks,N,This pair of socks won’t let you down,"The reinforced heel and toe prevent holes and tears, even after frequent wear and washing",The cushioned lining adds warmth and comfort.,,,,,,,pack of 3,,,,,,,,,,,,,,,,,
