,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Hazardous,Operator Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Connection Type,Range,Feature 3,Feature 4,Colour,Material Type,Warranty,Material,Size,Operating Temperature,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Seat Material,Pack Quantity,Feature 5,Single / Double,Thread Size,Standards,Diameter
17,PK72690,Keraflo Aylesbury KB type float valve 32mm,Keraflo,983.0,"This Keraflo Aylesbury KB-type fully variable float valve with 32mm connection is designed especially for use in commercial water systems, providing accurate and efficient control over the level of stored cold water in tanks with or without raised float valve chambers. This precision engineered patented float valve is built to last, operating for long periods of time without maintenance.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Keraflo Aylesbury KB type float valve 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/93/NW-K72688_K72693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Spares_Kit_Quick_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Keraflo_Specification_Catalogue.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Keraflo_Aylesbury_KB_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Keraflo_Aylesbury_ValveSales_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Specification_Wording_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Product_Range_Guide.pdf,,,,,,,
18,PD39081,Center WRAS Approved isolating valve 15 mm Chrome Plated (pack of 10),Center,8.15,This durable Tradefix isolating valve with 15mm compression connection and chrome finish is tough and hardwearing for everyday plumbing and heating maintenance as well as efficiency and safety.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center WRAS Approved isolating valve 15 mm Chrome Plated (pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/81/NW-D39081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Westco_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P414128,"Center CB pump ball valve 22mm x 1.1/2"" Brass",Center CB,7.04,"This Center CB 22mm x 1 1/2"" ball valve offers threaded connections and screwdriver operation.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB pump ball valve 22mm x 1.1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/28/NW-414128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/414128_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414128_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P414077,Midland Brass lockshield gate valve WRAS 22mm,Midland Brass,10.88,"This Midland Brass 22mm gate valve is designed for spanner operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass lockshield gate valve WRAS 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/77/NW-414077_wm.jpg,,,22 mm,N,Lockshield,MBFGVLSNB-22,Gate Valve,N,Brass construction,12 month warranty,Copper,,,,,,,,,,,,,,Brass,,,,,,
21,P414071,Center CB copper x copper compression wheel head gate valve 22mm Brass (1),Center CB,7.0,"This Center CB 22mm gate valve offers compression connections and wheelhead operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB copper x copper compression wheel head gate valve 22mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/72/NW-414070_414072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414070_414071_414072_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P250473,Midland Brass full bore isolating valve 22mm,Midland Brass,11.59,This Midland Brass full bore isolating valve is made of brass with a 22mm threaded connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass full bore isolating valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/73/NW-250473_wm.jpg,,,22 mm,N,Slotted,MBFIVHP-22,Full Bore Isolating Valve,N,Brass construction,1 year warranty,Threaded,,,,Metal/s,Brass,1 year,Brass,22 mm,,,,,,,,,,,,
23,P171028,"Masefield Beta equilibrium ball valve (bsp) 1.1/4"" Gun Metal (5)",Masefield,372.96,"This lever-operated Masefield Beta 1 1/4"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 1.1/4"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P414076,Midland Brass lockshield gate valve WRAS 15mm,Midland Brass,7.35,"This Midland Brass 15mm gate valve is designed for spanner operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass lockshield gate valve WRAS 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/76/NW-414076_wm.jpg,,,15mm,N,Lockshield,MBFGVLSNB-15,Gate Valve,N,Brass construction,12 month warranty,Copper,,,,,,,,,,,,,,Brass,,,,,,
25,P250278,"Tradefix high pressure float valve (part2) 1/2"" (50)",Tradefix,9.02,"Made of brass, this Tradefix float valve has a 8 3/4"" arm, 1/2"" threaded connection, 3 1/2"" drop and a 1 1/4"" tail/","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Tradefix high pressure float valve (part2) 1/2"" (50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/78/NW-250278_wm.jpg,,,1/2 inch,N,Float,PBRINL366861,Float Valve,N,Brass construction,12 month warranty,Threaded,,,,Metal/s,,,,12,,,,,,,50,,,,,
26,P171027,"Masefield Beta equilibrium ball valve (bsp) 1"" Gun Metal",Masefield,255.34,"This lever-operated Masefield Beta 1"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 1"" Gun Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PK74203,Rubinetterie 24 spring check valve (BSP) 15mm Brass,Rubinetterie,7.82,"Designed to make sure that liquid or gas flows in just one direction, this 24 spring single check valve with 15mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 40 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Rubinetterie 24 spring check valve (BSP) 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PK74477,JET Range 38 swing check valve (BSP) PN20 20mm Bronze,JET Range,97.09,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 20mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 38 swing check valve (BSP) PN20 20mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P250457,Midbrass HP angle service valve 15mm x 1/2in Nickel Plated,Midbrass,2.84,"Suitable for use in hot or cold water, this Midland Brass angled service valve offers 15mm x 1/2"" connections and a nickel finish.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midbrass HP angle service valve 15mm x 1/2in Nickel Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/57/NW-250457_wm.jpg,,,15 mm x 1/2 inch,N,Slotted,MBFSVB-15W,Angle Service Valve,N,CW617N brass material,Maximum working temperature 85°C,,HP,Manufactured to BS 6675,WRAS approved,,,,,,85,,,,,,,1 year warranty,,,,
30,PK74235,JET Range DZR DZR copper x copper double check valve 28mm,JET Range,35.27,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 28mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range DZR DZR copper x copper double check valve 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
