,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Capacity Litre,Feature 9,Feature 10,Feature 11,Pack Quantity,Attachment 6,Refrigerant Suitability,Feature 12
10,P131046,Joule HZK0C0000020 concentrate heat pump fluid 20ltr,Joule,81.6,"This Glycol-based product with organic corrosion inhibitors is designed to protect against freezing, corrosion, scale and bacteria build-up for heat pump installations. Not recommended for use when anti-freeze valves are being installed.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Joule HZK0C0000020 concentrate heat pump fluid 20ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/131046_wm.jpg,,,,20 kg,N,,,450,,,HZK0C0000020,ASHP Parts and Accessories,N,"Corrosion, Scaling & Bacteriological Protection",Biodegradable,pH Stable,Exempt from Potentially Harmful Additives,,,,,,,,,,,,,,,,,
11,P619030,Mitsubishi ECODAN PAC-FS01-E flow sensor assembly FTC6,Mitsubishi,106.45,"This Mitsubishi Ecodan PAC-FS01E FTC6 flow sensor assembly is an accessory suitable for use with the Ecodan range of air source heat pumps. Accessories of this type may help to provide complete system protection, minimise operational noise or provide improved control.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Mitsubishi ECODAN PAC-FS01-E flow sensor assembly FTC6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/21/605735_613825_619029_619030_613821_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,
12,P131048,Joule HZK0K000000 anti vibration fix IT foot HP kit,Joule,52.68,"This Joule anti-vibration fix-it foot kit provides a solution for mounting outdoor Samsung heat pumps. The feet have bonded channel, which is recessed into the top face allowing use of standard channel fixings to secure the heat pump to the feet.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Joule HZK0K000000 anti vibration fix IT foot HP kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/48/131048_wm.jpg,,,,13kg,N,,,200,,,HZK0K000000,,N,Rubber Construction,Max. Load 645kg,For use on Samsung Air-Source Heat Pumps,Pack of 2,,,,,,,,,,,,,,,,,
13,P635930,Grant Aerona HPID10R32 R32 smart control kit,Grant,627.48,"A clever solution for heat pump control, the Grant Aerona HPID10R32 smart controller kit puts advanced controller technology inside a stylish, easy to operate display unit. Compatible with any Aerona³ air source heat pump, this smart controller can be used to set heating schedules, domestic hot water timings and to adjust room temperatures via a single intuitive fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Grant Aerona HPID10R32 R32 smart control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/30/635930_wm.jpg,Aerona,N/A,1 year minimum (Subject to T&C's),7.3 kg,N,,,254,N/A,,HPIDR32SMART10,ASHP Smart Controls,N,Modern design,Compatible with all Aerona³ ASHPs,Easy to navigate interface,"1 year warranty minimum, subject to T&Cs",,,,,,,,,,,,,,,,,
14,P612247,Inaba Denko ASHP External Corner Trunking 140mm Black,Inaba Denko,34.45,"Providing a professional finish along with reliable protection from impact, fire and UV damage, this Inaba Denko ASHP external corner trunking in black has a width of 140mm, ensuring that it will contain insulated flow and return pipework as well as all associated cabling.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Inaba Denko ASHP External Corner Trunking 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/47/612247_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/ASHP_Trunking_DataSheet.pdf,,,,,,,,,,,
15,P506187,Intatec HPHOSE750 insulated hose 0D 750 mm 1''F x 28 mm PK2,Intatec,107.6,"Pre-insulated, this pair of Intatec 750mm ID hoses is fitted with 1"" female x 28mm connections. A flexible design for use in a heat pump, these hoses are supplied in pairs for use on flow and return and have waterproof and UV-resistant Primary Pro 19mm insulation for reduced heat loss and reliability in all conditions.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Intatec HPHOSE750 insulated hose 0D 750 mm 1''F x 28 mm PK2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/87/506187_wm.jpg,,,,,N,,,,,,HPHOSE750,,N,Pre-insulated to reduce system heat loss,Insulation improves efficiency,Supplied in pairs to suit flow and return,Connects directly to heat pump,Available with a straight or bent heat pump connection,,,,,,,,,,,,,,,,
16,P118859,Vaillant aroTHERM plus 0010038133 ball filter valve 28mm,Vaillant,33.92,This Vaillant aroTHERM Plus 28mm ball valve filter is suitable for use in air-to-water heat pumps.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM plus 0010038133 ball filter valve 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/59/NW-118859_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/23/44/Vaillant_aroTHERM_Heat_Pump_1522344.pdf,,,,,,,,,,
17,P131047,Joule HZK0H280.075 braided hose 28mm 0.75mtr,Joule,102.17,This Joule HZK0H280 28mm braided hose is supplied in a 0.75M length.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Joule HZK0H280.075 braided hose 28mm 0.75mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/47/131047_wm.jpg,,,,5 kg,N,,,120,,,HZK0H280.075,ASHP Parts and Accessories,N,Helps to avoid vibration in pipework,Allows for a smooth bend when connecting the flow and return pipe to the air source heat pump outdoor unit,,,,,,,,,,,,,,,,,,,
18,P506188,"Intatec 2 pack 750mm pre insulated hoses 1"" female swivel elbow x 28mm",Intatec,117.11,"Helping installers to meet building regs Part L, this Intatec 750mm pre-insulated hose with 1"" female swivel elbow x 28mm connection helps to reduce heat loss while maintaining the COP and SCOP of an ASHP system, maximising efficiency and minimising running costs. Thanks to a water-resistant finish, this outdoor suitable hose will not absorb moisture, an issue which can result in further heat losses.","Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Intatec 2 pack 750mm pre insulated hoses 1"" female swivel elbow x 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/88/506188_wm.jpg,,N/A,2 years,22 kg,N,,,780,Pipework,,HPHOSE750B,Heat Pump,N,Pre-insulated to reduce system heat loss,Supplied in pairs for flow and return,Connects directly to heat pump,Additional insulation provided for connections,Water and UV-resistan for all weather use,"Must be inspected annually and retreated, with joints resealed if necessary",Joints should be bonded and sealed correctly to prevent capillary traction,2 year warranty,,,,,,,,,,,,,
19,P635921,Grant Aerona 3 wiring centre,Grant,149.08,This Grant Aerona³ wiring centre is compatible with the brand's Aerona³ heat pump systems.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Grant Aerona 3 wiring centre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/21/635921_wm.jpg,Aerona,N/A,Subject to T&C'S,0.9,,,,219,N/A,,,,,For use with Grant Aerona³ heat pump systems,Warranty subject to T&Cs,,,,,,,,,,,,,,,,,,,
20,P612244,Pump House TR-WC-140-B ASHP trunking - wall cover 140mm Black,Pump House,25.28,"Supplying a neat professional finish, this Pump House ASHP trunking wall cover is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Pump House TR-WC-140-B ASHP trunking - wall cover 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/44/612244_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_ASHP_Extnl_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/ASHP_Trunking_DataSheet.pdf,,,,,,,,
21,P506185,Inta BY-Pass Valves ABPS28CP straight auto bypass valve 28 mm,Inta,19.68,"Designed to stabilise circulation, flow rate and pump pressure in a heating system, this Intatec automatic differential bypass valve with compression connections ensures that circulation continues even where radiators are closed.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Inta BY-Pass Valves ABPS28CP straight auto bypass valve 28 mm,,ValveInstructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/85/506185_wm.jpg,BY-Pass Valves,N/A,2 years,367g,N,,,95,PipeCompression,,ABPS28CP,Heat Pump Accessory,N,Clear dial,Easy adjustment,Differential pressure range of 0.1 - 0.5 bar,Available with 22mm or 28mm straight or angled connections,"Stabilises circulation, flow rate and pump pressure",2 year warranty,,,,,,,,,,,,,,,
22,P131049,"Joule HZK0Y000001F Y pattern strainer HP isolation 1""",Joule,20.52,"A Joule HZK0Y000001F 1"" Y pattern HP isolation strainer.","Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Joule HZK0Y000001F Y pattern strainer HP isolation 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/49/131049_wm.jpg,,,,,N,,,,,,HZK0Y000001F,,N,Prevents disruption and potential damage caused by debris in the system,Safeguards solenoid valves and other mechanical equipment,,,,,,,,,,,,,,,,,,,
23,PT21894,Panasonic Aquarea PAW-TS1 tanks sensor with cable 6mtr,Panasonic,37.05,"This Panasonic Aquarea PAW-TS1 water tank sensor, or thermistor, is supplied complete with a connection lead and a copper sensor pocket.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Panasonic Aquarea PAW-TS1 tanks sensor with cable 6mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/94/T21894_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Panasonic_Renewables_Brochure.pdf,,,,,,,,,,,,
24,P613592,Diversitech SpeediChannel 230-WC4 wall cover 105 mm,Diversitech,9.74,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WC4 105mm wall penetration cover is used to provide a clean transition from the channel to a through-wall penetration. The sleeve ensures a clean hole while the cover conceals the lineset. Screws are included for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-WC4 wall cover 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/92/613592_wm.jpg,SpeediChannel,,,,N,,,,,,230-WC4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,
25,P613556,Diversitech SpeediChannel 230-DE4 duct end 105 mm,Diversitech,4.73,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DE4 105mm duct end terminates the run of a channel, converting it to a smaller opening large enough to allow the lineset and condensate drain line to pass through.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-DE4 duct end 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/56/613556_wm.jpg,SpeediChannel,,,,N,,,,,,230-DE4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,
26,P613565,Diversitech SpeediChannel 230-EIN4W outside elbow 90 degree 105 mm White,Diversitech,9.87,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EIN4W 105mm 90° outside elbow routes a lineset around a corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-EIN4W outside elbow 90 degree 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/65/613565_wm.jpg,SpeediChannel,,,,N,,,,,,230-EIN4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,,,,,,
27,P613551,Diversitech SpeediChannel 230-DC3W duct cap 70 mm White,Diversitech,2.57,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC3W 70mm duct cap is used to securely cap the end of a channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-DC3W duct cap 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/51/613551_wm.jpg,SpeediChannel,,,,N,,,,,,230-DC3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,,,,,,
