,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Part Gas Council number,By Model Number,Pack Quantity,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 6,Colour,Seasonal Space Heating Energy Efficiency %,Feature 13,Feature 14,Diameter,Attachment 7,Dry Weight (kg),Range For Use With,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency Class,Feature 15,Feature 16,Feature 17,Feature 18,Flue Type,Flue Diameter,Flue Length,Flue Size,Energy Efficiency Class,Feature 19,Max Set Pressure,Maximum Operating Temperature,Max Vertical Level Flue Length (metres),Dimensions mm (H x W x D),Application,Length (M),Gender,Material,Size,Connection Type 1,Attachment 8,Attachment 9,Rated Heat Output (Prated or Psup),Feature 20,Feature 21,Feature 22,Preset Pressure Relief Valve (Bar),For Use With
293,P108463,Worcester Bosch Greenstar 1000 rear spacer frame,Worcester Bosch,51.48,"This Worcester Bosch rear spacer frame leaves 35mm of space behind a boiler for vertical piping. Suitable for Greenstar 1000 boilers, this frame allows for the concealment of central heating flow and return, DHW and DCW pipes.",Boilers/Boilers.csv -> Worcester Bosch Greenstar 1000 rear spacer frame,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/63/108463_wm.jpg,,,,,,N,Greenstar 1000,,,7736902620,Domestic Accessory,N,,,,5,,,,,866,N/A,,,For Greenstar 1000 units,Pipes can be routed behind unit for neat installation,5 year warranty,,,,,,n/a,,,,,,,,,,,,,,,Greenstar 1000 Range,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,
294,P125232,Ideal Heating Logic 228397 logic plus heat 2 H18,Ideal Heating,964.32,The Ideal Logic Heat2 boiler is the next evolution of our award-winning Logic range.,Boilers/Boilers.csv -> Ideal Heating Logic 228397 logic plus heat 2 H18,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/34/125230_125234_wm.jpg,,,,,,N,,,,228397,Boiler,N,,Natural Gas,Logic,7 Years,25.1 kg,A,A,18 kW,310,No,89.4,Wall Mounted,For wall mounting<multisep/>Compact size for cupboard fit<multisep/>UK built<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Operated via large high resolution colour screen<multisep/>A-rated for efficiency<multisep/>7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,P123916,Ideal flue finishing kit,Ideal,13.93,"This finishing kit is designed for the flue in Ideal M and HE boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Boilers.csv -> Ideal flue finishing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/16/123916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_LogicFlueing-Accessories_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic_Gas_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,P412803,Ideal Spares ignition electrode kit,Ideal,89.25,An Ideal brand ignition electrode kit for Evomod commercial boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Boilers/Boilers.csv -> Ideal Spares ignition electrode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/03/NW-412803_wm.jpg,,,,,,N,,,,176259,Ignition Electrode Kit,N,,,Spares,,,,,,,,,,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7L X 21.8W X 2.8H,Commercial,,,,,,,,,,,,,
297,P333870,Intergas standard vertical flue,Intergas,98.0,The Intergas HRE & EcoRF Boiler Range utilise a concentric flue arrangement consisting of a 60mm diameter inner flue (exhaust) and a 100mm diameter outer (air inlet) duct as standard.,Boilers/Boilers.csv -> Intergas standard vertical flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/70/333870_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,P797559,Baxi standard flue kit - horizontal,Baxi,188.73,"This Baxi flue kit is for use with Combi, Performa, Main Combi/Combi HE and System boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/Boilers.csv -> Baxi standard flue kit - horizontal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/59/797559_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_80_Eco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,P108427,Worcester Bosch 4000 simpleswitch flue adapter 60-100,Worcester Bosch,26.37,"This Worcester Bosch Greenstar SimpleSwitch 60/100mm flue adapter allows for the installation of a flue using an existing vertical or horizontal hole through the external wall of the property. It is suitable for use when replacing an i Junior or Si boiler with a Greenstar 4000 boiler.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/Boilers.csv -> Worcester Bosch 4000 simpleswitch flue adapter 60-100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/27/NW-108427_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_Greenstar_4000_Installer_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,P333902,Grant standard flue kit (includes stainless steel terminal guard) 12-26kW Black pack,Grant,209.0,"This Grant round low level balanced standard flue kit is compatible with EZ-Fit, Vortex, VortexBlue units. It includes a stainless steel terminal duct and unique quick-fit self-sealing ducts so you're ensured a perfect seal with no need for silicone or tape jointing.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Boilers.csv -> Grant standard flue kit (includes stainless steel terminal guard) 12-26kW Black pack,,"starter elbow with internal seal;Terminal elbow with external seal, Terminal guard, lubricant ;seals.",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/05/115205_wm.jpg,,,,,,N,12-26 kW,Flue,"EZ-Fit, Vortex, VortexBlue",333902 PK,Standard Flue Kit,N,,,,,52 kg,,,,,,,,Low Level Flue for 12-26KW Internal Boilers & 26KW Combi Boiler Including S/S Terminal Guard External Black Finish,,,,,,,,n/a,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,P170124,Ideal Heating Halo heat and system Wi-Fi,Ideal Heating,234.91,"Engineered for use with an Ideal boiler, the Ideal Heating Halo Heat & System Wi-Fi provides flexible control of a heating and hot water system using the intuitive Halo smartphone app, putting comfort and convenience in the palm of your hand. Easy to install and to operate, this device provides you with a slew of useful features, including geolocation so your heating adjusts to suit your lifestyle, and connects to your digital home assistant for complete Smart Home compatibility.",Boilers/Boilers.csv -> Ideal Heating Halo heat and system Wi-Fi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/24/170124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Heating_Halo_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Ideal_Heating_Halo_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,P334487,Worcester Bosch Greenstar 12RI regular boiler pack with flue,Worcester Bosch,925.0,"Providing reliable heating for small and medium sized homes, even those that experience problematic low water pressure, the Worcester Bosch Greenstar 12Ri ErP+ NG regular boiler is ErP A-rated for its high levels of frost-protected efficiency. And with the option to connect to Bosch's Greenskies solar panels and the Greenstore cylinder, this 12kW boiler could really help to improve the carbon footprint of a green-minded household. Easy to install, thanks to its compact footprint, the Greenstar Ri is supplied with a telescopic horizontal flue kit to help save on fitting time and trouble.",Boilers/Boilers.csv -> Worcester Bosch Greenstar 12RI regular boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/334486_50 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_9-24Ri_Regular_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112402_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/WB_Greenstar_Ri_ErP+_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,P105548,Worcester Bosch filling link for Junior and SI II,Worcester Bosch,32.65,"Helping to minimise the need for costly engineer callouts, this Worcester Bosch keyless integral filling link connects a cold mains connection and a heating return circuit on a wall mounting jig. This link makes topping up a Greenstar Junior or Si Combi heating system easy with no need to dig deep for a key.",Boilers/Boilers.csv -> Worcester Bosch filling link for Junior and SI II,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/48/105548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/105548_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,P127826,Vokera SE horizontal flue terminal,Vokera,113.28,"This Vokera flue terminal is suitable for Linea, Option, Compact, Aquanova and EasiFlo units.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Boilers.csv -> Vokera SE horizontal flue terminal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/26/127826_wm.jpg,,,,,,N,"24, 28, 24, 24, 28",Flue,"Linea, Option, Compact, Aquanova, EasiFlo",20163408,Flue Terminal,N,,,Se,,,,,,,,,,Brass construction,Suitable for wide variety of applications,Male thread to ISO 71 BS 21 DIN 2999,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,P333112,Alpha E-Tec Nx 30kW System Boiler,Alpha,801.0,"Delivering excellent levels of energy efficiency for an ErP A rating, the Alpha E-Tec NXS 30kW system boiler features a reliable, lightweight stainless steel heat exchanger. Operating quietly thanks to its smart double casing design, this boiler is easy to operate via a modern control panel with clear, easy-read backlit display.",Boilers/Boilers.csv -> Alpha E-Tec Nx 30kW System Boiler,,Boiler with fittings pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,,,,,,N,,,,333112 PK,System,N,,Natural Gas,,7 Years,3.28 kg,A,,30.4 kW,255,,89.5,Wall Mounted,Lightweight stainless steel main heat exchanger,Double casing design for quieter operation,Backlit display for ease of reading,Revised control panel interface,Removable push fit flue connection,Fully range output adjustable,Delta T variable speed operation pump,For wall mounted installation,,,,7 year warranty,,,,,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,P427555,Baxi Multifit horizontal flue with inline elbow,Baxi,119.74,"This Baxi flue and elbow is for use with the brand's Combi, Duo-tec, Megaflo, Platinum, Main Combi/Combi HE, Main Eco, Main Eco Elite, Main HE, Gold, Heatmax, Performa, Performa SL, Promax and Suprima boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/Boilers.csv -> Baxi Multifit horizontal flue with inline elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/55/427555_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,P106427,MAGNATECH BOOSTABOILER,Magnatech,112.77,"Designed to save up to 20% on heating and energy costs, BoostaBoiler is quickly and easily fitted to existing pipework and is supplied complete with cable ties and fitting instructions. Fitted in minutes;Provides savings that last a lifetime;Suitable for all domestic gas, oil or LPG boilers;Retrofit with no system downtime;No external power required;No ongoing maintenance",Boilers/Boilers.csv -> MAGNATECH BOOSTABOILER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/27/106427_wm.jpg,,,,,,N,,,,GM143144-2,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,P333114,Alpha e-tec nx 28kw combi boiler & flue,Alpha,640.0,"Making specification and installation jobs easier, this Alpha boiler pack contains both the Alpha e-Tec 28kW combi boiler and a compatible flue.",Boilers/Boilers.csv -> Alpha e-tec nx 28kw combi boiler & flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,,,,,,N,,,,333114 PK,,N,,,,,,,,,,,,,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,P571976,Center CB flue brush kit 9 Piece,Center CB,30.92,This Center CB flue brush set is a handy bit of maintenance kit for industrial and commercial boilers.,Boilers/Boilers.csv -> Center CB flue brush kit 9 Piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/76/NW-571976_wm.jpg,,,,,,N,,,,1047,Flue Brush Set,N,,,,,,,,,,,,,"Flue brush kit 9 piece - each set comprises of:1 x 12"" handle","1x 5"" handle","1x 12"" extension rod","1x 12"" piece of iron",1x brush elliptical head,Nylon,"85mm diameter x 12"" long",1x brush head,,,,Nylon,"85mm diameter x 12"" long",1x brush head,Nylon,,,,"65mm diameter x 95"" long",1x brush head,,,,,,,Stainless,"50mm diameter x 95"" long",1x brush head,Nylon,,,,,,"25mm diameter x 8"" long",,,,240 x 270 x,IndustrialCommercial,0.09m,,,,,,,,,,,,
310,P333888,Vokera Excel standard horizontal flue pack,Vokera,70.0,Vokera offer a wide range of flue systems that are able to meet the majority of applications. There are concentric flue systems and a parallel (twin) flue system that can be used in either horizontal or vertical configurations. All Vokera flue systems incorporate push-fit connections that are designed to enable a fast and simple method of installation.,Boilers/Boilers.csv -> Vokera Excel standard horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/73/127273_wm.jpg,,,,,,N,,Flue,CompactEasi-Heat PlusExcelVisionVision Plus,333888 PK,Flue Pack,N,,,Excel,,,,,,,,,,Compatible with Vokera HE domestic boiler ranges,,,,,,,,,,,,,,,,White/Satin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,P100762,Worcester Bosch Greenstar Oilfit flue extension 80/125mm 1mtr,Worcester Bosch,121.56,"Greenstar Oilfit range – the easy-fit fluing solution.  Multiple fluing options with the ability to flue internal floor standing boilers from the top, rear or side and external boilers from the rear and side.  The Oilfit range is quick-to-install thanks to its push-fit connection and forms a gas-tight seal. In most cases, it will also eliminate the need to cut the flue.  The Greenstar Oilfit range provide an easy-fit installation that requires no special tools when fitting flue extensions, elbows and adaptors.",Boilers/Boilers.csv -> Worcester Bosch Greenstar Oilfit flue extension 80/125mm 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/62/100762_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Oilfit_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,P106239,Worcester Bosch Greenstar flue support bracket kit 60/100mm (Pack of 6),Worcester Bosch,77.85,Worcester is a trusted manufacturer of boiler flues and accessories with more than half a century’s worth of experience and a huge amount of expertise. The company has been responsible for the development and production of many renowned boilers,Boilers/Boilers.csv -> Worcester Bosch Greenstar flue support bracket kit 60/100mm (Pack of 6),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/39/106239_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Cdi_Compact_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/WB_Gas_Product_Guide_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_i_Combi_ErP_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,P124867,Ideal flue extension kit 500mm,Ideal,33.84,"Today, Ideal remains at the forefront of the domestic and commercial heating markets, leading the industry in setting new standards and challenging technological boundaries.",Boilers/Boilers.csv -> Ideal flue extension kit 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/67/124867_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,P105918,Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,Worcester,34.38,"Offering fast, simple installation, this Worcester terminal guard for Vokera 100 M, 100 S and 50 M is made of tough, corrosion-resistant stainless steel.",Boilers/Boilers.csv -> Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/18/NW-105918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,P333947,Worcester Bosch Oil fit standard horizontal flue 80/125mm,Worcester Bosch,189.0,"Greenstar Oilfit range – the easy-fit fluing solution.  Multiple fluing options with the ability to flue internal floor standing boilers from the top, rear or side and external boilers from the rear and side.  The Oilfit range is quick-to-install thanks to its push-fit connection and forms a gas-tight seal. In most cases, it will also eliminate the need to cut the flue.  The Greenstar Oilfit range provide an easy-fit installation that requires no special tools when fitting flue extensions, elbows and adaptors.",Boilers/Boilers.csv -> Worcester Bosch Oil fit standard horizontal flue 80/125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/47/333947_wm.jpg,,,,,,N,,Flue,Greenstar UtilityGreenstar Danesmoor Wall HungHeatslaveGreenstar Camray KitchenHeatslave ExternalGreenstar Heatslave IIGreenstar Danesmoor,333947 PK,Standard Flue Pack,N,,,Oil fit,,2500 kg,,,,,,,,Compatible with all greenstar oil-fired condensing boilers,Quick and simple to install,Aesthetically pleasing design,White-coated finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,P153787,Baxi Combi 2 224 NG boiler 24kW,Baxi,562.69,"Suitable for natural gas and ready to run on 20% hydrogen, the wall-mounted Baxi 200 Series 2 24kW boiler is a highly efficient option for any home. Neat and compact, this combi is suitable for installation inside a cupboard and weighs less than 30kg, making installation easier for the engineer. The Series 2 is supplied with a hanging bracket, meaning that fitting won't require extra parts or create unnecessary mess.",Boilers/Boilers.csv -> Baxi Combi 2 224 NG boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/87/153787_wm.jpg,,,,,,N,,,,7790612,Combi Boiler,N,9.8L/Min @ 35 Deg C Rise,Natural Gas,Combi 2,2 Year,26.5 kg,A,A,24 kW,285,N/A,93,Wall Mounted,With composite hydraulics,Compact cupboard fit,Stainless steel heat exchanger,Easy wiring for simple installation,20% hydrogen/gas mix ready,A-rated efficiency,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
