,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Outer Diameter,Diameter,Length (M),Weight,Type
10,P508414,Yorkshire Yorkex PVC coated copper tube 22mm x 3mtr Yellow,Yorkshire,43.46,"Environmentally-friendly, this Yorkshire Yorkex 22mm tube is made of fully recyclable 0.9mm copper and PVC. Highly durable, this tube is resistant to heat, corrosion, pressure and fire, making it suitable for almost any plumbing, heating or gas installation. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex PVC coated copper tube 22mm x 3mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/14/NW-508413_508414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,P508413,Yorkshire Yorkex PVC coated copper tube 15mm x 3mtr Yellow,Yorkshire,22.44,"Environmentally-friendly, this Yorkshire Yorkex 15mm tube is made of fully recyclable 0.7mm copper and PVC. Highly durable, this tube is resistant to heat, corrosion, pressure and fire, making it suitable for almost any plumbing, heating or gas installation. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex PVC coated copper tube 15mm x 3mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/14/NW-508413_508414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
12,P508503,Yorkshire Yorkex copper tube 35mm x 3mtr Chrome,Yorkshire,95.12,"Designed for ground services, this Yorkshire Yorkex 35mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 1.2mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 35mm x 3mtr Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/05/NW-508501_508505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,P508459,Yorkshire Yorkex PVC coated copper tube 28mm x 3mtr Yellow,Yorkshire,56.3,"Environmentally-friendly, this Yorkshire Yorkex 28mm tube is made of fully recyclable 0.9mm copper and PVC. Highly durable, this tube is resistant to heat, corrosion, pressure and fire, making it suitable for almost any plumbing, heating or gas installation. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex PVC coated copper tube 28mm x 3mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/59/NW-508459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
14,P508501,Yorkshire Yorkex copper tube 22mm x 3mtr Chrome,Yorkshire,42.62,"Designed for ground services, this Yorkshire Yorkex 22mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.9mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 22mm x 3mtr Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/05/NW-508501_508505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
15,P508306,Lawton Tube copper tube 22mm x 1mtr,Lawton Tube,7.39,"Made of copper, this Lawton 22mm tube offers proven performance as a cost-effective solution for a wide range of uses. Suitable for domestic and commercial use, this tube is supplied in a 1M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube copper tube 22mm x 1mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/06/NW-508306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
16,P508221,Yorkshire Yorkex copper tube 22mm x 2m,Yorkshire,7.57,"Supplied in a length of 2M, this Yorkshire Yorkex 22mm diameter copper tube is fitted with press-fit x plain end connections.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 22mm x 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/21/NW-508221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Yorkshire_YorkexCopperTube_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/01/YorkshireCopperTube_PlainCopper_MSDS01.pdf,,,,,,,,,,,,,,,,,,,,,,,,
17,P508873,Lawton Tube copper tube (Table-Y) (EN1057) 10mm x 3m,Lawton Tube,4.85,"Suitable for use in a wide variety of pipework applications, this Lawton Tube Company Table Y EN 1057 10mm copper tube is supplied in a length of 3M.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube copper tube (Table-Y) (EN1057) 10mm x 3m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Lawton MainTube Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
18,P508302,Yorkshire Yorkex copper tube 28mm x 6mtr,Yorkshire,9.27,"Designed for ground services, this Yorkshire Yorkex 28mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.9mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 6M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 28mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/02/NW-508300_508302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
19,P508220,Yorkshire Yorkex copper tube 15mm x 2mtr,Yorkshire,3.79,"Designed for ground services, this Yorkshire Yorkex 15mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.7mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 2M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 15mm x 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/20/NW-508220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
20,P508310,Lawton Tube copper tube 15mm x 1mtr,Lawton Tube,3.69,"Made of copper, this Lawton 15mm tube offers proven performance as a cost-effective solution for a wide range of uses. Suitable for domestic and commercial use, this tube is supplied in a 1M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube copper tube 15mm x 1mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/10/NW-508310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
21,PV18320,Lawton Tube TX copper tube (MOQ 10m) 28mm x 1m,Lawton Tube,9.44,"This Lawton TX 28mm tube is a reliable alternative to traditional 1.2mm thick EN 1057 tube. Supplied in a 1M length, this 0.9mm thick copper pipe saves on costs without compromising on performance.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube TX copper tube (MOQ 10m) 28mm x 1m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/20/NW-V18320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Copper_Tube_Mech_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Lawton_Tube_CopperTube_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lawton_Tube_Copper_Tube_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Water_Capacity_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
