,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 1,Attachment 2,Attachment 3,Dimensions mm (H x W x D),By Model Number,Application,Attachment 4,Attachment 5,Part Gas Council number,Diameter,Model For Use With,Boiler Section,Boiler Range,Max Set Pressure,Pack Quantity,Range For Use With,Connection,Exhaust Port Size,Thread Standard,Material,Thread Size,Colour,Flow Rate,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,For Use With,Maximum Operating Temperature,Gender,Size,Connection Type 1
10,P412832,Ideal Heating Spares ignition electrode kit,Ideal Heating,41.84,An Ideal brand ignition electrode kit for Keston Heat and Ideal commercial boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Heating Spares ignition electrode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/32/NW-412832_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P466193,Hamworthy probe assembly (HSI),Hamworthy,104.01,"This Hamworthy hot surface igniter assembly is compatible with ModuMax range boilers. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Hamworthy probe assembly (HSI),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/93/NW-466193_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P773795,Potterton control box,Potterton,617.51,"A Potterton control box for the now out of production Derwent Prestige and Compact Plus models. The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Potterton control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/95/NW-773795_wm.jpg,,,,,,N,,,,,,COM17001084,Control Box,N,,,,,,,,,,,,,,x  x,"Derwent Compact Plus - Ceased Production 2013,Derwent Prestige - Ceased Production 2004",CommercialIndustrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P114995,Ideal UPMXXL UPMXXL 25-120 180 frane and header pump 25 120 180,Ideal,418.0,This Ideal Grundfos UPML pump kit is intended for fitting onto the return flange of a boiler where a plate heat exchanger has been chosen.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal UPMXXL UPMXXL 25-120 180 frane and header pump 25 120 180,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/95/114995_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/95/114995.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114995_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P412783,Ideal Spares fan 30/40/60kw,Ideal,503.55,"An Ideal 30, 40 and 60kW replacement fan for Ideal commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Spares fan 30/40/60kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/83/NW-412783_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P114956,Ideal Spares plume kit 80/125,Ideal,222.0,Use this Ideal 80/125mm concentric plume kit for awkward installations where an extension of up to 10M is required. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Spares plume kit 80/125,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/56/114956_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/57/114956_114957.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax-2_Plume-Kit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P480879,Broag PCB (PCU-04) with (SU-01),Broag,460.33,"This Broag replacement PCB is compatible with a variety of Remeha (Broag and Baxi) commercial boilers, including the Quinta Pro. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Broag PCB (PCU-04) with (SU-01),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/79/NW-480879_wm.jpg,,,1 year,,,N,,,,,,S101518,PCB,N,Easy to Replace,High Quality,,,,,,,,,,,,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P105083,Ideal Spares frame kit,Ideal,275.0,This Ideal frame kit is suitable for the installation of Evomax boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Spares frame kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/83/NW-105083_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax-Frame-Kit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P497898,Broag service set (C),Broag,193.83,This Broag service set is suitable for servicing Remeha Commercial (Baxi) Quinta Pro units.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Broag service set (C),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/98/NW-497898_wm.jpg,,,1 year,,,N,,,,,,S101675,Service Set,N,Easy to Replace,High Quality,,,,,,,,,,,,x  x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P481356,Broag G1G170 fan,Broag,2221.76,"Fully check by a qualified engineer, this Broag G1G170 reconditioned fan for Remeha Commercial (Baxi) boilers includes a rewound motor coil and new bearings and shaft, while the body is painted for a like-new finish. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Broag G1G170 fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/56/NW-481356_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas-210_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P412831,Ideal Heating Spares electrode detection kit,Ideal Heating,26.95,An Ideal electrode detection kit for Keston Heat and Ideal commercial boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Heating Spares electrode detection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/31/NW-412831_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P462080,Ideal PCB (No.34),Ideal,714.85,"This Ideal No. 34 PCB is suitable for Ideal CXC, CXD, CXSi, CXSD and CXi commercial boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal PCB (No.34),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/80/NW-462080_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Concord-CXI_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P120352,Vaillant ecoTEC Plus cascade flue 110 / 110mm 80 - 120kW,Vaillant,140.58,A Vaillant brand 110mm mechanical flue non-return flap valve for installation on the top of a boiler before flue header connection. This part ensures exhaust gas and steam is safely expelled from a property.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Vaillant ecoTEC Plus cascade flue 110 / 110mm 80 - 120kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/52/120352_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Vaillant_CommercialSystemBoiler_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P449342,Ambirad Pactrol timer,Ambirad,110.8,"This Ambirad Pactrol burner timer is designed for use in the Ambirad LR5 combustion chamber. Also known as a clock, timeclock or time switch, the timer allows the boiler's user to control when heating and/or hot water is turned on and off to maximise flexibility and comfort.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ambirad Pactrol timer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/42/NW-449342_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ambirad_ARC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PV06007,Marco Beverage Systems Ecoboiler tap dispense water boiler 2.8kW,Marco Beverage Systems,570.83,"A compact design, the Marco Beverage Systems 2.8kW Ecoboiler boiling water dispenser tap takes up minimal space in a kitchen and plumbs directly into a mains supply so there's no need for bulky boxes and trailing cables. Offering easy servicing, this electronically controlled hot water dispenser requires little upkeep and operates efficiently, helping to keep bills low.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Marco Beverage Systems Ecoboiler tap dispense water boiler 2.8kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/07/V06007_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Ecoboiler_Energy_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Marco_Ecoboiler_Tap_New_Spec_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P114953,Ideal Spares horizontal wall flue kit 80/125,Ideal,147.0,"A genuine Ideal part, this concentric horizontal wall flue kit is used for installing the flue section of Evomax boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Spares horizontal wall flue kit 80/125,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/53/114953_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/55/114950_114955.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P729220,Ideal AQUASTAT aquathermostat PCB,Ideal,148.96,"This Ideal Aquastat PCB offers wide compatibility throughout Ideal's commercial boiler range. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal AQUASTAT aquathermostat PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/20/NW-729220_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Concord-CXS40-120H_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P455181,Powrmatic Brahma control box (DNM32),Powrmatic,349.09,This Powrmatic Brahma control box is suitable for use in a range of NV commercial and industrial boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Powrmatic Brahma control box (DNM32),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/81/NW-455181_wm.jpg,,Brahma,,,,N,,,,,,145030844,Control Box,N,Reliable,Easy to Install,,,,,,,,,,,,x  x,,CommercialIndustrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
