,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Range,Operating Temperature,Projection Depth,Style,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Feature 13,Attachment 6,Attachment 7,Attachment 8,Pack Quantity,Feature 14,Pressure,Eco Setting,Voltage (V),Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry Points,Cable Entry,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Water Entry,Water Heating Energy Efficiency
10,PJ97966,Grohe Grohtherm 1000 low pressure thermostatic exposed valve Chrome Plated,Grohe,214.97,"The Grohe Grohtherm 1000 Cosmopolitan 3/4"" thermostat shower mixer offers TurboStat technology, reaching your ideal temperature fast and maintaining it throughout your shower session, even in the face of pressure fluctuations. This good looking shower thermostat has a bright, easy-clean StarLight chrome finish and ergonomic metal handles.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Grohe Grohtherm 1000 low pressure thermostatic exposed valve Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/66/NW-J97966_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_34_430-437_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Grohtherm_1000_34430000_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grohe_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PD01192,Nabis Twin D01192 twin exposed rigid shower with diverter thermostatic bar valve,Nabis,248.45,"The Nabis Twin exposed rigid shower with diverter thermostatic bar valve includes a generous 200mm overhead rose and handheld shower for convenient use. Dual controlled for precise delivery, the Nabis Twin incorporates a range of safety features making it ideal for installation in a family bathroom.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis Twin D01192 twin exposed rigid shower with diverter thermostatic bar valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/92/NW-D01192_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_D01192_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_D01192_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PJ44987,Grohe Grohtherm 1000 thermostatic bath without unions 1000mm,Grohe,294.18,"The Grohe Grohtherm 1000 Cosmopolitan 1/2"" thermostatic bath/shower mixer offers TurboStat technology, reaching your ideal temperature fast and maintaining it throughout your shower session, even in the face of pressure fluctuations. This good looking shower thermostat has a bright, easy-clean StarLight chrome finish and ergonomic metal handles.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Grohe Grohtherm 1000 thermostatic bath without unions 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/87/NW-J44987_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Grohtherm_1000_34519000_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_34_519_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grohe_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PC22711,Bristan Frenzy cool touch bar valve shower multi-mode kit,Bristan,69.0,"Suitable for all plumbing systems but performing best in a balanced system, the Bristan Frenzy thermostatic surface-mounted bar shower valve is supplied with an adjustable riser kit. Ensuring safe showering for the whole family, this valve incorporates a thermostatic cartridge which will maintain the temperature to ±1°C, reacting to changes in incoming temperature or pressure to ensure an always stable outlet temperature.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Frenzy cool touch bar valve shower multi-mode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/11/NW-C22711_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C22711_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C22711_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PD35259,Mira Relate EV bar valve mixer shower chrome,Mira,71.0,"Bringing together reliable performance and attractive, crowd-pleasing design, the Mira Relate EV mixer shower with 90mm head offers flexible, easy installation and hassle-free cleaning. Featuring Mira's Magni-flo technology for three times better flow than other showers and a range of safety features including thermostatic temperature control, the Relate is ideal for family bathrooms.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Relate EV bar valve mixer shower chrome,,Mixer shower;Bar valve;Pair of handles;6L/min flow regulator;Plastic pipe guide;2x wall brackets;2x olives;2x compression nuts;2x fixing screws;2x wall plugs;2x concealed plates;Installation ;user guide;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/59/NW-D35259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Relate_EV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Relate_EV_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_EV_ERD_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_EV_ThermostaticBarValve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD01197,Nabis thermostatic D01197 bar valve fast fixing kit and set,Nabis,70.75,"Suitable for use in any plumbing system, this Nabis thermostatic bar valve incorporates safe-touch technology, keeping the bar valve cool to the touch while the shower is in use. The included fast fixing kit makes installing, maintaining and replacing bar valve showers straightforward.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis thermostatic D01197 bar valve fast fixing kit and set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/97/NW-D01197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D01197_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D01197_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PC42673,Bristan 1901 exposed sequential valve and diverter kit Chrome,Bristan,725.88,"The Bristan 1901 thermostatic exposed dual control shower with rigid riser incudes adjustable inlets for easy retrofitting to existing pipework. The 1901 includes an anti-limescale, easy-clean handset.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan 1901 exposed sequential valve and diverter kit Chrome,,Shower unit;Diverter;Shower rose;Rigid riser;Anti-limescale handset;Hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/73/NW-C42673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Bristan_Expo_Top_Shower_Valve_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_1901_N2_CSHXDIV_C_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_1901_N2_CSHXDIV_C_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD35258,Mira Coda ERD Pro exposed rigid shower with diverter bar,Mira,199.0,"Combining easy, intuitive installation with high performance operation, the Mira Coda Pro ERD shower mixer with dual showerheads is popular with installers and users alike, operating on all thermostat systems for universal use. Safety features ranging from thermostatic control to Cool Shield, designed to keep the valve at a safe temperature during use, alongside Magni-flo for triple the power, even at low pressures, and a bright, easy-clean chrome finish, make the Coda a practical choice for families.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Coda ERD Pro exposed rigid shower with diverter bar,,Bar valve;2x 6L/min flow regulator;Pair of handles;Plastic pipe guide;2x wall brackets;2x olives;2x compression nuts;2x wall plugs;2x fixing screws;2x concealing plates;Installation ;user guide;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/58/NW-D35258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Coda_Pro_ERD_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Coda_Pro_ERD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Mira_ERD_ThermostaticBarValve_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_EV_ERD_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PD62354,Mira Minimal dual shower,Mira,280.1,"With its compact and modern design, the Mira Minimal mixer shower is ideal for the contemporary family bathroom where space is at a premium. Supplied with an easy-clean deluge showerhead as well as a rinsing handset, this shower is designed with both CoolShield and thermostatic technology for safe use without risk of burns or scalding during use. The smart, chrome finish Minimal is suitable for installation in any water system for convenient compatibility.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Minimal dual shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/54/NW-D62354_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/D62354_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D62354_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD96011,Mira Miniluxe shower with diverter,Mira,450.6,"The vertical valve Mira Miniluxe Flex Diverter ERD shower mixer is supplied with deluge showerhead and separate hand shower for the ideal combination of indulgence and practicality. Compact in size, this stylish shower offers a range of useful functions for improved flow and reliable safety.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Miniluxe shower with diverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/11/NW-D96011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Miniluxe_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Miniluxe_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Miniluxe_Drw_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_ShowersEnclosuresTrays_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_MiniMixers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
