,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Flush Type,Warranty,Hazardous,Depth (mm),Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Material,Fittings Included,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Range,Feature 7,Feature 8,Attachment 4,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Material Type,Pack Quantity,Sector
10,PB90310,Thomas Dudley Tri-Shell side inlet high pressure/low pressure high level cistern Black,Thomas Dudley,108.5,"Highly robust, the Thomas Dudley high Tri-Shell is a heavy-duty black plastic toilet cistern with dual lever-operated flush and side inlet.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Tri-Shell side inlet high pressure/low pressure high level cistern Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/10/NW-B90310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_HDutyCisterns_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PD02386,Ideal Standard Sandringham 21 close coupled cistern bottom inlet siphon flush 6/4ltr White,Ideal Standard,81.36,"Close-coupled, the Ideal Standard Sandringham 21 bottom inlet toilet cistern is made of a tough vitreous china. Part of an extensive coordinated bathroom range, this lever-operated cistern provides a 6L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Sandringham 21 close coupled cistern bottom inlet siphon flush 6/4ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/86/NW-D02386_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E896801_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PJ12954,Grohe Adagio dual flush side fill concealed cistern,Grohe,66.76,"The Grohe Adagio cistern features EcoJoy technology, reducing water consumption by up to 50% with no loss of performance. Supplied from the side, this dual flush cistern is fitted with a bright, easy-clean StarLight chrome finished round push button with Eco flush and a long Bowden cable for flexible positioning. This toilet cistern is supplied with fixing brackets, flush pipe and inlet connector.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Grohe Adagio dual flush side fill concealed cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/54/NW-J12953_J12954_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_39054000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PB90540,Thomas Dudley Dimple cistern lever Chrome Plated,Thomas Dudley,34.46,This Thomas Dudley Dimple spindle with camel adjustable lift-arm is finished in chrome and has an easy-flush handle suitable for disabled or elderly users.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Dimple cistern lever Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/40/NW-B90540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PD02392,Ideal Standard Sandringham 21 low level cistern side inlet siphon flush 6ltr White,Ideal Standard,87.39,"The Ideal Standard Sandringham 21 side inlet low level toilet cistern is made of a tough vitreous china. Part of an extensive coordinated bathroom range, this lever-operated cistern provides a 6L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Sandringham 21 low level cistern side inlet siphon flush 6ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/92/NW-D02391_D02392_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E897201_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PB61681,Nabis Series 600 close coupled cistern,Nabis,93.39,"Ideal for cloakrooms and small bathrooms, this Nabis Series 600 close coupled toilet cistern has a compact, curved design and tough vitreous china build with glossy glazed finish. This cistern provides a button-operated dual flush.  To comply with UK Water Regulation 4 (1) (a) and the ‘Interim Agreement’ regarding the prevention of backflow protection arrangements in WCs, this product should be installed with a Double Check Valve. The full notes on the voluntary agreement can be found on the WRAS website",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Nabis Series 600 close coupled cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/81/NW-B61681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_B61673_B61674_B61681_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_PhaseII_Ceramic_Info_30Aug2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB97420,Macdee Hideaway side inlet side outlet cistern excluding lever,Macdee,62.14,This Macdee Hideaway toilet cistern is designed for direct installation against a flat wall. This black plastic side inlet cistern offers a 6/7/9L lever-operated single flush.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Macdee Hideaway side inlet side outlet cistern excluding lever,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/20/NW-B97420_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Macdee_Hideaway_Cistern_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/ru/Macdee_Hideway_Cistern_Asse_Instru.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD02391,Ideal Standard Sandringham 21 low level cistern bottom inlet siphon flush 6ltr White,Ideal Standard,87.39,"The Ideal Standard Sandringham 21 bottom inlet low level toilet cistern is made of a tough vitreous china. Part of an extensive coordinated bathroom range, this lever-operated cistern provides a 6L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Sandringham 21 low level cistern bottom inlet siphon flush 6ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/92/NW-D02391_D02392_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E896901_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PB90487,Thomas Dudley Vantage dual flush push button 73.5mm Chrome Plated,Thomas Dudley,32.77,A Thomas Dudley Vantage chrome dual flush button offering compatibility with a wide range of cisterns.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Vantage dual flush push button 73.5mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/87/NW-B90487_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB92192,Thomas Dudley Hydroflo side entry inlet valve,Thomas Dudley,10.36,This Thomas Dudley Hydroflo fixed side entry inlet valve is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Hydroflo side entry inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/92/NW-B92192_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PC22708,Ideal Standard Cube bottom supply internal overflow close coupled cistern 6/4ltr White,Ideal Standard,168.19,The stylishly designed Ideal Concept Cube cistern is built in robust vitreous china and offers an efficient 4/6L dual flush through an optional top or front-mounted flush plate or button or via a contactless sensor.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Cube bottom supply internal overflow close coupled cistern 6/4ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/08/NW-C22708_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E822901_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PB90090,Thomas Dudley Pneumatic Cistern contract concealed cistern round push button side inlet side outlet Chrome Plated,Thomas Dudley,88.01,The Thomas Dudley Pneu 6L low level concealed cistern with side inlet and outlet offers pneumatic single flush cistern operation.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Pneumatic Cistern contract concealed cistern round push button side inlet side outlet Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/90/B90090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PC22709,Ideal Standard Concept Cube bottom supply internal overflow close coupled cistern 4/2.6ltr White,Ideal Standard,168.19,Ideal Standard's Concept Cube close coupled cistern with dual flush valve has a robust vitreous china build and 2.6/4L dual push button flush.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Concept Cube bottom supply internal overflow close coupled cistern 4/2.6ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/09/NW-C22709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E796901_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PD02405,Ideal Standard Sandringham 21 close coupled cistern with dual flush and bottom inlet 6/4ltr White,Ideal Standard,63.95,The Ideal Standard Sandringham 21 bottom inlet cistern is built in durable vitreous china and offers a 6/4L dual flush via a chrome push button. This cistern is part of an extensive range designed to help you create a matching bathroom suite.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Sandringham 21 close coupled cistern with dual flush and bottom inlet 6/4ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/05/NW-D02405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E896301_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PB90121,Thomas Dudley Tri-Shell bottom outlet high pressure low level cistern White,Thomas Dudley,135.92,"Highly robust, the Thomas Dudley low level Tri-Shell is a heavy-duty white plastic toilet cistern with dual lever-operated flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Tri-Shell bottom outlet high pressure low level cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/21/NW-B90120_B90121_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_HDutyCisterns_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PB90200,Thomas Dudley Diplomat side supply overflow high/low pressure low level cistern 6/9ltr White,Thomas Dudley,77.33,"The installer-friendly Thomas Dudley Diplomat is a traditional plastic cistern designed for domestic, local authority and commercial use. Easily screwed into most materials, this reliable, flexible 6-9L dual flush cistern combines convenience with affordability.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Diplomat side supply overflow high/low pressure low level cistern 6/9ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/00/NW-B90200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_LightDutyCisterns_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PB61022,Center CB Push button 6/3L cistern in gloss white,Center,72.65,"Operated with a simple push-button, this Center CB white ceramic cistern offers a 3/6L single flush. It is supplied with fittings for ease of installation.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Center CB Push button 6/3L cistern in gloss white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/22/NW-B61022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/B61021_B61022_Pushbutton_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/B61021_B61022_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PD01441,Siamp Intra Cable concealed cistern cable operated dual flush bottom entry,Siamp,81.38,This Siamp Intra Cable 6L bottom inlet concealed cistern is equipped with dual flush outlet valve and a quiet fill inlet valve.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Siamp Intra Cable concealed cistern cable operated dual flush bottom entry,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/41/NW-D01441_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Intra_Cistern_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Intra_Cable_31014710_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Siamp_Intra_Cable_14055_2_DoP.pdf,,,,,,,,,,,
