,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Attachment 2,By Model Number,Range For Use With,Feature 1,Feature 2,Feature 3,Feature 4,Part Gas Council number
10,P468298,Alpha 3 bar pressure relief valve,Alpha,31.24,"An Alpha brand part, this 3 bar pressure relief valve is suitable for Eco, InTec ErP and InTec range units.  These valves help to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 3 bar pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/98/468298_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_40GS2_Installation.pdf,,,,,,,,,,,,,,,
11,P453775,Alpha 1.025576 printed circuit board,Alpha,199.58,"A printed circuit board designed for use in Alpha CB, HE and SY range boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 1.025576 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/453775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_HE_Installation.pdf,,,,,,,,,,,,,,,
12,P195440,Alpha EasyStat wireless programmable room thermostat,Alpha,68.63,"Alpha Easy-Stat is a programmable room thermostat and must be installed in the correct position, approximately 1.5 meters from the ground and must not be fitted in any of the following positions in direct sunlight, near a heat source i.e. radiator, fire etc, in an area where it can be influenced by a draught, near or behind curtains or furniture.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha EasyStat wireless programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/40/195440_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Alpha_EasyStat_User_Instructions.pdf,,,,,,,,,,,,,,,
13,P453910,Alpha heating expansion vessel,Alpha,111.3,"A genuine Alpha part, this 8L expansion vessel is for use in the brand's CD and CB ranges.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha heating expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/10/453910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_28_Installation.pdf,,,,,,,
14,P468299,Alpha heat exchanger fan seal kit,Alpha,59.6,"This seal kit is use in boilers in the fan and heat exchanger of Alpha's CDS and CDX ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha heat exchanger fan seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/99/468299_wm.jpg,,N,"CD 12S LPG, CD 12S, CD 20S LPG, CD 28X LPG, CD 28X, CD 25X, CD 25X LPG, CD 20S, CD 28S, CD 28S LPG",Gas Assembly,"CDS Range, CDX Range",3.018998,Seal Kit,N,,"CD 28X,CD 12S,CD 28S LPG,CD 25X LPG,CD 25X,CD 20S,CD 20S LPG,CD 12S LPG,CD 28S,CD 28X LPG",,,,,,
15,P468285,Alpha ignition electrode and lead,Alpha,40.79,"An Alpha ignition electrode with lead for boilers in the brand's CD range.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha ignition electrode and lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/85/468285_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD25C_28C_35C_Installation.pdf,,,,,,,,,,,,,,,
16,P468431,Alpha DHW flow switch,Alpha,43.48,"This flow switch is designed for Alpha's InTec, InTec2, Eco, InTec ErP, E-Tec and Evoke range boilers.  The flow switch has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha DHW flow switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/31/468431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_InTec2_Installation.pdf,,,,,,,,,,,,,,,
17,P468335,Alpha primary heat exchanger seal kit,Alpha,46.21,"This seal kit is use in boilers in Alpha's InTec, InTec ErP and Eco ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha primary heat exchanger seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/35/468335_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_Eco_InTec_Installation.pdf,,,,,,,,,,,,,,,
18,P468294,Alpha 3 way valve motor,Alpha,56.84,"This Alpha 3-way valve motor is a replacement part for the diverter valve section of Eco, InTec ErP and InTec units.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 3 way valve motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/94/468294_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_InTec_Installation.pdf,,,,,,,,,,,,,,,
19,P449903,Alpha air pressure switch,Alpha,62.05,"This Alpha air pressure switch, in grey, is a suitable spare for CB and HE range boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha air pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/449903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_HE_Installation.pdf,,,,,,,,,,,,,,,
20,P468330,Alpha automatic air vent,Alpha,59.9,"This air vent is a genuine replacement part for Alpha Eco, InTec, InTec2, E-Tec, Evoke and InTec ErP boilers. It is supplied with an O-ring for hassle-free installation.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha automatic air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/30/468330_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_40GS2_Installation.pdf,,,,,,,,,,,,,,,
21,P196105,Alpha 24hr round mechanical clock,Alpha,41.39,Alpha 24 hour mechanical clock is simple to use with settings In 15 minute intervals. It is simple to fit and connect using spade connectors located in the control panel.,Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 24hr round mechanical clock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/05/196105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_Brochure.pdf,,,,,,,
22,P453756,Alpha 1.02356 expansion vessel,Alpha,98.54,"A genuine Alpha part, this 8L expansion vessel is suitable for boilers in the Alpha C, CB, CDS, CD CDX, HE and SY ranges.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 1.02356 expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/56/453756_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD25_Installation.pdf,,,,,,,,,,,,,,,
23,P468300,Alpha 3.022653 hydraulic assembly seal kit,Alpha,17.0,"This seal kit is use in boilers in Alpha's InTec, InTec ErP and Eco ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 3.022653 hydraulic assembly seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/00/468300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_30GS_40GS_Installation.pdf,,,,,,,,,,,,,,,
24,P453820,Alpha 1.027267 printed circuit board,Alpha,198.53,"A printed circuit board designed for use in Alpha CD and CDS boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 1.027267 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/20/453820_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD25C_Installation.pdf,,,,,,,,,,,,,,,
25,P468406,Alpha pump,Alpha,190.38,"This pump head is suitable for installation in the pump, after the primary heat exchanger, of Alpha Eco and InTec boiler ranges.  The pump moves heated water around a closed heating system and is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/06/468406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_InTec_12S_Installation.pdf,,,,,,,,,,,,,,,
