,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Warranty,Phase,Model For Use With,Power Supply,Feature 3
10,P681916,Beermaster BMO150 / 231-940-106 1/3 fan set,Beermaster,296.59,This Beermaster BMO150/231-940-106 1P fan set offers reduced noise during operation and high levels of efficiency. It is compatible with BMO-150-1 and BMO150-3.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster BMO150 / 231-940-106 1/3 fan set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/16/NW-681916_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
11,P677672,Kelvion 210-070-104 capacitor 4mf,Kelvion,48.76,A Kelvion Searle 210-070-104 4µF capacitor.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Kelvion 210-070-104 capacitor 4mf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/72/NW-677672_wm.jpg,N,10x8x8,100461088,Capacitor,N,Kelvion Searle spare part,4µF capacitor,,,,,,,
12,P684193,Beermaster MK2 defrost sensor (BMI),Beermaster,43.25,"This efficient Beermaster defrost sensor is fitted to ensure accuracy. Where a controller set point is reduced to a temperature of below 8°C without a fitted defrost sensor, the set point will automatically default to 8°C.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster MK2 defrost sensor (BMI),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/93/NW-684193_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,,,
13,P684225,Beermaster fan speed controller (BMO),Beermaster,248.29,This Beermaster 1P fan speed controller modulates both fans on the BMO 350 to 550 models. The full acoustic kit incorporates fan speed controller 684223 or 684224.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster fan speed controller (BMO),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/25/NW-684225_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,,,
14,P681734,Beermaster series solenoid valve lead,Beermaster,14.53,A Beermaster BME Series solenoid valve lead.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster series solenoid valve lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/34/NW-681734_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
15,P681731,Beermaster CME231-206-103 printed circuit control board and probe,Beermaster,460.93,A Beermaster CME231-206-103 PCB board and probe.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster CME231-206-103 printed circuit control board and probe,,PCB board;Probe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/31/NW-681731_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
16,P684222,Beermaster universal wall mounting kit,Beermaster,132.37,"The Beermaster universal wall-mounting kit is suitable for use in any BMO condensing unit or BMIE evaporator. Easy to assemble and install with a minimised profile, it is ideal for those areas where space is at a premium.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster universal wall mounting kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/22/NW-684222_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,,,
17,P681656,Beermaster expansion valve no.2 orifice,Beermaster,21.68,This Beermaster no.2 orifice expansion valve is compatible with BMI407-37 and BMIE407-37.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster expansion valve no.2 orifice,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/56/NW-681656_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
18,P683273,Kelvion VRE.A1G 350 AP 01-08 KDC motor + COV,Kelvion,526.63,This Kelvion A1G 350 AP 01-08 fan unit offers two speeds.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Kelvion VRE.A1G 350 AP 01-08 KDC motor + COV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/73/683273_wm.jpg,N,40X40X25CM,100802959,Fan Unit,N,Kelvion Searle spare part,2 speed,,,,,,230V,
19,P678241,Kelvion 1 phase TG motor 220/240v 50/60hz,Kelvion,106.26,A Kelvion Searle 15W 220 - 240V TG motor.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Kelvion 1 phase TG motor 220/240v 50/60hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/41/NW-678241_wm.jpg,N,D 47 / W 32 / H 32 CM,100461466,fan motor,N,Heat exchanger spare part,,,,,,,"220 to 240 VAC at 50/60Hz, 1P, 15 W",
