,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Capacity Litre,Feature 8,Attachment 3,Attachment 4,Colour,Projection Depth,Style,Watts,Fuel Source,Material,Orientation,Shape,Wall to Centre Tapping,BTU h,Feature 9,Feature 10,Feature 11,Attachment 5,Diameter,Feature 12,Feature 13,Feature 14,Connection Type,Pressure,Overheat Protection,Direct / Indirect,Insulation Type,Application,Pack Quantity,Area (m2),Attachment 6,Refrigerant Suitability
10,P276288,Stelrad Compact K3 K3 radiator 600 x 2400mm,Stelrad,710.95,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2400 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 600 x 2400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P125454,Vaillant uniSTOR 0020235271 heat pump cylinder 150ltr,Vaillant,946.49,"Built for performance and reliability, the slim Vaillant uniSTOR 150L indirect heat pump cylinder is manufactured from hardwearing stainless steel and incorporates the latest thermal-injected insulation for ultra-low heat loss, as little as 1kW in 24 hours. The uniSTOR has a large diameter, smooth-surfaced coil positioned in an optimal spot for the ultimate in hot water performance and with automatic de-scaling provides ongoing efficiency with minimal maintenance.",Renewables/Renewables.csv -> Vaillant uniSTOR 0020235271 heat pump cylinder 150ltr,,Cylinder;Documentation;Tundish;Three-way motorised valve;Unvented cylinder kit;Expansion vessel;3/4 inch x 28mm MI-copper compression fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/57/125454_125457_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Heat_Pump_Cylinder_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P170126,Ideal Halo Lite RF Thermostat (boxed),Ideal,85.63,"Offering intuitive operation for all users, the Ideal Heating Halo Lite RF thermostat is an OpenTherm wireless programmable room thermostat, or PRT, with a wall-mounted receiver. This stat is suitable for installation with all current Ideal Heating combi boiler models.",Renewables/Renewables.csv -> Ideal Halo Lite RF Thermostat (boxed),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/26/170126_wm.jpg,,,,,N,,,,,,237423,,N,With large colour screen,Simple dial and button interface for ease of use,Easily adjustable schedule with override options,Child lock function prevents unwanted adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P207409,Stelrad Elite 600 1400 triple panel radaitor White,Stelrad,267.78,"A robust and attractive unit finished in clean white to suit the majority of interiors, the Stelrad Elite 600 x 1400mm triple panel radiator has a traditional round topped design and tough steel construction. Offering a heat output of 12,011 BTU/h, this reliable radiator is delivered complete with colour-coded fittings for ease of installation and in tough packaging that keeps its smart powder-coating scuff and chip-free throughout transport and fitting.",Renewables/Renewables.csv -> Stelrad Elite 600 1400 triple panel radaitor White,,Radiator and brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/09/207409_wm.jpg,Elite,,10 Years,70.56 kg,N,,,,,,3563314,Triple Convector Radiator,N,Steel construction,White powder-coated finish,Guaranteed to perform to a maximum working pressure of 116 psi,Symmetrical convectors for either way up mounting,All tappings perfectly aligned,Includes high quality nickel-plated plugs and vents,"Robust packaging protects the radiator during storage, transit and installation",,,,Complete with fittings,,,White,158,Traditional,3520,Hydronic,Steel,Horizontal,Straight,73,12011,Includes colour-coded lables for easy identification of parts,Complies with BS EN442,10 year warranty,,,,,,,,,,,,,,,
14,P276262,Stelrad Compact K3 K3 radiator 300 x 2000mm,Stelrad,256.59,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2000 x 300mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 300 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/67/NW-276261_276267_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P276279,Stelrad Compact K3 K3 radiator 600 x 800mm,Stelrad,186.06,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 800 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 600 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P118868,Vaillant 0020250226 rubber feet ground socket set,Vaillant,83.9,"This pair of large, rubber Vaillant aroTHERM anti-vibration feet are used to dampen noise caused by vibration during heat pump operation.",Renewables/Renewables.csv -> Vaillant 0020250226 rubber feet ground socket set,,2 x  anti-vibration feet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/68/118868_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroTHERM_Plus_AW_HP_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroThermPlus_Heat-Pump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/23/44/Vaillant_aroTHERM_Heat_Pump_1522344.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P276286,Stelrad Compact K3 K3 radiator 600 x 1800mm,Stelrad,395.39,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 1800 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 600 x 1800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P276273,Stelrad Compact K3 K3 radiator 500 x 2000mm,Stelrad,394.57,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2000 x 500mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 500 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P635450,Balcas Brites BRITES10KG wood pellet bag 10kg,Balcas,8.93,"Premium quality Certified Biomass wood pellets, Balcas Brites are cylindrical with a 6mm diameter and a length of 30mm. Sourced from 100% virgin wood, Brites are manufactured with no chemicals or additives, making them completely safe for use in wood burning stoves and boilers.",Renewables/Renewables.csv -> Balcas Brites BRITES10KG wood pellet bag 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/72/166072_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Brites_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Brites_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P119693,Vaillant aroTHERM plus connection kit - straight pipe,Vaillant,79.44,"Designed for use with air-to-water heat pumps, this Vaillant aroTHERM Plus straight pipe connection kit has a plain-type connection and comes complete with insulation for a neat finish.",Renewables/Renewables.csv -> Vaillant aroTHERM plus connection kit - straight pipe,,Striaght pipe complete with insulation and fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/93/NW-119693_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/119693_Pipe_ConnectionKit_QuickGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P506183,Inta Anti-Freeze Valves ZERO28 anti-freeze valve 28 mm,Inta,97.73,"A unique design, this Intatec Zero28 130mm anti-freeze valve has been engineered to protect heat pumps operating in water. This valve prevents ice from forming in the heat pump circuit, reducing the risk of expensive and inconvenient damage or breakdowns.",Renewables/Renewables.csv -> Inta Anti-Freeze Valves ZERO28 anti-freeze valve 28 mm,,ValveInstructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/83/506183_wm.jpg,Anti-Freeze Valves,N/A,2 years,500 g,N,,,130,PipeCompression,,ZERO28,Heat Pump Accessory,N,Wax element situated in water flow,Opening temperature 3°C,Closing temperature 4°C,Compression connections,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
