,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Projection Depth,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Projection,Tap Holes,Attachment 3,Attachment 4
10,PB47407,Twyford Alcona one tap hole basin 500mm White,Twyford,47.53,"The modern Twyford Alcona 500mm washbasin with single tap hole is built in robust vitreous china. Suitable for wall or pedestal installation, this basin brings a touch of luxury to any bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Twyford Alcona one tap hole basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/07/NW-B47407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Alcona_500_600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Collection_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,
11,PB47408,Twyford Alcona two tap hole basin 500mm White,Twyford,47.53,"The modern Twyford Alcona 500mm washbasin with two tap holes is built in robust vitreous china. Suitable for wall or pedestal installation, this basin brings a touch of luxury to any bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Twyford Alcona two tap hole basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/08/NW-B47408_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Alcona_500_600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Collection_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,
12,PD02377,Ideal Standard Sandringham 21 1 tap hole countertop basin 500mm White,Ideal Standard,109.76,"Stylish yet cost-effective, the Ideal Standard Sandringham 21 500mm countertop washbasin with single tap hole is made of hardwearing vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Sandringham 21 1 tap hole countertop basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/77/NW-D02377_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02377_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
13,PC31009,Nabis Sense vanity basin 500mm,Nabis,43.49,This ceramic Nabis Sense 500mm single hole vanity basin has a smartly modern design and is designed for countertop mounting.,Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Nabis Sense vanity basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/C31009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/C31009_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,
14,PJ23566,Ideal Standard Strada countertop vessel basin (one tap hole) 500 x 470mm,Ideal Standard,219.33,"The square-edged Ideal Standard Strada 500mm semi-recessed basin with single tap hole, glazed back and overflow has a sleekly modern countertop design.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Strada countertop vessel basin (one tap hole) 500 x 470mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/66/NW-J23566_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D01891_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Washroom_Brochure_2015.pdf,,,,,,,,,,,,,,,,,,,,,,
15,PC31010,Nabis Sense vanity basin 600mm,Nabis,52.88,This ceramic Nabis Sense 600mm single hole vanity basin has a smartly modern design and is designed for countertop mounting.,Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Nabis Sense vanity basin 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/10/C31010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/C31010_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,PE19730,Atlanta Coral vessel basin 465mm White Gloss,Atlanta,96.82,"Designed with a distinctive shape for a modern look, the Atlanta Coral 465mm vessel handwash basin is a statement piece suitable for mounting into selected Atlanta bathroom furniture pieces. Finished in a high gloss white, this attractive basin blends clean practicality with high end style.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Atlanta Coral vessel basin 465mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/30/E19730_wm.jpg,,,White/Gloss,335,N,335,No,Free Standing,Ceramic,1,CORAL/WHG,Basin,N,Suitable for standard depth furniture,For use with unslotted waste,Ceramic construction,Gloss white finish,,,Coral,,,,
17,PD02378,Ideal Standard Sandringham 21 2 tap hole countertop basin 500mm White,Ideal Standard,109.76,"Stylish and cost-effective, the Ideal Standard Sandringham 21 500mm countertop washbasin with two tap holes is made of durable vitreous china with a smart, contemporary design.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Sandringham 21 2 tap hole countertop basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/78/NW-D02378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02378_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
18,PN68979,Ideal Standard i.Life S Hand rinse basin 370 x 210mm,Ideal Standard,97.79,"The Ideal Standard i.Life S handrinse basin is suitable for wall or vanity top mounting, providing the installer with a range of possibilities. A compact design ideal for bathrooms short on floor space, this ceramic handwash basin has a modern silhouette and blends seamlessly with other products in the space saving i.Life S range.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard i.Life S Hand rinse basin 370 x 210mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/79/N68979_wm.jpg,,,White/Gloss,210,N,210,No,Wall or Vanity,Ceramic,1,E211201,Handrinse Washbasin,N,Designed by Palomba Serafini Associati,Space saving design,With right-hand taphole,Ceramic construction,White gloss finish,,i.Life S,,,,
19,PP71185,Geberit Selnova Square countertop basin 1 tap 550 x 450mm,Geberit,124.28,"With its geometric shape, the Geberit Selnova Square 550mm countertop washbasin is the perfect choice for a contemporary bathroom. Made of vitreous china with a high gloss white coating, the Selnova Square is designed to pair with modern vanity countertops, offering a single pre-drilled tap hole, allowing you to select your ideal brassware.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Geberit Selnova Square countertop basin 1 tap 550 x 450mm,,Washbasin;Fastening material,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/85/NW-P71185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P71185_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
20,PD23275,Ideal Standard Tempo 1 tap hole vanity basin 610 x 455mm White,Ideal Standard,119.04,"The softly streamlined Ideal Standard Tempo 610mm vanity basin with single tap hole is designed for use with full or semi pedestals. This basin has a clean flat deck storage area for convenience and is made of neat, long lasting vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Tempo 1 tap hole vanity basin 610 x 455mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/75/NW-D23275_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D23275_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,,,
21,PD02382,Ideal Standard Sandringham 21 2 tap hole semi-countertop basin without chain hole 500mm White,Ideal Standard,128.28,"Stylish and cost-effective, the Ideal Standard Sandringham 21 490mm semi-countertop washbasin with two tap holes is made of durable vitreous china with a smart, contemporary design.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Sandringham 21 2 tap hole semi-countertop basin without chain hole 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/82/NW-D02382_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02382_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
22,PC04162,Ideal Standard Concept Cube one left tap hole semi countertop short basin 500mm White,Ideal Standard,195.27,"The sleek, modern Ideal Standard Concept Cube 500mm countertop washbasin with single left hand tap hole offers compatibility with a range of design-matched bathroom furniture units for a smart combination of functionality and style.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Concept Cube one left tap hole semi countertop short basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/62/NW-C04162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C04162_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
23,PA67209,Ideal Standard Connect Air h/r basin cube s/w 40x45 White,Ideal Standard,118.37,"Perfect for contemporary bathrooms, the Ideal Standard Concept Air 400mm handrinse basin with single tap hole has thin ceramic walls for a lighter, slimmer, more modern look. Part of a wide range of bathroom fittings and furniture, this white fireclay basin can help you to achieve a seamless bathroom design.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Connect Air h/r basin cube s/w 40x45 White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/09/NW-A67209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A67209_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/IS_Concept_Air_Brchr_2017.pdf,,,,,,,,,,,,,,,,,,,,,,
24,PD41802,Roca The Gap A327479000 one tap hole cloakroom/countertop basin 350mm White,Roca,81.61,"Compact, functional and smart, this Roca The Gap 350mm wall-hung basin with a single central tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Roca The Gap A327479000 one tap hole cloakroom/countertop basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/02/NW-D41802_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D41802_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf
25,PC21389,Ideal Standard Concept Sphere one tap hole semi countertop basin 550mm White,Ideal Standard,195.06,"Modern and practical, the Ideal Standard Concept Space Sphere 550mm semi-countertop washbasin with single tap hole is made of highly durable fireclay. Designed to maximise your bathroom space, this luxury basin sits on a countertop for a smart contemporary look.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Concept Sphere one tap hole semi countertop basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/89/NW-C21389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21389_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,,,,
26,PD02381,Ideal Standard Sandringham 21 2 tap hole semi-countertop basin 500mm White,Ideal Standard,128.28,"Stylish and cost-effective, the Ideal Standard Sandringham 21 490mm semi-countertop washbasin with two tap holes is made of durable vitreous china with a smart, contemporary design.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Sandringham 21 2 tap hole semi-countertop basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/81/NW-D02381_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02381_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
27,PC21029,Ideal Standard Concept Sphere 1 tap hole sphere shaped countertop basin 380mm White,Ideal Standard,151.48,"Modern and practical, the Ideal Standard Concept Space Sphere 380mm countertop washbasin with single tap hole is made of tough vitreous china. Designed to maximise your bathroom space, this luxury basin sits on a countertop for a smart contemporary look.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Concept Sphere 1 tap hole sphere shaped countertop basin 380mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/29/NW-C21029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21029_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_Concept_Sphere_38cm_Technical.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,
28,PD81424,Ideal Standard iLife semi countertop washbasin 1 taphole 50cm,Ideal Standard,136.82,"A simple, stylish design suitable for any contemporary bathroom, the Ideal Standard iLife 500mm semi-countertop washbasin is intended for installation into a countertop or vanity unit. Finished in smart white, this handwash basin includes one pre-drilled taphole for your choice of mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard iLife semi countertop washbasin 1 taphole 50cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/_a/D81424_A_wm.jpg,,,White,440,N,440,No,Surface Mounted,Vitreous China,1,E246701,Countertop Basin,N,Designed by Palomba Serafini Associati,Suitable for in-furniture or countertop installation,Vitreous china manufacture,White finish,With single taphole,,iLIFE,,,,
