,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Connection Type,Diameter,Weight,Hazardous,Equal / Unequal,Angle,Dimensions (L x W x D),Material,Connection Type 1,Connection Type 2,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Connection Size,Range,Warranty,Feature 2,Feature 3,Feature 4,Size,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 6,Drainage Product Type,Application,Waste Diameter,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Feature 9,Feature 10,Feature 11,Feature 12,Pack Quantity,Feature 13,Approvals,Min Bar Pressure,Operating Pressure,Attachment 7,Attachment 8
10,PF13455,"Center CB adjustable tubular P-trap 1.1/2"" 40mm",Center CB,4.74,This Center CB 40mm P trap is made of polypropylene and has a 150mm length. It incorporates compression connections and a 75mm adjustable seal.,"Drainage/Drainage.csv -> Center CB adjustable tubular P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/55/NW-F13455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_Drainage_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/01/19/Drainage Guide PDF 300119.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PF15252,"Center CB 90deg knuckle bend 1.1/4"" White",Center CB,0.85,"This Center CB 32mm ABS knuckle bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Drainage.csv -> Center CB 90deg knuckle bend 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/52/NW-F15252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PF47355,McAlpine WC-F18R flexible 100mm to 160mm,McAlpine,22.25,"This McAlpine 252mm straight flexible WC connector has a 97 to 107mm inlet x 4""/110mm outlet.",Drainage/Drainage.csv -> McAlpine WC-F18R flexible 100mm to 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/55/NW-F47355_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Connectors_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47355_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PF15272,"Center CB 90deg knuckle bend 1.1/2"" White",Center CB,0.85,"This Center CB 40mm ABS knuckle bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Drainage.csv -> Center CB 90deg knuckle bend 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/72/NW-F15272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PF15276,"Center CB 90deg Swept Tee 90 degree swept tee 1.1/2"" White",Center CB,1.0,"Center CB swept tee is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","Drainage/Drainage.csv -> Center CB 90deg Swept Tee 90 degree swept tee 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/76/NW-F15276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PF15278,"Center CB straight coupling 1.1/2"" White",Center CB,0.92,"This Center CB 40mm straight coupling is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Drainage.csv -> Center CB straight coupling 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/78/NW-F15278_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PF47471,McAlpine WC-CON8F 90deg WC connector,McAlpine,23.99,"This McAlpine flexible WC connector incorporates a 97 to 107mm inlet x 4""/110mm outlet.",Drainage/Drainage.csv -> McAlpine WC-CON8F 90deg WC connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/71/NW-F47471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47471_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Connectors_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/FloPlast_Soil_and_Waste_brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PF14991,Center CB Air Admittance Valve 40mm White,Center CB,12.25,"Made of white PVC with compression connections, this Center CB 40mm air admittance valve provides free entry of air into sanitary pipework with no risk of foul gas escape. Providing an early indication of potential blockages, this valve also eliminates the risk of losing water from trap seals due to induced siphonage.",Drainage/Drainage.csv -> Center CB Air Admittance Valve 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/91/NW-F14991_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF15296,"Center CB 90deg Swept Tee 90 degree swept tee 2"" White",Center CB,1.88,"Center CB swept tee is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","Drainage/Drainage.csv -> Center CB 90deg Swept Tee 90 degree swept tee 2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/96/NW-F15296_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF13435,"Center CB bottle P-trap 1.1/2"" 40mm",Center CB,4.32,"Center CB bottle P-trap is made of polypropylene. The Center waste trap range features a wide variety of trap configurations, so whatever need to drain waste water from, be that a sink, basin, bath, shower, bidet, washing machine or dishwasher, comprehensive range has all your needs covered.","Drainage/Drainage.csv -> Center CB bottle P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/35/NW-F13435_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF15258,"Center CB straight coupling 1.1/4"" White",Center CB,0.92,"This Center CB 32mm straight coupling is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Drainage.csv -> Center CB straight coupling 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/58/NW-F15258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF42060,"McAlpine DC2-BL drain connector 4""/110mm x 1.1/4""x 1 1/2""",McAlpine,10.99,"This McAlpine 4 x 1 1/4 x 1 1/2"" drain reducer connector with sealing ring is designed to fit a plastic waste pipe to BS EN 1451-1:2000 and BS EN 1329-1:2000.","Drainage/Drainage.csv -> McAlpine DC2-BL drain connector 4""/110mm x 1.1/4""x 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/60/NW-F42060_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F42060_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF15298,"Center CB straight coupling 2"" White",Center CB,1.88,"Center CB straight coupling is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","Drainage/Drainage.csv -> Center CB straight coupling 2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/98/NW-F15298_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PF43016,"McAlpine shallow seal bath P-trap 1.1/2"" x 19mm",McAlpine,4.84,"This McAlpine Q10 shallow seal bath P trap is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes 1 1/4"" BSP x 19mm water seal compression connections.","Drainage/Drainage.csv -> McAlpine shallow seal bath P-trap 1.1/2"" x 19mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/16/NW-F43016_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Q10_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_Q10_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/FloPlast_Soil_and_Waste_brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PF47321,McAlpine WC-CON8 90deg adjustable WC connector,McAlpine,6.86,"This McAlpine rigid WC connector with 90° bend, adjustable length and 97 to 107mm inlet has a finned outlet for 4""/110mm PVC-U and cast iron soil pipe diameters (internal) or a plain end outlet for 110mm soil or underground pipe fittings.",Drainage/Drainage.csv -> McAlpine WC-CON8 90deg adjustable WC connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/21/NW-F47321_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47321_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Connectors_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PF15274,"Center CB 45deg obtuse bend 1.1/2"" White",Center CB,0.91,"Made of ABS, this Center CB 40mm obtuse bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Drainage.csv -> Center CB 45deg obtuse bend 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/74/NW-F15274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF14950,Center CB 90deg pan connector,Center CB,6.25,"Center CB pan connector is made of polypropylene. Connecting a toilet to a waste pipe can in some cases be more complex than it needs to be. However, Center pan connectors range features a wide variety of connection types, making it as easy as possible to select the right connector and get the job done.",Drainage/Drainage.csv -> Center CB 90deg pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/50/NW-F14950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
