,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Diameter,Size,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Range,Attachment 3,Attachment 4,Dimensions mm (H x W x D),Feature 7,Feature 8,Feature 9,Feature 10,Pack Quantity
10,PC59148,Thomas Dudley wc cistern close-coupling kit,Thomas Dudley,10.21,This Thomas Dudley close-coupling kit contains everything you'll require for connecting a close-coupled WC cistern to a close-coupled pan. The kit ensures a completely watertight connection you can rely on.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Thomas Dudley wc cistern close-coupling kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/48/C59148_wm.jpg,Steel / Black,N,,Steel plateRubber Washer,PPSCCK368396,WC Cistern Close-Coupling Kit,N,Steel and rubber construction,"For cisterns with 1 1/2"" outlet","Includes 1 1/2"" cranked steel plate",,,"With 1 1/2"" doughnut washer","With nuts, bolts and washer",,,,,,,,,,,,
11,PD40208,Roca Happening standard hanger for semi pedestal,Roca,10.4,This Roca standard hanger is for semi pedestals.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Roca Happening standard hanger for semi pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/08/NW-D40208_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,
12,PA05465,* NAB SPARE BRACKET 17040,Nabis,1.63,This Nabis Regal tap bracket is compatible with bath/shower mixers A05416 and A05419.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> * NAB SPARE BRACKET 17040,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/65/A05465_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
13,P257488,"Center pop up basin plug 1 1/4"" Chrome",Center,8.46,"Suitable for use as a replacement for a broken plug, this Center 1 1/4"" pop-up basin plug is suitable for most standard-sized basins or sinks.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center pop up basin plug 1 1/4"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/88/257488_wm.jpg,Chrome,N,394,Mazak,PPSWAS374533,Basin Plug,N,Mazak construction,Chrome-plated finish,,,,,,,,,,,,,,,,,
14,PB78984,Ideal Standard strainer for contour outlet Soft Cream,Ideal Standard,5.45,This Ideal Standard Contour wash basin outlet strainer is made from soft cream plastic.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard strainer for contour outlet Soft Cream,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/84/NW-B78984_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochr_2014.pdf,,,,,,,,,,
15,P257484,"Center basin chain 12"" Chrome",Center,6.95,"This simple Center 12"" chrome basin chain is supplied complete with a chain stay and hook. Keeping a plug securely fastened to your sink or basin, this chain has a traditional oval design.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center basin chain 12"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/84/257484_wm.jpg,Chrome,N,305,Steel,PPSCLI374540,Basin Chain,N,Oval design,Steel construction,Chrome finish,,,With hook and stay,,,,,,,,,,,,,
16,PC50510,"Wirquin bath chain ball link S-hook 19"" Chrome Plated",Wirquin,1.14,This Wirquin bath ball chain and S hook is made of ductile iron with a chrome finish.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Wirquin bath chain ball link S-hook 19"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/10/NW-C50510_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wirquin_Macdee_Brassware_Brochure.pdf,,,,,,,,,,
17,PA05473,* NAB SPARE BRACKET 17051,Nabis,4.93,This Nabis Regal tap bracket is compatible with A05423 and A05428 bath/shower mixers.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> * NAB SPARE BRACKET 17051,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/73/A05473_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
18,PA05452,Nabis Regal fixing kit,Nabis,0.79,"This Nabis Regal fixing kit is suitable for the A05406 mono basin tap, A05407 mono bath filler, A05433 basin mixer without waste, the A05422 and A05426 cloakroom basin mixers and the A05421 basin mixer.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Nabis Regal fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/45/597545_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
19,PC50560,Wirquin chain hole stopper Chrome Plated,Wirquin,2.72,A Wirquin chain hole stopper made from ductile iron with a chrome finish.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Wirquin chain hole stopper Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/60/NW-C50560_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wirquin_Macdee_Brassware_Brochure.pdf,,,,,,,,,,
20,PD67399,Hewi support rail 450mm Stainless Steel Satin,Hewi,102.28,"The Hewi System 900 450mm support rail has a 32mm diameter and tube thickness of 2mm for hardwearing longevity. Designed to support independent bathroom use, this stainless steel grab bar is supplied complete with a 70mm rose and is manufactured in corrosion-resistant stainless steel with a sleek satin finish.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Hewi support rail 450mm Stainless Steel Satin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/99/D67399_wm.jpg,Stainless Steel,N,,Stainless Steel,900.36.0S0XA,Support Rail,N,Suitable for rose or straight-to-wall fitting,Made-to-measure fixing space of 220 to 1100mm,Satin stainless steel construction,,,"Non-corrosive, tested fixing material for wall mounting",With sealing tape for drill point sealing,,,,,,,,,,,,
21,PQ89024,"Hansgrohe bottle trap 1.3/4"" Chrome Plated",Hansgrohe,113.95,"The Hansgrohe Design Trap Flowstar bottle trap combines style and functionality. Finished in smart chrome, this trap is easily removable making unblocking the sink simple.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Hansgrohe bottle trap 1.3/4"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/24/NW-Q89024_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Service_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hansgrohe_Flowstar_52105000_Tech.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q89024_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hansgrohe_Flowstar_52105XXX_Install.pdf,,,,,,
22,PA05460,* NAB SPARE BRACKET 17065,Nabis,0.85,This Nabis Regal bracket is suitable for the fitting of A05412 and A05438 bath/shower mixers.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> * NAB SPARE BRACKET 17065,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/60/A05460_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
23,PB17023,Ideal Standard Concept Sphere fixing bracket for vessel basin,Ideal Standard,12.85,"This Ideal Standard Concept Sphere fixing bracket is compatible with a range of vessel basins, providing secure mounting of a basin to your countertop.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard Concept Sphere fixing bracket for vessel basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/23/NW-B17023_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E009567_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B17023_Technical.pdf,,,,,,,
24,PJ23420,Ideal Standard Care Plus electric basin bracket with lever (vertical adjustment),Ideal Standard,3582.15,"Providing flexibility for differently abled use, the Ideal Standard Care Plus electric washbasin mounting bracket offers electrically-operated height adjustment, particularly useful for wheelchair users. This basin fitting is part of a range designed to suit a variety of abilities and requirements.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard Care Plus electric basin bracket with lever (vertical adjustment),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/20/NW-J23420_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S0651_E5499_S0649_A6698_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,
25,PB79006,Ideal Standard Care Plus multisystem basin bracket,Ideal Standard,632.05,"Providing flexibility for differently abled use, the Ideal Standard Care Plus 510mm manual washbasin mounting bracket offers manually-operated height adjustment, particularly useful for wheelchair users. This basin fitting is part of a range designed to suit a variety of abilities and requirements.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard Care Plus multisystem basin bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/06/NW-B79006_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S0641-2252-0649_A6698_Tech.pdf,,,,,,,,,
26,PB79311,Twyford Avalon hinged rail con fix Blue,Twyford,180.3,"Ideal for domestic bathrooms, hotels, healthcare facilities and public bathrooms, the Twyford Avalon Doc M 805 x 190 x 100mm hinged rail with integrated toilet roll holder helps to make the use of bathroom facilities simpler, providing support for those who require it, aiding comfort and independence. The hinged mechanism makes this rail suitable for smaller bathrooms, folding back against the wall when not in use. Supplied complete with fixings for concealed installation, this rail is made of robust aluminium with a blue powder-coated finish.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Twyford Avalon hinged rail con fix Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/11/B79311_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/B79311_Tech_Sheet.pdf,,,,,,,,,,
27,PC50410,"Wirquin bath chain open oval S hook 18"" Chrome Plated",Wirquin,1.45,A Wirquin bath link chain and S hook made from strong ductile iron with a chrome finish.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Wirquin bath chain open oval S hook 18"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/10/NW-C50410_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wirquin_Macdee_Brassware_Brochure.pdf,,,,,,,,,,
28,PC04303,Ideal Standard luxery clicker bath waste and overflow,Ideal Standard,67.71,"A luxury level universal clicker waste with overflow, suitable for 44mm and 52mm diameter bath overflow holes.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard luxery clicker bath waste and overflow,,Clicker bath waste & overflow,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/03/C04303_wm.jpg,Chrome,N,591,Mixed,E1484AA,Bath Waste,N,Mushroom head plug design,Brass construction,Chrome-plated finish,,,Clicker mechanism sits out of water flow when pushed open,Helps reduce build-up of waste as water drains,With 900mm flexible overflow tube,,,,,,646 * 398,"Compatible with Idealform, Idealform Plus and Ideal Standard steel baths",Suitable for domestic and hotel use,Made in Europe,5 year warranty,
29,PC59116,Thomas Dudley for Kaldewei baths bath grips (Pair),Thomas Dudley,26.74,"This Masefield chrome bath grip has a Euro standard top fixing, profile.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Thomas Dudley for Kaldewei baths bath grips (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/16/C59116_wm.jpg,Chrome,N,,Plastic,PBAGRI364864,Bath Grip,N,Profile bath grips,254mm,Euro Standard,,,Top Fixing,Supplied in pairs,,,,for Kaldewei baths,,,,,,,,Pair
30,PC50297,Wirquin Mazak metal backnut Satin Chrome,Wirquin,1.27,"A Wirquin Mazak 1 1/4"" brass flanged replacement backnut.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Wirquin Mazak metal backnut Satin Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/98/NW-C50297_C50298_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wirquin_Macdee_Brassware_Brochure.pdf,,,,,,,,,,
