,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Warranty,Hazardous,Design Type,Material,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Feature 10,Feature 11,Feature 12,Type
22,PD45069,Roca The Gap wall hung clean rim pan White,Roca,242.01,"Designed by Antonio Bullo, Roca's The Gap wall hung square toilet pan with horizontal outlet delivers on style and functionality. This compact, rimless toilet design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca The Gap wall hung clean rim pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/69/NW-D45069_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A34647L000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_Hiden_Fixation_WC_Installation.pdf,,,,,,,,
23,PD44865,Roca The Gap wall hung pan White,Roca,237.19,"Designed by Antonio Bullo, Roca's The Gap wall hung square toilet pan with horizontal outlet delivers on style and functionality. This compact toilet design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca The Gap wall hung pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/65/NW-D44865_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A346477000_Technical.pdf,,,,,,,,,
24,PC34371,Ideal Standard i. life 170 x 70cm bath - two tap holes - White,Ideal Standard,251.43,"A simple rectangular design, the Ideal Standard i.Life 1700 x 700mm bath is manufactured in acrylic with a smart white finish. Two pre-drilled tapholes are included for the bath taps of your choice. This bath is part of the comprehensive i.Life range which includes a wide variety of fixtures and fittings to suit most bathroom designs.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard i. life 170 x 70cm bath - two tap holes - White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/71/C34371_wm.jpg,White,,12 Months,N,BATH,Acrylic,Rectangular,Yes,T477501,N,Acrylic construction,With 2x tapholes,White finish,12 month warranty,,,,,,,,,,,,,,,
25,PC21348,Ideal Standard Concept wall hung horizontal outlet pan White,Ideal Standard,330.86,"The Ideal Standard Concept back to wall toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning. This pan is designed for installation with the ECO W30 or Deco cisterns.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Concept wall hung horizontal outlet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/NW-C21348_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_Concept_Brochure.pdf,,,,,,,,,
26,PB79324,Twyford Alcona Wall Hung WC White,Twyford,105.39,"Helping to minimise water waste, the Twyford Alcona wall-hung WC pan offers a dual flush of 4/2.6L.  Built from a robust vitreous china, this smart round toilet pan has a crisp white finish that will suit any bathroom. •Colour: White •Horizontal Outlet •Material: Vitreous china Space Saving & Maximisation: Opting for a wall-hung toilet will eliminate the clutter of conventional toilets which take up floor space and create a more spacious bathroom. Hygiene: Wall-hung toilets expose a greater cleanable surface area as there is no pedestal, cistern or exposed pipework; leaving little space for germs or dust to accumulate. Strength & Durability: Built to last Geberit & Twyford wall-hung pans can withstand a weight of up to 400kg (62 Stone) when combined with a Geberit Cistern Frame. Geberit cisterns are easily accessed by simply removing the flush plate. Reduced Noise: A wall-hung toilet will reduce sanitary sound in any washroom. Raising the toilet off the ground stops noise travelling directly from the toile",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Twyford Alcona Wall Hung WC White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/B79324_Primary_Image_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/B79324_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_AR1708WH_Technical.pdf,,,,,,,,
27,PB61669,Nabis Arno square back to wall pan,Nabis,165.16,"A compact design ideal for smaller sized bathrooms, the Nabis Arno back to wall pan has a stylish, modern square shape and shorter projection. Easy to clean and maintain, the Arno is finished in a high gloss white glaze.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Arno square back to wall pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/69/NW-B61669_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_PhaseII_Ceramic_Info_30Aug2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,
28,PB61668,Nabis Arno close to wall close coupled pan,Nabis,187.85,"A compact design ideal for smaller sized bathrooms, the Nabis Arno close coupled back to wall pan has a stylish, modern square shape and shorter projection with hidden pipes for a neat, unfussy finish. Easy to clean and maintain, the Arno is finished in a high gloss white glaze.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Arno close to wall close coupled pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/68/NW-B61668_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_PhaseII_Ceramic_Info_30Aug2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,
29,PD21793,Ideal Standard i.life B Back to wall WC bowl with horizontal outlet and rimls+technology,Ideal Standard,214.65,"A sleek, modern design, the Ideal Standard i.Life S back-to-wall toilet bowl with horizontal outlet offers a space-saving design ideal for bathrooms with limited room to manoeuvre. Offering a touch of luxury, this WC includes a slow-close seat and RimLS+ technology for better efficiency in use.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard i.life B Back to wall WC bowl with horizontal outlet and rimls+technology,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/93/D21793_wm.jpg,White/Gloss,,Lifetime,N,Back to Wall,Ceramic,Oval,Yes,E260801,N,Designed by Palomba Serafini Associati,"Slow-close, quick-release seat option",RimLS+ flush technology for water efficiency,Back-to-wall installation,Ceramic construction,Gloss white finish,Lifetime warranty,,,,,,,,,,,,
30,PD13886,Roca Havana eco close-coupled pan,Roca,60.52,"Made of ceramic with a bright white finish, the Roca Havana Eco close-coupled WC pan has a classic rounded profile that will suit most bathrooms.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca Havana eco close-coupled pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/86/NW-D13886_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Primary_Collection_Brochure.pdf,,,,,,,,,
31,PT41724,Scudo Spa comfort height pan,Scudo,178.32,"Comfort height for ease of use, the Scudo Spa close-coupled toilet pan incorporates a rimless design for easier cleaning an improved hygiene. A luxurious rounded design, the Spa toilet pan is part of the extensive Spa range, a modern sanitaryware collection designed for a relaxed look and feel.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Scudo Spa comfort height pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/24/T41724_wm.jpg,White / Ceramic,,Lifetime Guarantee,N,Comfort Height,Ceramic,D-Shape,No,SPACE006,N,Comfort height,D-shaped design,Ceramic construction,White finish,Rimless for hygienic use,Lifetime warranty,,,,,,,,,,,,,
32,PD81431,Ideal Standard iLife closed couple back to wall W/C bowl horizontal outlet,Ideal Standard,157.75,"A sleek, modern design, the Ideal Standard i.Life S close-couple back-to-wall toilet bowl with horizontal outlet offers a space-saving design ideal for bathrooms with limited room to manoeuvre. Offering a touch of luxury, this WC includes a dual flush function, slow-close seat and RimLS+ technology for better efficiency in use.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard iLife closed couple back to wall W/C bowl horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/31/D81431_wm.jpg,White/Gloss,iLIFE,Lifetime,N,Back to Wall,Ceramic,Oval,Yes,E251001,N,Designed by Palomba Serafini Associati,With push-button dual flush cistern,"Slow-close, quick-release seat option",RimLS+ flush technology for water efficiency,Isolation valve access,Back-to-wall installation,Ceramic construction,Gloss white finish,Lifetime warranty,,,,,,,,,,
33,PT26312,LILY BTW PAN,Essentials,136.57,"Suitable for back-to-wall installation, the Essentials Lily toilet pan is 360mm in width and has a 550mm projection. A traditional D-shaped design with horizontal waste, this simple pan is manufactured in tough vitreous china.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> LILY BTW PAN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/12/T26312_wm.jpg,White,,25 Years,N,D Shape,Vitreous China,D-Shape,N/A,EC1006,N,Back-to-wall installation,Vitreous china construction,White colour,25 year warranty,,,,,,,,,,,,,,,Back To Wall Toilet Pan
34,PT41681,Scudo Deia Rimless comfort height closed back pan,Scudo,205.98,"Comfort height for ease of use by taller people or those with back or mobility issues, the Scudo Deia closed back toilet pan has a classic D-shape and a white finish to suit most bathrooms. This toilet pan is part of an extensive range of elegant sanitaryware items, helping to make bathroom redesigns simple.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Scudo Deia Rimless comfort height closed back pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/81/T41681_wm.jpg,White,,Lifetime,N,Rimless,Ceramic,D-Shape,No,DEIA006,N,Comfort height,Rimless design,Ceramic construction,White finish,D-shaped,Lifetime warranty,,,,,,,,,,,,,
35,PA56327,SCWH30PA ATLAS SCHOOL PAN 30.5CM WH,Lecico,203.02,"A lower level design, this Lecico Atlas 30.5cm white toilet pan is suitable for installation in school and early years facilities.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> SCWH30PA ATLAS SCHOOL PAN 30.5CM WH,,Pan,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/27/A56327_wm.jpg,White,Atlas,Limetime on manufacturers defects,N,Low Level,Ceramic,Round,No,SCWH30PA,N,With inclined P trap,Low-level design for infant use,Ceramic construction,White finish,Lifetime warranty on manufacturer defects,,,,,,,,,,,,,,
36,PC24459,Ideal Standard Concept Freedom raised height close coupled toilet pan,Ideal Standard,260.21,"The Ideal Standard Concept Freedom raised height, close coupled curved toilet pan brings accessibility and style together. This pan is part of the wider Freedom range of bathroom products, suitable for both domestic and commercial installation, which has been designed for functional accessible use while maintaining a compact footprint and contemporary look well-suited to modern bathroom decor.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Concept Freedom raised height close coupled toilet pan,,Toilet pan;Concealed brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/59/NW-C24459_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E608601_WC_Pan_Tech.pdf,,,,,,,,,
37,PB47420,Twyford Alcona floor standing washdown WC with horizontal outlet for exposed close-coupled cistern,Twyford,65.72,"Suitable for fitting with exposed close-coupled cisterns, the Twyford Alcona floor standing washdown WC offers a water saving flush of just 4/2.6L. A modern toilet design, this WC pan is suitable for fitting with the Alcona cistern and seat.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Twyford Alcona floor standing washdown WC with horizontal outlet for exposed close-coupled cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/20/B47420_wm.jpg,White,Alcona,10 Years,N,Modern,Vitreous China,Round D Shape,No,AR1158WH,N,For exposed close-coupled cistern,Horizontal outlet,Washdown type,Floor standing installation,With horizontal outlet,Vitreous china construction,White finish,10 year warranty,,,,,,,,,,,
38,PA67220,Ideal Standard Connect Air btw bowl ho aquabld s/wrp White,Ideal Standard,344.31,"The Ideal Standard Concept Air back-to-wall close coupled toilet pan incorporates Ideal Standard's cutting-edge Aquablade flushing technology. Offering improved hygiene, easier cleaning and a sleek modern look, the Concept Air has a sleekly tapered toilet bowl and matches with a wide range of Ideal Standard bathroom fittings for a cohesive design.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Connect Air btw bowl ho aquabld s/wrp White,,Toilet pan;Concealed brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/20/NW-A67220_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E079801_WC_Pan_Tech.pdf,,,,,,,,,
39,PN68984,Ideal Standard I.Life S Compact Close Coupled Toilet with RimLS+,Ideal Standard,159.0,"Part of the expansive i.Life range, the Ideal Standard i.Life B close-coupled toilet bowl has a smart modern design finished in clean, classic white. This close-coupled toilet bowl features the brand's own RimLS+ technology, delivering a powerful whole-bowl clean with every splashless flush while minimising nooks and crannies so there's nowhere for bacteria to lurk",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard I.Life S Compact Close Coupled Toilet with RimLS+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/84/N68984_wm.jpg,White/Gloss,,Lifetime,N,Contemporary,Ceramic,rounded/curved,Yes,E337301,N,Modern rounded design,With RimLS+ for whole-bowl clean,Rimless design reduces bacteria traps,Easy to clean,Ceramic construction,Gloss white finish,Lifetime warranty,,,,,,,,,,,,
40,PU22806,Lecico Atlas back to wall toilet pan White,Lecico,134.96,"Compact and neatly designed, this Lecico Atlas 366mm back-to-wall WC pan has a smaller footprint for a sense of space and easier cleaning. Suitable for domestic or commercial bathrooms, this curved loo is manufactured in white vitreous china and is intended for installation with a concealed cistern.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Lecico Atlas back to wall toilet pan White,,Pan,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/06/NW-U22806_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/U22806_Technical.pdf,,,,,,,,,
41,PJ14568,Ideal Standard Waverley Classic back to wall wc,Ideal Standard,236.89,"A classic Edwardian design, the Ideal Standard Waverley back-to-wall WC pan is ideal for a traditional bathroom in a period home. Finished in classic white, this toilet pan is part of a wide range of matching bathroom fittings for the easy creation of a complete suite.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Waverley Classic back to wall wc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/J14568.jpg_wm.jpg,White,Waverley Classic,Lifetime,N,Traditional,Vitreous China,Curved,No,U471201,N,For domestic or commercial use,Traditional Edwardian design,Back-to-wall installation,Vitreous china construction,White colour,Lifetime warranty,,,,,,,,,,,,,
42,PD00751,Roca Nexo compact close coupled toilet pan White,Roca,213.35,"The contemporary Roca Nexo back to wall, close coupled round toilet pan with dual outlet is well-proportioned with a modern design suited to most bathroom styles.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca Nexo compact close coupled toilet pan White,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/51/NW-D00751_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A342642000_Technical.pdf,,,,,,,,,
43,PJ78905,Ideal Standard Edit Assist back to wall raised height WC pan,Ideal Standard,330.1,"Stylish and practical all at once, the Ideal Standard Edit Assist wall-mounted toilet pan has a raised height bowl for accessible use. Made of robust white vitreous china, this back-to-wall toilet is suitable for installation in ambulant bathroom facilities.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Edit Assist back to wall raised height WC pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/05/J78905_wm.jpg,White,Edit Assist,1 year,N,Wall mounted,Vitreous China,Curved,No,S082501,N,Raised height,water efficient,,,,,,,,,,,,,,,,,
44,PP73044,Geberit Selnova semi shrouded rimfree wc and seat White,Geberit,347.39,"A classic design, the Geberit Selnova wall-hung WC pan is a simple, understated toilet that will suit any bathroom. With its high-quality build and versatility, this round WC pan is made of robust vitreous china with a white finish. Rimless, the Selnova for concealed cisterns is a hygienic choice for easier cleaning.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Geberit Selnova semi shrouded rimfree wc and seat White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/44/NW-P73044_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_P73044_Technical.pdf,,,,,,,,,
45,PN66492,Ideal Standard iLife S closed couple BTW RL plus ISOVWHBXD,Ideal Standard,206.7,"A sleek, modern design, the Ideal Standard i.Life S close-couple back-to-wall  toilet offers a space-saving design ideal for bathrooms with limited room to manoeuvre. Offering a touch of luxury, this WC includes a dual flush function, slow-close seat and RimLS+ technology for better efficiency in use.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard iLife S closed couple BTW RL plus ISOVWHBXD,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/92/N66492_wm.jpg,White/Gloss,iLIFE,Lifetime,N,Back to Wall,Ceramic,Oval,Yes,T459701,N,Designed by Palomba Serafini Associati,With push-button dual flush cistern,"Slow-close, quick-release seat option",RimLS+ flush technology for water efficiency,Isolation valve access,Back-to-wall installation,Ceramic construction,Gloss white finish,Lifetime warranty,,,,,,,,,,
46,PT26377,Essentials Ivy 360mm back to wall pan,Essentials,242.1,"Suitable for back-to-wall installation, the Essentials Ivy toilet pan is 450mm in height and has a 550mm projection. A traditional D-shaped design, this simple pan is manufactured in tough vitreous china.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Essentials Ivy 360mm back to wall pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/77/T26377_wm.jpg,White,,25 Years,N,D Shape,Vitreous China,D-Shape,N/A,EC7028,N,Back-to-wall installation,Vitreous china construction,White colour,25 year warranty,,,,,,,,,,,,,,,Back To Wall Toilet Pan
47,PD58899,Roca Debba close coupled rimless open back WC pan,Roca,193.34,"Designed to suit just about any bathroom, the Roca Debba 355mm close-coupled toilet pan with dual outlet is part of a range of coordinating bathroom fittings, making it easy to create a cohesive look in your home.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca Debba close coupled rimless open back WC pan,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/99/NW-D58899_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D58899_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D58899_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Roca_Discovery_2020.pdf,,,,,,,
48,PN68981,Ideal Standard I.Life B close coupled bowl with RimLS+,Ideal Standard,174.9,"Part of the expansive i.Life range, the Ideal Standard i.Life S compact close-coupled toilet bowl has a smart modern design finished in clean, classic white. This close-coupled toilet bowl features the brand's own RimLS+ technology, delivering a powerful whole-bowl clean with every splashless flush while minimising nooks and crannies so there's nowhere for bacteria to lurk",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard I.Life B close coupled bowl with RimLS+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/81/N68981_wm.jpg,White/Gloss,,Lifetime,N,Contemporary,Ceramic,rounded/curved,Yes,E337001,N,Modern rounded design,With RimLS+ for whole-bowl clean,Rimless design reduces bacteria traps,Easy to clean,Ceramic construction,Gloss white finish,Lifetime warranty,,,,,,,,,,,,
49,PP72990,Geberit Selnova Square back to wall WC horizontal/bottom outlet rimfree,Geberit,254.45,"The soft corners and edges of the Geberit Selnova Square floor standing WC pan makes it a modern classic, perfect for contemporary bathrooms. This back-to-wall toilet is built in tough vitreous china with a clean white finish to blend seamlessly in with your existing suite. Selnova Square's rim-free design improves hygiene and makes cleaning easier.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Geberit Selnova Square back to wall WC horizontal/bottom outlet rimfree,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/90/NW-P72990_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501564017_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,
50,PP72989,Geberit Selnova Square close coupled WV semi shrouded horizontal outlet rimfree,Geberit,218.23,"The soft corners and edges of the Geberit Selnova Square floor standing WC pan makes it a modern classic, perfect for contemporary bathrooms. This back-to-wall toilet is built in tough vitreous china with a clean white finish to blend seamlessly in with your existing suite. Selnova Square's rim-free design improves hygiene and makes cleaning easier.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Geberit Selnova Square close coupled WV semi shrouded horizontal outlet rimfree,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/89/NW-P72989_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501563017_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,
