,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 4,Attachment 5,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Pack Quantity,Paintable
10,PF16188,Center CB PP tank connector 40mm,Center CB,3.55,"Center CB tank connector is made of polypropylene. The Center push-fit waste range uses a simple, highly effective ring seal jointing system that's ideally suited to installations where speed is paramount. Completely demountable, this range provides a cost-effective solution where new systems are being installed or existing systems are being modified.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Center CB PP tank connector 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/88/NW-F16188_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PF47310,McAlpine FLEXCON1 half drain flexible connector,McAlpine,7.71,"Made of polypropylene, this McAlpine 1 1/4 x 1 1/4"" flexible connector incorporates universal x plain spigot connections.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine FLEXCON1 half drain flexible connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/11/NW-F47310_F47311_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47310_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PQ64874,Wavin OsmaWeld male iron connector 40mm White,Wavin,7.91,This Wavin OsmaWeld 40mm male iron connector is manufactured in white ABS and incorporates secure solvent weld x male BSPT connections.,Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Wavin OsmaWeld male iron connector 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/74/NW-Q64874_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_ABS_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Osma_Waste_Water_Drain_Install.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,
13,PF03673,Wavin HepFlex spigot connector to solvent-weld 40mm,Wavin,3.36,"Made of polypropylene (PP), this Wavin Hepflex 40mm flexible spigot connector is designed to fit a solvent weld waste.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Wavin HepFlex spigot connector to solvent-weld 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/73/NW-F03673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Osma_Waste_Water_Drain_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,,,,,,,,,,,,,,
14,PF66464,Polypipe ABS tank connector 40mm White,Polypipe,5.74,"Made of white ABS, this Polypipe connector with 40mm solvent weld connections is suitable for domestic applications. A popular selection for residential waste installations, the Polypipe ABS solvent weld range incorporates BioCote anti-microbial technology.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Polypipe ABS tank connector 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/64/NW-F66464_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PF41136,"McAlpine S29 straight connector multi-fit x (BSP) female 1.1/4""",McAlpine,2.49,"This McAlpine 1 1/4 x 1 1/4"" straight connector incorporates multifit x BSP female thread connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine S29 straight connector multi-fit x (BSP) female 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/36/NW-F41136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41136_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PQ64872,Wavin OsmaWeld male iron connector 32mm White,Wavin,7.48,This Wavin OsmaWeld 32mm male iron connector is manufactured in white ABS and incorporates secure solvent weld x male BSPT connections.,Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Wavin OsmaWeld male iron connector 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/72/NW-Q64872_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_ABS_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Osma_Waste_Water_Drain_Install.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,
17,P697048,"Aspen Pumps Xtra 45deg elbow 1.1/4"" Black (Pack of 5)",Aspen Pumps,8.24,"Made of black uPVC, this Aspen Pumps Xtra 1 1/4"" 45° elbow has a smooth internal finish for a lower coefficient of flow friction. This helps to minimise the risk of debris build-up, bacteria and blockages.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Aspen Pumps Xtra 45deg elbow 1.1/4"" Black (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/48/NW-697048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AP_Xtra_Rigid_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/uk/AP_Xtra_BigFoot_Catalogue_UK.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF06186,Polypipe terrain hdpe 160mm compression stop end,Polypipe,99.23,"Part of a comprehensive system, this Polypipe Terrain 160mm compression stop end is made of HDPE. The Terrain system includes a wide range of soil and waste drainage fittings that can be used in commercial, industrial, housing and public sector projects.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Polypipe terrain hdpe 160mm compression stop end,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/86/F06186_wm.jpg,,,,Black,160mm,Compression,160mm,,1 year,0.814 kg,N,HDPE,BS EN 1519,936.160B,,N,High quality black finish,HDPE construction,,,Stop End,-40,"Impact, chemical, abrasion",4.3,80,Soil,Suitable for all types of commercial and domestic installations,Part of a fully accredited product system,"Impact, chemical and abrasion resistant",Meets BS EN 1519,1 year warranty,,
19,P697051,"Aspen Pumps Xtra straight connector 1.1/4"" Black (Pack of 5)",Aspen Pumps,6.35,"Made of black uPVC, this Aspen Pumps Xtra 1 1/4"" straight connector has a smooth internal finish for a lower coefficient of flow friction. This helps to minimise the risk of debris build-up, bacteria and blockages.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Aspen Pumps Xtra straight connector 1.1/4"" Black (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/51/NW-697051_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AP_Xtra_Rigid_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/uk/AP_Xtra_BigFoot_Catalogue_UK.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P697068,"Aspen Pumps Xtra reducing bush 3/4-1.1/4"" Black (Pack of 5)",Aspen Pumps,6.72,"Made of black uPVC, this Aspen Pumps Xtra 3/4"" to 1 1/4"" reducing bush has a smooth internal finish for a lower coefficient of flow friction. This helps to minimise the risk of debris build-up, bacteria and blockages.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Aspen Pumps Xtra reducing bush 3/4-1.1/4"" Black (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/68/NW-697068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AP_Xtra_Rigid_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/uk/AP_Xtra_BigFoot_Catalogue_UK.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF47344,"McAlpine FLEXCON5 universal flexible connector 1.1/4""",McAlpine,5.41,"This McAlpine 1 1/4 x 1 1/4"" flexible fitting includes a universal push-fit connection x PVC plain spigot.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine FLEXCON5 universal flexible connector 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/45/NW-F47344_F47345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47344_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
