,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Weight,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Standards,Feature 3,Feature 4,Feature 5,Dimensions mm (H x W x D),Connection Type,Diameter,Protection Time,Drainage Product Type,Resistance Features,Application
10,P421688,JET Range FVC thermostatic fire valve 72C 10mm x 6mtr,JET Range,75.18,"This JET Range FVC thermoplastic fire valve is suitable for use with Class C and D fuels including heating oil, kerosene and gas oil or diesel. It offers automatic shut-off in case of overheating issues in a fuel burning appliance and fail safe shut-off in case of capillary or sensor failure.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> JET Range FVC thermostatic fire valve 72C 10mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-421685_421690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P500482,TESLA SAFFIRE REM FIRE VAL 1/4IN90C 6M,Tesla,41.96,"A capillary-type fire valve, the Tesla UK Saffire KFV9060 1/4"" 90C 6M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN90C 6M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/57/597557_wm.jpg,,,,Saffire,,N,,,KFV9060,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,90°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 6,,,,,,,
12,P469179,Teddington KBB/C/65 fire valve 1.5mtr,Teddington,47.84,"The Teddington KBB/C/65 fire valve is a compact, quick-acting, thermally operated fire safety shut-off valve for use in oil burning equipment. Made of corrosion-resistant, non-combustible materials and entirely mechanical in operation, requiring no power supply, this valve has a non-detachable sensor connected by a capillary and a reset button at the base of the valve head designed to reset the valve or toggle to shut-off condition if pulled. The KBB has a spring-loaded trip mechanism and sealed temperature sensing system made up of bellows, a capillary tube and a sensor phial. Installed in the oil supply pipeline outside a building with the sensor mounted firmly inside the appliance above the burner, the valve simply snaps closed if the temperature at the sensor phial exceeds the set value.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Teddington KBB/C/65 fire valve 1.5mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/79/NW-469179_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_KBB_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P421764,JET Range FVC thermostatic fire valve 95C 10mm 6mtr,JET Range,75.18,Jet FVC Fuelstop safety fire valve designed to shut down the flow of fuel to the appliance in the event of the burner overheating or a fire near the appliance. The valve is to be installed in the oil line at point of entry to the building. The sensor to be passed though the wall into the building and positioned above the burner in accordance with the burner manufacturer's instructions. The oil line and capillary should be sleeved as it passes through walls and there should not be any sharp bends made in the capillary tube. The safety valve is of a robust mechanical design manufactured of non-corrosive materials for external installation. Please ensure that the valve is installed with the reset button pointing down so that rain water cannot enter the valve body. The reset button can be used as an isolation valve when the burner is being serviced by pulling the button down but must be pressed up to activate the valve into the open position before the burner is fired up. The capillary tube and sensor are intrins,"Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> JET Range FVC thermostatic fire valve 95C 10mm 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Fire_Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet Valve Guide 2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P500478,TESLA SAFFIRE REM FIRE VAL 1/4IN65C 9M,Tesla,46.66,"A capillary-type fire valve, the Tesla UK Saffire KFV6590 1/4"" 65C 9M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN65C 9M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/54/597554_wm.jpg,,,,Saffire,,N,,,KFV6590,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,90°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 4,,,,,,,
15,P471596,Valor 0544649 Radiant Assy Single,Valor,41.25,A replacement Valor radiant.,"Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Valor 0544649 Radiant Assy Single",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/96/471596_wm.jpg,,,,,,N,,,40465,Radiant,N,,,,,,,,,,,,,,,,x  x,,,,,,
16,P471595,Robinson Willey RW type radiant,Robinson Willey,29.89,A replacement Robinson Willey T162 gas fire radiant.,"Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Robinson Willey RW type radiant",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/95/NW-471595_wm.jpg,,,,,,N,,,39610,Gas Fire Radiant,N,,,,,,,,,,,,,,,,x  x,,,,,,
17,P500475,TESLA SAFFIRE REM FIRE VAL 1/4IN65C 1.5M,Tesla,34.61,"A capillary-type fire valve, the Tesla UK Saffire KFV6515 1/4"" 65C 1.5M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN65C 1.5M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/51/597551_wm.jpg,,,,Saffire,,N,,,KFV6515,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,65°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 2,,,,,,,
18,P469184,Teddington KBB/C/90 fire valve 2mtr,Teddington,49.97,"The Teddington KBB/C/90 fire valve is a compact, quick-acting, thermally operated fire safety shut-off valve for use in oil burning equipment. Made of corrosion-resistant, non-combustible materials and entirely mechanical in operation, requiring no power supply, this valve has a non-detachable sensor connected by a capillary and a reset button at the base of the valve head designed to reset the valve or toggle to shut-off condition if pulled. The KBB has a spring-loaded trip mechanism and sealed temperature sensing system made up of bellows, a capillary tube and a sensor phial. Installed in the oil supply pipeline outside a building with the sensor mounted firmly inside the appliance above the burner, the valve simply snaps closed if the temperature at the sensor phial exceeds the set value.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Teddington KBB/C/90 fire valve 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/87/NW-469184_469187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_KBB_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P469185,Teddington KBB/C/65 fire valve 3mtr,Teddington,50.31,"The Teddington KBB/C/65 fire valve is a compact, quick-acting, thermally operated fire safety shut-off valve for use in oil burning equipment. Made of corrosion-resistant, non-combustible materials and entirely mechanical in operation, requiring no power supply, this valve has a non-detachable sensor connected by a capillary and a reset button at the base of the valve head designed to reset the valve or toggle to shut-off condition if pulled. The KBB has a spring-loaded trip mechanism and sealed temperature sensing system made up of bellows, a capillary tube and a sensor phial. Installed in the oil supply pipeline outside a building with the sensor mounted firmly inside the appliance above the burner, the valve simply snaps closed if the temperature at the sensor phial exceeds the set value.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Teddington KBB/C/65 fire valve 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/87/NW-469184_469187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_KBB_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P500481,TESLA SAFFIRE REM FIRE VAL 1/4IN90C 3M,Tesla,36.61,"A capillary-type fire valve, the Tesla UK Saffire KFV9030 1/4"" 90C 3M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN90C 3M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/56/597556_wm.jpg,,,,Saffire,,N,,,KFV9030,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,90°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 5,,,,,,,
21,P469186,Teddington KBB/C/65 fire valve 6mtr,Teddington,55.75,"The Teddington KBB/C/65 fire valve is a compact, quick-acting, thermally operated fire safety shut-off valve for use in oil burning equipment. Made of corrosion-resistant, non-combustible materials and entirely mechanical in operation, requiring no power supply, this valve has a non-detachable sensor connected by a capillary and a reset button at the base of the valve head designed to reset the valve or toggle to shut-off condition if pulled. The KBB has a spring-loaded trip mechanism and sealed temperature sensing system made up of bellows, a capillary tube and a sensor phial. Installed in the oil supply pipeline outside a building with the sensor mounted firmly inside the appliance above the burner, the valve simply snaps closed if the temperature at the sensor phial exceeds the set value.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Teddington KBB/C/65 fire valve 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/87/NW-469184_469187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_KBB_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF26373,Corofil CIPC intumscent pipe collar 110mm,Corofil,37.24,"Designed and tested to create a fire-resistant seal, this PFC Corofil 110mm intumescent pipe collar is effective in flexible and rigid walls, rigid floors, and PFC Corofil coated panels with service penetrations containing plastic pipes and metallic pipes with insulation.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Corofil CIPC intumscent pipe collar 110mm",,boxed to order quantities,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7-/76/F26367-76_wm.jpg,,,Red,CIPC,0.25 kg,N,"stainless steel, intumescent",,35PECIPC110,,N,122 to 240 minutes protection,Red colour,,,,,,,,,,EN1366-3:2009,Meets EN 1366-3:2009 standard,,,,mechanical fixing,110mm,"120mins, 240mins",Passive fire protection - service penetraition,n/a,Service penetration
